full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,ticker,fund_group,source,condition,horizon,original_pass,strict_pass,frozen_pass
0.4704235674630244,299,0.5919732441471572,0.3330518083082811,72,0.6111111111111112,FNPIX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.47810347128399855,307,0.5895765472312704,0.3247718867950551,72,0.6111111111111112,FNPSX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.385219388084639,337,0.5816023738872403,0.5508128048438667,72,0.6527777777777778,IDPIX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.32999174198497294,360,0.5694444444444444,0.5463584996797499,72,0.6527777777777778,IDPSX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.2830484684867156,443,0.582392776523702,0.3990681754091947,72,0.5555555555555556,INPIX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.31092456235484256,425,0.5858823529411765,0.39295178208049847,72,0.5555555555555556,INPSX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.24471184447948996,398,0.5577889447236181,0.32581442129817506,72,0.5833333333333334,MDPIX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.24084937207772636,398,0.5577889447236181,0.3215000110896491,72,0.5833333333333334,MDPSX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.275937691101375,244,0.5860655737704918,0.28450011842354717,72,0.5555555555555556,MLPIX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.2576546692069498,238,0.5756302521008403,0.27986828568406014,72,0.5555555555555556,MLPSX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.47755884160127343,51,0.6078431372549019,0.3029916201627591,37,0.5675675675675675,PHPIX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.2814282142922791,331,0.5800604229607251,0.320882963358872,72,0.625,SGPIX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
0.23593881678543546,341,0.5689149560117303,0.31683490529621944,72,0.625,SGPSX,pair_scan,pair_scan_original19,EEM_down_GDX_up,1,True,True,True
