full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,ticker,fund_group,source,condition,horizon,dual_pass
0.7546630349332986,110,0.6090909090909091,0.7461305579101533,10,0.7,UUPIX,ultra_long,main,SPY_bin_lt-2,1,True
0.7501335718906492,110,0.6090909090909091,0.7430898497626628,10,0.7,UUPSX,inverse,main,SPY_bin_lt-2,1,True
0.7262388524996114,144,0.625,1.7185271081061042,17,0.7647058823529411,UOPIX,ultra_long,main,FXY_big_up,1,True
0.7233529230176249,144,0.625,1.717479306059568,17,0.7647058823529411,UOPSX,inverse,main,FXY_big_up,1,True
0.6922652032883337,107,0.616822429906542,2.4696054851567055,13,0.7692307692307693,UOPIX,ultra_long,main,FXY_bin_1_2,1,True
0.6888810233983342,107,0.616822429906542,2.467519788820059,13,0.7692307692307693,UOPSX,inverse,main,FXY_bin_1_2,1,True
0.7428260344522277,89,0.6853932584269663,0.21056128776313637,27,0.6666666666666666,UOPSX,inverse,main,GDX_bin_0.5_1,1,True
0.5773785029536842,74,0.6756756756756757,0.21234421250157695,27,0.6666666666666666,UOPIX,ultra_long,main,GDX_bin_0.5_1,1,True
0.5887041303877133,273,0.5824175824175825,1.0416789427025315,15,0.6,UUPIX,ultra_long,main,XLF_bin_lt-2,1,True
0.5727817885192914,258,0.5736434108527132,1.0381738991093732,15,0.6,UUPSX,inverse,main,XLF_bin_lt-2,1,True
0.5101641986128703,96,0.5625,1.3357877995767808,28,0.6428571428571429,PMPIX,long,main,GLD_bin_lt-2,1,True
0.49119808130729875,146,0.5958904109589042,1.1539635256497522,17,0.5882352941176471,ULPIX,ultra_long,main,FXY_big_up,1,True
0.4869881814595897,146,0.5958904109589042,1.1481940666279895,17,0.5882352941176471,ULPSX,inverse,main,FXY_big_up,1,True
0.4430253937595784,116,0.603448275862069,0.9177201028267976,17,0.5882352941176471,INPIX,long,main,FXY_big_up,1,True
0.3546713041527447,140,0.6214285714285714,0.8543038521330365,17,0.7647058823529411,OTPSX,inverse,main,FXY_big_up,1,True
0.4863631469002063,144,0.5972222222222222,1.4319135998005386,17,0.7647058823529411,TEPIX,long,main,FXY_big_up,1,True
0.41689701092636205,763,0.562254259501966,0.43159044596169127,44,0.5681818181818182,UUPIX,ultra_long,main,XLF_big_down,1,True
0.3702936083939105,761,0.5611038107752957,0.42682757196519067,44,0.5681818181818182,UUPSX,inverse,main,XLF_big_down,1,True
0.3482326856431846,373,0.613941018766756,0.5870516460860729,61,0.6229508196721312,UOPIX,ultra_long,main,GLD_bin_0.5_1,1,True
0.3601215342809343,144,0.625,0.8535784094394995,17,0.7647058823529411,OTPIX,long,main,FXY_big_up,1,True
0.3396906008792937,543,0.5911602209944752,0.7051757048265258,29,0.6551724137931034,UOPIX,ultra_long,main,TLT_big_up,1,True
0.33698252925685573,543,0.5911602209944752,0.701411900893086,29,0.6551724137931034,UOPSX,inverse,main,TLT_big_up,1,True
0.30400307031656887,278,0.579136690647482,0.6876697404547767,21,0.6190476190476191,LGPIX,long,main,IWM_bin_lt-2,1,True
0.2992544771251379,278,0.579136690647482,0.6797539817365928,21,0.6190476190476191,LGPSX,inverse,main,IWM_bin_lt-2,1,True
0.24446391683503585,271,0.5830258302583026,0.4275894898214412,41,0.6097560975609756,LGPSX,inverse,main,XLK_bin_lt-2,1,True
0.4056012201521475,93,0.6129032258064516,0.8358595048432914,29,0.7241379310344828,ENPSX,inverse,main,GLD_bin_lt-2,1,True
0.4114052668915487,93,0.6129032258064516,0.8425948186927669,29,0.7241379310344828,ENPIX,long,main,GLD_bin_lt-2,1,True
