ticker,strategy_no,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,density_full,density_frozen
BIPIX,1,triple_scan,FXY_up_up_down_GDX_QQQ,1,0.45732828105046774,505,0.6237623762376238,0.6829356270873249,41,0.6341463414634146,200,40
BIPIX,2,condition_expansion,combo_XLK_down__self_down,2,0.20259827919628468,1696,0.5742924528301887,0.504499051464727,96,0.6041666666666666,200,40
BIPIX,3,condition_expansion,combo_XLE_down__ext_tnx_chgbp_down,1,0.20363079191310418,1323,0.5510204081632653,0.5155339720968967,86,0.6162790697674418,200,40
BIPSX,1,condition_expansion,combo_QQQ_down__self_big_down,1,0.44218632911335126,609,0.5812807881773399,0.9381413242889881,56,0.6785714285714286,200,40
BIPSX,2,condition_expansion,combo_XLK_down__self_down,2,0.20433521407485067,1728,0.5769675925925926,0.49972134086795467,96,0.6041666666666666,200,40
BIPSX,3,pair_scan,FXY_up_GDX_up,1,0.23306740185307642,986,0.5588235294117647,0.27957039533845607,118,0.576271186440678,200,40
BITIX,1,condition_expansion,combo_XLC_up__self_down,1,0.5652131150683664,233,0.5793991416309013,0.6143462253007252,122,0.5983606557377049,200,40
BITIX,2,pair_scan,GLD_up_SPY_up,2,0.21832286014711025,237,0.5738396624472574,0.3153894618663163,133,0.631578947368421,200,40
BITIX,3,condition_expansion,combo_XLE_up__self_down,1,0.3333047035888837,208,0.5673076923076923,0.31894867986250547,106,0.5660377358490566,200,40
BKPIX,1,triple_scan,GDX_up_down_down_IWM_XLK,1,0.5662008095350111,265,0.569811320754717,0.8560050125795187,54,0.6666666666666666,200,40
BKPIX,2,condition_expansion,combo_XLV_down__ext_vix_5dchg_up,2,0.23514186738147813,1180,0.5567796610169492,0.28994564491604363,102,0.6176470588235294,200,40
BKPIX,3,triple_scan,GLD_down_up_up_XLE_XLF,2,0.22085549426997864,775,0.5716129032258065,0.43265629891450036,57,0.631578947368421,200,40
BKPSX,1,triple_scan,GDX_up_down_up_QQQ_SLV,2,0.48471067120950806,349,0.6074498567335244,0.4787983270796592,63,0.6349206349206349,200,40
BKPSX,2,triple_scan,EEM_down_down_down_XLK_XLU,3,0.20101880763747537,1084,0.559040590405904,0.505699686617257,59,0.6779661016949152,200,40
BKPSX,3,triple_scan,GLD_down_up_up_IWM_XLE,2,0.2121521521829137,748,0.5641711229946524,0.3420216310029013,47,0.5957446808510638,200,40
