Date,Open,High,Low,Close,Volume,Adj Close
2022-03-08,23.820000,23.820000,23.820000,23.820000,0.000000,23.820000
2022-03-09,25.280001,25.280001,25.280001,25.280001,0.000000,25.280001
2022-03-10,,,,,,
2022-03-11,24.959999,24.959999,24.959999,24.959999,0.000000,24.959999
2022-03-14,23.980000,23.980000,23.980000,23.980000,0.000000,23.980000
2022-03-15,23.459999,23.459999,23.459999,23.459999,0.000000,23.459999
2022-03-16,25.540001,25.540001,25.540001,25.540001,0.000000,25.540001
2022-03-17,26.030001,26.030001,26.030001,26.030001,0.000000,26.030001
2022-03-18,27.650000,27.650000,27.650000,27.650000,0.000000,27.650000
2022-03-21,27.670000,27.670000,27.670000,27.670000,0.000000,27.670000
2022-03-22,28.709999,28.709999,28.709999,28.709999,0.000000,28.709999
2022-03-23,28.469999,28.469999,28.469999,28.469999,0.000000,28.469999
2022-03-24,,,,,,
2022-03-25,27.950001,27.950001,27.950001,27.950001,0.000000,27.950001
2022-03-28,28.459999,28.459999,28.459999,28.459999,0.000000,28.459999
2022-03-29,29.670000,29.670000,29.670000,29.670000,0.000000,29.670000
2022-03-30,,,,,,
2022-03-31,28.860001,28.860001,28.860001,28.860001,0.000000,28.860001
2022-04-01,28.750000,28.750000,28.750000,28.750000,0.000000,28.750000
2022-04-04,29.490000,29.490000,29.490000,29.490000,0.000000,29.490000
2022-04-05,29.510000,29.510000,29.510000,29.510000,0.000000,29.510000
2022-04-06,27.139999,27.139999,27.139999,27.139999,0.000000,27.139999
2022-04-07,27.709999,27.709999,27.709999,27.709999,0.000000,27.709999
2022-04-08,26.570000,26.570000,26.570000,26.570000,0.000000,26.570000
2022-04-11,,,,,,
2022-04-12,27.299999,27.299999,27.299999,27.299999,0.000000,27.299999
2022-04-13,26.580000,26.580000,26.580000,26.580000,0.000000,26.580000
2022-04-14,26.590000,26.590000,26.590000,26.590000,0.000000,26.590000
2022-04-18,,,,,,
2022-04-19,,,,,,
2022-04-20,25.660000,25.660000,25.660000,25.660000,0.000000,25.660000
2022-04-21,25.549999,25.549999,25.549999,25.549999,0.000000,25.549999
2022-04-22,24.450001,24.450001,24.450001,24.450001,0.000000,24.450001
2022-04-25,,,,,,
2022-04-26,23.150000,23.150000,23.150000,23.150000,0.000000,23.150000
2022-04-27,23.180000,23.180000,23.180000,23.180000,0.000000,23.180000
2022-04-28,22.879999,22.879999,22.879999,22.879999,0.000000,22.879999
2022-04-29,24.010000,24.010000,24.010000,24.010000,0.000000,24.010000
2022-05-02,22.770000,22.770000,22.770000,22.770000,0.000000,22.770000
2022-05-03,23.120001,23.120001,23.120001,23.120001,0.000000,23.120001
2022-05-04,22.000000,22.000000,22.000000,22.000000,0.000000,22.000000
2022-05-05,22.200001,22.200001,22.200001,22.200001,0.000000,22.200001
2022-05-06,19.959999,19.959999,19.959999,19.959999,0.000000,19.959999
2022-05-09,,,,,,
2022-05-10,19.139999,19.139999,19.139999,19.139999,0.000000,19.139999
2022-05-11,19.030001,19.030001,19.030001,19.030001,0.000000,19.030001
2022-05-12,,,,,,
2022-05-13,19.690001,19.690001,19.690001,19.690001,0.000000,19.690001
2022-05-16,19.650000,19.650000,19.650000,19.650000,0.000000,19.650000
2022-05-17,19.350000,19.350000,19.350000,19.350000,0.000000,19.350000
2022-05-18,18.969999,18.969999,18.969999,18.969999,0.000000,18.969999
2022-05-19,18.790001,18.790001,18.790001,18.790001,0.000000,18.790001
2022-05-20,19.500000,19.500000,19.500000,19.500000,0.000000,19.500000
2022-05-23,18.700001,18.700001,18.700001,18.700001,0.000000,18.700001
2022-05-24,17.900000,17.900000,17.900000,17.900000,0.000000,17.900000
2022-05-25,18.139999,18.139999,18.139999,18.139999,0.000000,18.139999
2022-05-26,,,,,,
2022-05-27,19.820000,19.820000,19.820000,19.820000,0.000000,19.820000
2022-05-31,20.020000,20.020000,20.020000,20.020000,0.000000,20.020000
2022-06-01,20.570000,20.570000,20.570000,20.570000,0.000000,20.570000
2022-06-02,20.350000,20.350000,20.350000,20.350000,0.000000,20.350000
2022-06-03,20.889999,20.889999,20.889999,20.889999,0.000000,20.889999
2022-06-06,,,,,,
2022-06-07,20.450001,20.450001,20.450001,20.450001,0.000000,20.450001
2022-06-08,21.320000,21.320000,21.320000,21.320000,0.000000,21.320000
2022-06-09,20.940001,20.940001,20.940001,20.940001,0.000000,20.940001
2022-06-10,19.629999,19.629999,19.629999,19.629999,0.000000,19.629999
2022-06-13,18.090000,18.090000,18.090000,18.090000,0.000000,18.090000
2022-06-14,18.049999,18.049999,18.049999,18.049999,0.000000,18.049999
2022-06-15,18.200001,18.200001,18.200001,18.200001,0.000000,18.200001
2022-06-16,17.799999,17.799999,17.799999,17.799999,0.000000,17.799999
2022-06-17,18.049999,18.049999,18.049999,18.049999,0.000000,18.049999
2022-06-21,19.030001,19.030001,19.030001,19.030001,0.000000,19.030001
2022-06-22,19.090000,19.090000,19.090000,19.090000,0.000000,19.090000
2022-06-23,,,,,,
2022-06-24,20.650000,20.650000,20.650000,20.650000,0.000000,20.650000
2022-06-27,20.549999,20.549999,20.549999,20.549999,0.000000,20.549999
2022-06-28,20.450001,20.450001,20.450001,20.450001,0.000000,20.450001
2022-06-29,,,,,,
2022-06-30,18.510000,18.510000,18.510000,18.510000,0.000000,18.510000
2022-07-01,19.190001,19.190001,19.190001,19.190001,0.000000,19.190001
2022-07-05,19.090000,19.090000,19.090000,19.090000,0.000000,19.090000
2022-07-06,20.270000,20.270000,20.270000,20.270000,0.000000,20.270000
2022-07-07,20.370001,20.370001,20.370001,20.370001,0.000000,20.370001
2022-07-08,20.270000,20.270000,20.270000,20.270000,0.000000,20.270000
2022-07-11,19.850000,19.850000,19.850000,19.850000,0.000000,19.850000
2022-07-12,19.240000,19.240000,19.240000,19.240000,0.000000,19.240000
2022-07-13,,,,,,
