subset_bits,etf_count,covered_funds,available_signals,uncovered_funds,median_full_hit,min_full_hit,median_frozen_hit,min_frozen_hit,median_full_avg_abs,median_frozen_avg_abs,median_frozen_trades,best_tickers,best_conditions,best_horizons,avg_min
9740476472124082520163,14,119,2508,8,0.5935483870967742,0.5535714285714286,0.6363636363636364,0.5540540540540541,0.4260033878426577,0.488594671767688,41.0,"['AFBIX', 'AFBSX', 'BIPIX', 'BIPSX', 'BITIX', 'BKPIX', 'BKPSX', 'BLPIX', 'BLPSX', 'BMPIX', 'BMPSX', 'BRPSX', 'BTCFX', 'CNPIX', 'CNPSX', 'CYPIX', 'CYPSX', 'ENPIX', 'ENPSX', 'ETHFX', 'FNPIX', 'FNPSX', 'FYAIX', 'FYASX', 'GVPIX', 'HCPIX', 'HCPSX', 'IDPIX', 'IDPSX', 'INPIX', 'INPSX', 'LGPIX', 'LGPSX', 'LVPIX', 'LVPSX', 'MDPIX', 'MDPSX', 'MGPIX', 'MGPSX', 'MLPIX', 'MLPSX', 'OEPIX', 'OEPSX', 'OTPIX', 'OTPSX', 'PHPIX', 'PHPSX', 'PMPIX', 'PMPSX', 'REPIX', 'REPSX', 'RRPIX', 'RRPSX', 'SGPIX', 'SGPSX', 'SHPIX', 'SHPSX', 'SLPIX', 'SLPSX', 'SMPIX', 'SMPSX', 'SNPIX', 'SNPSX', 'SOPIX', 'SOPSX', 'SPPIX', 'SPPSX', 'SRPIX', 'SRPSX', 'SVPIX', 'SVPSX', 'TEPIX', 'TEPSX', 'UAPIX', 'UAPSX', 'UBPIX', 'UBPSX', 'UCPIX', 'UCPSX', 'UDPIX', 'UDPSX', 'UEPIX', 'UEPSX', 'UFPIX', 'UFPSX', 'UGPIX', 'UGPSX', 'UHPIX', 'UHPSX', 'UIPIX', 'UIPSX', 'UJPIX', 'UJPSX', 'UKPIX', 'UKPSX', 'ULPIX', 'ULPSX', 'UMPIX', 'UMPSX', 'UNPIX', 'UNPSX', 'UOPIX', 'UOPSX', 'URPIX', 'URPSX', 'USPIX', 'USPSX', 'UTPIX', 'UTPSX', 'UUPIX', 'UUPSX', 'UVPIX', 'UVPSX', 'UWPIX', 'UWPSX', 'UXPIX', 'UXPSX', 'WCPIX', 'WCPSX']","['ext_vix_chg_le-5', 'ext_vix_chg_le-5', 'SPTL_down_XLC_down', 'GOVZ_down_XLC_down', 'GLD_up_XLC_up', 'MUB_up_XLC_down', 'STIP_down_XLC_down', 'ext_vix_chg_ge5', 'ext_vix_chg_ge5', 'XLK_down_SOXX_up', 'XLK_down_SOXX_up', 'SLV_up_SHV_up', 'MUB_down_STIP_up', 'SOXX_down_XLC_up', 'SOXX_down_XLC_up', 'XLK_down_SOXX_up', 'XLY_big_down', 'USO_up_XLC_down', 'GOVZ_up_STIP_up', 'SHV_up_USO_up', 'XLK_down_MUB_up', 'XLK_down_MUB_up', 'ext_vix_chg_ge5', 'ext_vix_chg_ge5', 'GLD_up_GOVZ_down', 'SOXX_down_XLC_up', 'XLK_down_SOXX_up', 'XLK_down_SOXX_up', 'XLK_down_SOXX_up', 'XLK_down_GOVZ_down', 'XLK_down_GOVZ_down', 'SHV_up_SPTL_down', 'XLK_bin_lt-2', 'ext_vix_chg_ge5', 'ext_vix_chg_ge5', 'XLK_down_SOXX_up', 'SOXX_down_XLY_down', 'GOVZ_up_STIP_up', 'GOVZ_up_STIP_up', 'XLK_down_SOXX_up', 'XLK_down_SOXX_up', 'ext_vix_chg_ge5', 'ext_vix_chg_ge5', 'SHV_up_SPTL_down', 'XLK_down_SOXX_up', 'GOVZ_down_XLY_down', 'GOVZ_down_XLY_down', 'STIP_up_XLC_down', 'XLC_up_XLY_down', 'GOVZ_down_XLC_up', 'GOVZ_down_XLC_up', 'SLV_down_XLC_up', 'SLV_down_XLC_up', 'SOXX_down_XLY_down', 'SOXX_down_XLY_down', 'GOVZ_down_SPTL_down', 'GOVZ_down_SPTL_down', 'XLK_down_SOXX_up', 'TBF_up_XLC_up', 'XLK_down_SPTL_down', 'XLK_down_SPTL_down', 'SOXX_up_XLC_up', 'XLK_up_XLC_up', 'XLV_down_XLC_up', 'GOVZ_down_USO_down', 'SHV_up_XLC_down', 'SLV_down_XLC_down', 'ext_vix_chg_le-5', 'ext_vix_chg_le-5', 'MUB_up_XLC_down', 'MUB_up_XLC_down', 'XLK_down_SOXX_up', 'GOVZ_down_SOXX_down', 'XLK_down_SOXX_up', 'XLK_down_GOVZ_down', 'GOVZ_up_SOXX_down', 'GOVZ_up_SOXX_down', 'GOVZ_down_XLY_up', 'XLV_up_XLC_down', 'XLK_down_SOXX_up', 'XLK_down_SOXX_up', 'MUB_up_STIP_up', 'SHV_up_STIP_up', 'TBF_up_XLC_up', 'SLV_down_GOVZ_up', 'GOVZ_up_SOXX_up', 'GOVZ_up_SOXX_up', 'XLK_up_XLC_down', 'GOVZ_up_STIP_down', 'XLV_up_XLC_down', 'GOVZ_down_MUB_down', 'XLK_down_XLV_down', 'XLK_down_USO_up', 'TBF_up_XLC_down', 'TBF_up_XLC_down', 'XLK_down_SOXX_up', 'XLY_big_down', 'XLK_down_SOXX_up', 'XLK_down_SOXX_up', 'XLK_down_GOVZ_down', 'XLK_down_GOVZ_down', 'GOVZ_down_STIP_up', 'GOVZ_down_STIP_up', 'XLK_down_XLV_up', 'XLK_up_GOVZ_down', 'XLV_down_XLC_up', 'SLV_up_XLK_up', 'SPTL_big_up', 'SPTL_big_up', 'MUB_up_TBF_down', 'GOVZ_up_USO_up', 'XLK_up_XLC_down', 'SPTL_down_XLC_down', 'XLV_up_XLC_down', 'XLV_up_XLC_down', 'STIP_down_XLY_up', 'XLV_down_XLC_up', 'SLV_up_MUB_up', 'SLV_up_MUB_up']","[1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 3, 2, 1, 1, 1, 1, 1, 1, 3, 3, 2, 1, 2, 3, 1, 1, 2, 2, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 2, 1, 1, 1]",0.4260033878426577
19482645171555417464867,15,118,2786,9,0.6006756756756757,0.5531914893617021,0.65,0.5540540540540541,0.4797396767224535,0.5648331570585591,27.5,"['AFBIX', 'AFBSX', 'BIPIX', 'BIPSX', 'BITIX', 'BKPIX', 'BKPSX', 'BLPIX', 'BLPSX', 'BMPIX', 'BMPSX', 'BTCFX', 'CNPIX', 'CNPSX', 'CYPIX', 'CYPSX', 'ENPIX', 'ENPSX', 'ETHFX', 'FNPIX', 'FNPSX', 'FYAIX', 'FYASX', 'GVPIX', 'HCPIX', 'HCPSX', 'IDPIX', 'IDPSX', 'INPIX', 'INPSX', 'LGPIX', 'LGPSX', 'LVPIX', 'LVPSX', 'MDPIX', 'MDPSX', 'MGPIX', 'MGPSX', 'MLPIX', 'MLPSX', 'OEPIX', 'OEPSX', 'OTPIX', 'OTPSX', 'PHPIX', 'PHPSX', 'PMPIX', 'PMPSX', 'REPIX', 'REPSX', 'RRPIX', 'RRPSX', 'SGPIX', 'SGPSX', 'SHPIX', 'SHPSX', 'SLPIX', 'SLPSX', 'SMPIX', 'SMPSX', 'SNPIX', 'SNPSX', 'SOPIX', 'SOPSX', 'SPPIX', 'SPPSX', 'SRPIX', 'SRPSX', 'SVPIX', 'SVPSX', 'TEPIX', 'TEPSX', 'UAPIX', 'UAPSX', 'UBPIX', 'UBPSX', 'UCPIX', 'UCPSX', 'UDPIX', 'UDPSX', 'UEPIX', 'UEPSX', 'UFPIX', 'UFPSX', 'UGPIX', 'UGPSX', 'UHPIX', 'UHPSX', 'UIPIX', 'UIPSX', 'UJPIX', 'UJPSX', 'UKPIX', 'UKPSX', 'ULPIX', 'ULPSX', 'UMPIX', 'UMPSX', 'UNPIX', 'UNPSX', 'UOPIX', 'UOPSX', 'URPIX', 'URPSX', 'USPIX', 'USPSX', 'UTPIX', 'UTPSX', 'UUPIX', 'UUPSX', 'UVPIX', 'UVPSX', 'UWPIX', 'UWPSX', 'UXPIX', 'UXPSX', 'WCPIX', 'WCPSX']","['ext_vix_chg_le-5', 'ext_vix_chg_le-5', 'XLK_down_SOXX_up', 'GOVZ_down_XLC_down', 'LQD_down_SOXX_up', 'XLC_down', 'GOVZ_down_XLC_down', 'ext_vix_chg_ge5', 'ext_vix_chg_ge5', 'XLK_down_SOXX_up', 'XLK_down_SOXX_up', 'XLY_big_down', 'SOXX_down_XLC_up', 'SOXX_down_XLC_up', 'PST_down_TLH_down', 'PST_down_TLH_down', 'GLD_down_XLC_down', 'GLD_down_XLC_down', 'TMV_up_VCLT_down', 'PST_down_TMV_up', 'PST_down_TMV_up', 'ext_vix_chg_ge5', 'ext_vix_chg_ge5', 'GLD_up_GOVZ_down', 'PST_down_TLH_down', 'PST_down_TLH_down', 'PST_down_TMV_up', 'XLV_up_TLH_up', 'PST_down_TLH_down', 'PST_down_TLH_down', 'PST_down_TLH_down', 'PST_down_TLH_down', 'ext_vix_chg_ge5', 'ext_vix_chg_ge5', 'XLK_down_SOXX_up', 'PST_down_TMV_up', 'PST_down_TMV_up', 'PST_down_TMV_up', 'XLK_down_SOXX_up', 'XLK_down_SOXX_up', 'ext_vix_chg_ge5', 'ext_vix_chg_ge5', 'PST_down_ZROZ_down', 'PST_down_ZROZ_down', 'GOVZ_down_XLY_down', 'GOVZ_down_XLY_down', 'PST_down_XLC_down', 'XLC_up_XLY_down', 'PST_big_down', 'IWM_up_PST_down', 'PST_up_TLH_up', 'PST_up_TLH_up', 'SOXX_down_XLY_down', 'IWM_down_XLY_down', 'XLV_up_XLC_down', 'GOVZ_down_VCLT_down', 'XLK_down_SOXX_up', 'PST_down_ZROZ_down', 'PST_down_ZROZ_down', 'PST_down_ZROZ_down', 'SOXX_up_XLC_up', 'GOVZ_up_XME_up', 'XLV_down_XLC_up', 'LQD_up_XLV_down', 'XLC_up_ZROZ_down', 'XLC_up_ZROZ_down', 'ext_vix_chg_le-5', 'ext_vix_chg_le-5', 'LQD_down_XLC_up', 'PST_down_TMV_up', 'PST_down_TLH_down', 'PST_down_TLH_down', 'XLK_down_SOXX_up', 'PST_down_ZROZ_down', 'GOVZ_up_SOXX_down', 'GOVZ_up_SOXX_down', 'GOVZ_down_XLY_up', 'GOVZ_down_VCLT_down', 'PST_down_TMV_up', 'PST_down_TMV_up', 'GOVZ_down_XME_down', 'IWM_down_XLY_down', 'XLK_down_XLC_up', 'GLD_down_ZROZ_up', 'TLH_big_up', 'TLH_big_up', 'XLK_up_XLC_down', 'XLK_up_XLC_down', 'TMV_up_VCLT_up', 'TMV_up_VCLT_up', 'XLK_down_XLV_down', 'PST_down_TMV_up', 'TMV_up_XLC_down', 'TMV_up_XLC_down', 'PST_down_TMV_up', 'PST_down_TMV_up', 'PST_down_TMV_up', 'PST_down_TMV_up', 'XLK_down_GOVZ_down', 'XLK_down_GOVZ_down', 'PST_down_ZROZ_down', 'PST_down_ZROZ_down', 'XLK_down_XLV_up', 'XLK_up_GOVZ_down', 'TLH_down_XME_up', 'TLH_down_XME_up', 'TLH_big_up', 'TLH_big_up', 'GOVZ_down_XME_down', 'PST_down_TMV_up', 'XLK_up_XLC_down', 'XLK_up_XLC_down', 'XLV_up_XLC_down', 'XLV_up_XLC_down', 'PST_up_SOXX_up', 'XLV_down_XME_up', 'PST_down_VCLT_down', 'PST_down_VCLT_down']","[1, 1, 1, 1, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1]",0.4797396767224535
299759591353204630707,15,117,3174,10,0.589041095890411,0.5502958579881657,0.6190476190476191,0.55,0.4832869973241929,0.513349449119155,41.0,"['AFBIX', 'AFBSX', 'BIPIX', 'BIPSX', 'BITIX', 'BKPIX', 'BKPSX', 'BLPIX', 'BLPSX', 'BMPIX', 'BMPSX', 'BTCFX', 'CNPIX', 'CNPSX', 'CYPIX', 'CYPSX', 'ENPIX', 'ENPSX', 'ETHFX', 'FNPIX', 'FNPSX', 'FYAIX', 'FYASX', 'HCPIX', 'HCPSX', 'IDPIX', 'IDPSX', 'INPIX', 'INPSX', 'LGPIX', 'LGPSX', 'LVPIX', 'LVPSX', 'MDPIX', 'MDPSX', 'MGPIX', 'MGPSX', 'MLPIX', 'MLPSX', 'OEPIX', 'OEPSX', 'OTPIX', 'OTPSX', 'PHPIX', 'PHPSX', 'PMPIX', 'PMPSX', 'REPIX', 'REPSX', 'RRPIX', 'RRPSX', 'SGPIX', 'SGPSX', 'SHPIX', 'SHPSX', 'SLPIX', 'SLPSX', 'SMPIX', 'SMPSX', 'SNPIX', 'SNPSX', 'SOPIX', 'SOPSX', 'SPPIX', 'SPPSX', 'SRPIX', 'SRPSX', 'SVPIX', 'SVPSX', 'TEPIX', 'TEPSX', 'UAPIX', 'UAPSX', 'UBPIX', 'UBPSX', 'UCPIX', 'UCPSX', 'UDPIX', 'UDPSX', 'UEPIX', 'UEPSX', 'UFPIX', 'UFPSX', 'UGPIX', 'UGPSX', 'UHPIX', 'UHPSX', 'UIPIX', 'UIPSX', 'UJPIX', 'UJPSX', 'UKPIX', 'UKPSX', 'ULPIX', 'ULPSX', 'UMPIX', 'UMPSX', 'UNPIX', 'UNPSX', 'UOPIX', 'UOPSX', 'URPIX', 'URPSX', 'USPIX', 'USPSX', 'UTPIX', 'UTPSX', 'UUPIX', 'UUPSX', 'UVPIX', 'UVPSX', 'UWPIX', 'UWPSX', 'UXPIX', 'UXPSX', 'WCPIX', 'WCPSX']","['ext_vix_chg_le-5', 'ext_vix_chg_le-5', 'LTPZ_down_XLC_down', 'GDX_up_XLC_down', 'VMBS_up_XLC_up', 'XLE_down_XLC_down', 'LTPZ_down_VMBS_up', 'ext_vix_chg_ge5', 'ext_vix_chg_ge5', 'GDX_up_SPY_down', 'XLE_up_PST_down', 'VMBS_up', 'IWM_up_XLK_down', 'GDX_up_XLK_down', 'PST_down_TBF_up', 'PST_down_TBF_up', 'GDX_up_XLC_down', 'GDX_up_XLC_down', 'PST_up_TBF_up', 'PST_down_TBF_up', 'PST_down_ZROZ_down', 'ext_vix_chg_ge5', 'ext_vix_chg_ge5', 'GDX_up_QQQ_down', 'GDX_up_QQQ_down', 'SPY_down_GOVZ_down', 'SPY_down_GOVZ_down', 'PST_down_ZROZ_down', 'PST_down_ZROZ_down', 'PST_down_ZROZ_down', 'IWM_bin_lt-2', 'ext_vix_chg_ge5', 'ext_vix_chg_ge5', 'GDX_up_XLK_down', 'GDX_up_XLK_down', 'SPY_down_GOVZ_down', 'SPY_down_GOVZ_down', 'GDX_up_SPY_down', 'GDX_up_SPY_down', 'ext_vix_chg_ge5', 'ext_vix_chg_ge5', 'PST_down_ZROZ_down', 'PST_down_ZROZ_down', 'XLV_up_SPY_down', 'GOVZ_down_VMBS_up', 'PST_down_XLC_down', 'XLE_down_GOVZ_up', 'SPY_up_GOVZ_down', 'IWM_up_PST_down', 'SLV_down_XLC_up', 'SLV_down_XLC_up', 'GDX_up_SPY_down', 'SPY_down_GOVZ_down', 'XLV_up_XLC_down', 'GOVZ_down_LTPZ_down', 'PST_down_ZROZ_down', 'PST_down_ZROZ_down', 'PST_down_ZROZ_down', 'PST_down_ZROZ_down', 'XLE_up_XLC_up', 'XLK_up_XLC_up', 'XLV_down_XLC_up', 'SPY_down_XLE_up', 'XLE_up_XLC_down', 'SLV_down_XLC_down', 'ext_vix_chg_le-5', 'ext_vix_chg_le-5', 'GDX_up_SPY_down', 'SLV_down_XLC_down', 'LTPZ_down_PST_down', 'VMBS_up_ZROZ_down', 'PST_down_ZROZ_down', 'PST_down_ZROZ_down', 'GDX_up_XLC_down', 'GDX_up_XLC_down', 'VMBS_down_XLC_down', 'XLV_up_XLC_down', 'GDX_up_XLC_down', 'GDX_up_XLC_down', 'GDX_up_SPY_down', 'GDX_up_SPY_down', 'TBF_up_XLC_up', 'SLV_down_GOVZ_up', 'GDX_up_GOVZ_up', 'PST_big_down', 'XLK_up_XLC_down', 'XLK_up_XLC_down', 'XLV_up_XLC_down', 'IWM_down_XLE_up', 'QQQ_bin_-2_-1', 'SPY_down_XLV_down', 'TBF_up_XLC_down', 'TBF_up_XLC_down', 'GDX_up_XLC_down', 'GDX_up_XLC_down', 'GDX_up_XLK_down', 'GDX_up_XLK_down', 'GDX_up_SPY_down', 'GDX_up_SPY_down', 'PST_down_ZROZ_down', 'PST_down_ZROZ_down', 'XLK_down_XLV_up', 'XLK_up_GOVZ_down', 'XLV_down_XLC_up', 'SLV_up_XLK_up', 'PST_big_down', 'PST_big_down', 'TBF_up_VMBS_up', 'GDX_up_QQQ_down', 'QQQ_up_XLC_down', 'TBF_up_XLC_down', 'XLV_up_XLC_down', 'XLV_up_XLC_down', 'QQQ_up_TBF_down', 'XLV_down_XLC_up', 'GOVZ_down_VMBS_up', 'GOVZ_down_VMBS_up']","[1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1]",0.4832869973241929
299777755250130173995,13,116,2303,11,0.5960264900662252,0.5504587155963303,0.6258333333333334,0.5512820512820513,0.42371322030166225,0.4481396505109569,65.0,"['AFBIX', 'AFBSX', 'BIPIX', 'BIPSX', 'BITIX', 'BKPIX', 'BKPSX', 'BLPIX', 'BLPSX', 'BMPIX', 'BMPSX', 'BRPSX', 'BTCFX', 'CNPIX', 'CNPSX', 'CYPIX', 'CYPSX', 'ENPIX', 'ENPSX', 'FNPIX', 'FNPSX', 'FYAIX', 'FYASX', 'HCPIX', 'HCPSX', 'IDPIX', 'IDPSX', 'INPIX', 'INPSX', 'LGPIX', 'LGPSX', 'LVPIX', 'LVPSX', 'MDPIX', 'MDPSX', 'MGPIX', 'MGPSX', 'MLPIX', 'MLPSX', 'OEPIX', 'OEPSX', 'OTPIX', 'OTPSX', 'PHPIX', 'PHPSX', 'PMPIX', 'PMPSX', 'REPIX', 'REPSX', 'RRPIX', 'RRPSX', 'SGPIX', 'SGPSX', 'SHPIX', 'SHPSX', 'SLPIX', 'SLPSX', 'SMPIX', 'SMPSX', 'SNPIX', 'SNPSX', 'SOPIX', 'SPPIX', 'SPPSX', 'SRPIX', 'SRPSX', 'SVPIX', 'SVPSX', 'TEPIX', 'TEPSX', 'UAPIX', 'UAPSX', 'UBPIX', 'UBPSX', 'UCPIX', 'UCPSX', 'UDPIX', 'UDPSX', 'UEPIX', 'UEPSX', 'UFPIX', 'UFPSX', 'UGPIX', 'UGPSX', 'UHPIX', 'UHPSX', 'UIPIX', 'UIPSX', 'UJPIX', 'UJPSX', 'UKPIX', 'UKPSX', 'ULPIX', 'ULPSX', 'UMPIX', 'UMPSX', 'UNPIX', 'UNPSX', 'UOPIX', 'UOPSX', 'URPIX', 'URPSX', 'USPIX', 'USPSX', 'UTPIX', 'UTPSX', 'UUPIX', 'UUPSX', 'UVPIX', 'UVPSX', 'UWPIX', 'UWPSX', 'UXPIX', 'UXPSX', 'WCPIX', 'WCPSX']","['ext_vix_chg_le-5', 'ext_vix_chg_le-5', 'FLRN_down_GOVZ_down', 'GDX_up_XLC_down', 'XLK_down_FLRN_up', 'XLE_down_XLC_down', 'GDX_up_XLC_down', 'ext_vix_chg_ge5', 'ext_vix_chg_ge5', 'GDX_up_XLK_down', 'XLK_down_FLRN_up', 'SLV_up_SHV_up', 'WIP_up_XLC_down', 'SMH_down_XLC_up', 'SMH_down_XLC_up', 'GDX_up_XLK_down', 'GDX_up_XLK_down', 'GDX_up_XLC_down', 'GDX_up_XLC_down', 'GDX_up_XLC_down', 'GDX_up_XLC_down', 'ext_vix_chg_ge5', 'ext_vix_chg_ge5', 'XLK_down_SMH_up', 'XLK_down_SMH_up', 'FLRN_up_SMH_down', 'FLRN_up_SMH_down', 'XLK_down_GOVZ_down', 'XLK_down_GOVZ_down', 'GDX_up_XLC_down', 'GDX_up_XLC_down', 'ext_vix_chg_ge5', 'ext_vix_chg_ge5', 'XLK_down_SMH_up', 'XLK_down_SMH_up', 'XLE_up_SMH_down', 'XLK_down_SMH_up', 'GDX_up_XLK_down', 'GDX_up_XLK_down', 'ext_vix_chg_ge5', 'ext_vix_chg_ge5', 'GDX_up_XLC_down', 'GDX_up_XLC_down', 'GOVZ_down_SMH_up', 'GOVZ_down_SMH_up', 'FLRN_up_GOVZ_up', 'FLRN_up_SHV_up', 'GOVZ_down_XLC_up', 'GOVZ_down_XLC_up', 'SLV_down_XLC_up', 'SLV_down_XLC_up', 'FLRN_up_GOVZ_up', 'FLRN_up_GOVZ_up', 'XLV_up_XLC_down', 'XLV_down_SMH_down', 'GDX_up_XLK_down', 'GDX_up_XLK_down', 'GOVZ_up_WIP_down', 'GOVZ_up_WIP_down', 'XLE_up_XLC_up', 'XLK_up_XLC_up', 'XLV_down_XLC_up', 'XLE_up_XLC_down', 'SLV_down_XLC_down', 'ext_vix_chg_le-5', 'ext_vix_chg_le-5', 'IAU_down_XLC_up', 'SLV_down_XLC_down', 'GDX_up_XLC_down', 'GDX_up_XLC_down', 'GDX_up_XLK_down', 'GDX_up_SMH_down', 'GDX_up_XLC_down', 'GDX_up_XLC_down', 'FLRN_up_GOVZ_down', 'XLV_up_XLC_down', 'GDX_up_XLC_down', 'GDX_up_XLC_down', 'FLRN_up_GOVZ_up', 'SLV_down_GOVZ_down', 'XLK_down_XLC_up', 'SLV_down_GOVZ_up', 'GOVZ_up_SHV_up', 'GDX_up_SLV_down', 'WIP_big_down', 'WIP_big_down', 'SMH_up_XLC_down', 'SMH_up_XLC_down', 'XLK_down_XLV_down', 'FLRN_up_SMH_down', 'TMV_up_XLC_down', 'GOVZ_down_IAU_up', 'GDX_up_XLC_down', 'GDX_up_XLC_down', 'XLK_down_SMH_up', 'XLK_down_SMH_up', 'XLK_down_GOVZ_down', 'GOVZ_down_SMH_down', 'GDX_bin_0.5_1', 'GDX_bin_0.5_1', 'XLK_down_XLV_up', 'XLK_up_GOVZ_down', 'GOVZ_down_WIP_down', 'SLV_up_XLK_up', 'GOVZ_down_WIP_up', 'GOVZ_down_WIP_up', 'GOVZ_down_IAU_up', 'XLK_down_SMH_up', 'XLK_up_XLC_down', 'XLK_up_XLC_down', 'XLV_up_XLC_down', 'XLV_up_XLC_down', 'GDX_down_IAU_up', 'XLV_down_XLC_up', 'GDX_up_XLV_down', 'GDX_up_XLV_down']","[1, 1, 1, 1, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 3, 2, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1]",0.42371322030166225
