full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,ticker,fund_group,source,condition,horizon,dual_pass
0.39296767842922353,863,0.7879490150637312,0.27732758293030246,78,0.8333333333333334,AFBIX,long,sparse,ext_vix_chg_le-5,1,True
0.3887531937627287,863,0.7775202780996524,0.2706352631731451,78,0.8205128205128205,AFBSX,inverse,sparse,ext_vix_chg_le-5,1,True
0.4036305623075514,166,0.5662650602409639,0.444720076913254,15,0.6,BIPIX,long,optimization_scan,TLH_big_up,1,True
0.39966107897974695,166,0.5662650602409639,0.4369179783827687,15,0.6,BIPSX,inverse,optimization_scan,TLH_big_up,1,True
0.5216279888357029,93,0.5806451612903226,0.7096193216807631,83,0.6024096385542169,BITIX,long,optimization_scan,SOXX_gt2,1,True
0.42795338453026444,290,0.6,0.3021461866510145,179,0.6201117318435754,BKPIX,long,optimization_scan,XLC_down,2,True
0.28468898863914904,108,0.6111111111111112,0.24609329702456004,72,0.625,BKPSX,inverse,optimization_scan,GOVZ_big_down,3,True
1.0837703814050874,990,0.9353535353535354,1.077939605155951,89,0.9775280898876404,BLPIX,long,gap_extra,ext_vix_chg_ge5,1,True
1.0797138539184399,990,0.9323232323232323,1.0747692053359585,89,0.9775280898876404,BLPSX,inverse,gap_extra,ext_vix_chg_ge5,1,True
0.7808100154367563,53,0.6415094339622641,0.5194983270937629,42,0.6190476190476191,BTCFX,long,optimization_scan,VMBS_up,1,True
0.3343790922889203,135,0.5777777777777777,0.27505271517009533,17,0.5882352941176471,CNPIX,long,sparse,FXY_big_up,1,True
0.31267897141271844,141,0.574468085106383,0.26850930509194115,17,0.5882352941176471,CNPSX,inverse,sparse,FXY_big_up,1,True
0.2886746360289813,138,0.5652173913043478,0.8844372148176338,68,0.6617647058823529,CYPIX,long,optimization_scan,XLY_big_down,1,True
0.5044888401384174,84,0.5833333333333334,0.9111541717287247,49,0.6530612244897959,CYPSX,inverse,optimization_scan,XLY_big_down,1,True
0.4114052668915487,93,0.6129032258064516,0.8425948186927669,29,0.7241379310344828,ENPIX,long,main,GLD_bin_lt-2,1,True
0.4056012201521475,93,0.6129032258064516,0.8358595048432914,29,0.7241379310344828,ENPSX,inverse,main,GLD_bin_lt-2,1,True
0.3652332295882945,132,0.5984848484848485,0.20656536186192787,14,0.5714285714285714,FNPIX,long,optimization_scan,VCLT_big_up,3,True
0.36129284588359456,132,0.5984848484848485,0.20255128303252232,14,0.5714285714285714,FNPSX,inverse,optimization_scan,VCLT_big_up,3,True
