Date,Adj Close
2019-01-02,12.81
2019-01-03,12.49
2019-01-04,12.91
2019-01-07,13.02
2019-01-08,13.1
2019-01-09,13.22
2019-01-10,13.21
2019-01-11,13.18
2019-01-14,13.09
2019-01-15,13.22
2019-01-16,13.22
2019-01-17,13.3
2019-01-18,13.5
2019-01-22,13.35
2019-01-23,13.36
2019-01-24,13.4
2019-01-25,13.55
2019-01-28,13.48
2019-01-29,13.43
2019-01-30,13.59
2019-01-31,13.68
2019-02-01,13.71
2019-02-04,13.79
2019-02-05,13.96
2019-02-06,13.87
2019-02-07,13.76
2019-02-08,13.82
2019-02-11,13.87
2019-02-12,14.03
2019-02-13,14.05
2019-02-14,14.03
2019-02-15,14.13
2019-02-19,14.16
2019-02-20,14.21
2019-02-21,14.19
2019-02-22,14.24
2019-02-25,14.28
2019-02-26,14.3
2019-02-27,14.24
2019-02-28,14.19
2019-03-01,14.28
2019-03-04,14.28
2019-03-05,14.38
2019-03-06,14.31
2019-03-07,14.19
2019-03-08,14.14
2019-03-11,14.31
2019-03-12,14.37
2019-03-13,14.46
2019-03-14,14.47
2019-03-15,14.6
2019-03-18,14.69
2019-03-19,14.7
2019-03-20,14.65
2019-03-21,14.77
2019-03-22,14.52
2019-03-25,14.51
2019-03-26,14.58
2019-03-27,14.56
2019-03-28,14.6
2019-03-29,14.72
2019-04-01,14.87
2019-04-02,14.89
2019-04-03,15.0
2019-04-04,14.98
2019-04-05,15.02
2019-04-08,15.03
2019-04-09,15.01
2019-04-10,15.06
2019-04-11,15.08
2019-04-12,15.21
2019-04-15,15.19
2019-04-16,15.24
2019-04-17,15.27
2019-04-18,15.33
2019-04-22,15.33
2019-04-23,15.42
2019-04-24,15.39
2019-04-25,15.33
2019-04-26,15.41
2019-04-29,15.46
2019-04-30,15.45
2019-05-01,15.33
2019-05-02,15.28
2019-05-03,15.39
2019-05-06,15.24
2019-05-07,15.07
2019-05-08,15.05
2019-05-09,14.93
2019-05-10,15.0
2019-05-13,14.69
2019-05-14,14.81
2019-05-15,14.9
2019-05-16,15.05
2019-05-17,14.91
2019-05-20,14.78
2019-05-21,14.88
2019-05-22,14.89
