Date,Adj Close
2019-01-02,12.7
2019-01-03,12.71
2019-01-04,12.71
2019-01-07,12.82
2019-01-08,12.89
2019-01-09,12.98
2019-01-10,13.01
2019-01-11,13.01
2019-01-14,12.94
2019-01-15,12.96
2019-01-16,13.0
2019-01-17,13.0
2019-01-18,13.05
2019-01-22,13.07
2019-01-23,12.99
2019-01-24,12.98
2019-01-25,13.04
2019-01-28,13.03
2019-01-29,13.04
2019-01-30,13.08
2019-01-31,13.16
2019-02-01,13.22
2019-02-04,13.27
2019-02-05,13.32
2019-02-06,13.39
2019-02-07,13.33
2019-02-08,13.23
2019-02-11,13.26
2019-02-12,13.36
2019-02-13,13.42
2019-02-14,13.44
2019-02-15,13.44
2019-02-19,13.44
2019-02-20,13.44
2019-02-21,13.45
2019-02-22,13.46
2019-02-25,13.51
2019-02-26,13.47
2019-02-27,13.39
2019-02-28,13.37
2019-03-01,13.44
2019-03-04,13.47
2019-03-05,13.48
2019-03-06,13.49
2019-03-07,13.43
2019-03-08,13.38
2019-03-11,13.4
2019-03-12,13.46
2019-03-13,13.46
2019-03-14,13.43
2019-03-15,13.47
2019-03-19,13.55
2019-03-20,13.56
2019-03-21,13.61
2019-03-22,13.57
2019-03-25,13.42
2019-03-26,13.47
2019-03-27,13.49
2019-03-28,13.5
2019-03-29,13.57
2019-04-01,13.64
2019-04-02,13.66
2019-04-03,13.71
2019-04-04,13.73
2019-04-05,13.78
2019-04-08,13.82
2019-04-09,13.8
2019-04-10,13.79
2019-04-11,13.8
2019-04-12,13.82
2019-04-15,13.85
2019-04-16,13.88
2019-04-17,13.91
2019-04-18,13.91
2019-04-23,13.94
2019-04-24,13.99
2019-04-25,13.97
2019-04-26,13.96
2019-04-29,13.98
2019-04-30,13.98
2019-05-02,13.91
2019-05-03,13.91
2019-05-07,13.81
2019-05-08,13.76
2019-05-10,13.73
2019-05-13,13.64
2019-05-14,13.61
2019-05-15,13.68
2019-05-16,13.78
2019-05-17,13.81
2019-05-20,13.75
2019-05-21,13.77
2019-05-22,13.8
2019-05-23,13.75
2019-05-24,13.73
2019-05-28,13.77
2019-05-29,13.72
2019-05-31,13.66
2019-06-04,13.68
2019-06-05,13.75
2019-06-06,13.75
2019-06-07,13.77
2019-06-11,13.92
2019-06-12,13.93
2019-06-13,13.94
2019-06-14,13.94
2019-06-17,13.94
2019-06-18,13.99
2019-06-19,14.04
2019-06-20,14.1
2019-06-21,14.1
2019-06-24,14.08
2019-06-25,14.06
2019-06-26,14.04
2019-06-27,14.07
2019-06-28,14.12
2019-07-01,14.21
2019-07-02,14.27
2019-07-03,14.34
2019-07-05,14.36
2019-07-08,14.31
2019-07-09,14.27
2019-07-10,14.27
2019-07-11,14.27
2019-07-12,14.28
2019-07-15,14.29
2019-07-16,14.34
2019-07-17,14.36
2019-07-18,14.28
2019-07-19,14.28
2019-07-22,14.3
2019-07-23,14.35
2019-07-24,14.38
2019-07-25,14.38
2019-07-26,14.4
2019-07-29,14.47
2019-07-30,14.52
2019-07-31,14.45
2019-08-01,14.45
2019-08-02,14.32
2019-08-06,14.07
2019-08-07,14.1
2019-08-08,14.14
2019-08-09,14.2
2019-08-12,14.16
2019-08-13,14.12
2019-08-14,14.1
2019-08-16,14.01
2019-08-19,14.1
2019-08-20,14.15
2019-08-21,14.16
2019-08-22,14.14
2019-08-23,14.09
2019-08-27,14.01
2019-08-28,14.01
2019-08-29,14.07
2019-08-30,14.13
2019-09-03,14.18
2019-09-04,14.18
2019-09-05,14.23
2019-09-06,14.25
2019-09-09,14.27
2019-09-10,14.22
2019-09-11,14.26
2019-09-12,14.32
2019-09-13,14.32
