name,category,isin,reason
A.I. MACHINES GLOBAL MANAGED RISK FUND 2A2 ACC USD,GLOBAL,,Yahoo+FT均无结果
ABERDEEN STD - NORTH AMERICAN SMALLER COMPANIES FUND I ACC USD USD,AMERICAN,,Yahoo+FT均无结果
ALLIANCE BERNSTEIN AMERICAN INCOME PORTFOLIO INC USD,AMERICAN,,Yahoo+FT均无结果
ALLIANCEBERNSTEIN AMERICAN INCOME USD,AMERICAN,,Yahoo+FT均无结果
AMUNDI BD GLOBAL AGG AUC 3D USD,GLOBAL,,Yahoo+FT均无结果
ARBROOK G10 AMERICAN EQUITIES A1 USD ACC USD,AMERICAN,,Yahoo+FT均无结果
ARTISAN PTNRS GBL GLOBAL OPPORTUNITIES I USD,GLOBAL,,Yahoo+FT均无结果
BANK OF AMERICA 5.015% 2022-22.07.33 USD,AMERICAN,,Yahoo+FT均无结果
BARCLAYS MULTI-MGR GLOBALACCESS EMG MKT EQTY M USD,GLOBAL,,Yahoo+FT均无结果
BARING GLOBAL EMG MKTS A USD ACC NAV USD,GLOBAL,,Yahoo+FT均无结果
BARING INTL (IRE) GLOBAL EMG MARK USD,GLOBAL,,Yahoo+FT均无结果
BBVA 11.00% P.A. GLOBAL RECOVERY SAFE HAVEN MEMORY AUTOCALL USD,GLOBAL,,Yahoo+FT均无结果
BBVA BOLT GLOBAL RECOVERY NOTE USD,GLOBAL,,Yahoo+FT均无结果
BBVA BOLT MARKETS 7.00% P.A. GLOBAL RECOVERY INCOME MEMORY AUTOCALL USD,GLOBAL,,Yahoo+FT均无结果
BBVA IDAD GLOBAL BANKS DEFENSIVE AUTOCALL JULY 2022 USD,GLOBAL,,Yahoo+FT均无结果
BBVA IDAD GLOBAL MARKETS CLASSIC AUTOCALL JULY 2021 USD USD,GLOBAL,,Yahoo+FT均无结果
BBVA KYTE GLOBAL MARKETS QTLY PHOENIX AC WITH MEM USD USD,GLOBAL,,Yahoo+FT均无结果
BK OF AMERICA CORP COM USD0.01 USD,AMERICAN,,Yahoo+FT均无结果
BLACKROCK (LUX) SA BGF GLOBAL INFL L A2 USD,GLOBAL,LU0425308086,有ISIN无Yahoo数据
BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPP A2 USD USD,GLOBAL,LU0278466700,有ISIN无Yahoo数据
BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPPS D5 USD,GLOBAL,,Yahoo+FT均无结果
BLACKROCK (LUX) SA GLOBAL GOVERNMENT BD A2 USD USD,GLOBAL,,Yahoo+FT均无结果
BLACKROCK (LUX) SA GLOBAL JAPAN FLXB EQUITY HGD A2 USD,GLOBAL,,Yahoo+FT均无结果
BLACKROCK (LUX) SA GLOBAL SUSTAINABLE ENERGY A2 USD ACC USD,GLOBAL,LU0124384867,有ISIN无Yahoo数据
BLACKROCK GLOBAL (BGF) ESG MULTI ASSET D2 HGD ACC USD,GLOBAL,,Yahoo+FT均无结果
BROWN ADVISORY FDS GLOBAL LEADERS B USD USD,GLOBAL,,Yahoo+FT均无结果
BROWN ADVISORY FDS GLOBAL LEADERS C USD USD,GLOBAL,,Yahoo+FT均无结果
CAM GLOBAL GREATS FUND CLASS R ACC USD,GLOBAL,,Yahoo+FT均无结果
CAM GLOBAL GROWTH FUND CLASS R ACC USD,GLOBAL,,Yahoo+FT均无结果
CAM GLOBAL HIGH EQUITY FUND CLASS R ACC USD,GLOBAL,,Yahoo+FT均无结果
CANACCORD GEN INV SELECT GLOBAL DIVERSITY R USD ACC USD,GLOBAL,,Yahoo+FT均无结果
CANACCORD GENUITY CGWM SELECT GLOBAL OPP ACC USD USD,GLOBAL,,Yahoo+FT均无结果
CAPITAL CITIGROUP GLOBAL MARKETS FUNDING MEMORY COUPON USD,GLOBAL,,Yahoo+FT均无结果
CAPITAL INTERNATIONAL - CAPITAL GROUP NEW WORLD FUND Z USD,INTERNATIONAL,,Yahoo+FT均无结果
CAPITAL INTL MGMNT INV CO OF AMERICA LUX Z USD,AMERICAN,,Yahoo+FT均无结果
CAUSEWAY BBVA GLOBAL QUAD INCOME USD,GLOBAL,,Yahoo+FT均无结果
CAUSEWAY BBVA GLOBAL QUAD PHOENIX NOTE 2 USD,GLOBAL,,Yahoo+FT均无结果
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 3 USD,GLOBAL,,Yahoo+FT均无结果
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 4 USD,GLOBAL,,Yahoo+FT均无结果
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 7 USD,GLOBAL,,Yahoo+FT均无结果
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 8 USD,GLOBAL,,Yahoo+FT均无结果
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 9 USD,GLOBAL,,Yahoo+FT均无结果
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE USD,GLOBAL,,Yahoo+FT均无结果
CAUSEWAY MORGAN STANLEY GLOBAL MARKETS INCOME NOTE USD,GLOBAL,,Yahoo+FT均无结果
CAUSEWAY NATIXIS GLOBAL MARKETS INCOME AUTOCALL NOTE USD,GLOBAL,,Yahoo+FT均无结果
CELERITY GLOBAL BALANCED FUND IC A ACC USD,GLOBAL,,Yahoo+FT均无结果
COMMERZBANK GLOBAL INDEX INCOME BUILDER 70-70 NOV 18 USD,GLOBAL,,Yahoo+FT均无结果
CT MGMT AMERICAN 3U USD ACC USD,AMERICAN,,Yahoo+FT均无结果
CTF GLOBAL EQUITY AUTOCALL 14 USD USD,GLOBAL,,Yahoo+FT均无结果
CTMGMT LUX AMERICAN AU USD ACC USD,AMERICAN,,Yahoo+FT均无结果
DELL INTERNATIONAL LLC USD,INTERNATIONAL,,Yahoo+FT均无结果
EVOLUTION SHS UNSPONSORED AMERICAN DEPOSITARY RECEIPT REPR 1 SH USD,AMERICAN,,Yahoo+FT均无结果
FF GLOBAL DIVIDEND PLUS FUND A ACC USD,GLOBAL,LU2242646235,有ISIN无Yahoo数据
FIDELITY INTERNATIONAL BD A ACC \$ USD,INTERNATIONAL,,Yahoo+FT均无结果
FIL INV MGMT LUX GLOBAL TECHNOLOGY Y USD ACC USD,GLOBAL,,Yahoo+FT均无结果
FINCREST GLOBAL EQUITY FUND CLASS A USD,GLOBAL,,Yahoo+FT均无结果
FRANKLIN TEMP GLOBAL HI YLD MDIS \$ USD,GLOBAL,,Yahoo+FT均无结果
FRANKLIN TEMP GLOBAL INC A ACC USD USD,GLOBAL,,Yahoo+FT均无结果
FRANKLIN TEMPL GLOBAL FOCUS FD A DIS USD,GLOBAL,,Yahoo+FT均无结果
FRANKLIN TEMPLETON FRANKLIN MUT GLOBAL DVRY A CAP USD,GLOBAL,,Yahoo+FT均无结果
FRANKLIN TEMPLETON GLOBAL FOCUS A ACC USD,GLOBAL,,Yahoo+FT均无结果
FRANKLIN TEMPLETON GLOBAL TOTAL RETURN A MDIS USD USD,GLOBAL,,Yahoo+FT均无结果
FRANKLIN TEMPLETON GLOBAL TOTAL RETURN FUN A ACC USD USD,GLOBAL,,Yahoo+FT均无结果
FRANKLIN TEMPLETON LATIN AMERICA A ACC USD,AMERICAN,,Yahoo+FT均无结果
FTGF GBL BRANDYWNE GLOBAL FIXED INCOME A USD ACC USD,GLOBAL,,Yahoo+FT均无结果
FTGF GBL W/A GLOBAL HIGH YIELD A USD ACC USD,GLOBAL,,Yahoo+FT均无结果
GLOBAL X FDS GBL X FTSE ARGENT USD USD,GLOBAL,,Yahoo+FT均无结果
GLOBAL X FDS GBL X ROBOTICS & ARTIFICIAL USD,GLOBAL,,Yahoo+FT均无结果
GUINNESS GAM GLOBAL EQUITY INCOME INC D USD,GLOBAL,,Yahoo+FT均无结果
HEPTAGON FUND KOPERNIK GLOBAL All-CAP EQUITY FUND ACC A USD,GLOBAL,,Yahoo+FT均无结果
HEPTAGON FUND WCM GLOBAL EQTY A ACC USD,GLOBAL,,Yahoo+FT均无结果
HSBC HLDGS 6.8 % NOTES 2022-01.06.38 GLOBAL USD,GLOBAL,,Yahoo+FT均无结果
HSBC INV FD LUX SA GLOBAL EMG MKTS EQUITY A USD,GLOBAL,,Yahoo+FT均无结果
IDAD NATIX GLOBAL MARKETS DEFENSIVE AUTOCALL USD,GLOBAL,,Yahoo+FT均无结果
IDAD NATIXIS GLOBAL INDICES AC JULY 2026 USD,GLOBAL,,Yahoo+FT均无结果
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AC APRIL 2026 USD,GLOBAL,,Yahoo+FT均无结果
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AC DEC 2025 USD,GLOBAL,,Yahoo+FT均无结果
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AUTOCALL JANUARY 2026 USD USD,GLOBAL,,Yahoo+FT均无结果
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AUTOCALL MARCH 2026 USD,GLOBAL,,Yahoo+FT均无结果
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AUTOCALL USD,GLOBAL,,Yahoo+FT均无结果
IDAD NATIXIS GLOBAL MARKETS MEMORY INCOME AUTOCALL OCTOBER 2025 USD,GLOBAL,,Yahoo+FT均无结果
IIF GLOBAL EQUITY B ACC USD,GLOBAL,,Yahoo+FT均无结果
IIF GLOBAL EQUITY FUND CLASS A USD USD,GLOBAL,,Yahoo+FT均无结果
INVESCO MANAGEMENT GLOBAL EQUITY INCOME A USD ACC NAV USD,GLOBAL,,Yahoo+FT均无结果
INVESCO MANAGEMENT GLOBAL SMALL CAP EQUITY A USD,GLOBAL,,Yahoo+FT均无结果
INVESCO SUSTAINABLE GLOBAL INCOME C HEDGED ACC USD,GLOBAL,,Yahoo+FT均无结果
ISHARES II PLC GLOBAL SUSTAINABI UCITS USD,GLOBAL,,Yahoo+FT均无结果
iShares Macquarie Global Infra USD,GLOBAL,,Yahoo+FT均无结果
iShares S&P Global Water USD,GLOBAL,,Yahoo+FT均无结果
ISHARES VI PLC GLOBAL AAA-AA GOV BND UCITS USD,GLOBAL,,Yahoo+FT均无结果
