name,category,isin,reason
JPM IF GLOBAL DIVIDEND C ACC USD,GLOBAL,,Yahoo+FT均无结果
JPMF A JPMF AMERICA EQUITY A USD USD,AMERICAN,,Yahoo+FT均无结果
JPMF AM GLOBAL EQUITY A DIST USD USD,GLOBAL,,Yahoo+FT均无结果
JPMORGAN IF ASSET MGM GLOBAL BAL HGD A ACC USD USD,GLOBAL,,Yahoo+FT均无结果
JPMORGAN IF ASSET MGM GLOBAL INCOME HEDGED A USD ACC NAV USD USD,GLOBAL,,Yahoo+FT均无结果
JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS A HGD USD,GLOBAL,,Yahoo+FT均无结果
JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS C USD ACC USD,GLOBAL,,Yahoo+FT均无结果
JPMORGAN IF GLOBAL INCOME C DIS HDG USD,GLOBAL,,Yahoo+FT均无结果
JSS EMERGINGSAR GLOBAL A DIST USD,GLOBAL,,Yahoo+FT均无结果
JUPITER GLOBAL FUND EUROPEAN GTH L ACC USD USD,GLOBAL,,Yahoo+FT均无结果
JUPITER GLOBAL INDIA SEL L USD USD,GLOBAL,,Yahoo+FT均无结果
KYTE BBVA 6Y GLOBAL MARKETS QTLY PHOENIX AC WITH MEM USD USD,GLOBAL,,Yahoo+FT均无结果
KYTE BBVA 6Y GLOBAL MARKETS QUARTERLY PHOENIX AC USD USD,GLOBAL,,Yahoo+FT均无结果
LEVERAGE VANILLA GLOBAL BALANCED INVESTMENT ETP USD,GLOBAL,,Yahoo+FT均无结果
M&G INVESTMENT MAN GLOBAL THEMES A USD ACC USD,GLOBAL,,Yahoo+FT均无结果
M&G SECURITIES GLOBAL DIVIDEND A ACC USD,GLOBAL,,Yahoo+FT均无结果
MARIANA BBVA GLOBAL MARKETS MEMORY INCOME GENERATOR 8560 USD,GLOBAL,,Yahoo+FT均无结果
MARIANA GLOBAL GROWTH KICK OUT NOTE V2 USD,GLOBAL,,Yahoo+FT均无结果
MARIANA GLOBAL MARKETS AUTOCALL NOTE USD,GLOBAL,,Yahoo+FT均无结果
MARIANA INVESTEC GLOBAL INDEX INCOME BUILDER 65 USD,GLOBAL,,Yahoo+FT均无结果
MARKET SEC BBVA 6Y 6% GLOBAL MARKETS QUARTERLY PHOENIX AUTO USD USD,GLOBAL,,Yahoo+FT均无结果
MARKET SEC BBVA 6Y GLOBAL MARKETS QUARTERLY PHOENIX USD,GLOBAL,,Yahoo+FT均无结果
MARKET SEC BNP GLOBAL MARKETS AC USD USD,GLOBAL,,Yahoo+FT均无结果
MOMENTUM GF HARMONY GLOBAL EQUITY FUND A ACC USD,GLOBAL,,Yahoo+FT均无结果
MONTLAKE ORIEL LATITUDE GLOBAL FUNDS I USD ACC USD,GLOBAL,,Yahoo+FT均无结果
MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL EQUITY FUND A USD ACCUMULATION USD,INTERNATIONAL,,Yahoo+FT均无结果
MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL GROWTH FUND A USD ACCUMULATION USD,INTERNATIONAL,,Yahoo+FT均无结果
NATIXIS IDAD GLOBAL MARKETS DEFENSIVE AUTOCALL FEBRUARY 2026 USD,GLOBAL,,Yahoo+FT均无结果
NATIXIS INTL (LUX) HARRIS ASSOCS GLOBAL EQUITY I ACC USD,GLOBAL,,Yahoo+FT均无结果
NEUBERGER BERMN II GLOBAL SNR FTG RTE INC I US USD,GLOBAL,,Yahoo+FT均无结果
NEXT GEN INVT STRA MORNINGSTAR GLOBAL ADVENTUROUS A USD ACC USD,GLOBAL,,Yahoo+FT均无结果
NEXT GEN INVT STRA MORNINGSTAR GLOBAL BALANCED A USD ACC USD,GLOBAL,,Yahoo+FT均无结果
NEXT GEN INVT STRA MORNINGSTAR GLOBAL CAUTIOUS A USD ACC USD,GLOBAL,,Yahoo+FT均无结果
NG MORNINGSTAR GLOBAL DEFENSIV A USD ACC USD,GLOBAL,,Yahoo+FT均无结果
NG MORNINGSTAR GLOBAL GROWTH A USD ACC USD,GLOBAL,,Yahoo+FT均无结果
NINETY ONE FD MGRS GLOBAL GOLD A USD ACC USD,GLOBAL,,Yahoo+FT均无结果
NINETY ONE PIF GLOBAL MACRO ALLOCATION FUND A ACC USD,GLOBAL,,Yahoo+FT均无结果
PICTET FUNDS GLOBAL MEGATREND SEL I USD ACC USD,GLOBAL,,Yahoo+FT均无结果
PICTET FUNDS GLOBAL MEGATREND SELECTION P ACC USD USD,GLOBAL,,Yahoo+FT均无结果
PIMCO GLOBAL ADVIS LOW DURATION REAL RTN INSTL USD,GLOBAL,,Yahoo+FT均无结果
PIMCOG GLOBAL ADVIS INCOME PU INC USD,GLOBAL,,Yahoo+FT均无结果
PROSPER FDS SICAV GLOBAL MACRO I USD,GLOBAL,,Yahoo+FT均无结果
ROCQ CAPITAL BBVA 6Y GLOBAL MARKET IDX USD USD,GLOBAL,,Yahoo+FT均无结果
RUSSELL OLD MUTUAL VALUE GLOBAL EQUITY E ACC USD,GLOBAL,,Yahoo+FT均无结果
RUSSELL OPENWORLD GLOBAL HIGH DIVIDEND EQUITY I USD,GLOBAL,,Yahoo+FT均无结果
SANDS CAPITAL FUND GLOBAL GROWTH A USD ACC USD,GLOBAL,,Yahoo+FT均无结果
SCHRODER INV MGMT GLOBAL CLIMATE CHANGE EQUITY A ACC USD USD,GLOBAL,,Yahoo+FT均无结果
SCHRODER INV MGMT GLOBAL HIGH YLD A USD ACC NAV USD,GLOBAL,,Yahoo+FT均无结果
SCHRODER INV MGMT ISF GLOBAL REC C USD ACC USD,GLOBAL,,Yahoo+FT均无结果
SCHRODER INV MGMT QEP GLOBAL ACTIVE VAL A ACC USD USD,GLOBAL,,Yahoo+FT均无结果
SCHRODER INV MGMT QEP GLOBAL CORE C ACC USD,GLOBAL,,Yahoo+FT均无结果
THREADNEEDLE LATIN AMERICAN NAV ACC USD,AMERICAN,,Yahoo+FT均无结果
TITAN INTERNATIONAL SATELLITE EQUITY USD ACC USD,INTERNATIONAL,,Yahoo+FT均无结果
UBS GLOBAL MARKETS QUARTERLY PHOENIX AUTOCALL WITH MEM USD USD,GLOBAL,,Yahoo+FT均无结果
UNILEVER SHS SPONSORED AMERICAN DEPOSITARY SHARES REPR 1 SH USD,AMERICAN,,Yahoo+FT均无结果
VANGUARD WHITEHALL INTERNATIONAL HIGH DIV YIEL USD,INTERNATIONAL,,Yahoo+FT均无结果
VONTOBEL MGMT SA MIV GLOBAL MEDTECH P3 USD R USD,GLOBAL,,Yahoo+FT均无结果
VULCAN GLOBAL VALU VALUE EQUITY USD II INC NAV USD,GLOBAL,,Yahoo+FT均无结果
WISDOMTREE ISSUER GLOBAL DEV QUALITY DIV UCIT USD,GLOBAL,,Yahoo+FT均无结果
