name,category,kind,cand_isin,cand_ft_name,reason
ABERDEEN STD - NORTH AMERICAN SMALLER COMPANIES FUND I ACC USD USD,AMERICAN,基金,,,Yahoo+FT均无结果
ALLIANCE BERNSTEIN AMERICAN INCOME PORTFOLIO INC USD,AMERICAN,基金,,,Yahoo+FT均无结果
ALLIANCEBERNSTEIN AMERICAN INCOME USD,AMERICAN,基金,,,Yahoo+FT均无结果
AMUNDI BD GLOBAL AGG AUC 3D USD,GLOBAL,基金,,,Yahoo+FT均无结果
ARBROOK G10 AMERICAN EQUITIES A1 USD ACC USD,AMERICAN,基金,,,Yahoo+FT均无结果
ARTISAN PTNRS GBL GLOBAL OPPORTUNITIES I USD,GLOBAL,基金,,,Yahoo+FT均无结果
BBVA 11.00% P.A. GLOBAL RECOVERY SAFE HAVEN MEMORY AUTOCALL USD,GLOBAL,债券/票据,,,Yahoo+FT均无结果
BBVA BOLT GLOBAL RECOVERY NOTE USD,GLOBAL,结构性,,,Yahoo+FT均无结果
BBVA BOLT MARKETS 7.00% P.A. GLOBAL RECOVERY INCOME MEMORY AUTOCALL USD,GLOBAL,债券/票据,,,Yahoo+FT均无结果
BBVA IDAD GLOBAL BANKS DEFENSIVE AUTOCALL JULY 2022 USD,GLOBAL,结构性,,,Yahoo+FT均无结果
BBVA IDAD GLOBAL MARKETS CLASSIC AUTOCALL JULY 2021 USD USD,GLOBAL,结构性,,,Yahoo+FT均无结果
BBVA KYTE GLOBAL MARKETS QTLY PHOENIX AC WITH MEM USD USD,GLOBAL,结构性,,,Yahoo+FT均无结果
BK OF AMERICA CORP COM USD0.01 USD,AMERICAN,股票/ADR,,,Yahoo+FT均无结果
BLACKROCK (LUX) SA BGF GLOBAL INFL L A2 USD,GLOBAL,基金,LU0425308243:USD,BlackRock Global Funds - Global Inflation Linked Bond Fund A3 USD,有ISIN无Yahoo数据
BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPP A2 USD USD,GLOBAL,基金,LU0278466700:USD,BlackRock Global Funds - Fixed Income Global Opportunities Fund A2,有ISIN无Yahoo数据
BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPPS D5 USD,GLOBAL,基金,,,Yahoo+FT均无结果
CAPITAL CITIGROUP GLOBAL MARKETS FUNDING MEMORY COUPON USD,GLOBAL,基金,,,Yahoo+FT均无结果
CAUSEWAY BBVA GLOBAL QUAD INCOME USD,GLOBAL,基金,,,Yahoo+FT均无结果
CAUSEWAY BBVA GLOBAL QUAD PHOENIX NOTE 2 USD,GLOBAL,结构性,,,Yahoo+FT均无结果
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 3 USD,GLOBAL,基金,,,Yahoo+FT均无结果
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 4 USD,GLOBAL,基金,,,Yahoo+FT均无结果
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 7 USD,GLOBAL,基金,,,Yahoo+FT均无结果
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 8 USD,GLOBAL,基金,,,Yahoo+FT均无结果
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 9 USD,GLOBAL,基金,,,Yahoo+FT均无结果
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE USD,GLOBAL,基金,,,Yahoo+FT均无结果
CAUSEWAY MORGAN STANLEY GLOBAL MARKETS INCOME NOTE USD,GLOBAL,基金,,,Yahoo+FT均无结果
CAUSEWAY NATIXIS GLOBAL MARKETS INCOME AUTOCALL NOTE USD,GLOBAL,结构性,,,Yahoo+FT均无结果
CELERITY GLOBAL BALANCED FUND IC A ACC USD,GLOBAL,基金,,,Yahoo+FT均无结果
COMMERZBANK GLOBAL INDEX INCOME BUILDER 70-70 NOV 18 USD,GLOBAL,基金,,,Yahoo+FT均无结果
CT MGMT AMERICAN 3U USD ACC USD,AMERICAN,基金,,,Yahoo+FT均无结果
CTF GLOBAL EQUITY AUTOCALL 14 USD USD,GLOBAL,结构性,,,Yahoo+FT均无结果
CTMGMT LUX AMERICAN AU USD ACC USD,AMERICAN,基金,,,Yahoo+FT均无结果
DELL INTERNATIONAL LLC USD,INTERNATIONAL,基金,,,Yahoo+FT均无结果
EVOLUTION SHS UNSPONSORED AMERICAN DEPOSITARY RECEIPT REPR 1 SH USD,AMERICAN,股票/ADR,,,Yahoo+FT均无结果
FINCREST GLOBAL EQUITY FUND CLASS A USD,GLOBAL,基金,,,Yahoo+FT均无结果
FRANKLIN TEMP GLOBAL HI YLD MDIS \$ USD,GLOBAL,基金,,,Yahoo+FT均无结果
FRANKLIN TEMP GLOBAL INC A ACC USD USD,GLOBAL,基金,,,Yahoo+FT均无结果
FRANKLIN TEMPL GLOBAL FOCUS FD A DIS USD,GLOBAL,基金,,,Yahoo+FT均无结果
FRANKLIN TEMPLETON FRANKLIN MUT GLOBAL DVRY A CAP USD,GLOBAL,基金,,,Yahoo+FT均无结果
FRANKLIN TEMPLETON GLOBAL FOCUS A ACC USD,GLOBAL,基金,,,Yahoo+FT均无结果
FRANKLIN TEMPLETON GLOBAL TOTAL RETURN A MDIS USD USD,GLOBAL,基金,,,Yahoo+FT均无结果
FRANKLIN TEMPLETON GLOBAL TOTAL RETURN FUN A ACC USD USD,GLOBAL,基金,,,Yahoo+FT均无结果
FRANKLIN TEMPLETON LATIN AMERICA A ACC USD,AMERICAN,基金,,,Yahoo+FT均无结果
FTGF GBL BRANDYWNE GLOBAL FIXED INCOME A USD ACC USD,GLOBAL,基金,,,Yahoo+FT均无结果
FTGF GBL W/A GLOBAL HIGH YIELD A USD ACC USD,GLOBAL,基金,,,Yahoo+FT均无结果
GLOBAL X FDS GBL X FTSE ARGENT USD USD,GLOBAL,基金,,,Yahoo+FT均无结果
GLOBAL X FDS GBL X ROBOTICS & ARTIFICIAL USD,GLOBAL,基金,,,Yahoo+FT均无结果
GUINNESS GAM GLOBAL EQUITY INCOME INC D USD,GLOBAL,基金,,,Yahoo+FT均无结果
HSBC HLDGS 6.8 % NOTES 2022-01.06.38 GLOBAL USD,GLOBAL,债券/票据,,,Yahoo+FT均无结果
IDAD NATIX GLOBAL MARKETS DEFENSIVE AUTOCALL USD,GLOBAL,结构性,,,Yahoo+FT均无结果
IDAD NATIXIS GLOBAL INDICES AC JULY 2026 USD,GLOBAL,基金,,,Yahoo+FT均无结果
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AC APRIL 2026 USD,GLOBAL,基金,,,Yahoo+FT均无结果
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AC DEC 2025 USD,GLOBAL,基金,,,Yahoo+FT均无结果
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AUTOCALL JANUARY 2026 USD USD,GLOBAL,结构性,,,Yahoo+FT均无结果
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AUTOCALL MARCH 2026 USD,GLOBAL,结构性,,,Yahoo+FT均无结果
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AUTOCALL USD,GLOBAL,结构性,,,Yahoo+FT均无结果
IDAD NATIXIS GLOBAL MARKETS MEMORY INCOME AUTOCALL OCTOBER 2025 USD,GLOBAL,结构性,,,Yahoo+FT均无结果
INVESCO MANAGEMENT GLOBAL EQUITY INCOME A USD ACC NAV USD,GLOBAL,基金,,,Yahoo+FT均无结果
INVESCO MANAGEMENT GLOBAL SMALL CAP EQUITY A USD,GLOBAL,基金,,,Yahoo+FT均无结果
iShares Macquarie Global Infra USD,GLOBAL,基金,,,Yahoo+FT均无结果
JPM IF GLOBAL DIVIDEND C ACC USD,GLOBAL,基金,,,Yahoo+FT均无结果
JPMF A JPMF AMERICA EQUITY A USD USD,AMERICAN,基金,,,Yahoo+FT均无结果
JPMF AM GLOBAL EQUITY A DIST USD USD,GLOBAL,基金,,,Yahoo+FT均无结果
JPMORGAN IF ASSET MGM GLOBAL BAL HGD A ACC USD USD,GLOBAL,基金,,,Yahoo+FT均无结果
JPMORGAN IF ASSET MGM GLOBAL INCOME HEDGED A USD ACC NAV USD USD,GLOBAL,基金,,,Yahoo+FT均无结果
JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS A HGD USD,GLOBAL,基金,,,Yahoo+FT均无结果
JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS C USD ACC USD,GLOBAL,基金,,,Yahoo+FT均无结果
JPMORGAN IF GLOBAL INCOME C DIS HDG USD,GLOBAL,基金,,,Yahoo+FT均无结果
JSS EMERGINGSAR GLOBAL A DIST USD,GLOBAL,基金,,,Yahoo+FT均无结果
KYTE BBVA 6Y GLOBAL MARKETS QTLY PHOENIX AC WITH MEM USD USD,GLOBAL,结构性,,,Yahoo+FT均无结果
KYTE BBVA 6Y GLOBAL MARKETS QUARTERLY PHOENIX AC USD USD,GLOBAL,结构性,,,Yahoo+FT均无结果
LEVERAGE VANILLA GLOBAL BALANCED INVESTMENT ETP USD,GLOBAL,基金,,,Yahoo+FT均无结果
MARIANA BBVA GLOBAL MARKETS MEMORY INCOME GENERATOR 8560 USD,GLOBAL,基金,,,Yahoo+FT均无结果
MARIANA GLOBAL GROWTH KICK OUT NOTE V2 USD,GLOBAL,基金,,,Yahoo+FT均无结果
MARIANA GLOBAL MARKETS AUTOCALL NOTE USD,GLOBAL,结构性,,,Yahoo+FT均无结果
MARIANA INVESTEC GLOBAL INDEX INCOME BUILDER 65 USD,GLOBAL,基金,,,Yahoo+FT均无结果
MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL EQUITY FUND A USD ACCUMULATION USD,INTERNATIONAL,基金,,,Yahoo+FT均无结果
MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL GROWTH FUND A USD ACCUMULATION USD,INTERNATIONAL,基金,,,Yahoo+FT均无结果
NATIXIS IDAD GLOBAL MARKETS DEFENSIVE AUTOCALL FEBRUARY 2026 USD,GLOBAL,结构性,,,Yahoo+FT均无结果
NATIXIS INTL (LUX) HARRIS ASSOCS GLOBAL EQUITY I ACC USD,GLOBAL,基金,,,Yahoo+FT均无结果
NEUBERGER BERMN II GLOBAL SNR FTG RTE INC I US USD,GLOBAL,基金,,,Yahoo+FT均无结果
NG MORNINGSTAR GLOBAL DEFENSIV A USD ACC USD,GLOBAL,基金,,,Yahoo+FT均无结果
NG MORNINGSTAR GLOBAL GROWTH A USD ACC USD,GLOBAL,基金,,,Yahoo+FT均无结果
PICTET FUNDS GLOBAL MEGATREND SEL I USD ACC USD,GLOBAL,基金,,,Yahoo+FT均无结果
PICTET FUNDS GLOBAL MEGATREND SELECTION P ACC USD USD,GLOBAL,基金,,,Yahoo+FT均无结果
PIMCOG GLOBAL ADVIS INCOME PU INC USD,GLOBAL,基金,,,Yahoo+FT均无结果
PROSPER FDS SICAV GLOBAL MACRO I USD,GLOBAL,基金,,,Yahoo+FT均无结果
ROCQ CAPITAL BBVA 6Y GLOBAL MARKET IDX USD USD,GLOBAL,结构性,,,Yahoo+FT均无结果
RUSSELL OLD MUTUAL VALUE GLOBAL EQUITY E ACC USD,GLOBAL,基金,,,Yahoo+FT均无结果
RUSSELL OPENWORLD GLOBAL HIGH DIVIDEND EQUITY I USD,GLOBAL,基金,,,Yahoo+FT均无结果
SCHRODER INV MGMT QEP GLOBAL ACTIVE VAL A ACC USD USD,GLOBAL,基金,,,Yahoo+FT均无结果
THREADNEEDLE LATIN AMERICAN NAV ACC USD,AMERICAN,基金,,,Yahoo+FT均无结果
UNILEVER SHS SPONSORED AMERICAN DEPOSITARY SHARES REPR 1 SH USD,AMERICAN,股票/ADR,,,Yahoo+FT均无结果
VONTOBEL MGMT SA MIV GLOBAL MEDTECH P3 USD R USD,GLOBAL,基金,,,Yahoo+FT均无结果
VULCAN GLOBAL VALU VALUE EQUITY USD II INC NAV USD,GLOBAL,基金,,,Yahoo+FT均无结果
