sheet,seq,name,isin,ccy,norm,dup_count,dup_isins,dup_names
international,1、,AB INTERNATIONAL HEALTH CARE PORTFOLIO C ACC USD,LU0100122521,USD,AB INTERNATIONAL HEALTH CARE PORTFOLIO C ACC USD,1,LU0100122521,AB INTERNATIONAL HEALTH CARE PORTFOLIO C ACC USD
international,2、,AB INTERNATIONAL TECHNOLOGY PORTFOLIO I ACC USD,LU0037065595,USD,AB INTERNATIONAL TECHNOLOGY PORTFOLIO I ACC USD,1,LU0037065595,AB INTERNATIONAL TECHNOLOGY PORTFOLIO I ACC USD
international,3、,AB SICAV I INTERNATIONAL HEALTH CARE PORTFOLIO A USD USD,LU0058720904,USD,AB SICAV I INTERNATIONAL HEALTH CARE PORTFOLIO A USD USD,1,LU0058720904,AB SICAV I INTERNATIONAL HEALTH CARE PORTFOLIO A USD USD
international,4、,AB SICAV I INTERNATIONAL TECHNOLOGY PORTFOLIO A USD USD,LU0060230025,USD,AB SICAV I INTERNATIONAL TECHNOLOGY PORTFOLIO A USD USD,1,LU0060230025,AB SICAV I INTERNATIONAL TECHNOLOGY PORTFOLIO A USD USD
international,5、,CAPITAL INTERNATIONAL - CAPITAL GROUP NEW WORLD FUND Z USD,LU1481181599,USD,CAPITAL INTERNATIONAL - CAPITAL GROUP NEW WORLD FUND Z USD,1,LU1481181599,CAPITAL INTERNATIONAL - CAPITAL GROUP NEW WORLD FUND Z USD
international,6、,DELL INTERNATIONAL LLC USD,US24703DBF78,USD,DELL INTERNATIONAL LLC USD,1,US24703DBF78,DELL INTERNATIONAL LLC USD
international,7、,FIDELITY FUNDS - INTERNATIONAL FUND A USD USD,LU0048584097,USD,FIDELITY FUNDS - INTERNATIONAL FUND A USD USD,1,LU0048584097,FIDELITY FUNDS - INTERNATIONAL FUND A USD USD
international,8、,FIDELITY INTERNATIONAL BD A ACC \$ USD,LU0261946288,USD,FIDELITY INTERNATIONAL BD A ACC \$ USD,1,LU0261946288,FIDELITY INTERNATIONAL BD A ACC \$ USD
international,9、,FIRST EAGLE AMUNDI INTERNATIONAL AU USD ACC USD,LU0068578508,USD,FIRST EAGLE AMUNDI INTERNATIONAL AU USD ACC USD,1,LU0068578508,FIRST EAGLE AMUNDI INTERNATIONAL AU USD ACC USD
international,10、,INTERNATIONAL SEAWAYS INC NPV USD,MHY410531021,USD,INTERNATIONAL SEAWAYS INC NPV USD,1,MHY410531021,INTERNATIONAL SEAWAYS INC NPV USD
international,11、,MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL EQUITY FUND A USD ACCUMULATION USD,IE000IU42BF0,USD,MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL EQUITY FUND A USD ACCUMULATION USD,1,IE000IU42BF0,MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL EQUITY FUND A USD ACCUMULATION USD
international,12、,MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL GROWTH FUND A USD ACCUMULATION USD,IE000W41MTZ0,USD,MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL GROWTH FUND A USD ACCUMULATION USD,1,IE000W41MTZ0,MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL GROWTH FUND A USD ACCUMULATION USD
international,13、,SCHRODER INTERNATIONAL SELECTION FUND EMERGING MARKETS DEBT TOTAL RETURN A ACC USD,LU0106253197,USD,SCHRODER INTERNATIONAL SELECTION FUND EMERGING MARKETS DEBT TOTAL RETURN A ACC USD,1,LU0106253197,SCHRODER INTERNATIONAL SELECTION FUND EMERGING MARKETS DEBT TOTAL RETURN A ACC USD
international,14、,SCHRODER INTERNATIONAL SELECTION FUND GLOBAL HIGH YIELD C INC USD,LU1586378470,USD,SCHRODER INTERNATIONAL SELECTION FUND GLOBAL HIGH YIELD C INC USD,2,LU1586378470|LU1586378470,SCHRODER INTERNATIONAL SELECTION FUND GLOBAL HIGH YIELD C INC USD|SCHRODER INTERNATIONAL SELECTION FUND GLOBAL HIGH YIELD C INC USD
international,15、,TITAN INTERNATIONAL SATELLITE EQUITY USD ACC USD,IE0001HL2054,USD,TITAN INTERNATIONAL SATELLITE EQUITY USD ACC USD,1,IE0001HL2054,TITAN INTERNATIONAL SATELLITE EQUITY USD ACC USD
international,16、,VANGUARD WHITEHALL INTERNATIONAL HIGH DIV YIEL USD,US9219467944,USD,VANGUARD WHITEHALL INTERNATIONAL HIGH DIV YIEL USD,1,US9219467944,VANGUARD WHITEHALL INTERNATIONAL HIGH DIV YIEL USD
America,1、,ABERDEEN STD - NORTH AMERICAN SMALLER COMPANIES FUND I ACC USD USD,LU0566484704,USD,ABERDEEN STD - NORTH AMERICAN SMALLER COMPANIES FUND I ACC USD USD,1,LU0566484704,ABERDEEN STD - NORTH AMERICAN SMALLER COMPANIES FUND I ACC USD USD
America,2、,ABRDN SICAV I - NORTH AMERICAN SMALLER COMPANIES A ACC USD USD,LU0566484027,USD,ABRDN SICAV I - NORTH AMERICAN SMALLER COMPANIES A ACC USD USD,1,LU0566484027,ABRDN SICAV I - NORTH AMERICAN SMALLER COMPANIES A ACC USD USD
America,3、,ALLIANCE BERNSTEIN AMERICAN INCOME PORTFOLIO INC USD,LU1008671684,USD,ALLIANCE BERNSTEIN AMERICAN INCOME PORTFOLIO INC USD,1,LU1008671684,ALLIANCE BERNSTEIN AMERICAN INCOME PORTFOLIO INC USD
America,4、,ALLIANCEBERNSTEIN AMERICAN INCOME USD,LU0157308031,USD,ALLIANCEBERNSTEIN AMERICAN INCOME USD,1,LU0157308031,ALLIANCEBERNSTEIN AMERICAN INCOME USD
America,5、,AMERICAN AIRLINES COM USD1 USD,US02376R1023,USD,AMERICAN AIRLINES COM USD1 USD,1,US02376R1023,AMERICAN AIRLINES COM USD1 USD
America,6、,AMERICAN BITCOIN CORP NPV USD,US02462A2033,USD,AMERICAN BITCOIN CORP NPV USD,1,US02462A2033,AMERICAN BITCOIN CORP NPV USD
America,7、,AMERICAS GOLD AND SILVER CORPORATION USD,CA03062D8035,USD,AMERICAS GOLD AND SILVER CORPORATION USD,1,CA03062D8035,AMERICAS GOLD AND SILVER CORPORATION USD
America,8、,ARBROOK G10 AMERICAN EQUITIES A1 USD ACC USD,IE00BZ60K206,USD,ARBROOK G10 AMERICAN EQUITIES A1 USD ACC USD,1,IE00BZ60K206,ARBROOK G10 AMERICAN EQUITIES A1 USD ACC USD
America,9、,BANK OF AMERICA 5.015% 2022-22.07.33 USD,US06051GKY43,USD,BANK OF AMERICA 5.015% 2022-22.07.33 USD,1,US06051GKY43,BANK OF AMERICA 5.015% 2022-22.07.33 USD
America,10、,BANK OF AMERICA NOTES 2023-15.09.29 USD,US06051GLS65,USD,BANK OF AMERICA NOTES 2023-15.09.29 USD,1,US06051GLS65,BANK OF AMERICA NOTES 2023-15.09.29 USD
America,11、,BARING LATIN AMERICA A USD DIS USD,IE0000828933,USD,BARING LATIN AMERICA A USD DIS USD,1,IE0000828933,BARING LATIN AMERICA A USD DIS USD
America,12、,BK OF AMERICA CORP COM USD0.01 USD,US0605051046,USD,BK OF AMERICA CORP COM USD0.01 USD,1,US0605051046,BK OF AMERICA CORP COM USD0.01 USD
America,13、,BLACKROCK (LUX) SA LATIN AMERICAN A2 USD USD,LU0072463663,USD,BLACKROCK (LUX) SA LATIN AMERICAN A2 USD USD,1,LU0072463663,BLACKROCK (LUX) SA LATIN AMERICAN A2 USD USD
America,14、,BNP PARIBAS SHS SPONSORED AMERICAN DEPOSITARY RECEIPT REPR 1/2 SH USD,US05565A2024,USD,BNP PARIBAS SHS SPONSORED AMERICAN DEPOSITARY RECEIPT REPR 1/2 SH USD,1,US05565A2024,BNP PARIBAS SHS SPONSORED AMERICAN DEPOSITARY RECEIPT REPR 1/2 SH USD
America,15、,CAPITAL INTL MGMNT INV CO OF AMERICA LUX Z USD,LU1378997875,USD,CAPITAL INTL MGMNT INV CO OF AMERICA LUX Z USD,1,LU1378997875,CAPITAL INTL MGMNT INV CO OF AMERICA LUX Z USD
America,16、,CT AMERICAN SELECT 1U USD ACC USD,LU1868841674,USD,CT AMERICAN SELECT 1U USD ACC USD,1,LU1868841674,CT AMERICAN SELECT 1U USD ACC USD
America,17、,CT AMERICAN SELECT AU USD ACC USD,LU0112528004,USD,CT AMERICAN SELECT AU USD ACC USD,1,LU0112528004,CT AMERICAN SELECT AU USD ACC USD
America,18、,CT MGMT AMERICAN 3U USD ACC USD,LU1868836914,USD,CT MGMT AMERICAN 3U USD ACC USD,1,LU1868836914,CT MGMT AMERICAN 3U USD ACC USD
America,19、,CTMGMT LUX AMERICAN AU USD ACC USD,LU0061475181,USD,CTMGMT LUX AMERICAN AU USD ACC USD,1,LU0061475181,CTMGMT LUX AMERICAN AU USD ACC USD
America,20、,EVOLUTION SHS UNSPONSORED AMERICAN DEPOSITARY RECEIPT REPR 1 SH USD,US30051E1047,USD,EVOLUTION SHS UNSPONSORED AMERICAN DEPOSITARY RECEIPT REPR 1 SH USD,1,US30051E1047,EVOLUTION SHS UNSPONSORED AMERICAN DEPOSITARY RECEIPT REPR 1 SH USD
America,21、,FIDELITY FDS AMERICA A ACC USD USD,LU0251131958,USD,FIDELITY FDS AMERICA A ACC USD USD,1,LU0251131958,FIDELITY FDS AMERICA A ACC USD USD
America,22、,FIDELITY FUNDS LATIN AMERICA A USD DIS NAV USD,LU0050427557,USD,FIDELITY FUNDS LATIN AMERICA A USD DIS NAV USD,1,LU0050427557,FIDELITY FUNDS LATIN AMERICA A USD DIS NAV USD
America,23、,FIDELITY FUNDS FID AMERICA A DIS USD USD,LU0048573561,USD,FIDELITY FUNDS FID AMERICA A DIS USD USD,1,LU0048573561,FIDELITY FUNDS FID AMERICA A DIS USD USD
America,24、,FRANKLIN TEMPLETON LATIN AMERICA A ACC USD,LU0128526570,USD,FRANKLIN TEMPLETON LATIN AMERICA A ACC USD,1,LU0128526570,FRANKLIN TEMPLETON LATIN AMERICA A ACC USD
America,25、,ISHARES MSCI EM LATIN AMERICA USD,IE00B27YCK28,USD,ISHARES MSCI EM LATIN AMERICA USD,1,IE00B27YCK28,ISHARES MSCI EM LATIN AMERICA USD
America,26、,JPMF A JPMF AMERICA EQUITY A USD USD,LU0053666078,USD,JPMF A JPMF AMERICA EQUITY A USD USD,1,LU0053666078,JPMF A JPMF AMERICA EQUITY A USD USD
America,27、,JPMORGAN AMERICA EQUITY A USD USD,LU0210528500,USD,JPMORGAN AMERICA EQUITY A USD USD,1,LU0210528500,JPMORGAN AMERICA EQUITY A USD USD
America,28、,JPMORGAN ASSET MGM AMERICA EQUITY C USD ACC USD,LU0129459060,USD,JPMORGAN ASSET MGM AMERICA EQUITY C USD ACC USD,1,LU0129459060,JPMORGAN ASSET MGM AMERICA EQUITY C USD ACC USD
America,29、,JPMORGAN ASSET MGM LATIN AMERICA EQTY A USD C USD,LU0210535034,USD,JPMORGAN ASSET MGM LATIN AMERICA EQTY A USD C USD,1,LU0210535034,JPMORGAN ASSET MGM LATIN AMERICA EQTY A USD C USD
America,30、,JPMORGAN ASSET MGM LATIN AMERICA EQUITY A DIS USD USD,LU0053687314,USD,JPMORGAN ASSET MGM LATIN AMERICA EQUITY A DIS USD USD,1,LU0053687314,JPMORGAN ASSET MGM LATIN AMERICA EQUITY A DIS USD USD
America,31、,JUPITER MERIAN NORTH AMERICAN EQUITY FUND I USD ACC USD,IE00B42HQF39,USD,JUPITER MERIAN NORTH AMERICAN EQUITY FUND I USD ACC USD,1,IE00B42HQF39,JUPITER MERIAN NORTH AMERICAN EQUITY FUND I USD ACC USD
America,32、,JUPITER MERIAN NORTH AMERICAN EQUITY FUND L USD ACC USD,IE0031385887,USD,JUPITER MERIAN NORTH AMERICAN EQUITY FUND L USD ACC USD,1,IE0031385887,JUPITER MERIAN NORTH AMERICAN EQUITY FUND L USD ACC USD
America,33、,LITHIUM AMERICAS CORP USD,CA53681J1030,USD,LITHIUM AMERICAS CORP USD,1,CA53681J1030,LITHIUM AMERICAS CORP USD
America,34、,PACIFIC NORTH AMERICAN OPPORTUNITIES R3 USD,IE000NXTFTQ8,USD,PACIFIC NORTH AMERICAN OPPORTUNITIES R3 USD,1,IE000NXTFTQ8,PACIFIC NORTH AMERICAN OPPORTUNITIES R3 USD
America,35、,POLAR CAPITAL FUNDS NORTH AMERICAN I INC USD,IE00B531PK96,USD,POLAR CAPITAL FUNDS NORTH AMERICAN I INC USD,1,IE00B531PK96,POLAR CAPITAL FUNDS NORTH AMERICAN I INC USD
America,36、,THREADNEEDLE LATIN AMERICAN NAV ACC USD,GB0002769866,USD,THREADNEEDLE LATIN AMERICAN NAV ACC USD,1,GB0002769866,THREADNEEDLE LATIN AMERICAN NAV ACC USD
America,37、,UNILEVER SHS SPONSORED AMERICAN DEPOSITARY SHARES REPR 1 SH USD,US9047678035,USD,UNILEVER SHS SPONSORED AMERICAN DEPOSITARY SHARES REPR 1 SH USD,1,US9047678035,UNILEVER SHS SPONSORED AMERICAN DEPOSITARY SHARES REPR 1 SH USD
America,38、,UNITED STATES OF AMERICA 0 % TREASURY BILLS 2026-21.07.26 USD,US912797UQ82,USD,UNITED STATES OF AMERICA 0 % TREASURY BILLS 2026-21.07.26 USD,1,US912797UQ82,UNITED STATES OF AMERICA 0 % TREASURY BILLS 2026-21.07.26 USD
America,39、,UNITED STATES OF AMERICA 0 % TREASURY BILLS 2026-23.06.26 USD,US912797UB14,USD,UNITED STATES OF AMERICA 0 % TREASURY BILLS 2026-23.06.26 USD,1,US912797UB14,UNITED STATES OF AMERICA 0 % TREASURY BILLS 2026-23.06.26 USD
America,40、,UNITED STATES OF AMERICA 0 % TREASURY BILLS 2026-23.07.26 USD,US912797TP29,USD,UNITED STATES OF AMERICA 0 % TREASURY BILLS 2026-23.07.26 USD,1,US912797TP29,UNITED STATES OF AMERICA 0 % TREASURY BILLS 2026-23.07.26 USD
America,41、,UNITED STATES OF AMERICA 3.125 % TREASURY NOTES 2018-15.11.28 USD,US9128285M81,USD,UNITED STATES OF AMERICA 3.125 % TREASURY NOTES 2018-15.11.28 USD,1,US9128285M81,UNITED STATES OF AMERICA 3.125 % TREASURY NOTES 2018-15.11.28 USD
America,42、,UNITED STATES OF AMERICA 4.125 % TREASURY NOTES USD,US91282CFV81,USD,UNITED STATES OF AMERICA 4.125 % TREASURY NOTES USD,1,US91282CFV81,UNITED STATES OF AMERICA 4.125 % TREASURY NOTES USD
America,43、,UNITED STATES OF AMERICA  0 % TREASURY BILLS 2025-21.05.26 USD,US912797SV06,USD,UNITED STATES OF AMERICA 0 % TREASURY BILLS 2025-21.05.26 USD,1,US912797SV06,UNITED STATES OF AMERICA 0 % TREASURY BILLS 2025-21.05.26 USD
America,44、,UNITED STATES OF AMERICA  3.5 % TREASURY NOTES 2023-15.02.33 USD,US91282CGM73,USD,UNITED STATES OF AMERICA 3.5 % TREASURY NOTES 2023-15.02.33 USD,1,US91282CGM73,UNITED STATES OF AMERICA 3.5 % TREASURY NOTES 2023-15.02.33 USD
America,45、,VT DE LISLE AMERICA B ACC USD,GB00B4X7J424,USD,VT DE LISLE AMERICA B ACC USD,1,GB00B4X7J424,VT DE LISLE AMERICA B ACC USD
global,1、,A.I. MACHINES GLOBAL MANAGED RISK FUND 2A2 ACC USD,IE00025NOBE1,USD,A.I. MACHINES GLOBAL MANAGED RISK FUND 2A2 ACC USD,1,IE00025NOBE1,A.I. MACHINES GLOBAL MANAGED RISK FUND 2A2 ACC USD
global,2、,AB GLOBAL HIGH YIELD PORTFOLIO I INC USD,LU0083181239,USD,AB GLOBAL HIGH YIELD PORTFOLIO I INC USD,1,LU0083181239,AB GLOBAL HIGH YIELD PORTFOLIO I INC USD
global,3、,AB SICAV I GLOBAL REAL ESTATE SECURITIES PORTFOLIO A USD,LU0074935502,USD,AB SICAV I GLOBAL REAL ESTATE SECURITIES PORTFOLIO A USD,1,LU0074935502,AB SICAV I GLOBAL REAL ESTATE SECURITIES PORTFOLIO A USD
global,4、,ABRDN SICAV I - GLOBAL DYNAMIC DIVIDEND FUND X INC USD USD,LU2329614577,USD,ABRDN SICAV I - GLOBAL DYNAMIC DIVIDEND FUND X INC USD USD,1,LU2329614577,ABRDN SICAV I - GLOBAL DYNAMIC DIVIDEND FUND X INC USD USD
global,5、,ABRDN SICAV I - GLOBAL SUSTAINABLE AND RESPONSIBLE INVESTMENT EQUITY A ACC USD USD,LU0094547139,USD,ABRDN SICAV I - GLOBAL SUSTAINABLE AND RESPONSIBLE INVESTMENT EQUITY A ACC USD USD,1,LU0094547139,ABRDN SICAV I - GLOBAL SUSTAINABLE AND RESPONSIBLE INVESTMENT EQUITY A ACC USD USD
global,6、,ABRDN SICAV I FUTURE GLOBAL EQUITY A ACC USD,LU0107464264,USD,ABRDN SICAV I FUTURE GLOBAL EQUITY A ACC USD,1,LU0107464264,ABRDN SICAV I FUTURE GLOBAL EQUITY A ACC USD
global,7、,AEGON STRATEGIC GLOBAL INCOME FUND CLS A USD ACC USD,IE00B296YR77,USD,AEGON STRATEGIC GLOBAL INCOME FUND CLS A USD ACC USD,1,IE00B296YR77,AEGON STRATEGIC GLOBAL INCOME FUND CLS A USD ACC USD
global,8、,AEGON STRATEGIC GLOBAL INCOME FUND CLS B USD INC USD,IE00B296YP53,USD,AEGON STRATEGIC GLOBAL INCOME FUND CLS B USD INC USD,1,IE00B296YP53,AEGON STRATEGIC GLOBAL INCOME FUND CLS B USD INC USD
global,9、,ALLIANZ BEST STYLES GLOBAL EQUITY WT ACC USD,LU2920409039,USD,ALLIANZ BEST STYLES GLOBAL EQUITY WT ACC USD,1,LU2920409039,ALLIANZ BEST STYLES GLOBAL EQUITY WT ACC USD
global,10、,ALLIANZ GLOBAL ARTIFICIAL INTELLIGENCE RT USD ACC USD,LU1698898050,USD,ALLIANZ GLOBAL ARTIFICIAL INTELLIGENCE RT USD ACC USD,1,LU1698898050,ALLIANZ GLOBAL ARTIFICIAL INTELLIGENCE RT USD ACC USD
global,11、,ALLIANZ GLOBAL ASIA PACIFIC INCOME A INC USD,LU0348744763,USD,ALLIANZ GLOBAL ASIA PACIFIC INCOME A INC USD,1,LU0348744763,ALLIANZ GLOBAL ASIA PACIFIC INCOME A INC USD
global,12、,ALLIANZ GLOBAL CYBER SECURITY AT ACC USD,LU2286300806,USD,ALLIANZ GLOBAL CYBER SECURITY AT ACC USD,1,LU2286300806,ALLIANZ GLOBAL CYBER SECURITY AT ACC USD
global,13、,ALLIANZ GLOBAL INV CHINA EQUITY A USD DIS USD,LU0348825331,USD,ALLIANZ GLOBAL INV CHINA EQUITY A USD DIS USD,1,LU0348825331,ALLIANZ GLOBAL INV CHINA EQUITY A USD DIS USD
global,14、,ALLIANZ GLOBAL INV GLOBAL EQUITY UNCONSTRAINED AT USD,LU0342679015,USD,ALLIANZ GLOBAL INV GLOBAL EQUITY UNCONSTRAINED AT USD,1,LU0342679015,ALLIANZ GLOBAL INV GLOBAL EQUITY UNCONSTRAINED AT USD
global,15、,ALLIANZ GLOBAL INV GLOBAL HI TECH GTH A ACC NAV USD,LU0348723411,USD,ALLIANZ GLOBAL INV GLOBAL HI TECH GTH A ACC NAV USD,1,LU0348723411,ALLIANZ GLOBAL INV GLOBAL HI TECH GTH A ACC NAV USD
global,16、,ALLIANZ GLOBAL INV GLOBAL SUSTAINABILITY A DIS USD,LU0158827948,USD,ALLIANZ GLOBAL INV GLOBAL SUSTAINABILITY A DIS USD,1,LU0158827948,ALLIANZ GLOBAL INV GLOBAL SUSTAINABILITY A DIS USD
global,17、,ALLIANZ GLOBAL INV HKD INCOME AM USD USD,LU0815945463,USD,ALLIANZ GLOBAL INV HKD INCOME AM USD USD,1,LU0815945463,ALLIANZ GLOBAL INV HKD INCOME AM USD USD
global,18、,ALLIANZ GLOBAL INV HONG KONG EQUITY A USD USD,LU0348735423,USD,ALLIANZ GLOBAL INV HONG KONG EQUITY A USD USD,1,LU0348735423,ALLIANZ GLOBAL INV HONG KONG EQUITY A USD USD
global,19、,ALLIANZ GLOBAL INV INCOME AND GROWTH AM USD IN USD,LU0820561818,USD,ALLIANZ GLOBAL INV INCOME AND GROWTH AM USD IN USD,1,LU0820561818,ALLIANZ GLOBAL INV INCOME AND GROWTH AM USD IN USD
global,20、,ALLIANZ GLOBAL INV LITTLE DRAGONS A USD DIS USD,LU0348766576,USD,ALLIANZ GLOBAL INV LITTLE DRAGONS A USD DIS USD,1,LU0348766576,ALLIANZ GLOBAL INV LITTLE DRAGONS A USD DIS USD
global,21、,ALLIANZ GLOBAL INV ORIENTAL INCOME A USD USD,LU0348783233,USD,ALLIANZ GLOBAL INV ORIENTAL INCOME A USD USD,1,LU0348783233,ALLIANZ GLOBAL INV ORIENTAL INCOME A USD USD
global,22、,ALLIANZ GLOBAL INV US EQUITY A USD INC NAV USD,LU0256863811,USD,ALLIANZ GLOBAL INV US EQUITY A USD INC NAV USD,1,LU0256863811,ALLIANZ GLOBAL INV US EQUITY A USD INC NAV USD
global,23、,ALLIANZ GLOBAL INV ALLIANZ INCOME AND GROWTH USD,LU1255915826,USD,ALLIANZ GLOBAL INV ALLIANZ INCOME AND GROWTH USD,1,LU1255915826,ALLIANZ GLOBAL INV ALLIANZ INCOME AND GROWTH USD
global,24、,ALLIANZ GLOBAL INV CHINA A-SHARES AT ACC USD,LU1997245177,USD,ALLIANZ GLOBAL INV CHINA A-SHARES AT ACC USD,1,LU1997245177,ALLIANZ GLOBAL INV CHINA A-SHARES AT ACC USD
global,25、,ALLIANZ GLOBAL SUSTAINABILITY AM H2 INC USD,LU2089283258,USD,ALLIANZ GLOBAL SUSTAINABILITY AM H2 INC USD,1,LU2089283258,ALLIANZ GLOBAL SUSTAINABILITY AM H2 INC USD
global,26、,ALLSPRING WORLDWIDE GLOBAL EQUITY ENHANCED INCOME A ACC USD,LU3076206690,USD,ALLSPRING WORLDWIDE GLOBAL EQUITY ENHANCED INCOME A ACC USD,1,LU3076206690,ALLSPRING WORLDWIDE GLOBAL EQUITY ENHANCED INCOME A ACC USD
global,27、,ALQUITY GLOBAL IMPACT R ACC USD,LU1730018279,USD,ALQUITY GLOBAL IMPACT R ACC USD,1,LU1730018279,ALQUITY GLOBAL IMPACT R ACC USD
global,28、,AMUNDI BD GLOBAL AGG AUC 3D USD,LU0319688015,USD,AMUNDI BD GLOBAL AGG AUC 3D USD,1,LU0319688015,AMUNDI BD GLOBAL AGG AUC 3D USD
global,29、,AMUNDI FUNDS POLEN CAPITAL GLOBAL GROWTH I2 ACC USD,LU1691799990,USD,AMUNDI FUNDS POLEN CAPITAL GLOBAL GROWTH I2 ACC USD,1,LU1691799990,AMUNDI FUNDS POLEN CAPITAL GLOBAL GROWTH I2 ACC USD
global,30、,APPLE 3.35 % NOTES 2022 08.08.32 GLOBAL USD,US037833EP10,USD,APPLE 3.35 % NOTES 2022 08.08.32 GLOBAL USD,1,US037833EP10,APPLE 3.35 % NOTES 2022 08.08.32 GLOBAL USD
global,31、,ARTEMIS SMARTGARP GLOBAL EMERGING MARKETS EQUITY I ACC USD,LU1846577242,USD,ARTEMIS SMARTGARP GLOBAL EMERGING MARKETS EQUITY I ACC USD,1,LU1846577242,ARTEMIS SMARTGARP GLOBAL EMERGING MARKETS EQUITY I ACC USD
