sheet,seq,name,isin,ccy,norm,dup_count,dup_isins,dup_names
global,32、,ARTISAN GLOBAL OPPORTUNITIES FUND A ACC USD,IE00B75GXZ78,USD,ARTISAN GLOBAL OPPORTUNITIES FUND A ACC USD,1,IE00B75GXZ78,ARTISAN GLOBAL OPPORTUNITIES FUND A ACC USD
global,33、,ARTISAN PTNRS GBL GLOBAL OPPORTUNITIES I USD,IE00B615T757,USD,ARTISAN PTNRS GBL GLOBAL OPPORTUNITIES I USD,1,IE00B615T757,ARTISAN PTNRS GBL GLOBAL OPPORTUNITIES I USD
global,34、,AXA WORLD FUND GLOBAL REAL ESTATE A USD ACC USD,LU0266012318,USD,AXA WORLD FUND GLOBAL REAL ESTATE A USD ACC USD,1,LU0266012318,AXA WORLD FUND GLOBAL REAL ESTATE A USD ACC USD
global,35、,BAILLIE GIFFORD WO GLOBAL ALPHA B ACC USD,IE00B912KW96,USD,BAILLIE GIFFORD WO GLOBAL ALPHA B ACC USD,1,IE00B912KW96,BAILLIE GIFFORD WO GLOBAL ALPHA B ACC USD
global,36、,BAILLIE GIFFORD WO LONG TERM GLOBAL GROWTH B ACC USD,IE00BYQG5606,USD,BAILLIE GIFFORD WO LONG TERM GLOBAL GROWTH B ACC USD,1,IE00BYQG5606,BAILLIE GIFFORD WO LONG TERM GLOBAL GROWTH B ACC USD
global,37、,BARCLAYS MULTI-MGR GLOBALACCESS EMG MKT EQTY M USD,IE00B0XXHG05,USD,BARCLAYS MULTI-MGR GLOBALACCESS EMG MKT EQTY M USD,1,IE00B0XXHG05,BARCLAYS MULTI-MGR GLOBALACCESS EMG MKT EQTY M USD
global,38、,BARING GLOBAL RESOURCES A USD DIS USD,IE0000931182,USD,BARING GLOBAL RESOURCES A USD DIS USD,1,IE0000931182,BARING GLOBAL RESOURCES A USD DIS USD
global,39、,BARING GLOBAL AGRIC USD ACC NAV USD,GB00B3B9VC56,USD,BARING GLOBAL AGRIC USD ACC NAV USD,1,GB00B3B9VC56,BARING GLOBAL AGRIC USD ACC NAV USD
global,40、,BARING GLOBAL EMG MKTS A USD ACC NAV USD,IE00B3YV8M70,USD,BARING GLOBAL EMG MKTS A USD ACC NAV USD,1,IE00B3YV8M70,BARING GLOBAL EMG MKTS A USD ACC NAV USD
global,41、,BARING INTL (IRE) GLOBAL EMG MARK USD,IE0000838304,USD,BARING INTL (IRE) GLOBAL EMG MARK USD,1,IE0000838304,BARING INTL (IRE) GLOBAL EMG MARK USD
global,42、,BARINGS GLOBAL LEADERS FUND CLASS A USD INC USD,IE0030016244,USD,BARINGS GLOBAL LEADERS FUND CLASS A USD INC USD,1,IE0030016244,BARINGS GLOBAL LEADERS FUND CLASS A USD INC USD
global,43、,BBVA 11.00% P.A. GLOBAL RECOVERY SAFE HAVEN MEMORY AUTOCALL USD,XS2190723176,USD,BBVA 11.00% P.A. GLOBAL RECOVERY SAFE HAVEN MEMORY AUTOCALL USD,1,XS2190723176,BBVA 11.00% P.A. GLOBAL RECOVERY SAFE HAVEN MEMORY AUTOCALL USD
global,44、,BBVA BOLT GLOBAL RECOVERY NOTE USD,XS2142188106,USD,BBVA BOLT GLOBAL RECOVERY NOTE USD,1,XS2142188106,BBVA BOLT GLOBAL RECOVERY NOTE USD
global,45、,BBVA BOLT MARKETS 7.00% P.A. GLOBAL RECOVERY INCOME MEMORY AUTOCALL USD,XS2190723259,USD,BBVA BOLT MARKETS 7.00% P.A. GLOBAL RECOVERY INCOME MEMORY AUTOCALL USD,1,XS2190723259,BBVA BOLT MARKETS 7.00% P.A. GLOBAL RECOVERY INCOME MEMORY AUTOCALL USD
global,46、,BBVA IDAD GLOBAL BANKS DEFENSIVE AUTOCALL JULY 2022 USD,XS2378619147,USD,BBVA IDAD GLOBAL BANKS DEFENSIVE AUTOCALL JULY 2022 USD,1,XS2378619147,BBVA IDAD GLOBAL BANKS DEFENSIVE AUTOCALL JULY 2022 USD
global,47、,BBVA IDAD GLOBAL MARKETS CLASSIC AUTOCALL JULY 2021 USD USD,XS2277231143,USD,BBVA IDAD GLOBAL MARKETS CLASSIC AUTOCALL JULY 2021 USD USD,1,XS2277231143,BBVA IDAD GLOBAL MARKETS CLASSIC AUTOCALL JULY 2021 USD USD
