name,category,reason,query,symbol,hit_name,hit_type,rows,first,last,currency,yahoo_name,status
CAPITAL INTL MGMNT INV CO OF AMERICA LUX Z USD,AMERICAN,no-data,CAPITAL INTL,0P0001H35G,Polen Capital Investment Funds ,Fund,1914,1546439400,1786627800,USD,Polen Capital Intl Gr USD Instl,recovered
CAUSEWAY BBVA GLOBAL QUAD INCOME USD,GLOBAL,no-data,,,,,0,,,,,no-data
CAUSEWAY BBVA GLOBAL QUAD PHOENIX NOTE 2 USD,GLOBAL,no-data,,,,,0,,,,,no-data
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 3 USD,GLOBAL,no-data,,,,,0,,,,,no-data
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 4 USD,GLOBAL,no-data,,,,,0,,,,,no-data
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 7 USD,GLOBAL,no-data,,,,,0,,,,,no-data
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 8 USD,GLOBAL,no-data,,,,,0,,,,,no-data
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 9 USD,GLOBAL,no-data,,,,,0,,,,,no-data
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE USD,GLOBAL,no-data,,,,,0,,,,,no-data
CAUSEWAY MORGAN STANLEY GLOBAL MARKETS INCOME NOTE USD,GLOBAL,no-data,,,,,0,,,,,no-data
CAUSEWAY NATIXIS GLOBAL MARKETS INCOME AUTOCALL NOTE USD,GLOBAL,no-data,,,,,0,,,,,no-data
CELERITY GLOBAL BALANCED FUND IC A ACC USD,GLOBAL,no-data,,,,,0,,,,,no-data
COMMERZBANK GLOBAL INDEX INCOME BUILDER 70-70 NOV 18 USD,GLOBAL,no-data,,,,,0,,,,,no-data
CT MGMT AMERICAN 3U USD ACC USD,AMERICAN,no-data,,,,,0,,,,,no-data
CTF GLOBAL EQUITY AUTOCALL 14 USD USD,GLOBAL,no-data,,,,,0,,,,,no-data
CTMGMT LUX AMERICAN AU USD ACC USD,AMERICAN,no-data,,,,,0,,,,,no-data
DELL INTERNATIONAL LLC USD,INTERNATIONAL,no-data,,,,,0,,,,,no-data
EVOLUTION SHS UNSPONSORED AMERICAN DEPOSITARY RECEIPT REPR 1 SH USD,AMERICAN,no-data,,,,,0,,,,,no-data
FF GLOBAL DIVIDEND PLUS FUND A ACC USD,GLOBAL,no-data,FF GLOBAL DIVIDEND,0P0001MNHQ,Fidelity Funds - Sustainable Gl,Fund,1114,1646663400,1786627800,USD,FF - Global Dividend Pl A Acc USD,recovered
FIDELITY INTERNATIONAL BD A ACC \$ USD,INTERNATIONAL,no-data,FIDELITY INTERNATIONAL,FSPSX,Fidelity International Index Fu,Fund,3754,1315488600,1786627800,USD,Fidelity International Index,recovered
FIL INV MGMT LUX GLOBAL TECHNOLOGY Y USD ACC USD,GLOBAL,no-data,FIL INV,0P0001D98K.F,0P0001D98K.F,Fund,2111,1524549600,1786687200,EUR,Filandière Invest R,recovered
FINCREST GLOBAL EQUITY FUND CLASS A USD,GLOBAL,no-data,,,,,0,,,,,no-data
FRANKLIN TEMP GLOBAL HI YLD MDIS \$ USD,GLOBAL,no-data,FRANKLIN TEMP,TEP8.SG,Franklin Templeton - Franklin M,Fund,0,,,EUR,Franklin Templeton - Franklin M,no-data
FRANKLIN TEMP GLOBAL INC A ACC USD USD,GLOBAL,no-data,FRANKLIN TEMP GLOBAL,TEPM.SG,Franklin Templeton - Global Bon,Fund,0,,,EUR,Franklin Templeton - Global Bon,no-data
FRANKLIN TEMPL GLOBAL FOCUS FD A DIS USD,GLOBAL,no-data,FRANKLIN TEMPL GLOBAL,TEPM.SG,Franklin Templeton - Global Bon,Fund,0,,,EUR,Franklin Templeton - Global Bon,no-data
FRANKLIN TEMPLETON FRANKLIN MUT GLOBAL DVRY A CAP USD,GLOBAL,no-data,FRANKLIN TEMPLETON FRANKLIN,TEP8.SG,Franklin Templeton - Franklin M,Fund,0,,,EUR,Franklin Templeton - Franklin M,no-data
FRANKLIN TEMPLETON GLOBAL FOCUS A ACC USD,GLOBAL,no-data,FRANKLIN TEMPLETON GLOBAL,TEPM.SG,Franklin Templeton - Global Bon,Fund,0,,,EUR,Franklin Templeton - Global Bon,no-data
