name,category,reason,query,symbol,hit_name,hit_type,rows,first,last,currency,yahoo_name,status
GOLDMAN SACHS GLOBAL EMERGING MRKTS DEBT HRD CCY CLASS P CAP US\$ USD,GLOBAL,wrong,GOLDMAN SACHS GLOBAL,0P0000Y642,Goldman Sachs Global Securitise,Fund,1114,1646663400,1786627800,USD,GS Glb Sctsd Inc Bd P USD MDist,recovered
GOLDMAN SACHS GLOBAL US HIGH DIVIDEND CLASS P AC USD USD,GLOBAL,wrong,GOLDMAN SACHS GLOBAL,0P0000Y642,Goldman Sachs Global Securitise,Fund,1114,1646663400,1786627800,USD,GS Glb Sctsd Inc Bd P USD MDist,recovered
HSBC INV FD LUX SA GLOBAL EQUITY CLIMATE SOLUTIONS A INC USD,GLOBAL,wrong,HSBC INV,0P0001JDYP,HSBC Investment Funds Trust - H,Fund,1573,1589203800,1786627800,USD,HIFT - HSBC Asian Bond BC USD,recovered
JPMORGAN ASSET MGM AMERICA EQUITY C USD ACC USD,AMERICAN,wrong,JPMORGAN ASSET MGM,00401A.TW,JPMORGAN ASSET MGMT (TW) LIMITE,ETF,95,1774918800,1786669200,TWD,JPMorgan (Taiwan) Taiwan Equity High Income Active ETF,recovered
JPMORGAN ASSET MGM GLOBAL HEALTHCARE A ACC USD USD,GLOBAL,wrong,JPMORGAN ASSET MGM,00401A.TW,JPMORGAN ASSET MGMT (TW) LIMITE,ETF,95,1774918800,1786669200,TWD,JPMorgan (Taiwan) Taiwan Equity High Income Active ETF,recovered
JPMORGAN ASSET MGM GLOBAL HEALTHCARE C ACC USD USD,GLOBAL,wrong,JPMORGAN ASSET MGM,00401A.TW,JPMORGAN ASSET MGMT (TW) LIMITE,ETF,95,1774918800,1786669200,TWD,JPMorgan (Taiwan) Taiwan Equity High Income Active ETF,recovered
JPMORGAN ASSET MGM GLOBAL NATURAL RESOURCES A USD,GLOBAL,wrong,JPMORGAN ASSET MGM,00401A.TW,JPMORGAN ASSET MGMT (TW) LIMITE,ETF,95,1774918800,1786669200,TWD,JPMorgan (Taiwan) Taiwan Equity High Income Active ETF,recovered
JPMORGAN ASSET MGM LATIN AMERICA EQTY A USD C USD,AMERICAN,wrong,JPMORGAN ASSET MGM,00401A.TW,JPMORGAN ASSET MGMT (TW) LIMITE,ETF,95,1774918800,1786669200,TWD,JPMorgan (Taiwan) Taiwan Equity High Income Active ETF,recovered
JPMORGAN GLOBAL RESEARCH ENHANCED INDEX EQUITY A ACC USD,GLOBAL,wrong,JPMORGAN GLOBAL RESEARCH ENHANCED INDEX,JREG.AX,JRE GREIE TMF UNITS,Equity,953,1667862000,1786665600,AUD,JPMorgan Global Research Enhanced Index Equity Active ETF,recovered
LAZARD GLOBAL LISTED INFRA EQUITY A ACC USD HEDG USD,GLOBAL,wrong,LAZARD GLOBAL LISTED,0P0001CL1T,Lazard Global Listed Infrastruc,Fund,1914,1546439400,1786627800,USD,Lazard Glbl Lstd Infras Eq A Acc USD,recovered
LAZARD GLOBAL LISTED INFRA EQUITY A DST US\$ HDG USD,GLOBAL,wrong,LAZARD GLOBAL LISTED,GLFOX,Lazard Global Listed Infrastruc,Fund,4177,1262701800,1786627800,USD,Lazard Global Listed Infrastructure Portfolio,recovered
LAZARD GLOBAL LISTED INFRASTRUCTURE EQUITY FUND A ACC USD,GLOBAL,wrong,LAZARD GLOBAL LISTED,GLFOX,Lazard Global Listed Infrastruc,Fund,4177,1262701800,1786627800,USD,Lazard Global Listed Infrastructure Portfolio,recovered
SCHRODER INTERNATIONAL SELECTION FUND EMERGING MARKETS DEBT TOTAL RETURN A ACC USD,INTERNATIONAL,wrong,SCHRODER INTERNATIONAL SELECTION,0P00000AQS.F,0P00000AQS.F,Fund,1038,1658210400,1786687200,EUR,Schroder International Selection Fund Emerging Europe,recovered
SCHRODER INTERNATIONAL SELECTION FUND GLOBAL HIGH YIELD C INC USD,GLOBAL/INTERNATIONAL,wrong,SCHRODER INTERNATIONAL SELECTION,0P0001EUHQ,Schroder International Selectio,Fund,1114,1646663400,1786627800,USD,Schroder International Selection Fund Asian Equity Yield U Accumulation USD,recovered
SCHRODER ISF GLOBAL M.A DIS USD A HDG MF USD,GLOBAL,wrong,SCHRODER ISF GLOBAL,0P00001E4M,Schroder International Selectio,Fund,1114,1646663400,1786627800,USD,Schroder ISF Global Cities C Dis USD,recovered
SCHRODER ISF GLOBAL MULTI ASSET BALANCED C ACC USD,GLOBAL,wrong,SCHRODER ISF GLOBAL,0P00001CEJ,Schroder International Selectio,Fund,1114,1646663400,1786627800,USD,Schroder ISF Global Eq Yld C Acc USD,recovered
