name,category,source,symbol,isin,ref_name,yahoo_name,overlap,currency_ok,yahoo_currency,yahoo_type,verdict,recommendation
AB INTERNATIONAL TECHNOLOGY PORTFOLIO I ACC USD,INTERNATIONAL,FT-ISIN->Yahoo,0P0001P7SF,LU2485953454,AB SICAV I-International Technology Portfolio Class S14 USD Acc,AB International Tech S14 USD,0.67,True,USD,MUTUALFUND,确认,可用
AB SICAV I INTERNATIONAL TECHNOLOGY PORTFOLIO A USD USD,INTERNATIONAL,Yahoo按名称,0P00000I4D,LU0060230025,AB SICAV I INTERNATIONAL TECHNOLOGY PORTFOLIO A USD USD,AB Intl Technology I USD,0.67,True,USD,MUTUALFUND,确认,可用
ABRDN SICAV I - GLOBAL DYNAMIC DIVIDEND FUND X INC USD USD,GLOBAL,FT-ISIN->Yahoo,0P0001M1PV,LU2329614494,abrdn SICAV I - Global Dynamic Dividend Fund X Acc USD,abrdn-Global Dynamic Div X Acc USD,0.75,True,USD,MUTUALFUND,确认,可用
ALLIANZ BEST STYLES GLOBAL EQUITY WT ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001UAGR,LU2929389422,Allianz Global Investors Fund - Allianz Best Styles US Equity CT2 (USD) Accumulation,Allianz Best Styles US Eq CT2 (USD) Acc,0.83,True,USD,MUTUALFUND,确认,可用
ALLIANZ GLOBAL ARTIFICIAL INTELLIGENCE RT USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001KQC9,LU2231172441,Allianz Global Investors Fund - Allianz Global Artificial Intelligence W2 (USD),Allianz Global Investors Fund - Allianz Global Artificial Intelligence,1.0,True,USD,MUTUALFUND,确认,可用
ALLIANZ GLOBAL CYBER SECURITY AT ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001LPJK,LU2289118288,Allianz Global Investors Fund - Allianz Cyber Security IT USD Acc,Allianz Cyber Security IT USD Acc,1.0,True,USD,MUTUALFUND,确认,可用
ALLIANZ GLOBAL INV HKD INCOME AM USD USD,GLOBAL,FT-ISIN->Yahoo,0P000148G2.HK,LU0880094791,Allianz Global Investors Fund - Allianz HKD Income AT HKD,Allianz Global Investors Fund - Allianz HKD Income,1.0,True,HKD,MUTUALFUND,确认,可用
ALLIANZ GLOBAL SUSTAINABILITY AM H2 INC USD,GLOBAL,FT-ISIN->Yahoo,0P0001J2E3,LU2089283258,Allianz Global Investors Fund - Allianz Global Sustainability AM H2 USD,Allianz Global Sustainability AM H2 USD,1.0,True,USD,MUTUALFUND,确认,可用
AMERICAN AIRLINES COM USD1 USD,AMERICAN,Yahoo按名称,AAL,,AMERICAN AIRLINES COM USD1 USD,American Airlines Group Inc.,0.67,True,USD,EQUITY,确认,可用
AMERICAN BITCOIN CORP NPV USD,AMERICAN,Yahoo按名称,ABTC,,AMERICAN BITCOIN CORP NPV USD,American Bitcoin Corp,1.0,True,USD,EQUITY,确认,可用
APPLE 3.35 % NOTES 2022 08.08.32 GLOBAL USD,GLOBAL,Yahoo按名称,AAPL,,APPLE 3.35 % NOTES 2022 08.08.32 GLOBAL USD,Apple Inc.,1.0,True,USD,EQUITY,确认,可用
ARTISAN GLOBAL OPPORTUNITIES FUND A ACC USD,GLOBAL,Yahoo按名称,APDRX,,ARTISAN GLOBAL OPPORTUNITIES FUND A ACC USD,Artisan Global Opportunities Fund,1.0,True,USD,MUTUALFUND,确认,可用
BLACKROCK (LUX) SA GLOBAL ALLOCATION A2 USD ACC USD,GLOBAL,Yahoo按名称,MRLOX,LU0072462426,BLACKROCK (LUX) SA GLOBAL ALLOCATION A2 USD ACC USD,BlackRock Global Allocation R,1.0,True,USD,MUTUALFUND,确认,可用
BLACKROCK (LUX) SA GLOBAL EVENT DRIVEN D2 USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P00016JAM,LU1251621188,BlackRock Strategic Funds - Global Event Driven Fund D2 USD,BSF Global Event Driven D2 USD,0.8,True,USD,MUTUALFUND,确认,可用
BLACKROCK (LUX) SA Global Long-Horizon Equity Fund A USD USD,GLOBAL,Yahoo按名称,BDMAX,LU0011850046,BLACKROCK (LUX) SA Global Long-Horizon Equity Fund A USD USD,BlackRock Global Equity Market Neutral Fund,0.6,True,USD,MUTUALFUND,确认,可用
BLACKROCK (LUX) SA GLOBAL MULTI-ASSET INCOME A2 USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P00017CB4,LU1323998911,BlackRock Global Funds - Asian Multi-Asset Income Fund A2,BGF Asian Multi-Asset Income A2,0.83,True,USD,MUTUALFUND,确认,可用
BLACKROCK GLOBAL ALLOCATION FUND D10 INC USD,GLOBAL,FT-ISIN->Yahoo,0P0001UKBP,LU2943721485,BlackRock Global Funds - Global Allocation Fund D10,BGF Global Allocation D10,0.75,True,USD,MUTUALFUND,确认,可用
BLACKROCK GLOBAL DYNAMIC HIGH INCOME FUND D6 USD,GLOBAL,FT-ISIN->Yahoo,0P0001CP0L,LU1564329388,BlackRock Global Funds - Dynamic High Income Fund D6,BGF Dynamic High Income D6,0.8,True,USD,MUTUALFUND,确认,可用
BLACKROCK GLOBAL FUNDS SICAV - ASIAN DRAGON FUND D2 ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0000JI29,LU0411709560,BlackRock Global Funds - Asian Dragon Fund D2,BlackRock Global Funds - Asian Dragon Fund D2,1.0,True,USD,MUTUALFUND,确认,可用
BLACKROCK GLOBAL UNCONSTRAINED EQUITY D ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001SS6L,LU2720917223,BlackRock Global Funds - Global Unconstrained Equity Fund X2 USD Accumulation,BGF Global Unconstrained Eq X2,0.6,True,USD,MUTUALFUND,确认,可用
BLUEBOX GLOBAL TECHNOLOGY FUND A ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001KEXS,LU1793345262,BlueBox Funds - BlueBox Global Technology Fund Class A USD Acc,BlueBox Funds - BlueBox Global Technology Fund,1.0,True,USD,MUTUALFUND,确认,可用
BLUEBOX GLOBAL TECHNOLOGY FUND CLASS C ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001LWPD,LU2092176275,BlueBox Funds - BlueBox Global Technology Fund Class C Acc,BlueBox Funds Global Technology C Acc,1.0,True,USD,MUTUALFUND,确认,可用
BNY MELLON GLB FDS GLOBAL BD A USD USD,GLOBAL,Yahoo按名称,0P0001AGX2,,BNY MELLON GLB FDS GLOBAL BD A USD USD,BNY Mellon Glb ShrtDtd HY Bd USD A Inc,0.67,True,USD,MUTUALFUND,确认,可用
BNY MELLON GLOBAL INFRASTRUCTURE INCOME FUND W ACC USD,GLOBAL,Yahoo按名称,BKGI,,BNY MELLON GLOBAL INFRASTRUCTURE INCOME FUND W ACC USD,Bny Mellon Global Infrastructure Income ETF,1.0,True,USD,ETF,确认,可用
BNY MELLON GLOBAL LEADERS FUND B ACC USD,GLOBAL,Yahoo按名称,0P0001HSOS,,BNY MELLON GLOBAL LEADERS FUND B ACC USD,BNY Mellon Global Leaders USD B Acc,1.0,True,USD,MUTUALFUND,确认,可用
BOWMOOR GLOBAL ALPHA FUND PC D USD,GLOBAL,Yahoo按名称,0P0001RA9Q,,BOWMOOR GLOBAL ALPHA FUND PC D USD,Bowmoor Global Alpha Fund PC D,1.0,True,USD,MUTUALFUND,确认,可用
BOWMOOR GLOBAL ALPHA PC PTG I USD ACC USD,GLOBAL,Yahoo按名称,0P0001RZ9F,,BOWMOOR GLOBAL ALPHA PC PTG I USD ACC USD,Bowmoor Global Alpha Fund PC I,1.0,True,USD,MUTUALFUND,确认,可用
BOWMOOR GLOBAL ALPHA PC PTG K USD ACC USD,GLOBAL,Yahoo按名称,0P0001RZ9H,,BOWMOOR GLOBAL ALPHA PC PTG K USD ACC USD,Bowmoor Global Alpha PC K USD Acc,1.0,True,USD,MUTUALFUND,确认,可用
