name,category,source,symbol,isin,ref_name,yahoo_name,overlap,currency_ok,yahoo_currency,yahoo_type,verdict,recommendation,rows_ok
CT AMERICAN SELECT AU USD ACC USD,AMERICAN,FT-ISIN->Yahoo,0P00000SKQ,LU0112528004,CT (Lux) - American Select Class AU (USD Accumulation Shares),CT (Lux) American Select AU,1.0,True,USD,MUTUALFUND,确认,可用,3188.0
PACIFIC NORTH AMERICAN OPPORTUNITIES R3 USD,AMERICAN,Yahoo按名称,0P0001R0U7,,PACIFIC NORTH AMERICAN OPPORTUNITIES R3 USD,Pacific North American Opportunities,1.0,True,USD,MUTUALFUND,确认,可用,830.0
ABRDN SICAV I - GLOBAL DYNAMIC DIVIDEND FUND X INC USD USD,GLOBAL,FT-ISIN->Yahoo,0P0001M1PV,LU2329614494,abrdn SICAV I - Global Dynamic Dividend Fund X Acc USD,abrdn-Global Dynamic Div X Acc USD,0.75,True,USD,MUTUALFUND,确认,可用,5043.0
ALLIANZ BEST STYLES GLOBAL EQUITY WT ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001UAGR,LU2929389422,Allianz Global Investors Fund - Allianz Best Styles US Equity CT2 (USD) Accumulation,Allianz Best Styles US Eq CT2 (USD) Acc,0.83,True,USD,MUTUALFUND,确认,可用,1130.0
ALLIANZ GLOBAL ARTIFICIAL INTELLIGENCE RT USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001KQC9,LU2231172441,Allianz Global Investors Fund - Allianz Global Artificial Intelligence W2 (USD),Allianz Global Investors Fund - Allianz Global Artificial Intelligence,1.0,True,USD,MUTUALFUND,确认,可用,1113.0
ALLIANZ GLOBAL CYBER SECURITY AT ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001LPJK,LU2289118288,Allianz Global Investors Fund - Allianz Cyber Security IT USD Acc,Allianz Cyber Security IT USD Acc,1.0,True,USD,MUTUALFUND,确认,可用,1113.0
ALLIANZ GLOBAL INV HKD INCOME AM USD USD,GLOBAL,FT-ISIN->Yahoo,0P000148G2.HK,LU0880094791,Allianz Global Investors Fund - Allianz HKD Income AT HKD,Allianz Global Investors Fund - Allianz HKD Income,1.0,True,HKD,MUTUALFUND,确认,可用,1661.0
ALLIANZ GLOBAL SUSTAINABILITY AM H2 INC USD,GLOBAL,FT-ISIN->Yahoo,0P0001J2E3,LU2089283258,Allianz Global Investors Fund - Allianz Global Sustainability AM H2 USD,Allianz Global Sustainability AM H2 USD,1.0,True,USD,MUTUALFUND,确认,可用,1113.0
ARTISAN GLOBAL OPPORTUNITIES FUND A ACC USD,GLOBAL,Yahoo按名称,APDRX,,ARTISAN GLOBAL OPPORTUNITIES FUND A ACC USD,Artisan Global Opportunities Fund,1.0,True,USD,MUTUALFUND,确认,可用,2859.0
BLACKROCK (LUX) SA GLOBAL ALLOCATION A2 USD ACC USD,GLOBAL,Yahoo按名称,MRLOX,LU0072462426,BLACKROCK (LUX) SA GLOBAL ALLOCATION A2 USD ACC USD,BlackRock Global Allocation R,1.0,True,USD,MUTUALFUND,确认,可用,5940.0
BLACKROCK (LUX) SA GLOBAL EVENT DRIVEN D2 USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P00016JAM,LU1251621188,BlackRock Strategic Funds - Global Event Driven Fund D2 USD,BSF Global Event Driven D2 USD,0.8,True,USD,MUTUALFUND,确认,可用,1113.0
BLACKROCK (LUX) SA GLOBAL MULTI-ASSET INCOME A2 USD ACC USD,GLOBAL,FT-ISIN->Yahoo,0P00017CB4,LU1323998911,BlackRock Global Funds - Asian Multi-Asset Income Fund A2,BGF Asian Multi-Asset Income A2,0.83,True,USD,MUTUALFUND,确认,可用,2119.0
BLACKROCK GLOBAL ALLOCATION FUND D10 INC USD,GLOBAL,FT-ISIN->Yahoo,0P0001UKBP,LU2943721485,BlackRock Global Funds - Global Allocation Fund D10,BGF Global Allocation D10,0.75,True,USD,MUTUALFUND,确认,可用,5940.0
BLACKROCK GLOBAL DYNAMIC HIGH INCOME FUND D6 USD,GLOBAL,FT-ISIN->Yahoo,0P0001CP0L,LU1564329388,BlackRock Global Funds - Dynamic High Income Fund D6,BGF Dynamic High Income D6,0.8,True,USD,MUTUALFUND,确认,可用,1114.0
BLACKROCK GLOBAL FUNDS SICAV - ASIAN DRAGON FUND D2 ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0000JI29,LU0411709560,BlackRock Global Funds - Asian Dragon Fund D2,BlackRock Global Funds - Asian Dragon Fund D2,1.0,True,USD,MUTUALFUND,确认,可用,1114.0
BLUEBOX GLOBAL TECHNOLOGY FUND A ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001KEXS,LU1793345262,BlueBox Funds - BlueBox Global Technology Fund Class A USD Acc,BlueBox Funds - BlueBox Global Technology Fund,1.0,True,USD,MUTUALFUND,确认,可用,1114.0
BLUEBOX GLOBAL TECHNOLOGY FUND CLASS C ACC USD,GLOBAL,FT-ISIN->Yahoo,0P0001LWPD,LU2092176275,BlueBox Funds - BlueBox Global Technology Fund Class C Acc,BlueBox Funds Global Technology C Acc,1.0,True,USD,MUTUALFUND,确认,可用,1114.0
BNY MELLON GLOBAL LEADERS FUND B ACC USD,GLOBAL,Yahoo按名称,0P0001HSOS,,BNY MELLON GLOBAL LEADERS FUND B ACC USD,BNY Mellon Global Leaders USD B Acc,1.0,True,USD,MUTUALFUND,确认,可用,1801.0
BOWMOOR GLOBAL ALPHA FUND PC D USD,GLOBAL,Yahoo按名称,0P0001RA9Q,,BOWMOOR GLOBAL ALPHA FUND PC D USD,Bowmoor Global Alpha Fund PC D,1.0,True,USD,MUTUALFUND,确认,可用,742.0
BOWMOOR GLOBAL ALPHA PC PTG I USD ACC USD,GLOBAL,Yahoo按名称,0P0001RZ9F,,BOWMOOR GLOBAL ALPHA PC PTG I USD ACC USD,Bowmoor Global Alpha Fund PC I,1.0,True,USD,MUTUALFUND,确认,可用,648.0
BOWMOOR GLOBAL ALPHA PC PTG K USD ACC USD,GLOBAL,Yahoo按名称,0P0001RZ9H,,BOWMOOR GLOBAL ALPHA PC PTG K USD ACC USD,Bowmoor Global Alpha PC K USD Acc,1.0,True,USD,MUTUALFUND,确认,可用,629.0
DIMENSIONAL GLOBAL TARGETED VALUE FUND USD ACC USD,GLOBAL,Yahoo按名称,0P0000HLUC,,DIMENSIONAL GLOBAL TARGETED VALUE FUND USD ACC USD,Dimensional Global Targeted Value Fund USD Accumulation,1.0,True,USD,MUTUALFUND,确认,可用,1914.0
DVAM GLOBAL EQUITY INCOME USD A2 INC USD,GLOBAL,Yahoo按名称,0P0001H41F,,DVAM GLOBAL EQUITY INCOME USD A2 INC USD,dVAM Global Equity Income PCP USD A2Dist,0.8,True,USD,MUTUALFUND,确认,可用,1904.0
FIDELITY FUNDS GLOBAL SHORT DURATION INCOME FUND A ACC USD,GLOBAL,Yahoo按名称,0P0000I1UY,LU0390710027,FIDELITY FUNDS GLOBAL SHORT DURATION INCOME FUND A ACC USD,Fidelity Funds - Global Short Duration Income Fund A-Acc-USD,1.0,True,USD,MUTUALFUND,确认,可用,1114.0
GAM STAR GLOBAL BALANCED A USD ACC USD,GLOBAL,Yahoo按名称,0P0000MXNH,,GAM STAR GLOBAL BALANCED A USD ACC USD,GAM Star Global Rates USD Acc,0.75,True,USD,MUTUALFUND,确认,可用,1914.0
GUINNESS AM GLOBAL INNOVATORS Y ACC USD,GLOBAL,Yahoo按名称,0P00014JQC,,GUINNESS AM GLOBAL INNOVATORS Y ACC USD,Guinness Global Innovators Y USD ACC,1.0,True,USD,MUTUALFUND,确认,可用,1914.0
GUINNESS GLOBAL ENERGY Y INC USD,GLOBAL,Yahoo按名称,0P0000IKH9,,GUINNESS GLOBAL ENERGY Y INC USD,Guinness Global Energy Y USD Accumulation,1.0,True,USD,MUTUALFUND,确认,可用,1914.0
