isin,name,rows,first,last,nonzero_pct,verdict,reason
IE00BYV6MS67,PGIM JENNISON GLOBAL EQUITY OPPORTUNITIES I ACC USD,1916,2019-01-02,2026-08-17,95.7,PASS,
LU0503633330,PICTET-GLOBAL ENVIRONMENTAL OPPORTUNITIES HP ACC USD,1116,2022-03-07,2026-08-17,90.9,PASS,
LU0386856941,PICTET FUNDS GLOBAL MEGATREND SEL I USD ACC USD,1116,2022-03-07,2026-08-17,90.2,PASS,
LU0503632100,PICTET GLOBAL ENVIRONMENTAL OPPORTUNITIES I USD ACC USD,1116,2022-03-07,2026-08-17,90.7,PASS,
IE00B193ML14,PIMCO GIS GLOBAL HIGH YIELD E INC USD USD,1916,2019-01-02,2026-08-17,99.6,PASS,
IE0033386453,PIMCO GIS GLOBAL INV GRADE CREDIT INST INC USD USD,1916,2019-01-02,2026-08-17,99.7,PASS,
IE00B3K7XK29,PIMCO GIS GLOBAL INVEST GRADE CREDIT HDGD E ACC USD USD,1916,2019-01-02,2026-08-17,99.6,PASS,
IE00B2R34T20,PIMCO GIS GLOBAL INVESTMENT GRADE CREDIT E USD INC USD,1916,2019-01-02,2026-08-17,99.7,PASS,
IE00B0C18065,PIMCO GLOBAL ADVIS DIVSFD INC INST ACC NAV USD,1916,2019-01-02,2026-08-17,99.7,PASS,
IE0033591854,PIMCO GLOBAL ADVIS GBL REAL RETURN INSTL INC USD,1916,2019-01-02,2026-08-17,99.7,PASS,
IE00BHZKQ946,PIMCO GLOBAL ADVIS LOW DURATION REAL RTN INSTL USD,1916,2019-01-02,2026-08-17,99.6,PASS,
IE00B98CPZ00,PIMCOG GLOBAL ADVIS INCOME PU INC USD,1916,2019-01-02,2026-08-17,99.7,PASS,
IE0007357332,PINEBRIDGE GLOBAL DYNAMIC ASSET ALLOCATION Y USD ACC USD,1916,2019-01-02,2026-08-17,95.9,PASS,
IE0004897173,PINEBRIDGE GLOBAL EMERGING MARKETS FOCUS EQUITY Y USD ACC USD,1916,2019-01-02,2026-08-17,96.6,PASS,
IE0030772275,POLAR CAPITAL GLOBAL TECH FD USD,1916,2019-01-02,2026-08-17,95.4,PASS,
LU0927891449,PROSPER FDS SICAV GLOBAL MACRO I USD,1116,2022-03-07,2026-08-17,94.4,PASS,
IE00BF5FSX39,PZENA GLOBAL EXPANDED VALUE FUND A USD INC USD,1916,2019-01-02,2026-08-17,97.1,PASS,
GB00BYW6DZ91,QUILTER INVESTORS GLOBAL EQUITY VALUE FUND ACC USD,1916,2019-01-02,2026-08-17,98.0,PASS,
IE000CSTCY83,RANMORE GLOBAL EQUITY FUND INST USD ACC USD,852,2023-03-24,2026-08-17,95.8,PASS,
IE00BYW8MG91,RUSSELL OLD MUTUAL VALUE GLOBAL EQUITY E ACC USD,1916,2019-01-02,2026-08-17,96.6,PASS,
IE00B649W081,RUSSELL OPENWORLD GLOBAL HIGH DIVIDEND EQUITY I USD,1916,2019-01-02,2026-08-17,96.6,PASS,
IE00B737Q755,SANDS CAPITAL FUND GLOBAL GROWTH A USD ACC USD,1916,2019-01-02,2026-08-17,96.3,PASS,
IE00B94Q3B85,SANLAM AI GLOBAL MANAGED RISK BASE A2 ACC USD,1916,2019-01-02,2026-08-17,96.4,PASS,
IE00BD07T932,SANLAM AI GLOBAL MANAGED RISK BASE L2 ACC USD,1916,2019-01-02,2026-08-17,96.4,PASS,
IE00BSQXBG17,SANLAM AI GLOBAL MANAGED RISK FUND N ACC USD,1916,2019-01-02,2026-08-17,96.2,PASS,
LU1195516338,SCHRODER INTL SEL GLOBAL MULTI-ASSET ALLOCATI USD,1116,2022-03-07,2026-08-17,94.4,PASS,
LU0189893018,SCHRODER INV MGMT GLOBAL HIGH YLD A USD ACC NAV USD,1116,2022-03-07,2026-08-17,94.4,PASS,
LU0956908312,SCHRODER INV MGMT ISF GLOBAL REC C USD ACC USD,1116,2022-03-07,2026-08-17,94.8,PASS,
LU0106255481,SCHRODER INV MGMT QEP GLOBAL CORE C ACC USD,1116,2022-03-07,2026-08-17,96.9,PASS,
LU0224508324,SCHRODER ISF GLOBAL CITIES A ACC USD,1116,2022-03-07,2026-08-17,94.6,PASS,
LU0225283786,SCHRODER ISF GLOBAL EQUITY ALPHA C ACC USD,1116,2022-03-07,2026-08-17,94.5,PASS,
LU0757359954,SCHRODER ISF GLOBAL M.A DIS USD A HDG MF USD,1116,2022-03-07,2026-08-17,94.5,PASS,
LU0776415563,SCHRODER ISF GLOBAL MULTI ASSET BALANCED C ACC USD,1116,2022-03-07,2026-08-17,94.1,PASS,
LU1892523231,T ROWE GLOBAL FOCUSED GROWTH EQUITY Q USD USD,1115,2022-03-08,2026-08-17,91.9,PASS,
LU1244140163,T.ROWE PRICE FDS GLOBAL TECHNOLOGY EQUITY Q USD,1115,2022-03-08,2026-08-17,91.4,PASS,
LU0133082254,T.ROWE PRICE GLOBAL HI YLD BD A USD USD,1115,2022-03-08,2026-08-17,91.6,PASS,
LU1088697633,UBAM GLOBAL EQUITY IC ACC USD,1117,2022-03-04,2026-08-17,94.8,PASS,
LU1808465147,UBAM TECH GLOBAL LEADERS EQUITY IC USD ACC USD,1116,2022-03-07,2026-08-17,92.7,PASS,
IE00B42LF923,VANGUARD GLOBAL SMALL-CAP INDEX USD ACC USD,1916,2019-01-02,2026-08-17,99.7,PASS,
LU2167913123,VONTOBEL FUND II DUFF & PHELPS GLOBAL LISTED INFRASTRUCTURE B ACC USD,1116,2022-03-07,2026-08-17,94.9,PASS,
IE00BC7GWK81,VULCAN GLOBAL VALU VALUE EQUITY USD II INC NAV USD,1916,2019-01-02,2026-08-17,95.7,PASS,
