name,symbol,reason,status,rows
GOLDMAN SACHS GLOBAL EMERGING MRKTS DEBT HRD CCY CLASS P CAP US\$ USD,0P0000ZT50,原文件名含反斜杠,OK,1116
JANUS HENDERSON GLOBAL EQUITY FUND R\$ ACC A2 USD USD,0P0001HNBO,原文件名含反斜杠,OK,1114
