name,category,isin_cur,expected_cur,symbol,symbol_currency,symbol_type,yahoo_longname,cur_symbol_old,n_cands,status
ALLIANZ GLOBAL INV ORIENTAL INCOME A USD USD,GLOBAL,LU0348783233:USD,USD,UQ27.F,FRA,ETF,,0P000148G1.BE,2,SYMBOL_FOUND
ALLIANZ GLOBAL INV US EQUITY A USD INC NAV USD,GLOBAL,LU0256863811:USD,USD,DJEU.HM,HAM,ETF,,DJEU.HM,1,SYMBOL_FOUND
ALLSPRING WORLDWIDE GLOBAL EQUITY ENHANCED INCOME A ACC USD,GLOBAL,LU3076206690:USD,USD,0P0001VF82,PNK,Fund,,0P0001VF82,1,SYMBOL_FOUND
ALQUITY GLOBAL IMPACT R ACC USD,GLOBAL,LU1049765578:USD,USD,0P0001327N,PNK,Fund,,0P0001CQMG,1,SYMBOL_FOUND
AMUNDI FUNDS POLEN CAPITAL GLOBAL GROWTH I2 ACC USD,GLOBAL,LU1691799990:USD,USD,0P0001F9VK,PNK,Fund,,0P0001F9VL,1,SYMBOL_FOUND
ARTEMIS SMARTGARP GLOBAL EMERGING MARKETS EQUITY I ACC USD,GLOBAL,LU1846577242:USD,USD,0P0001EEIJ,PNK,Fund,,0P0001YIQ8,1,SYMBOL_FOUND
AXA WORLD FUND GLOBAL REAL ESTATE A USD ACC USD,GLOBAL,LU1731858806:USD,USD,,,,,0P0000SR16,0,NO_SYMBOL
BARING GLOBAL RESOURCES A USD DIS USD,GLOBAL,IE0000931182:USD,USD,BYQN.F,FRA,ETF,,BYQN.F,1,SYMBOL_FOUND
BARING LATIN AMERICA A USD DIS USD,AMERICAN,IE0000828933:USD,USD,BYQU.F,FRA,ETF,,BYQU.F,1,SYMBOL_FOUND
BARINGS GLOBAL LEADERS FUND CLASS A USD INC USD,GLOBAL,IE0030016244:USD,USD,BYQX.SG,STU,Fund,,BYQX.SG,1,SYMBOL_FOUND
BLACKROCK GLOBAL (BGF) ESG MULTI ASSET D2 HGD ACC USD,GLOBAL,LU0827879924:USD,USD,0P0000X7SD,PNK,Fund,,,1,SYMBOL_FOUND
BLACKROCK GLOBAL FUNDS CHINA A2 USD USD,GLOBAL,LU0359201612:USD,USD,LU0359201612-USD.LU,LUX,Fund,,0P0000UNZJ,1,SYMBOL_FOUND
BLACKROCK SYSTEMATIC GLOBAL EQUITY HIGH INCOME A6 INC USD,GLOBAL,LU1116320737:USD,USD,0P00014FO3,PNK,Fund,,0P00014FO3,1,SYMBOL_FOUND
BLACKROCK SYSTEMATIC GLOBAL SMALLCAP D2 ACC USD,GLOBAL,LU0724617971:USD,USD,0P0001MSQE,PNK,Fund,,0P0001MSQE,1,SYMBOL_FOUND
BLACKROCK SYSTEMATIC GLOBAL SMALLCAP FUND A2 ACC USD,GLOBAL,LU0054578231:USD,USD,ERDL.F,FRA,ETF,,0P000137EL,2,SYMBOL_FOUND
