name,category,isin_cur,expected_cur,symbol,symbol_currency,symbol_type,yahoo_longname,cur_symbol_old,n_cands,status,real_cur,real_type,yahoo_longname2,usable
ALLIANZ GLOBAL INV GLOBAL HI TECH GTH A ACC NAV USD,GLOBAL,LU0348723411:USD,USD,ZZRZ.F,FRA,ETF,,ZZRZ.F,1,SYMBOL_FOUND,EUR,ETF,Allianz Global Investors Fund - Allianz Global Hi-Tech Growth,CUR_MISMATCH
ALLIANZ GLOBAL INV GLOBAL SUSTAINABILITY A DIS USD,GLOBAL,LU0158827948:USD,USD,UQ2K.F,FRA,ETF,,UQ2K.F,1,SYMBOL_FOUND,EUR,ETF,Allianz Global Investors Fund - Allianz Global Sustainability,CUR_MISMATCH
ALLIANZ GLOBAL INV HONG KONG EQUITY A USD USD,GLOBAL,LU0348735423:USD,USD,UQ2G.F,FRA,ETF,,UQ2G.F,1,SYMBOL_FOUND,EUR,ETF,Allianz Global Investors Fund - Allianz Hong Kong Equity,CUR_MISMATCH
ALLIANZ GLOBAL INV INCOME AND GROWTH AM USD IN USD,GLOBAL,LU0820561818:USD,USD,LU0820561818.SG,STU,Fund,,0P000148G1.BE,1,SYMBOL_FOUND,EUR,MUTUALFUND,Allianz Income and Growth,CUR_MISMATCH
ALLIANZ GLOBAL INV LITTLE DRAGONS A USD DIS USD,GLOBAL,LU0348766576:USD,USD,UQ26.F,FRA,ETF,,UQ26.F,1,SYMBOL_FOUND,EUR,ETF,Allianz Global Investors Fund - Allianz Little Dragons,CUR_MISMATCH
ALLIANZ GLOBAL INV ORIENTAL INCOME A USD USD,GLOBAL,LU0348783233:USD,USD,UQ27.F,FRA,ETF,,0P000148G1.BE,2,SYMBOL_FOUND,EUR,ETF,Allianz Global Investors Fund - Allianz Oriental Income,CUR_MISMATCH
ALLIANZ GLOBAL INV US EQUITY A USD INC NAV USD,GLOBAL,LU0256863811:USD,USD,DJEU.HM,HAM,ETF,,DJEU.HM,1,SYMBOL_FOUND,EUR,ETF,Allianz Global Investors Fund - Allianz US Equity Fund,CUR_MISMATCH
ALLSPRING WORLDWIDE GLOBAL EQUITY ENHANCED INCOME A ACC USD,GLOBAL,LU3076206690:USD,USD,0P0001VF82,PNK,Fund,,0P0001VF82,1,SYMBOL_FOUND,USD,MUTUALFUND,Allspring Lux Glb Eq Enh Inc A USD Acc,OK
ALQUITY GLOBAL IMPACT R ACC USD,GLOBAL,LU1049765578:USD,USD,0P0001327N,PNK,Fund,,0P0001CQMG,1,SYMBOL_FOUND,USD,MUTUALFUND,Alquity Global Impact USD A,OK
AMUNDI FUNDS POLEN CAPITAL GLOBAL GROWTH I2 ACC USD,GLOBAL,LU1691799990:USD,USD,0P0001F9VK,PNK,Fund,,0P0001F9VL,1,SYMBOL_FOUND,USD,MUTUALFUND,Amundi Fds Polen Cptl Glbl Gr I2 USD C,OK
