isin,name,sheet,classify,symbol,currency,quoteType,longname,hist_rows,hist_first,hist_last,note
LU0348735423,ALLIANZ GLOBAL INV HONG KONG EQUITY A USD USD,global,NOUSD,UQ2G.F,EUR,ETF,Allianz Global Investors Fund - Allianz Hong Kong Equity,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0820561818,ALLIANZ GLOBAL INV INCOME AND GROWTH AM USD IN USD,global,NOUSD,LU0820561818.SG,EUR,MUTUALFUND,Allianz Income and Growth,,,,份额线 币种=EUR 类型=MUTUALFUND; Yahoo名称搜索无USD份额
LU0348766576,ALLIANZ GLOBAL INV LITTLE DRAGONS A USD DIS USD,global,NOUSD,UQ26.F,EUR,ETF,Allianz Global Investors Fund - Allianz Little Dragons,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0348783233,ALLIANZ GLOBAL INV ORIENTAL INCOME A USD USD,global,NOUSD,UQ27.F,EUR,ETF,Allianz Global Investors Fund - Allianz Oriental Income,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0256863811,ALLIANZ GLOBAL INV US EQUITY A USD INC NAV USD,global,NOUSD,DJEU.HM,EUR,ETF,Allianz Global Investors Fund - Allianz US Equity Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU1255915826,ALLIANZ GLOBAL INV ALLIANZ INCOME AND GROWTH USD,global,NOUSD,DJEZ.MU,EUR,ETF,Allianz Global Investors Fund - Allianz Income and Growth,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
IE0000838304,BARING INTL (IRE) GLOBAL EMG MARK USD,global,NOUSD,BYQS.F,EUR,ETF,Barings Emerging Markets Umbrella Fund - Barings Global Emerging Markets Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
LU0054578231,BLACKROCK SYSTEMATIC GLOBAL SMALLCAP FUND A2 ACC USD,global,NOUSD,ERDL.F,EUR,ETF,BlackRock Global Funds - Systematic Global SmallCap Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
IE0003924739,BNY MELLON GLB FDS GLOBAL BD A USD USD,global,NOUSD,FH77.MU,EUR,ETF,BNY Mellon Global Funds Plc - BNY Mellon Global Bond Fund,,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
IE00B504KD93,BNY MELLON GLOBAL REAL RETURN USD A USD,global,NOUSD,HZ5S.MU,EUR,ETF,"BNY Mellon Global Funds, plc - BNY Mellon Global Real Return Fund (USD)",,,,欧洲基金线 币种=EUR 类型=ETF; Yahoo名称搜索无USD份额
