name,category,source,symbol,isin,ref_name,yahoo_name,overlap,currency_ok,yahoo_currency,yahoo_type,verdict,recommendation
AB GLOBAL HIGH YIELD PORTFOLIO I INC USD,GLOBAL,Yahoo按名称,0P0000MPP7.SI,LU0154094527,AB GLOBAL HIGH YIELD PORTFOLIO I INC USD,AB - Global High Yield Portfolio AT SGD Inc,1.0,False,SGD,MUTUALFUND,存疑-币种不符,待人工核
AB INTERNATIONAL HEALTH CARE PORTFOLIO C ACC USD,INTERNATIONAL,FT-ISIN->Yahoo,XAYP.F,LU0058720904,AB SICAV I - International Health Care Portfolio A Acc,AB Sicav I - International Health Care Portfolio,1.0,False,EUR,ETF,存疑-币种不符,待人工核
AB SICAV I GLOBAL REAL ESTATE SECURITIES PORTFOLIO A USD,GLOBAL,FT-ISIN->Yahoo,XAY6.HM,LU0074935502,AB SICAV I - Global Real Estate Securities Portfolio A Acc,AB Sicav I - Global Real Estate Securities Portfolio,1.0,False,EUR,ETF,存疑-币种不符,待人工核
AB SICAV I INTERNATIONAL HEALTH CARE PORTFOLIO A USD USD,INTERNATIONAL,FT-ISIN->Yahoo,XAYP.F,LU0058720904,AB SICAV I - International Health Care Portfolio A Acc,AB Sicav I - International Health Care Portfolio,1.0,False,EUR,ETF,存疑-币种不符,待人工核
ABRDN SICAV I - GLOBAL SUSTAINABLE AND RESPONSIBLE INVESTMENT EQUITY A ACC USD USD,GLOBAL,Yahoo按名称,0P00000R9X.L,,ABRDN SICAV I - GLOBAL SUSTAINABLE AND RESPONSIBLE INVESTMENT EQUITY A ACC USD USD,abrdn Global Sustainable Equity A Acc,1.0,False,GBP,MUTUALFUND,存疑-币种不符,待人工核
ABRDN SICAV I - NORTH AMERICAN SMALLER COMPANIES A ACC USD USD,AMERICAN,FT-ISIN->Yahoo,0P0000ZNPV,LU0566484027,abrdn SICAV I - North American Smaller Companies Fund A Acc USD,abrdn-Nrth American Sml Comp A Acc USD,0.4,True,USD,MUTUALFUND,存疑,待人工核
ABRDN SICAV I FUTURE GLOBAL EQUITY A ACC USD,GLOBAL,FT-ISIN->Yahoo,AEFJ.MU,LU0107464264,abrdn SICAV I - Future Global Equity Fund A Acc USD,Aberdeen Standard SICAV I - Global Innovation Equity Fund,0.5,False,EUR,ETF,存疑-币种不符,待人工核
AEGON STRATEGIC GLOBAL INCOME FUND CLS A USD ACC USD,GLOBAL,Yahoo按名称,0P00009VKL.F,,AEGON STRATEGIC GLOBAL INCOME FUND CLS A USD ACC USD,Aegon Strategic Global Inc B Inc EUR Hdg,1.0,False,EUR,MUTUALFUND,存疑-币种不符,待人工核
AEGON STRATEGIC GLOBAL INCOME FUND CLS B USD INC USD,GLOBAL,Yahoo按名称,0P00009VKL.F,,AEGON STRATEGIC GLOBAL INCOME FUND CLS B USD INC USD,Aegon Strategic Global Inc B Inc EUR Hdg,1.0,False,EUR,MUTUALFUND,存疑-币种不符,待人工核
ALLIANZ GLOBAL ASIA PACIFIC INCOME A INC USD,GLOBAL,FT-ISIN->Yahoo,AZHI.F,LU0348744763,Allianz Global Investors Fund - Allianz Asia Pacific Income A USD,Allianz Global Investors Fund - Allianz Indonesia Equity,0.5,False,EUR,ETF,存疑-币种不符,待人工核
ALLIANZ GLOBAL INV ALLIANZ INCOME AND GROWTH USD,GLOBAL,Yahoo按名称,0P000148G1.BE,LU0820561818,ALLIANZ GLOBAL INV ALLIANZ INCOME AND GROWTH USD,Allianz Global Investors Fund - Allianz Asian Multi Income Plus,0.6,False,AUD,MUTUALFUND,存疑-币种不符,待人工核
ALLIANZ GLOBAL INV CHINA EQUITY A USD DIS USD,GLOBAL,FT-ISIN->Yahoo,UQ24.F,LU0348825331,Allianz Global Investors Fund - Allianz China Equity A USD,Allianz Global Investors Fund - Allianz China Equity,1.0,False,EUR,ETF,存疑-币种不符,待人工核
