isin,name,sheet,classify,symbol,currency,quoteType,longname,hist_rows,hist_first,hist_last,note
LU0100122521,AB INTERNATIONAL HEALTH CARE PORTFOLIO C ACC USD,international,FUND_USD,0P00000NTW,USD,MUTUALFUND,AB Intl Health Care C USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1481181599,CAPITAL INTERNATIONAL - CAPITAL GROUP NEW WORLD FUND Z USD,international,FUND_USD,0P00018Z4O,USD,MUTUALFUND,Capital Group New World (LUX) Z,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE000IU42BF0,MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL EQUITY FUND A USD ACCUMULATION USD,international,FUND_USD,0P0001UC8K,USD,MUTUALFUND,,342,2025-04-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE000W41MTZ0,MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL GROWTH FUND A USD ACCUMULATION USD,international,FUND_USD,0P0001UC8B,USD,MUTUALFUND,,342,2025-04-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1586378470,SCHRODER INTERNATIONAL SELECTION FUND GLOBAL HIGH YIELD C INC USD,international,FUND_USD,0P0001ADKP,USD,MUTUALFUND,Schroder ISF Glbl Hi Yld C Dis USD MF,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
IE0001HL2054,TITAN INTERNATIONAL SATELLITE EQUITY USD ACC USD,international,FUND_USD,0P0001U6DB,USD,MUTUALFUND,,257,2025-08-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0566484704,ABERDEEN STD - NORTH AMERICAN SMALLER COMPANIES FUND I ACC USD USD,America,FUND_USD,0P0000SHES,USD,MUTUALFUND,abrdn-Nrth American Sml Comp I Acc USD,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0566484027,ABRDN SICAV I - NORTH AMERICAN SMALLER COMPANIES A ACC USD USD,America,FUND_USD,0P0000ZNPV,USD,MUTUALFUND,abrdn-Nrth American Sml Comp A Acc USD,1115,2022-03-08,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU1008671684,ALLIANCE BERNSTEIN AMERICAN INCOME PORTFOLIO INC USD,America,FUND_USD,0P00011R1Y,USD,MUTUALFUND,AB American Income AA USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
LU0157308031,ALLIANCEBERNSTEIN AMERICAN INCOME USD,America,FUND_USD,0P000019TO,USD,MUTUALFUND,AB American Income AT USD,1116,2022-03-07,2026-08-17,份额线 币种=USD 类型=MUTUALFUND
