name,category,master_status,cur_symbol,cur_isin,verdict,n_cands,best_isin_cur,best_ft_name,best_family,best_cur_ok,best_exp_cur,best_c_cur,best_share_ok,hist_n,hist_first,hist_last,hist_price
FIDELITY GLOBAL INCOME Y MINCOME INC USD,GLOBAL,有数据-误配待换,0P0001AMU4,LU1622746433,FT匹配,87,LU0997587323:USD,Fidelity Funds - Global Income Fund A-MINCOME(G)-USD (hedged),0.5,True,USD,USD,True,,,,
FIDELITY GLOBAL TECHNOLOGY A USD ACC USD,GLOBAL,有数据-待人工核,0P0001DIJX.SI,LU1046421795,FT匹配,66,LU1046421795:USD,Fidelity Funds - Global Technology Fund A-Acc-USD,1.0,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",87.79
FIDELITY INTERNATIONAL BD A ACC \$ USD,INTERNATIONAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
FIL INV MGMT LUX GLOBAL TECHNOLOGY Y USD ACC USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
FIRST STATE GLOBAL STEWART INV GLOBAL EMERGING MARKET LEADERS I ACC USD USD,GLOBAL,有数据-待人工核,F7H0.MU,,FT匹配-币种不符,2,GB0032048653:GBP,Zurich Stewart Investors Asia Pacific Leaders AL,0.429,False,USD,GBP,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",13.88
FIRST STATE GLOBAL UM LISTD INFRASTRUCT I USD DIST USD,GLOBAL,有数据-待人工核,F7H0.MU,,FT无结果,0,,,,,,,,,,,
GAM STAR GLOBAL BALANCED C USD ACC USD,GLOBAL,有数据-待人工核,0P0001J7ZC.F,,FT无结果,0,,,,,,,,,,,
GOLDMAN SACHS GLOBAL CORE EQUITY PORTFOLIO ACC USD,GLOBAL,有数据-待人工核,0P0001UZPQ,LU3029563320,FT匹配,136,LU0280924407:USD,Goldman Sachs Global CORE Equity Portfolio P Acc USD Snap,1.0,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",42.47
GOLDMAN SACHS GLOBAL EMERGING MRKTS DEBT HRD CCY CLASS P CAP US\$ USD,GLOBAL,有数据-误配待换,0P0000Y642,,FT匹配,131,LU0953791257:USD,Goldman Sachs Emerging Markets Debt (Hard Currency) - N Cap USD,0.5,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",485.50
GOLDMAN SACHS GLOBAL SENIOR LOANS R HEDGED INC USD,GLOBAL,有数据-待人工核,0P0001527M.F,LU0428438575,FT匹配,34,LU1264170553:USD,Goldman Sachs Global Senior Loans (Lux) - N Dis USD (hedged i),0.8,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",20.89
GOLDMAN SACHS GLOBAL US HIGH DIVIDEND CLASS P AC USD USD,GLOBAL,有数据-误配待换,0P0000Y642,,FT匹配,39,LU0154844541:USD,Goldman Sachs US Mortgage Backed Securities Portfolio A Inc USD,0.5,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",6.43
GQG PARTNERS GLOBAL EQUITY I ACC USD,GLOBAL,有数据-待人工核,0P0001F5PM.F,,FT无结果,0,,,,,,,,,,,
GUINNESS AM GLOBAL ENERGY C USD INC NAV USD,GLOBAL,有数据-待人工核,0P000118SR.F,,FT无结果,0,,,,,,,,,,,
GUINNESS AM GLOBAL ENERGY D USD INC NAV USD,GLOBAL,有数据-待人工核,0P0000IKHA.F,,FT无结果,0,,,,,,,,,,,
GUINNESS AM GLOBAL EQUITY INCOME C USD,GLOBAL,有数据-待人工核,0P0000SR2U.L,,FT无结果,0,,,,,,,,,,,
GUINNESS AM GLOBAL EQUITY INCOME Y USD,GLOBAL,有数据-待人工核,0P00015HVY.F,,FT无结果,0,,,,,,,,,,,
GUINNESS AM GLOBAL INNOVATORS C ACC USD,GLOBAL,有数据-待人工核,0P00014JQ1.F,,FT无结果,0,,,,,,,,,,,
GUINNESS GLOBAL EQUITY INCOME FUND C USD USD,GLOBAL,有数据-待人工核,0P00015HVY.F,,FT无结果,0,,,,,,,,,,,
GUINNESS GLOBAL MONEY MANAGERS C ACC USD,GLOBAL,有数据-待人工核,0P000118SS.F,,FT无结果,0,,,,,,,,,,,
HEPTAGON FUND KOPERNIK GLOBAL All-CAP EQUITY FUND ACC A USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
HEPTAGON FUND WCM GLOBAL EQTY A ACC USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
HSBC HOLDINGS PLC 7.35 % NOTES 2022-27.11.32 GLOBAL USD,GLOBAL,有数据-待人工核,HSBA.L,,非基金-跳过,0,,,,,,,,,,,
HSBC INV FD LUX SA GLOBAL EMG MKTS EQUITY A USD,GLOBAL,有数据-重试找回(待核),,,FT匹配-币种不符,1,LU2359416604:EUR,HSBC Global Investment Funds - Asia Bond FDHEUR,0.143,False,USD,EUR,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",7.37
HSBC INV FD LUX SA GLOBAL EQUITY CLIMATE SOLUTIONS A INC USD,GLOBAL,有数据-误配待换,0P0001BFG3,,FT匹配-币种不符,1,LU2359416604:EUR,HSBC Global Investment Funds - Asia Bond FDHEUR,0.143,False,USD,EUR,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",7.37
IIF GLOBAL EQUITY B ACC USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
IIF GLOBAL EQUITY FUND CLASS A USD USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
INVESCO GLOBAL CONSUMER TRENDS A USD USD,GLOBAL,有数据-待人工核,IUGI.F,LU0052864419,FT匹配,38,LU0100598878:USD,Invesco Funds - Invesco Global Consumer Trends Fund C Accumulation USD,1.0,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",111.19
INVESCO GLOBAL CONSUMER TRENDS C USD USD,GLOBAL,有数据-待人工核,0P00000AN0,LU0100598878,FT匹配,38,LU0100598878:USD,Invesco Funds - Invesco Global Consumer Trends Fund C Accumulation USD,1.0,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",111.19
INVESCO GLOBAL EQUITY FUND C (USD)-ANNUAL DISTRIBUTION USD,GLOBAL,有数据-待人工核,IGET.L,LU0267985157,FT匹配,91,LU1775975466:USD,Invesco Funds - Invesco Global Small Cap Equity Fund C Annual Distribution USD,0.75,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",316.98
INVESCO SUSTAINABLE GLOBAL INCOME C HEDGED ACC USD,GLOBAL,有数据-重试找回(待核),,,FT匹配,61,LU2401541888:USD,Invesco Funds - Invesco Sustainable Allocation Fund A (Accumulation) USD Hedged,0.667,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",15.10
ISHARES GLOBAL HIGH YIELD CORP BD UCITS USD ACC USD,GLOBAL,有数据-待人工核,CEBR.DE,,非基金-跳过,0,,,,,,,,,,,
ISHARES II PLC GLOBAL SUSTAINABI UCITS USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
ISHARES MSCI EM LATIN AMERICA USD,AMERICAN,有数据-待人工核,LTAM.L,,FT无结果,0,,,,,,,,,,,
ISHARES S&P GLOBAL TIMBER & FORESTRY USD,GLOBAL,有数据-待人工核,XGD.TO,,FT无结果,0,,,,,,,,,,,
iShares S&P Global Water USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
ISHARES VI PLC GLOBAL AAA-AA GOV BND UCITS USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
J O HAMBRO CAP GLOBAL OPPS A USD INC NAV USD,GLOBAL,有数据-待人工核,U650.MU,,FT无结果,0,,,,,,,,,,,
JANUS HENDERSON GLOBAL EQUITY FUND R\$ ACC A2 USD USD,GLOBAL,有数据-待人工核,0P00000HSG,IE0033534557,FT匹配,36,LU1983259539:USD,Janus Henderson Horizon Global Sustainable Equity Fund A2 USD Acc,0.667,True,USD,USD,True,,,,
JANUS HENDERSON GLOBAL REAL ESTATE A3Q USD USD,GLOBAL,有数据-待人工核,F4QR.MU,IE0033534441,FT匹配,6,IE0033534441:USD,Janus Henderson Capital Funds plc - Global Real Estate Equity Income Fund Class A3q USD,0.833,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",15.94
JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND A3Q USD USD,GLOBAL,有数据-待人工核,HZ5Y.F,LU0209137206,FT匹配,136,LU0209137206:USD,Janus Henderson Horizon Global Property Equities Fund A3q USD,1.0,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",20.03
JANUS HENDERSON HORIZON GLOBAL TECHNOLOGY LEADERS FUND A1 USD USD,GLOBAL,有数据-待人工核,FGVA.MU,LU0209158467,FT匹配,129,LU0209158467:USD,Janus Henderson Horizon Global Technology Leaders Fund A1 USD,1.0,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",355.41
JANUS HENDERSON HORIZON GLOBAL TECHNOLOGY LEADERS FUND A2 USD USD,GLOBAL,有数据-待人工核,0P0000YWFQ.SI,LU0070992663,FT匹配,129,LU0070992663:USD,Janus Henderson Horizon Global Technology Leaders Fund A2 USD,1.0,True,USD,USD,True,,,,
JANUS HENDERSON HORIZON GLOBAL TECHNOLOGY LEADERS FUND H2 USD USD,GLOBAL,有数据-待人工核,0P0000YFYK,LU0828813369,FT匹配,129,LU0828813369:USD,Janus Henderson Horizon Global Technology Leaders Fund H2 USD,1.0,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",102.53
JP MORGAN GLOBAL SOCIALLY RESPONSIBLE A ACC USD,GLOBAL,有数据-待人工核,0P0001M07F.L,,FT无结果,0,,,,,,,,,,,
JPMORGAN AMERICA EQUITY A USD USD,AMERICAN,有数据-待人工核,JPJA.F,LU0053666078,FT匹配,42,LU0129459060:USD,JPMorgan Funds - America Equity Fund C (acc) USD,1.0,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",99.52
JPMORGAN ASSET MGM AMERICA EQUITY C USD ACC USD,AMERICAN,有数据-误配待换,00989A.TW,,FT无结果,0,,,,,,,,,,,
JPMORGAN ASSET MGM GLOBAL HEALTHCARE A ACC USD USD,GLOBAL,有数据-误配待换,00401A.TW,,FT无结果,0,,,,,,,,,,,
JPMORGAN ASSET MGM GLOBAL HEALTHCARE C ACC USD USD,GLOBAL,有数据-误配待换,00989A.TW,,FT无结果,0,,,,,,,,,,,
JPMORGAN ASSET MGM GLOBAL NATURAL RESOURCES A USD,GLOBAL,有数据-误配待换,00989A.TW,,FT无结果,0,,,,,,,,,,,
JPMORGAN ASSET MGM LATIN AMERICA EQTY A USD C USD,AMERICAN,有数据-误配待换,00401A.TW,,FT无结果,0,,,,,,,,,,,
JPMORGAN ASSET MGM LATIN AMERICA EQUITY A DIS USD USD,AMERICAN,有数据-待人工核,00401A.TW,,FT无结果,0,,,,,,,,,,,
JPMORGAN GLOBAL RESEARCH ENHANCED INDEX EQUITY A ACC USD,GLOBAL,有数据-误配待换,0P0001P9BJ,LU2402382688,FT匹配,27,LU1512643799:USD,JPMorgan Funds - Global Research Enhanced Index Equity Fund X (acc) USD,1.0,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",118.92
JUPITER GLOBAL FUND EUROPEAN GTH L ACC USD USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
JUPITER GLOBAL FUND JUPITER FINANCIAL INNOVATION L USD ACC NAV USD,GLOBAL,有数据-待人工核,0P00007W57.L,,FT匹配,13,LU0262307720:USD,Jupiter Financial Innovation Class L USD Acc,1.0,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",30.59
JUPITER GLOBAL INDIA SEL L USD USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
JUPITER MERIAN GLOBAL EQUITY ABSOLUTE RETURN FUND I USD ACC USD,GLOBAL,有数据-待人工核,0P0001339A,,FT匹配,6,IE0031332939:USD,Jupiter Merian World Equity Fund C USD Acc,0.6,True,USD,USD,True,19,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",54.67
JUPITER MERIAN GLOBAL EQUITY ABSOLUTE RETURN FUND L USD ACC USD,GLOBAL,有数据-待人工核,0P00013397,,FT匹配,6,IE0031332939:USD,Jupiter Merian World Equity Fund C USD Acc,0.6,True,USD,USD,True,19,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",54.67
LAZARD GLOBAL LISTED INFRA EQUITY A ACC USD HEDG USD,GLOBAL,有数据-误配待换,0P0000WF31,,FT无结果,0,,,,,,,,,,,
LAZARD GLOBAL LISTED INFRA EQUITY A DST US\$ HDG USD,GLOBAL,有数据-误配待换,0P0001CL1T,,FT无结果,0,,,,,,,,,,,
LAZARD GLOBAL LISTED INFRASTRUCTURE EQUITY FUND A ACC USD,GLOBAL,有数据-误配待换,0P0000WF31,,FT无结果,0,,,,,,,,,,,
LIONTRUST GF SUSTAINABLE FUTURE GLOBAL GROWTH FUND B5 ACC USD USD,GLOBAL,有数据-待人工核,0P0001IRM0.F,,FT无结果,0,,,,,,,,,,,
M&G INVESTMENT MAN GLOBAL THEMES A USD ACC USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
M&G SECURITIES GLOBAL DIVIDEND A ACC USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
MAN GLOBAL INVESTMENT GRADE OPPORTUNITIES I ACC USD,GLOBAL,有数据-待人工核,0P0001NTQ4.L,,FT匹配,20,LU2283350531:USD,Manulife Global Fund - Investment Grade Preferred Securities Income Fund I Acc,0.4,True,USD,USD,True,,,,
MARKET SEC BBVA 6Y 6% GLOBAL MARKETS QUARTERLY PHOENIX AUTO USD USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
MARKET SEC BBVA 6Y GLOBAL MARKETS QUARTERLY PHOENIX USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
MARKET SEC BNP GLOBAL MARKETS AC USD USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
MFS MERIDIAN FUNDS GLOBAL TOTAL RETURN A1 USD CAP USD,GLOBAL,有数据-待人工核,FHTF.MU,,FT匹配-份额待核,35,LU0219441499:USD,MFS Meridian Funds - Global Total Return Fund A1 USD,1.0,True,USD,USD,False,,,,
MGTS PROGENY PROFOLIO GLOBAL 30-50% SHARES FUND ACC USD,GLOBAL,有数据-待人工核,0P0001R09P.L,,FT无结果,0,,,,,,,,,,,
MOMENTUM GF HARMONY GLOBAL EQUITY FUND A ACC USD,GLOBAL,有数据-重试找回(待核),,,FT匹配-份额待核,4,LU1508132807:USD,Momentum Global Funds Harmony Asian Growth Fund H,0.5,True,USD,USD,False,19,"Monday, July 20, 2026Mon, Jul ","Thursday, August 13, 2026Thu, ",1.22
MONTLAKE ORIEL LATITUDE GLOBAL FUNDS I USD ACC USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
MORGAN STANLEY GLOBAL ADVANTAGE A EUR ACC NAV USD,GLOBAL,有数据-待人工核,MSJAX,,FT匹配-份额待核,22,LU0362496845:USD,Morgan Stanley Investment Funds - US Advantage Fund C,0.6,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",139.58
MORGAN STANLEY GLOBAL ADVANTAGE FUND Z ACC USD,GLOBAL,有数据-待人工核,0P0000CNA5.F,,FT匹配-份额待核,22,LU0362496845:USD,Morgan Stanley Investment Funds - US Advantage Fund C,0.6,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",139.58
NEW HORIZON GLOBAL BALANCED FUND C USD ACC USD,GLOBAL,有数据-待人工核,0P0001D65K.L,,FT无结果,0,,,,,,,,,,,
NEW HORIZON GLOBAL BALANCED FUND F USD ACC USD,GLOBAL,有数据-待人工核,0P0001F4JT.L,,FT无结果,0,,,,,,,,,,,
NEW HORIZON GLOBAL BALANCED FUND M USD ACC USD,GLOBAL,有数据-待人工核,0P0001F4JV.L,,FT无结果,0,,,,,,,,,,,
NEW HORIZON GLOBAL INNOVATION D ACC USD,GLOBAL,有数据-待人工核,0P0001SS10.F,,FT无结果,0,,,,,,,,,,,
NEXT GEN INVT STRA MORNINGSTAR GLOBAL ADVENTUROUS A USD ACC USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
NEXT GEN INVT STRA MORNINGSTAR GLOBAL BALANCED A USD ACC USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
NEXT GEN INVT STRA MORNINGSTAR GLOBAL CAUTIOUS A USD ACC USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
NINETY ONE FD MGRS GLOBAL GOLD A USD ACC USD,GLOBAL,有数据-重试找回(待核),,,FT匹配,10,LU2445645695:USD,Ninety One Global Strategy Fd - Emerging Markets Sustainable Blended Debt Fd S Acc USD,0.333,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",27.31
NINETY ONE GLOBAL MULTI-ASSET INC A INC-2 USD,GLOBAL,有数据-待人工核,0P0000URPG,LU0700851271,FT匹配,10,LU1800671676:USD,Ninety One Global Alternative Fund 1 Multi Asset Credit Fund I USD Inc,0.667,True,USD,USD,True,12,"Friday, August 29, 2025Fri, Au","Friday, July 31, 2026Fri, Jul ",21.37
NINETY ONE GLOBAL NATURAL RESOURCES C INC USD,GLOBAL,有数据-待人工核,0P0001HDEI,LU1982815224,FT匹配,25,LU0345781503:USD,Ninety One Global Strategy Fund - Global Natural Resources Fund C Inc USD,0.8,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",21.80
NINETY ONE GLOBAL ST GBL MULTI ASSET INC IX INC USD,GLOBAL,有数据-待人工核,0P00000R8P,,FT匹配-份额待核,68,LU1939255615:USD,Ninety One Global Strategy Fund - Global Environment Fund IX Acc USD,0.5,True,USD,USD,False,,,,
NINETY ONE GLOBAL ST GBL MULTI AST INC A USD ACC USD,GLOBAL,有数据-待人工核,0P00000R8P,,FT匹配,68,LU1939255532:USD,Ninety One Global Strategy Fund - Global Environment Fund A Acc USD,0.4,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",41.47
NINETY ONE GLOBAL ST GBL MULTI AST INC I USD DIS USD,GLOBAL,有数据-待人工核,0P0001RBUZ,,FT匹配,68,LU1602119031:USD,Ninety One Global Strategy Fund - Global Credit Income Fund S Inc-2 USD,0.4,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",18.01
NINETY ONE GLOBAL STRATEGY FUND GLOBAL NATURAL RESOURCES FUND I ACC USD,GLOBAL,有数据-待人工核,0P00009X5L,LU0345781172,FT匹配,112,LU0345781172:USD,Ninety One Global Strategy Fund - Global Natural Resources Fund I Acc USD,1.0,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",31.10
NINETY ONE PIF GLOBAL MACRO ALLOCATION FUND A ACC USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
NINETY-ONE GLOBAL ST GLOBAL VALUE EQTY A USD ACC USD,GLOBAL,有数据-待人工核,0P00000R8P,,FT匹配,68,LU1821900393:USD,Ninety One Global Strategy Fund - Global Value Equity Fund C Acc USD,0.6,True,USD,USD,True,,,,
NINETY-ONE GS GLOBAL EQUITY A INC USD,GLOBAL,有数据-待人工核,0P00000R8Y,LU0345770993,FT匹配,186,LU0345769987:USD,Ninety One Global Strategy Fund - Global Equity Fund I Inc USD,0.75,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",63.31
PIMCO GIS GLOBAL HIGH YIELD E INC USD USD,GLOBAL,有数据-待人工核,0P00006D1H,IE0002420739,FT匹配-份额待核,9,IE0002420739:USD,PIMCO GIS Global High Yield Bond Fund Institutional USD Accumulation,0.6,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",34.85
PIMCO GIS GLOBAL INVESTMENT GRADE CREDIT E USD INC USD,GLOBAL,有数据-待人工核,0P00000WBD,IE0033386453,FT匹配-份额待核,3,IE0033386453:USD,PIMCO GIS Global Investment Grade Credit Fund Institutional USD Income,0.8,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",11.51
PIMCO GLOBAL ADVIS DIVSFD INC INST ACC NAV USD,GLOBAL,有数据-待人工核,0P0001I30F.TO,,FT无结果,0,,,,,,,,,,,
PIMCO GLOBAL ADVIS GBL REAL RETURN INSTL INC USD,GLOBAL,有数据-待人工核,0P0001I30F.TO,,FT无结果,0,,,,,,,,,,,
PIMCO GLOBAL ADVIS LOW DURATION REAL RTN INSTL USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
PINEBRIDGE GLOBAL DYNAMIC ASSET ALLOCATION Y USD ACC USD,GLOBAL,有数据-待人工核,0P00000RKU,IE0007357332,FT匹配-份额待核,3,IE0034235295:USD,PineBridge Global Dynamic Asset Allocation Fund A,1.0,True,USD,USD,False,19,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",29.19
PINEBRIDGE GLOBAL EMERGING MARKETS FOCUS EQUITY Y USD ACC USD,GLOBAL,有数据-待人工核,0P00000RRD,IE0004897173,FT匹配-份额待核,1,IE0004897173:USD,PineBridge Global Emerging Markets Focus Equity Fund Y,1.0,True,USD,USD,False,19,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",855.17
PZENA GLOBAL EXPANDED VALUE FUND A USD INC USD,GLOBAL,有数据-待人工核,0P00013PR9.L,,FT无结果,0,,,,,,,,,,,
QUILTER INVESTORS GLOBAL EQUITY VALUE FUND ACC USD,GLOBAL,有数据-待人工核,0P0001D7J3.L,,FT匹配-币种不符,5,GB0008068222:GBP,OMR Quilter Investors Ethical Equity Pension,0.5,False,USD,GBP,False,,,,
ROBECO GLOBAL CONSUMER TRENDS EQUITIES CID USD USD,GLOBAL,有数据-待人工核,XRQ3.F,,FT匹配,24,LU0554840073:USD,Robeco Global Consumer Trends Equities D $,0.8,True,USD,USD,True,19,"Monday, July 20, 2026Mon, Jul ","Thursday, August 13, 2026Thu, ",477.25
SANDS CAPITAL FUND GLOBAL GROWTH A USD ACC USD,GLOBAL,有数据-重试找回(待核),,,FT匹配-份额待核,17,LU0990495888:USD,PrivilEdge - Sands US Growth (USD) SA,0.5,True,USD,USD,False,,,,
SANLAM AI GLOBAL MANAGED RISK BASE A2 ACC USD,GLOBAL,有数据-待人工核,0P00013EB2,,FT无结果,0,,,,,,,,,,,
SANLAM AI GLOBAL MANAGED RISK BASE L2 ACC USD,GLOBAL,有数据-待人工核,0P0001E1JG,,FT无结果,0,,,,,,,,,,,
SANLAM AI GLOBAL MANAGED RISK FUND N ACC USD,GLOBAL,有数据-待人工核,0P0001CZWD,,FT无结果,0,,,,,,,,,,,
Schroder Int Sel Global Energy A Acc USD,GLOBAL,有数据-待人工核,0P000019EE,LU0256331488,FT匹配-份额待核,50,LU0256331488:USD,Schroder International Selection Fund Global Energy A Accumulation USD,0.75,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",30.02
SCHRODER INT SEL GLOBAL EQUITY A USD ACC USD,GLOBAL,有数据-待人工核,ZJPC.F,LU0215105999,FT匹配-份额待核,100,LU0215105999:USD,Schroder International Selection Fund Global Equity A Accumulation USD,0.75,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",65.50
Schroder Int Sel Global Equity Alpha A USD Acc USD,GLOBAL,有数据-待人工核,HV8M.MU,LU0225283273,FT匹配-份额待核,27,LU0225283273:USD,Schroder International Selection Fund Global Equity Alpha A Accumulation USD,0.8,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",510.92
SCHRODER INTERNATIONAL SELECTION FUND EMERGING MARKETS DEBT TOTAL RETURN A ACC USD,INTERNATIONAL,有数据-误配待换,HV8C.F,LU0106253197,FT匹配-份额待核,196,LU0106253197:USD,Schroder International Selection Fund Emerging Markets Debt Total Return A Accumulation USD,1.0,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",32.01
SCHRODER INTERNATIONAL SELECTION FUND GLOBAL HIGH YIELD C INC USD,GLOBAL/INTERNATIONAL,有数据-误配待换,0P0001ADKP,LU1586378470,FT匹配-份额待核,176,LU0189893018:USD,Schroder International Selection Fund Global High Yield A Accumulation USD,1.0,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",63.89
SCHRODER INV MGMT GLOBAL CLIMATE CHANGE EQUITY A ACC USD USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
SCHRODER INV MGMT GLOBAL HIGH YLD A USD ACC NAV USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
SCHRODER INV MGMT ISF GLOBAL REC C USD ACC USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
SCHRODER INV MGMT QEP GLOBAL CORE C ACC USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
SCHRODER ISF GLOBAL EQUITY ALPHA C ACC USD,GLOBAL,有数据-待人工核,0P00001CEH,LU0225283786,FT匹配-份额待核,127,LU0225283786:USD,Schroder International Selection Fund Global Equity Alpha C Accumulation USD,0.6,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",607.66
SCHRODER ISF GLOBAL HIGH YIELD C ACC USD,GLOBAL,有数据-待人工核,SRVT.F,LU0189893794,FT匹配-份额待核,96,LU0189893794:USD,Schroder International Selection Fund Global High Yield C Accumulation USD,0.6,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",71.61
SCHRODER ISF GLOBAL M.A DIS USD A HDG MF USD,GLOBAL,有数据-误配待换,0P00009BZQ,LU0306807586,FT匹配-份额待核,171,LU1514167136:USD,Schroder International Selection Fund Global Credit Income A Distribution USD MF,0.4,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",84.98
SCHRODER ISF GLOBAL MULTI ASSET BALANCED C ACC USD,GLOBAL,有数据-误配待换,0P0000WFLZ,LU0776415563,FT匹配-份额待核,113,LU0776415563:USD,Schroder International Selection Fund Global Multi-Asset Balanced C Accumulation USD Hedged,0.667,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",228.24
