name,category,master_status,cur_symbol,cur_isin,verdict,n_cands,best_isin_cur,best_ft_name,best_family,best_cur_ok,best_exp_cur,best_c_cur,best_share_ok,hist_n,hist_first,hist_last,hist_price
ALLIANZ GLOBAL INV CHINA EQUITY A USD DIS USD,GLOBAL,有数据-待人工核,UQ24.F,LU0348825331,FT匹配-份额待核,101,LU0348832204:USD,Allianz Global Investors Fund - Allianz China Equity P USD,1.0,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au","1,513.61"
ALLIANZ GLOBAL INV GLOBAL EQUITY UNCONSTRAINED AT USD,GLOBAL,有数据-待人工核,DJET.MU,LU0342679015,FT匹配,99,LU0342679015:USD,Allianz Global Investors Fund - Allianz Global Equity Unconstrained AT USD,1.0,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",45.30
ALLIANZ GLOBAL INV GLOBAL HI TECH GTH A ACC NAV USD,GLOBAL,有数据-待人工核,ZZRZ.F,LU0348723411,FT匹配-份额待核,100,LU0348723411:USD,Allianz Global Investors Fund - Allianz Global HiTech Growth A USD,0.4,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",99.03
ALLIANZ GLOBAL INV GLOBAL SUSTAINABILITY A DIS USD,GLOBAL,有数据-待人工核,UQ2K.F,LU0158827948,FT匹配-份额待核,31,LU0158827948:USD,Allianz Global Investors Fund - Allianz Global Sustainability A USD,1.0,True,USD,USD,False,,,,
ALLIANZ GLOBAL INV HONG KONG EQUITY A USD USD,GLOBAL,有数据-待人工核,UQ2G.F,LU0348735423,FT匹配,5,LU0348735423:USD,Allianz Global Investors Fund - Allianz Hong Kong Equity A USD,1.0,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",268.35
ALLIANZ GLOBAL INV INCOME AND GROWTH AM USD IN USD,GLOBAL,有数据-待人工核,0P000148G1.BE,LU0820561818,FT匹配,126,LU0820561818:USD,Allianz Global Investors Fund - Allianz Income and Growth AM USD,0.8,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",8.76
ALLIANZ GLOBAL INV LITTLE DRAGONS A USD DIS USD,GLOBAL,有数据-待人工核,UQ26.F,LU0348766576,FT匹配-份额待核,4,LU0348766576:USD,Allianz Global Investors Fund - Allianz Little Dragons A USD,1.0,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",179.02
ALLIANZ GLOBAL INV ORIENTAL INCOME A USD USD,GLOBAL,有数据-待人工核,0P000148G1.BE,LU0348783233,FT匹配,21,LU0348783233:USD,Allianz Global Investors Fund - Allianz Oriental Income A USD,1.0,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",328.31
ALLIANZ GLOBAL INV US EQUITY A USD INC NAV USD,GLOBAL,有数据-待人工核,DJEU.HM,LU0256863811,FT匹配-份额待核,175,LU0256863811:USD,Allianz Global Investors Fund - Allianz US Equity Fund A USD,1.0,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",44.65
ALLSPRING WORLDWIDE GLOBAL EQUITY ENHANCED INCOME A ACC USD,GLOBAL,有数据-待人工核,0P0001VF82,LU3076206690,FT匹配,68,LU3076206690:USD,Allspring (Lux) Worldwide Fund - Global Equity Enhanced Income Fund Class A USD Acc,0.8,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",141.01
ALQUITY GLOBAL IMPACT R ACC USD,GLOBAL,有数据-待人工核,0P0001CQMG,LU1730018279,FT匹配-份额待核,12,LU1049765578:USD,Alquity SICAV - Alquity Global Impact Fund USD A Class,1.0,True,USD,USD,False,19,"Monday, July 20, 2026Mon, Jul ","Thursday, August 13, 2026Thu, ",121.07
AMERICAS GOLD AND SILVER CORPORATION USD,AMERICAN,有数据-待人工核,SZ7.F,,非基金-跳过,0,,,,,,,,,,,
AMUNDI FUNDS POLEN CAPITAL GLOBAL GROWTH I2 ACC USD,GLOBAL,有数据-待人工核,0P0001F9VL,LU1691799644,FT匹配,28,LU1691799990:USD,Amundi Funds - Polen Capital Global Growth I2 USD (C),1.0,True,USD,USD,True,,,,
ARTEMIS SMARTGARP GLOBAL EMERGING MARKETS EQUITY I ACC USD,GLOBAL,有数据-误配待换,0P0001YIQ8,LU3248622857,FT匹配,19,LU1846577242:USD,Artemis Funds (Lux) – SmartGARP Global Emerging Markets Equity Class I Acc USD,0.714,True,USD,USD,True,19,"Monday, July 20, 2026Mon, Jul ","Thursday, August 13, 2026Thu, ",2.48
AXA WORLD FUND GLOBAL REAL ESTATE A USD ACC USD,GLOBAL,有数据-误配待换,0P0000SR16,LU0266012318,FT匹配-份额待核,22,LU1731858806:USD,AXA World Funds - Global Real Estate I Capitalisation USD,0.8,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",143.27
BAILLIE GIFFORD WO GLOBAL ALPHA B ACC USD,GLOBAL,有数据-待人工核,0P00015OHN.SW,,FT匹配-币种不符,2,GB0032305038:GBP,Scottish Equitable Baillie Gifford 60:40 Worldwide Eq Pension Fund,0.25,False,USD,GBP,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",6.09
BAILLIE GIFFORD WO LONG TERM GLOBAL GROWTH B ACC USD,GLOBAL,有数据-待人工核,0P00019ZCB.F,,FT匹配-币种不符,2,GB0032305038:GBP,Scottish Equitable Baillie Gifford 60:40 Worldwide Eq Pension Fund,0.25,False,USD,GBP,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",6.09
BANK OF AMERICA 5.015% 2022-22.07.33 USD,AMERICAN,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
BANK OF AMERICA NOTES 2023-15.09.29 USD,AMERICAN,有数据-待人工核,BOAC34.SA,,非基金-跳过,0,,,,,,,,,,,
BARCLAYS MULTI-MGR GLOBALACCESS EMG MKT EQTY M USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
BARING GLOBAL AGRIC USD ACC NAV USD,GLOBAL,有数据-待人工核,0P0000J1C4.F,,FT无结果,0,,,,,,,,,,,
BARING GLOBAL EMG MKTS A USD ACC NAV USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
BARING GLOBAL RESOURCES A USD DIS USD,GLOBAL,有数据-待人工核,BYQN.F,IE0000931182,FT匹配-份额待核,2,IE0000931182:USD,Barings Global Umbrella Fund - Barings Global Resources Fund Class A USD Inc,0.333,True,USD,USD,False,19,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",34.49
BARING INTL (IRE) GLOBAL EMG MARK USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
BARING LATIN AMERICA A USD DIS USD,AMERICAN,有数据-待人工核,BYQU.F,IE0000828933,FT匹配-份额待核,2,IE0000828933:USD,Barings Emerging Markets Umbrella Fund - Barings Latin America Fund Class A USD Inc,0.333,True,USD,USD,False,19,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",42.90
BARINGS GLOBAL LEADERS FUND CLASS A USD INC USD,GLOBAL,有数据-待人工核,BYQX.SG,IE0030016244,FT匹配,6,IE0030016244:USD,Barings Global Umbrella Fund - Barings Global Leaders Fund Class A USD Inc,0.667,True,USD,USD,True,19,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",36.04
BLACKROCK (LUX) SA GLOBAL GOVERNMENT BD A2 USD USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
BLACKROCK (LUX) SA GLOBAL JAPAN FLXB EQUITY HGD A2 USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
BLACKROCK (LUX) SA GLOBAL SUSTAINABLE ENERGY A2 USD ACC USD,GLOBAL,有数据-重试找回(待核),,LU0124384867,FT无结果,0,,,,,,,,,,,
BLACKROCK (LUX) SA LATIN AMERICAN A2 USD USD,AMERICAN,有数据-待人工核,BRLA.L,LU0072463663,FT无结果,0,,,,,,,,,,,
BLACKROCK (LUXEMBOURG) S.A. FIXED INCOME GLOBAL OPPORTUNITIES A5 USD,GLOBAL,有数据-待人工核,0P00008XI2.SI,LU0280468637,FT无结果,0,,,,,,,,,,,
BLACKROCK GF SYSTEMATIC GLOBAL EQUITY HIGH INCOME FUND D6 INC USD,GLOBAL,有数据-待人工核,MI9R.F,,FT无结果,0,,,,,,,,,,,
BLACKROCK GLOBAL (BGF) ESG MULTI ASSET D2 HGD ACC USD,GLOBAL,有数据-重试找回(待核),,,FT匹配-份额待核,83,LU0827879924:USD,BlackRock Global Funds - ESG Multi-Asset Fund D2 USD Hedged,0.833,True,USD,USD,False,,,,
BLACKROCK GLOBAL FUNDS CHINA A2 USD USD,GLOBAL,有数据-待人工核,0P0000UNZJ,LU0359201612,FT匹配,76,LU0359201612:USD,BlackRock Global Funds - China Fund A2,1.0,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",20.18
BLACKROCK GLOBAL FUNDS FINTECH A2 ACC USD,GLOBAL,有数据-待人工核,0P0001FAHG.F,LU1861217088,FT无结果,0,,,,,,,,,,,
BLACKROCK SYSTEMATIC GLOBAL EQUITY HIGH INCOME A6 INC USD,GLOBAL,有数据-待人工核,0P00014FO3,LU1116320737,FT匹配,112,LU1116320737:USD,BlackRock Global Funds - Systematic Global Equity High Income Fund A6,1.0,True,USD,USD,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",10.10
BLACKROCK SYSTEMATIC GLOBAL SMALLCAP D2 ACC USD,GLOBAL,有数据-待人工核,0P0001MSQE,LU0724617971,FT匹配-份额待核,8,LU0724617971:USD,BlackRock Global Funds - Systematic Global SmallCap Fund D2,1.0,True,USD,USD,False,,,,
BLACKROCK SYSTEMATIC GLOBAL SMALLCAP FUND A2 ACC USD,GLOBAL,有数据-待人工核,0P000137EL,LU0054578231,FT匹配-份额待核,8,LU0054578231:USD,BlackRock Global Funds - Systematic Global SmallCap Fund A2,1.0,True,USD,USD,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",230.24
BLUEBAY GLOBAL SOVEREIGN OPPORTUNITIES C ACC USD,GLOBAL,有数据-待人工核,0P00019Y0W.F,LU1480175907,FT匹配-份额待核,38,LU1480175907:USD,BlueBay Funds - BlueBay Global Sovereign Opportunities Fund C - USD,1.0,True,USD,USD,False,,,,
BNP PARIBAS FUNDS GLOBAL CONVERTIBLE CLASSIC CAPITALISATION USD,GLOBAL,有数据-待人工核,0P0000YSSR,LU0823394779,FT匹配,52,LU0823394779:USD,BNP Paribas Funds Global Convertible Classic Capitalisation,1.0,True,USD,USD,True,,,,
BNP PARIBAS SHS SPONSORED AMERICAN DEPOSITARY RECEIPT REPR 1/2 SH USD,AMERICAN,有数据-待人工核,BNP.PA,,非基金-跳过,0,,,,,,,,,,,
BNY MELLON GLOBAL EQUITY INCOME USD A USD,GLOBAL,有数据-待人工核,0P00000QYA.L,GB0006779986,FT匹配-份额待核,7,IE0004004283:USD,BNY Mellon Sustainable Global Equity Fund USD A Acc,0.75,True,USD,USD,False,19,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",5.07
BNY MELLON GLOBAL REAL RETURN FUND C CLASS ACC USD,GLOBAL,有数据-待人工核,0P0000WK9T.L,,FT匹配-币种不符,2,GB0006780323:GBX,BNY Mellon Investment Funds - Newton Real Return Fund Sterling Income,0.571,False,USD,GBX,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",358.06
BNY MELLON GLOBAL REAL RETURN USD A USD,GLOBAL,有数据-待人工核,0P0000WK9T.L,,FT匹配-币种不符,2,GB0006780323:GBX,BNY Mellon Investment Funds - Newton Real Return Fund Sterling Income,0.571,False,USD,GBX,True,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",358.06
BROWN ADVISORY FDS GLOBAL LEADERS B USD USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
BROWN ADVISORY FDS GLOBAL LEADERS C USD USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
CAM GLOBAL GREATS FUND CLASS R ACC USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
CAM GLOBAL GROWTH FUND CLASS R ACC USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
CAM GLOBAL HIGH EQUITY FUND CLASS R ACC USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
CANACCORD GEN INV SELECT GLOBAL DIVERSITY R USD ACC USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
CANACCORD GENUITY CGWM SELECT GLOBAL OPP ACC USD USD,GLOBAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
CAPITAL INTERNATIONAL - CAPITAL GROUP NEW WORLD FUND Z USD,INTERNATIONAL,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
CAPITAL INTL MGMNT INV CO OF AMERICA LUX Z USD,AMERICAN,有数据-重试找回(待核),,,FT无结果,0,,,,,,,,,,,
CITRINE GLOBAL MULTI-ASSET A ACC USD,GLOBAL,有数据-待人工核,0P0001TXF7.L,,FT无结果,0,,,,,,,,,,,
CS INVEST FUNDS 2 CS GLOBAL BI IN ACC USD,GLOBAL,有数据-误配待换,0P0001CBI5,,FT匹配-币种一致-名称待核,88,LU0458985636:USD,CS Investment Funds 1 - UBS (Lux) Credit Income Fund P-acc,0.2,True,USD,USD,True,19,"Monday, July 20, 2026Mon, Jul ","Thursday, August 13, 2026Thu, ",136.63
CT AMERICAN SELECT 1U USD ACC USD,AMERICAN,有数据-待人工核,FV2J.F,LU1868841674,FT匹配-份额待核,26,LU1868841674:USD,CT (Lux) - American Select Class 1U (USD Accumulation),0.75,True,USD,USD,False,19,"Monday, July 20, 2026Mon, Jul ","Thursday, August 13, 2026Thu, ",10.27
CT GLOBAL FOCUS AU USD USD,GLOBAL,有数据-待人工核,0P0001CZXN.L,LU0061474960,FT匹配,22,LU0061474960:USD,CT (Lux) - Global Focus Class AU (USD Accumulation Shares),0.6,True,USD,USD,True,19,"Monday, July 20, 2026Mon, Jul ","Thursday, August 13, 2026Thu, ",175.99
DIMENSIONAL GLOBAL CORE EQUITY USD ACC USD,GLOBAL,有数据-待人工核,0P0000TIT2.F,,FT匹配-币种不符,2,GB0033772624:GBP,Dimensional Emerging Markets Core Equity Fund Accumulation,0.6,False,USD,GBP,False,20,"Monday, July 20, 2026Mon, Jul ","Friday, August 14, 2026Fri, Au",89.35
DODGE & COX WORLDW GLOBAL STOCK USD ACC USD,GLOBAL,有数据-待人工核,0P0001N3OL.SW,,FT无结果,0,,,,,,,,,,,
DODGE & COX WORLDWIDE GLOBAL USD ACC USD,GLOBAL,有数据-待人工核,0P0001N3OL.SW,,FT无结果,0,,,,,,,,,,,
DVAM GLOBAL EQUITY FOCUS STRATEGY PCP USD A1 ACC USD,GLOBAL,有数据-待人工核,0P0001LIX3.F,,FT无结果,0,,,,,,,,,,,
DVAM GLOBAL EQUITY FOCUS STRATEGY PCP USD B1 ACC USD,GLOBAL,有数据-待人工核,0P0001LIX6.F,,FT无结果,0,,,,,,,,,,,
DVAM GLOBAL EQUITY FOCUS STRATEGY PCP USD D1 ACC USD,GLOBAL,有数据-待人工核,0P0001LIX3.F,,FT无结果,0,,,,,,,,,,,
DVAM GLOBAL EQUITY FOCUS STRATEGY PCP USD E1 ACC USD,GLOBAL,有数据-待人工核,0P0001LIX3.F,,FT无结果,0,,,,,,,,,,,
EUROPEAN INVESTMENT BANK EIB 4.625 % NOTES 2025 12.02.35 GLOBAL USD,GLOBAL,有数据-待人工核,0P0001AKK2.F,,非基金-跳过,0,,,,,,,,,,,
EVELYN GLOBAL BALANCED DIRECT FUND K USD ACC USD,GLOBAL,有数据-待人工核,0P0001LWFA.L,,FT无结果,0,,,,,,,,,,,
EVELYN GLOBAL BALANCED PORTFOLIO A USD ACC USD,GLOBAL,有数据-待人工核,0P0001IS0K.F,,FT无结果,0,,,,,,,,,,,
EVELYN GLOBAL BALANCED PORTFOLIO RETAIL USD ACC USD,GLOBAL,有数据-待人工核,0P0001IS0K.F,,FT无结果,0,,,,,,,,,,,
EVELYN GLOBAL DEFENSIVE PORTFOLIO RETAIL USD ACC USD,GLOBAL,有数据-待人工核,0P0001IRZ3.F,,FT无结果,0,,,,,,,,,,,
EVELYN GLOBAL INCOME PORTFOLIO RETAIL USD ACC USD,GLOBAL,有数据-待人工核,0P0001IS09.F,,FT无结果,0,,,,,,,,,,,
FED HERMES GLOBAL EMERGING MARKETS EX CHINA EQUITY FUND CLASS M ACC USD,GLOBAL,有数据-待人工核,0P0001PITB.F,,FT无结果,0,,,,,,,,,,,
FEDERATED HERMES GLOBAL EMERGING MARKETS EQUITY FUND F USD ACCUMULATING USD,GLOBAL,有数据-待人工核,0P0001PITB.F,,FT无结果,0,,,,,,,,,,,
