name,category,isin,ft_name,yahoo_symbol
BARING GLOBAL RESOURCES A USD DIS USD,GLOBAL,IE0000931182,Barings Global Umbrella Fund - Barings Global Resources Fund Class A USD Inc,BYQN.F
BARING LATIN AMERICA A USD DIS USD,AMERICAN,IE0000828933,Barings Emerging Markets Umbrella Fund - Barings Latin America Fund Class A USD Inc,BYQU.F
BARINGS GLOBAL LEADERS FUND CLASS A USD INC USD,GLOBAL,IE0030016244,Barings Global Umbrella Fund - Barings Global Leaders Fund Class A USD Inc,BYQX.SG
BLACKROCK (LUX) SA BGF GLOBAL INFL L A2 USD,GLOBAL,LU0425308086,BlackRock Global Funds - Global Inflation Linked Bond Fund A2 USD,
BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPP A2 USD USD,GLOBAL,LU0278466700,BlackRock Global Funds - Fixed Income Global Opportunities Fund A2,
BLACKROCK (LUX) SA GLOBAL ALLOCATION A2 USD ACC USD,GLOBAL,LU0072462426,BlackRock Global Funds - Global Allocation Fund A2,MRLOX
BLACKROCK (LUX) SA GLOBAL EVENT DRIVEN D2 USD ACC USD,GLOBAL,LU1251621188,BlackRock Strategic Funds - Global Event Driven Fund D2 USD,0P00016JAM
BLACKROCK (LUX) SA Global Long-Horizon Equity Fund A USD USD,GLOBAL,LU0011850046,BlackRock Global Funds - Global Long-Horizon Equity Fund A2,BDMAX
BLACKROCK (LUX) SA GLOBAL MULTI-ASSET INCOME A2 USD ACC USD,GLOBAL,LU1323998911,BlackRock Global Funds - Asian Multi-Asset Income Fund A2,0P00017CB4
BLACKROCK (LUX) SA GLOBAL SUSTAINABLE ENERGY A2 USD ACC USD,GLOBAL,LU0124384867,BlackRock Global Funds - Sustainable Energy Fund A2,
BLACKROCK (LUX) SA LATIN AMERICAN A2 USD USD,AMERICAN,LU0072463663,BlackRock Global Funds - Latin American Fund A2,BRLA.L
BLACKROCK (LUXEMBOURG) S.A. FIXED INCOME GLOBAL OPPORTUNITIES A5 USD,GLOBAL,LU0280468637,BlackRock Global Funds - Fixed Income Global Opportunities Fund A5 SGD Hedged,0P00008XI2.SI
BLACKROCK GLOBAL ALLOCATION FUND D10 INC USD,GLOBAL,LU2943721485,BlackRock Global Funds - Global Allocation Fund D10,0P0001UKBP
BLACKROCK GLOBAL DYNAMIC HIGH INCOME FUND D6 USD,GLOBAL,LU1564329388,BlackRock Global Funds - Dynamic High Income Fund D6,0P0001CP0L
BLACKROCK GLOBAL FUNDS CHINA A2 USD USD,GLOBAL,LU0359201612,BlackRock Global Funds - China Fund A2,0P0000UNZJ
BLACKROCK GLOBAL FUNDS FINTECH A2 ACC USD,GLOBAL,LU1861217088,BlackRock Global Funds - FinTech Fund A2,0P0001FAHG.F
BLACKROCK GLOBAL FUNDS SICAV - ASIAN DRAGON FUND D2 ACC USD,GLOBAL,LU0411709560,BlackRock Global Funds - Asian Dragon Fund D2,0P0000JI29
BLACKROCK GLOBAL UNCONSTRAINED EQUITY D ACC USD,GLOBAL,LU2720917223,BlackRock Global Funds - Global Unconstrained Equity Fund X2 USD Accumulation,0P0001SS6L
BLACKROCK SYSTEMATIC GLOBAL EQUITY HIGH INCOME A6 INC USD,GLOBAL,LU1116320737,BlackRock Global Funds - Systematic Global Equity High Income Fund A6,0P00014FO3
BLACKROCK SYSTEMATIC GLOBAL SMALLCAP D2 ACC USD,GLOBAL,LU0724617971,BlackRock Global Funds - Systematic Global SmallCap Fund D2,0P0001MSQE
BLACKROCK SYSTEMATIC GLOBAL SMALLCAP FUND A2 ACC USD,GLOBAL,LU0054578231,BlackRock Global Funds - Systematic Global SmallCap Fund A2,0P000137EL
BLUEBAY GLOBAL SOVEREIGN OPPORTUNITIES C ACC USD,GLOBAL,LU1480175907,BlueBay Funds - BlueBay Global Sovereign Opportunities Fund C - USD,0P00019Y0W.F
BLUEBOX GLOBAL TECHNOLOGY FUND A ACC USD,GLOBAL,LU1793345262,BlueBox Funds - BlueBox Global Technology Fund Class A USD Acc,0P0001KEXS
BLUEBOX GLOBAL TECHNOLOGY FUND CLASS C ACC USD,GLOBAL,LU2092176275,BlueBox Funds - BlueBox Global Technology Fund Class C Acc,0P0001LWPD
BNP PARIBAS FUNDS GLOBAL CONVERTIBLE CLASSIC CAPITALISATION USD,GLOBAL,LU0823394779,BNP Paribas Funds Global Convertible Classic Capitalisation,0P0000YSSR
BNY MELLON GLOBAL EQUITY INCOME USD A USD,GLOBAL,GB0006779986,BNY Mellon Global Equity Fund Sterling Income,0P00000QYA.L
CT AMERICAN SELECT 1U USD ACC USD,AMERICAN,LU1868841674,CT (Lux) - American Select Class 1U (USD Accumulation),FV2J.F
CT AMERICAN SELECT AU USD ACC USD,AMERICAN,LU0112528004,CT (Lux) - American Select Class AU (USD Accumulation Shares),0P00000SKQ
CT GLOBAL FOCUS AU USD USD,GLOBAL,LU0061474960,CT (Lux) - Global Focus Class AU (USD Accumulation Shares),0P0001CZXN.L
CURATE GLOBAL SUSTAINABLE EQUITY FUND A USD ACC USD,GLOBAL,LU2000525019,Curate Global Sustainable Equity Fund A USD Acc,0P0001KPAS
CURATE GLOBAL SUSTAINABLE EQUITY FUND B USD ACC USD,GLOBAL,LU2000525100,Curate Global Sustainable Equity Fund B USD Acc,0P0001NAGP
DIMENSIONAL GLOBAL SHORT FIXED INCOME USD ACC USD,GLOBAL,IE0030982627,Dimensional Global Short Fixed Income Fund USD Accumulation,0P0000J2A3
FF GLOBAL DEMOGRAPHICS FUND A ACC USD,GLOBAL,LU0528227936,FF - Global Demographics Fund A-Acc-USD,Y1B0.MU
FF GLOBAL DIVIDEND PLUS FUND A ACC USD,GLOBAL,LU2242646235,FF - Global Dividend Plus Fund A-Acc-USD,
