name,isin_cur,expected_cur,symbol_old,usable,reason
MFS MERIDIAN FUNDS GLOBAL TOTAL RETURN A1 USD CAP USD,LU0219441499:USD,USD,FHTF.MU,CUR_MISMATCH,Yahoo仅有EUR/其他币种份额，需EODHD或人工
NINETY ONE GLOBAL MULTI-ASSET INC A INC-2 USD,LU1800671676:USD,USD,0P0000URPG,NO_SYMBOL,Yahoo无USD符号，建议EODHD按ISIN拉
ROBECO GLOBAL CONSUMER TRENDS EQUITIES CID USD USD,LU0554840073:USD,USD,XRQ3.F,NO_SYMBOL,Yahoo无USD符号，建议EODHD按ISIN拉
SANDS CAPITAL FUND GLOBAL GROWTH A USD ACC USD,LU0990495888:USD,USD,,NO_SYMBOL,Yahoo无USD符号，建议EODHD按ISIN拉
Schroder Int Sel Global Energy A Acc USD,LU0256331488:USD,USD,0P000019EE,NO_SYMBOL,Yahoo无USD符号，建议EODHD按ISIN拉
SCHRODER INT SEL GLOBAL EQUITY A USD ACC USD,LU0215105999:USD,USD,ZJPC.F,CUR_MISMATCH,Yahoo仅有EUR/其他币种份额，需EODHD或人工
Schroder Int Sel Global Equity Alpha A USD Acc USD,LU0225283273:USD,USD,HV8M.MU,CUR_MISMATCH,Yahoo仅有EUR/其他币种份额，需EODHD或人工
SCHRODER INTERNATIONAL SELECTION FUND EMERGING MARKETS DEBT TOTAL RETURN A ACC USD,LU0106253197:USD,USD,HV8C.F,CUR_MISMATCH,Yahoo仅有EUR/其他币种份额，需EODHD或人工
SCHRODER ISF GLOBAL HIGH YIELD C ACC USD,LU0189893794:USD,USD,SRVT.F,CUR_MISMATCH,Yahoo仅有EUR/其他币种份额，需EODHD或人工
T ROWE GLOBAL FOCUSED GROWTH EQUITY Q USD USD,LU0143551892:USD,USD,0P0001EVSL,CUR_MISMATCH,Yahoo仅有EUR/其他币种份额，需EODHD或人工
