name,category,kind,cand_isin,isin_confident,ft_hist_url,ft_search_url,fundinfo_url,wallstreet_url,note
BBVA KYTE GLOBAL MARKETS QTLY PHOENIX AC WITH MEM USD USD,GLOBAL,结构性,,,,https://markets.ft.com/data/search?query=BBVA%20KYTE%20GLOBAL%20MARKETS%20QTLY%20PHOENIX%20AC%20WITH%20MEM%20USD%20USD,https://www.fundinfo.com/en/search?query=BBVA%20KYTE%20GLOBAL%20MARKETS%20QTLY%20PHOENIX%20AC%20WITH%20MEM%20USD%20USD,https://www.wallstreet-online.de/suche?suchbegriff=BBVA%20KYTE%20GLOBAL%20MARKETS%20QTLY%20PHOENIX%20AC%20WITH%20MEM%20USD%20USD,免费源无解
BLACKROCK (LUX) SA BGF GLOBAL INFL L A2 USD,GLOBAL,基金,LU0425308086:USD,待核,https://markets.ft.com/data/funds/tearsheet/historical?s=LU0425308086:USD,https://markets.ft.com/data/search?query=BLACKROCK%20%28LUX%29%20SA%20BGF%20GLOBAL%20INFL%20L%20A2%20USD,https://www.fundinfo.com/en/search?query=BLACKROCK%20%28LUX%29%20SA%20BGF%20GLOBAL%20INFL%20L%20A2%20USD,https://www.wallstreet-online.de/suche?suchbegriff=BLACKROCK%20%28LUX%29%20SA%20BGF%20GLOBAL%20INFL%20L%20A2%20USD,人工搜索确认份额/币种后下载
BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPP A2 USD USD,GLOBAL,基金,LU0278466700:USD,待核,https://markets.ft.com/data/funds/tearsheet/historical?s=LU0278466700:USD,https://markets.ft.com/data/search?query=BLACKROCK%20%28LUX%29%20SA%20FIXED%20INCOME%20GLOBAL%20OPP%20A2%20USD%20USD,https://www.fundinfo.com/en/search?query=BLACKROCK%20%28LUX%29%20SA%20FIXED%20INCOME%20GLOBAL%20OPP%20A2%20USD%20USD,https://www.wallstreet-online.de/suche?suchbegriff=BLACKROCK%20%28LUX%29%20SA%20FIXED%20INCOME%20GLOBAL%20OPP%20A2%20USD%20USD,人工搜索确认份额/币种后下载
BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPPS D5 USD,GLOBAL,基金,LU0737136415:USD,待核,https://markets.ft.com/data/funds/tearsheet/historical?s=LU0737136415:USD,https://markets.ft.com/data/search?query=BLACKROCK%20%28LUX%29%20SA%20FIXED%20INCOME%20GLOBAL%20OPPS%20D5%20USD,https://www.fundinfo.com/en/search?query=BLACKROCK%20%28LUX%29%20SA%20FIXED%20INCOME%20GLOBAL%20OPPS%20D5%20USD,https://www.wallstreet-online.de/suche?suchbegriff=BLACKROCK%20%28LUX%29%20SA%20FIXED%20INCOME%20GLOBAL%20OPPS%20D5%20USD,人工搜索确认份额/币种后下载
CAPITAL CITIGROUP GLOBAL MARKETS FUNDING MEMORY COUPON USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=CAPITAL%20CITIGROUP%20GLOBAL%20MARKETS%20FUNDING%20MEMORY%20COUPON%20USD,https://www.fundinfo.com/en/search?query=CAPITAL%20CITIGROUP%20GLOBAL%20MARKETS%20FUNDING%20MEMORY%20COUPON%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAPITAL%20CITIGROUP%20GLOBAL%20MARKETS%20FUNDING%20MEMORY%20COUPON%20USD,人工搜索确认份额/币种后下载
CAUSEWAY BBVA GLOBAL QUAD INCOME USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=CAUSEWAY%20BBVA%20GLOBAL%20QUAD%20INCOME%20USD,https://www.fundinfo.com/en/search?query=CAUSEWAY%20BBVA%20GLOBAL%20QUAD%20INCOME%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAUSEWAY%20BBVA%20GLOBAL%20QUAD%20INCOME%20USD,人工搜索确认份额/币种后下载
CAUSEWAY BBVA GLOBAL QUAD PHOENIX NOTE 2 USD,GLOBAL,结构性,,,,https://markets.ft.com/data/search?query=CAUSEWAY%20BBVA%20GLOBAL%20QUAD%20PHOENIX%20NOTE%202%20USD,https://www.fundinfo.com/en/search?query=CAUSEWAY%20BBVA%20GLOBAL%20QUAD%20PHOENIX%20NOTE%202%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAUSEWAY%20BBVA%20GLOBAL%20QUAD%20PHOENIX%20NOTE%202%20USD,免费源无解
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 3 USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%203%20USD,https://www.fundinfo.com/en/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%203%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%203%20USD,人工搜索确认份额/币种后下载
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 4 USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%204%20USD,https://www.fundinfo.com/en/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%204%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%204%20USD,人工搜索确认份额/币种后下载
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 7 USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%207%20USD,https://www.fundinfo.com/en/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%207%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%207%20USD,人工搜索确认份额/币种后下载
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 8 USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%208%20USD,https://www.fundinfo.com/en/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%208%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%208%20USD,人工搜索确认份额/币种后下载
CAUSEWAY BNP PARIBAS GLOBAL INCOME LOCK IN NOTE 9 USD,GLOBAL,基金,,,,https://markets.ft.com/data/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%209%20USD,https://www.fundinfo.com/en/search?query=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%209%20USD,https://www.wallstreet-online.de/suche?suchbegriff=CAUSEWAY%20BNP%20PARIBAS%20GLOBAL%20INCOME%20LOCK%20IN%20NOTE%209%20USD,人工搜索确认份额/币种后下载
