ticker,strategy_no,condition,own_avg,new_dates,marginal_avg
FNPSX,2,combo_GDX_big_up__ext_jnk_spread_down,0.28681866384725124,311,0.3013539264379792
FNPSX,3,FXY_up_up_down_GDX_QQQ,0.3767541570915228,203,0.30226572560143233
FNPSX,4,combo_JNK_down__ext_sect_rotation_ge0_5,0.44166471111469474,164,0.3019324228355854
FNPSX,5,JNK_up_up_up_TIP_XLF,0.36973022593210175,153,0.3589241147082877
GVPSX,1,combo_TLT_down__self_3down,0.2066190604415276,399,0.2066190604415276
HCPIX,1,FXY_up_up_down_GDX_QQQ,0.3626694194731027,494,0.3626694194731027
HCPIX,2,LQD_up_up_down_XLC_XLE,0.4075348262551321,158,0.40023102849113373
HCPIX,3,combo_SLV_big_up__ext_sect_rotation_le-0_5,0.3912219263187004,93,0.4084084393361495
HCPSX,1,FXY_up_up_down_GDX_QQQ,0.36339481518028566,485,0.36339481518028566
HCPSX,2,LQD_up_up_down_XLC_XLE,0.4054200996471362,158,0.3979035739431748
HCPSX,3,combo_SLV_big_up__ext_sect_rotation_le-0_5,0.38710230302160015,93,0.40428978947879657
IDPIX,1,GDX_up_XLK_down,0.37524318808443363,501,0.37524318808443363
IDPIX,2,GDX_up_up_down_LQD_XLF,0.320061930094326,155,0.30273243005012657
IDPIX,3,combo_QQQ_up__self_down,0.2768363141979959,183,0.30015788307974295
IDPIX,4,FXY_up_up_down_GLD_XLF,0.24422317124380677,130,0.3192814583153517
IDPIX,5,combo_SPY_down__ext_usd_gold_ratio_le-1,0.21605680791099116,113,-0.43792325577918506
IDPSX,1,GDX_up_down_down_SPY_XLK,0.40390536652547915,404,0.4039053665254792
IDPSX,2,QQQ_down_up_up_SLV_XLE,0.3725495901932821,137,0.30809799466815696
IDPSX,3,combo_SPY_down__ext_usd_gold_ratio_le-1,0.24354500791763756,115,-0.4069653790014188
IDPSX,4,combo_SLV_big_up__self_down,0.28419866133294114,175,0.32181490448850336
IDPSX,5,GDX_up_up_down_LQD_XLF,0.289913479681369,124,0.3006283743943729
INPIX,1,GLD_up_down_down_XLF_XLK,0.4879897632391866,342,0.4879897632391866
INPIX,2,GLD_down_up_up_QQQ_TIP,0.3269262928734545,376,0.3269262928734545
INPIX,3,TIP_up_down_up_XLE_XLV,0.3101540086458569,172,0.3348932829976487
INPIX,4,GLD_up_down_down_LQD_XLK,0.31322194643351536,158,0.31573934053003183
INPIX,5,GLD_up_down_down_SPY_UUP,0.21895128314083612,118,-0.4342453221369797
INPSX,1,combo_IWM_down__ext_usd_gold_ratio_le-1,0.6211082197446602,206,0.6211082197446602
INPSX,2,FXY_up_up_up_IWM_TIP,0.31093193090646737,384,0.31093193090646737
INPSX,3,GLD_up_down_down_LQD_XLK,0.3010063862453677,241,0.3005624854110701
INPSX,4,TIP_up_down_up_XLE_XLV,0.3086989961687346,159,0.35642152714917946
INPSX,5,GLD_down_up_up_SPY_TIP,0.2973396775275654,272,0.3236472091070798
LGPIX,1,combo_XLV_down__ext_usd_gold_ratio_le-1,0.43304150421272863,191,0.43304150421272863
LGPSX,1,combo_XLV_down__ext_usd_gold_ratio_le-1,0.42871399658942483,191,0.42871399658942483
LVPIX,1,combo_XLV_down__ext_usd_gold_ratio_le-1,0.45123116620288906,184,0.45123116620288906
LVPSX,1,combo_XLV_down__ext_usd_gold_ratio_le-1,0.44528940522029814,168,0.44528940522029814
MDPIX,1,GDX_up_down_down_SPY_XLF,0.2931349460820169,393,0.2931349460820169
MDPSX,1,GDX_up_down_down_IWM_XLF,0.2805766926817632,387,0.2805766926817633
MGPIX,1,GDX_up_down_down_XLF_XLK,0.27589538516662093,400,0.27589538516662093
MGPSX,1,GDX_up_down_down_XLF_XLK,0.2712729139570114,400,0.2712729139570114
MLPIX,1,GDX_up_down_down_SPY_XLF,0.42021209828572176,216,0.42021209828572176
MLPSX,1,GDX_up_down_down_SPY_XLF,0.4170282475380811,219,0.4170282475380811
OEPIX,1,combo_XLU_big_down__ext_vix_close_up,0.3306704684505921,519,0.330670468450592
OEPIX,2,TLT_down_up_down_XLE_XLU,0.2644462087589909,341,0.3278801773418779
OEPIX,3,GLD_down_up_up_SPY_XLC,0.34941587430024384,224,0.35335510665449876
OEPIX,4,GLD_up_down_down_QQQ_XLC,0.34950780199254006,153,0.3015841047472023
OEPIX,5,combo_XLC_up__ext_jnk_spread_ge0_5,0.24066265794009267,103,0.4122506945468229
OEPSX,1,combo_XLU_big_down__ext_vix_20dvol_up,0.3241303404757116,532,0.3241303404757116
OEPSX,2,TLT_down_up_down_XLE_XLU,0.2612913745899504,337,0.34222288487328134
OEPSX,3,GLD_down_up_up_SPY_XLC,0.3438672938010836,224,0.347178480270109
OEPSX,4,TLT_down_down_down_XLK_XLU,0.28996537771050795,115,-0.33662296976168926
OEPSX,5,GLD_up_up_down_SLV_XLC,0.3181424815643863,160,0.3241268891484725
OTPIX,1,combo_XLF_big_down__self_down,0.252456414304231,749,0.252456414304231
OTPIX,2,GDX_up_down_down_SPY_XLC,0.30740105810847324,126,0.3019853054366354
OTPIX,3,GLD_down_down_up_QQQ_XLF,0.29180785242944945,123,0.3006568319933041
OTPIX,4,XLC_down_down_down_XLK_XLV,0.21260489994706233,113,-0.34993879245276593
OTPIX,5,FXY_down_down_up_SPY_TIP,0.2536867774661462,98,0.38543564474955455
OTPSX,1,combo_IWM_down__ext_usd_gold_ratio_le-1,0.33768677693687293,300,0.3376867769368729
PHPIX,1,FXY_up_up_down_GDX_QQQ,0.35046072137690665,468,0.3504607213769067
PHPIX,2,combo_GLD_big_up__self_down,0.25603814487457377,148,0.321149339337295
PHPIX,3,FXY_up_down_up_QQQ_XLE,0.27393045668955335,96,0.40072911033713404
PHPIX,4,combo_XLV_down__ext_usd_gold_ratio_le-1,0.29701714453732186,60,-0.33586245587099145
PHPIX,5,combo_ext_usd_gold_ratio_le-1__self_down,0.2151781361472373,25,0.3522817917319262
PHPSX,1,FXY_up_up_down_GDX_QQQ,0.34354189868400403,462,0.34354189868400403
PHPSX,2,IWM_up_up_down_LQD_SLV,0.2999828179880039,160,0.3050519079767598
PHPSX,3,IWM_down_XLC_up,0.2974317673509756,155,0.31249713908598525
PHPSX,4,combo_GLD_big_up__self_down,0.2532360696094564,134,0.3380573354034156
PHPSX,5,combo_GDX_big_down__self_up,0.27653839574751365,107,0.31504809032411185
PMPIX,1,combo_ext_sect_rotation_up__self_big_down,0.5729399031604261,521,0.572939903160426
PMPIX,2,combo_XLU_big_up__ext_vix_chg_down,0.3808174404188083,464,0.3633666344141773
PMPIX,3,combo_SPY_big_down__ext_vix_close_up,0.4011739401904184,393,0.3080062713135701
PMPIX,4,combo_TLT_down__ext_usd_gold_ratio_ge1,0.32881683479096524,234,0.31197362724837757
PMPIX,5,UUP_up_down_up_XLK_XLU,0.32027220177978055,183,0.37189585920402346
PMPSX,1,combo_ext_sect_rotation_up__self_big_down,0.5827151396860079,525,0.5827151396860079
PMPSX,2,combo_XLU_big_up__ext_vix_chg_down,0.37656185312375806,463,0.34969356222428916
PMPSX,3,combo_QQQ_big_down__ext_vix_5dchg_up,0.3700099343235925,403,0.33495645533337143
PMPSX,4,combo_TLT_down__ext_usd_gold_ratio_ge1,0.3231244742004767,233,0.327618216222757
PMPSX,5,combo_XLC_up__ext_vix_5dchg_up,0.3530625195919565,175,0.3196385503092739
REPIX,1,combo_XLF_big_down__ext_tnx_yield_ge1,0.4895611858251699,696,0.48956118582516994
REPIX,2,GDX_up_XLV_down,0.3242834279669484,297,0.32063505563785666
REPIX,3,UUP_down_XLV_down,0.21493327289253716,85,-0.39349790817958624
REPIX,4,GLD_up_up_down_LQD_XLU,0.2874445482527154,114,0.3017947586419917
REPIX,5,combo_XLK_big_down__ext_tnx_chgbp_down,0.3277562607149255,120,0.3084429345002043
REPSX,1,combo_XLF_big_down__ext_tnx_yield_ge1,0.49033578288370294,696,0.49033578288370294
REPSX,2,GDX_up_XLF_down,0.36019881245599983,358,0.31778254078921553
REPSX,3,SLV_up_up_down_TIP_XLV,0.34433817651968734,111,0.3455242467114125
REPSX,4,IWM_up_up_down_SLV_XLF,0.30157570939742495,108,0.34106654008601356
REPSX,5,GDX_up_XLV_down,0.2872916185516155,82,-0.3699249090528616
RRPIX,1,combo_XLV_big_down__ext_sect_rotation_up,0.2924330411360788,209,0.2924330411360788
RRPSX,1,combo_XLV_big_down__ext_sect_rotation_up,0.29149180272618985,196,0.29149180272618985
SGPIX,1,GDX_up_down_down_SPY_XLF,0.33284217252921583,326,0.3328421725292158
SGPIX,2,GDX_up_down_down_SPY_UUP,0.3906175860139122,79,0.30040529116368925
SGPIX,3,GDX_up_down_down_XLC_XLK,0.21084687100406335,36,-0.32213700689431946
SGPIX,4,GDX_up_down_down_SPY_XLC,0.28236617716268175,2,-1.1107246954510501
SGPSX,1,GDX_up_down_down_SPY_XLK,0.3083561336376136,390,0.30835613363761366
SGPSX,2,combo_XLK_down__ext_usd_gold_ratio_le-1,0.40743956938141773,43,-0.3799070474421733
SGPSX,3,GDX_up_up_down_LQD_XLK,0.22845041494165885,39,0.30189116837098484
SGPSX,4,GDX_up_down_down_IWM_QQQ,0.2814429435966149,33,0.32469058714139215
SGPSX,5,GDX_up_down_down_SPY_XLC,0.26742344555191105,16,0.34311446494495873
SLPIX,1,GDX_up_down_down_XLF_XLK,0.32072459112924045,366,0.32072459112924034
SLPIX,2,GDX_up_down_down_JNK_XLF,0.43407317191806494,53,0.3210549911471683
SLPIX,3,combo_SPY_down__ext_usd_gold_ratio_le-1,0.3538280947422153,61,-0.3051176319739573
SLPIX,4,GDX_up_down_down_XLC_XLK,0.220738172431958,37,-0.3078380335958586
SLPSX,1,GDX_up_down_down_XLF_XLK,0.3314921801370492,331,0.3314921801370492
SMPIX,1,combo_QQQ_down__ext_vix_5dchg_up,0.6803899186045047,591,0.6803899186045047
SMPIX,2,combo_FXY_up__ext_usd_gold_ratio_down,0.38905458023045514,567,0.3134487397545506
SMPIX,3,IWM_down_UUP_down,0.2563317515945778,447,0.31958207718221243
SMPIX,4,combo_GDX_down__ext_stk_bon_corr_up,0.3031825488470404,312,0.3220030456891624
SMPIX,5,combo_XLF_big_down__ext_vix_close_up,0.45835652079623374,315,0.3117931023348098
SMPSX,1,GDX_up_down_down_SPY_XLK,0.776918223035151,441,0.776918223035151
SMPSX,2,combo_IWM_down__self_down,0.3605961852166687,747,0.3096629042745116
SMPSX,3,GLD_down_up_up_JNK_XLF,0.3028942247474755,508,0.30145122170928146
SMPSX,4,TLT_down_UUP_down,0.3231157399275742,330,0.30746468199717497
SMPSX,5,QQQ_down_down_down_TIP_XLV,0.34723768904615665,297,0.30268076406445443
SNPIX,1,QQQ_up_up_up_XLC_XLV,0.3705735828518337,158,0.37057358285183367
SNPSX,1,SPY_up_up_up_XLC_XLK,0.4212866628776488,147,0.4212866628776488
SPPIX,1,GLD_up_up_down_XLE_XLV,0.28976361890412705,421,0.28976361890412705
SPPSX,1,GLD_up_up_down_XLE_XLV,0.293234602950354,421,0.2932346029503539
SVPIX,1,GDX_up_down_down_SPY_XLK,0.3025111483423076,394,0.3025111483423076
SVPIX,2,GDX_up_SPY_down,0.3050664457341833,57,0.4933149351641716
SVPIX,3,GDX_up_up_down_GLD_SPY,0.2211802503797243,62,-0.30484853127831213
SVPSX,1,GDX_up_down_down_SPY_XLK,0.3010347861695245,406,0.30103478616952456
SVPSX,2,GDX_up_down_down_SPY_XLF,0.3580917600249036,65,0.33113822289569916
SVPSX,3,GDX_up_up_down_GLD_SPY,0.20884223191418838,60,-0.3415087430045848
TEPIX,1,GLD_up_down_down_XLF_XLK,0.6243476849869445,345,0.6243476849869445
TEPIX,2,TIP_up_down_up_XLE_XLK,0.342880230443445,445,0.34288023044344507
TEPIX,3,combo_XLC_down__ext_sect_rotation_down,0.4046512512459379,329,0.34527886290796334
TEPIX,4,GDX_up_up_up_JNK_XLC,-0.22473465092329656,287,-0.31808907542007536
TEPSX,1,GLD_up_down_down_XLF_XLK,0.6281432275861261,345,0.6281432275861261
TEPSX,2,TIP_up_down_up_XLE_XLK,0.3305604406235067,445,0.3305604406235068
TEPSX,3,combo_XLC_down__ext_sect_rotation_down,0.37947903854665077,329,0.30422435682742155
TEPSX,4,GDX_up_up_up_JNK_XLC,-0.2291067385780444,287,-0.3231836173973123
UAPIX,1,EEM_down_down_down_XLE_XLF,0.3708032870475718,1177,0.37080328704757176
UAPIX,2,self_big_down,0.2651197775974032,490,0.30065092512071306
UAPIX,3,combo_XLK_down__ext_stk_bon_corr_down,0.3497438689412046,423,0.312585861449687
UAPIX,4,GLD_down_up_up_HYG_TIP,0.23029233298921473,274,0.3276191784924835
UAPIX,5,GDX_up_up_up_SLV_TIP,0.37707812891888925,214,0.3319391353891575
UAPSX,1,EEM_down_down_down_XLE_XLF,0.36934303069731544,1178,0.36934303069731544
UAPSX,2,combo_SPY_down__self_big_down,0.27103448064252456,441,0.3182689733341888
UAPSX,3,FXY_up_up_up_TIP_XLU,0.33769483171830783,334,0.33155847550043543
UAPSX,4,GDX_up_down_down_QQQ_SPY,0.3295599862131624,231,0.3051287399310651
UAPSX,5,combo_GDX_big_down__ext_jnk_spread_down,0.20119212818129367,199,0.33468521189707384
UBPIX,1,GDX_up_XLC_down,0.8248435331433064,302,0.8248435331433064
UBPIX,2,combo_GDX_up__ext_sect_rotation_le-0_5,0.3860091933429038,297,0.3162616418963832
UBPIX,3,combo_QQQ_big_down__ext_vix_chg_up,0.4286886967193074,466,0.3049423672823065
UBPIX,4,combo_XLE_down__ext_vix_5dchg_ge10,0.26945009979453427,281,0.3062811001632148
UBPIX,5,TIP_down_up_up_XLC_XLF,0.35602891606271847,210,0.36086979451906387
UBPSX,1,GDX_up_XLC_down,0.8211538002248276,302,0.8211538002248276
UBPSX,2,combo_GDX_up__ext_sect_rotation_le-0_5,0.38123948136505287,297,0.31165335144625883
UBPSX,3,combo_QQQ_big_down__ext_vix_chg_up,0.42339920746004434,466,0.30045469170038325
UBPSX,4,combo_XLE_down__ext_vix_5dchg_ge10,0.2648578811505755,281,0.30174541646456937
UBPSX,5,TIP_down_up_up_XLC_XLF,0.3391517456553137,210,0.3412876330265307
UCPIX,1,JNK_up_down_up_LQD_XLC,0.3188250673844444,132,0.3188250673844444
UCPSX,1,GDX_down_up_up_XLC_XLF,0.3837824191168044,124,0.3837824191168045
UDPIX,1,combo_XLV_big_down__self_down,0.49485764227744494,530,0.49485764227744483
UDPIX,2,GDX_up_up_down_GLD_XLK,0.5069499270447295,352,0.31982081275292934
UDPIX,3,SPY_up_up_down_TIP_XLE,0.32317854673967544,310,0.31442591747788223
UDPIX,4,IWM_down_down_down_UUP_XLV,0.23076303184692243,243,-0.32326141113780055
UDPIX,5,combo_XLF_big_down__self_down,0.3576928696596625,308,0.37880312460311155
UDPSX,1,combo_XLV_big_down__self_down,0.491111348745088,529,0.491111348745088
UDPSX,2,GDX_up_up_down_GLD_XLK,0.5039885210672755,352,0.31734701853675973
UDPSX,3,SPY_up_up_down_TIP_XLE,0.3150537931221104,289,0.30350969866397437
UDPSX,4,IWM_down_down_down_UUP_XLV,0.2279331951610922,243,-0.32535010812054305
UDPSX,5,combo_XLF_big_down__self_down,0.3541974115773898,307,0.3731534616110329
UEPIX,1,GDX_up_SPY_down,0.42067837659488816,128,0.42067837659488816
UEPSX,1,GDX_up_SPY_down,0.41068305989173765,141,0.41068305989173776
UFPIX,1,LQD_down_down_down_SLV_XLF,0.24212589430949344,435,0.24212589430949344
UFPSX,1,LQD_down_down_down_SLV_XLF,0.23775407696753612,435,0.23775407696753612
UGPIX,1,FXY_up_up_down_GDX_QQQ,0.6838403638136626,474,0.6838403638136626
UGPIX,2,combo_FXY_up__ext_sect_rotation_down,0.3707794767849701,524,0.3198796600686729
UGPIX,3,GLD_up_down_down_SPY_XLV,0.3707036012972359,317,0.3127689740294023
UGPIX,4,combo_XLU_big_up__ext_vix_chg_down,0.31837838420773373,307,0.3013719837584405
UGPIX,5,EEM_down_up_down_FXY_IWM,0.21304182231467272,222,-0.3534610653580795
UGPSX,1,IWM_down_down_down_UUP_XLK,0.9506305436504626,243,0.9506305436504625
UGPSX,2,FXY_up_QQQ_down,0.3108581690801307,859,0.30498868776399746
UGPSX,3,combo_XLU_big_up__ext_vix_chg_down,0.3879557314259462,330,0.3514679182612747
