condition,horizon,eligible_funds,pass_signals
EEM_up_FXY_up_GDX_up,1,127,4
EEM_up_FXY_up_GDX_up,2,127,0
EEM_up_FXY_up_GDX_up,3,127,0
EEM_down_FXY_down_GDX_down,1,128,0
EEM_down_FXY_down_GDX_down,2,128,0
EEM_down_FXY_down_GDX_down,3,128,0
EEM_up_FXY_up_GDX_down,1,0,0
EEM_up_FXY_up_GDX_down,2,0,0
EEM_up_FXY_up_GDX_down,3,0,0
EEM_up_FXY_down_GDX_up,1,126,0
EEM_up_FXY_down_GDX_up,2,126,0
EEM_up_FXY_down_GDX_up,3,126,0
EEM_down_FXY_up_GDX_up,1,126,49
EEM_down_FXY_up_GDX_up,2,126,11
EEM_down_FXY_up_GDX_up,3,126,19
EEM_down_FXY_down_GDX_up,1,126,2
EEM_down_FXY_down_GDX_up,2,126,8
EEM_down_FXY_down_GDX_up,3,126,8
EEM_down_FXY_up_GDX_down,1,0,0
EEM_down_FXY_up_GDX_down,2,0,0
EEM_down_FXY_up_GDX_down,3,0,0
EEM_up_FXY_down_GDX_down,1,126,0
EEM_up_FXY_down_GDX_down,2,126,0
EEM_up_FXY_down_GDX_down,3,126,0
EEM_up_FXY_up_GLD_up,1,127,5
EEM_up_FXY_up_GLD_up,2,127,0
EEM_up_FXY_up_GLD_up,3,127,0
EEM_down_FXY_down_GLD_down,1,127,0
EEM_down_FXY_down_GLD_down,2,127,2
EEM_down_FXY_down_GLD_down,3,127,2
EEM_up_FXY_up_GLD_down,1,0,0
EEM_up_FXY_up_GLD_down,2,0,0
EEM_up_FXY_up_GLD_down,3,0,0
EEM_up_FXY_down_GLD_up,1,126,0
EEM_up_FXY_down_GLD_up,2,126,0
EEM_up_FXY_down_GLD_up,3,126,0
EEM_down_FXY_up_GLD_up,1,126,17
EEM_down_FXY_up_GLD_up,2,126,10
EEM_down_FXY_up_GLD_up,3,126,7
EEM_down_FXY_down_GLD_up,1,126,0
EEM_down_FXY_down_GLD_up,2,126,0
EEM_down_FXY_down_GLD_up,3,126,0
EEM_down_FXY_up_GLD_down,1,0,0
EEM_down_FXY_up_GLD_down,2,0,0
EEM_down_FXY_up_GLD_down,3,0,0
EEM_up_FXY_down_GLD_down,1,126,3
EEM_up_FXY_down_GLD_down,2,126,5
EEM_up_FXY_down_GLD_down,3,126,2
EEM_up_FXY_up_HYG_up,1,127,4
EEM_up_FXY_up_HYG_up,2,127,0
EEM_up_FXY_up_HYG_up,3,127,0
EEM_down_FXY_down_HYG_down,1,128,0
EEM_down_FXY_down_HYG_down,2,128,1
EEM_down_FXY_down_HYG_down,3,128,3
EEM_up_FXY_up_HYG_down,1,0,0
EEM_up_FXY_up_HYG_down,2,0,0
EEM_up_FXY_up_HYG_down,3,0,0
EEM_up_FXY_down_HYG_up,1,126,0
EEM_up_FXY_down_HYG_up,2,126,0
EEM_up_FXY_down_HYG_up,3,126,0
EEM_down_FXY_up_HYG_up,1,0,0
EEM_down_FXY_up_HYG_up,2,0,0
EEM_down_FXY_up_HYG_up,3,0,0
EEM_down_FXY_down_HYG_up,1,126,0
EEM_down_FXY_down_HYG_up,2,126,1
EEM_down_FXY_down_HYG_up,3,126,0
EEM_down_FXY_up_HYG_down,1,126,0
EEM_down_FXY_up_HYG_down,2,126,4
EEM_down_FXY_up_HYG_down,3,126,4
EEM_up_FXY_down_HYG_down,1,126,0
EEM_up_FXY_down_HYG_down,2,126,0
EEM_up_FXY_down_HYG_down,3,126,0
EEM_up_FXY_up_IWM_up,1,127,3
EEM_up_FXY_up_IWM_up,2,127,0
EEM_up_FXY_up_IWM_up,3,127,0
EEM_down_FXY_down_IWM_down,1,127,0
EEM_down_FXY_down_IWM_down,2,127,4
EEM_down_FXY_down_IWM_down,3,127,3
EEM_up_FXY_up_IWM_down,1,126,0
EEM_up_FXY_up_IWM_down,2,126,0
EEM_up_FXY_up_IWM_down,3,126,2
EEM_up_FXY_down_IWM_up,1,127,0
EEM_up_FXY_down_IWM_up,2,127,0
EEM_up_FXY_down_IWM_up,3,127,0
EEM_down_FXY_up_IWM_up,1,0,0
EEM_down_FXY_up_IWM_up,2,0,0
EEM_down_FXY_up_IWM_up,3,0,0
EEM_down_FXY_down_IWM_up,1,126,0
EEM_down_FXY_down_IWM_up,2,126,0
EEM_down_FXY_down_IWM_up,3,126,0
EEM_down_FXY_up_IWM_down,1,126,10
EEM_down_FXY_up_IWM_down,2,126,5
EEM_down_FXY_up_IWM_down,3,126,2
EEM_up_FXY_down_IWM_down,1,0,0
EEM_up_FXY_down_IWM_down,2,0,0
EEM_up_FXY_down_IWM_down,3,0,0
EEM_up_FXY_up_JNK_up,1,127,4
EEM_up_FXY_up_JNK_up,2,127,0
EEM_up_FXY_up_JNK_up,3,127,1
EEM_down_FXY_down_JNK_down,1,127,0
EEM_down_FXY_down_JNK_down,2,127,0
EEM_down_FXY_down_JNK_down,3,127,0
EEM_up_FXY_up_JNK_down,1,0,0
EEM_up_FXY_up_JNK_down,2,0,0
EEM_up_FXY_up_JNK_down,3,0,0
EEM_up_FXY_down_JNK_up,1,126,0
EEM_up_FXY_down_JNK_up,2,126,0
EEM_up_FXY_down_JNK_up,3,126,0
EEM_down_FXY_up_JNK_up,1,0,0
EEM_down_FXY_up_JNK_up,2,0,0
EEM_down_FXY_up_JNK_up,3,0,0
EEM_down_FXY_down_JNK_up,1,126,0
