ticker,fund_group,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,abs_full_avg,pass,tokens
AFBIX,long,sparse,ext_vix_chg_le-5,1,0.3929676784292235,863,0.7879490150637312,0.2773275829303024,78,0.8333333333333334,0.3929676784292235,,set()
AFBSX,inverse,sparse,ext_vix_chg_le-5,1,0.3887531937627287,863,0.7775202780996524,0.2706352631731451,78,0.8205128205128205,0.3887531937627287,,set()
BIPIX,,condition_expansion,combo_GDX_up__self_big_down,1,0.7378345435049001,173,0.6473988439306358,1.2543989310289507,35,0.7142857142857143,0.7378345435049001,,
BIPSX,,condition_expansion,combo_GDX_up__self_big_down,1,0.7463399329828332,172,0.6511627906976745,1.2466020093319097,35,0.7142857142857143,0.7463399329828332,,
BITIX,long,triple_scan,EEM_up_up_up_GLD_JNK,1,1.0701213975178894,120,0.6416666666666667,0.8835371092142577,105,0.6666666666666666,1.0701213975178894,True,
BKPIX,,condition_expansion,combo_XLV_down__ext_sect_rotation_ge0_5,2,0.7571448863978736,129,0.5503875968992248,0.3434221768679572,39,0.6666666666666666,0.7571448863978736,,
BKPSX,inverse,triple_scan,GDX_up_down_down_SPY_XLF,2,0.6391482146214832,173,0.6011560693641619,0.4528024646258565,60,0.6333333333333333,0.6391482146214832,True,
BLPIX,long,gap_extra,ext_vix_chg_ge5,1,1.0837703814050874,990,0.9353535353535354,1.077939605155951,89,0.9775280898876404,1.0837703814050874,,set()
BLPSX,inverse,gap_extra,ext_vix_chg_ge5,1,1.07971385391844,990,0.9323232323232324,1.0747692053359583,89,0.9775280898876404,1.07971385391844,,set()
BMPIX,long,triple_scan,EEM_down_up_down_GDX_XLU,1,0.6481634090421035,135,0.5555555555555556,0.7749618862786309,35,0.5714285714285714,0.6481634090421035,True,
BMPSX,,condition_expansion,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.6828396307517393,174,0.5804597701149425,0.735338985677243,48,0.5625,0.6828396307517393,,
BTCFX,,condition_expansion,combo_IWM_big_down__ext_vix_close_up,1,0.7516297420039313,144,0.5972222222222222,0.857476095875337,67,0.6119402985074627,0.7516297420039313,,
CNPIX,,condition_expansion,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.5433056963237041,177,0.6384180790960452,0.3062079165024504,48,0.6666666666666666,0.5433056963237041,,
CNPSX,,condition_expansion,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.5094759448266358,163,0.6380368098159509,0.3034318653718948,48,0.6666666666666666,0.5094759448266358,,
CYPIX,,condition_expansion,combo_SPY_down__ext_usd_gold_ratio_le-1,1,0.5813477323791004,182,0.6098901098901099,0.7432461326591457,42,0.6190476190476191,0.5813477323791004,,
CYPSX,,condition_expansion,combo_EEM_down__ext_usd_gold_ratio_le-1,1,0.8142654682439411,125,0.64,0.950352193435835,30,0.7,0.8142654682439411,,
ENPIX,long,triple_scan,GDX_up_down_down_LQD_XLE,1,0.6836187690944082,134,0.5746268656716418,0.822895560794911,38,0.631578947368421,0.6836187690944082,True,
ENPSX,inverse,triple_scan,GDX_up_down_down_LQD_XLE,1,0.6835891062664996,134,0.5746268656716418,0.8229494988966738,38,0.631578947368421,0.6835891062664996,True,
FNPIX,long,triple_scan,GDX_up_down_down_XLK_XLU,1,0.6017703137039694,195,0.6256410256410256,0.6548339607222351,36,0.6944444444444444,0.6017703137039694,True,
FNPSX,inverse,triple_scan,GDX_up_down_down_SPY_XLF,1,0.5863096372384896,282,0.6063829787234043,0.6693797036490506,60,0.6666666666666666,0.5863096372384896,True,
FYAIX,long,sparse,ext_vix_chg_ge5,1,0.3139592015267064,990,0.793939393939394,0.2777120944771583,89,0.8539325842696629,0.3139592015267064,,set()
FYASX,inverse,sparse,ext_vix_chg_ge5,1,0.3150679570828185,990,0.7919191919191919,0.2758473334963046,89,0.8539325842696629,0.3150679570828185,,set()
GVPSX,,condition_expansion,combo_TLT_down__self_3down,1,0.2066190604415276,399,0.5789473684210527,0.2521150159507885,35,0.6285714285714286,0.2066190604415276,,
HCPIX,,condition_expansion,combo_SLV_big_up__ext_sect_rotation_le-0_5,2,0.3912219263187004,142,0.6408450704225352,0.2861177662219066,36,0.6944444444444444,0.3912219263187004,,
HCPSX,,condition_expansion,combo_SLV_big_up__ext_sect_rotation_le-0_5,2,0.3871023030216001,142,0.6338028169014085,0.2820004637401394,36,0.6944444444444444,0.3871023030216001,,
IDPIX,long,triple_scan,JNK_up_down_up_QQQ_XLE,1,0.5326826164604108,140,0.6214285714285714,0.2006060896280842,31,0.6129032258064516,0.5326826164604108,True,
IDPSX,,condition_expansion,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.5126428581834165,209,0.6220095693779905,0.5005466943824063,48,0.6041666666666666,0.5126428581834165,,
INPIX,,condition_expansion,combo_XLK_down__ext_usd_gold_ratio_le-1,1,0.7230066064032009,149,0.6510067114093959,0.8891787096298075,39,0.5897435897435898,0.7230066064032009,,
INPSX,,condition_expansion,combo_XLK_down__ext_usd_gold_ratio_le-1,1,0.7235664777893204,145,0.6413793103448275,0.8796504123689548,39,0.5897435897435898,0.7235664777893204,,
