ticker,rule,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit
BIPIX,R4_strongest,0.375360282596814,1004,0.5886454183266933,0.5770950146490305,96,0.625
BIPIX,majority_vote,0.375360282596814,1004,0.5886454183266933,0.5770950146490305,96,0.625
BIPIX,priority_score,0.375360282596814,1004,0.5886454183266933,0.5770950146490305,96,0.625
BIPIX,weighted,0.375360282596814,1004,0.5886454183266933,0.5770950146490305,96,0.625
BIPSX,R4_strongest,0.4477195254855375,659,0.5811836115326252,0.8853198887808641,68,0.6617647058823529
BIPSX,majority_vote,0.4477195254855375,659,0.5811836115326252,0.8853198887808641,68,0.6617647058823529
BIPSX,priority_score,0.4477195254855375,659,0.5811836115326252,0.8853198887808641,68,0.6617647058823529
BIPSX,weighted,0.4477195254855375,659,0.5811836115326252,0.8853198887808641,68,0.6617647058823529
BITIX,R4_strongest,0.9179599851777059,179,0.5977653631284916,0.7293781152536406,124,0.6129032258064516
BITIX,majority_vote,0.9179599851777059,179,0.5977653631284916,0.7293781152536406,124,0.6129032258064516
BITIX,priority_score,0.9179599851777059,179,0.5977653631284916,0.7293781152536406,124,0.6129032258064516
BITIX,weighted,0.9179599851777059,179,0.5977653631284916,0.7293781152536406,124,0.6129032258064516
BKPIX,R4_strongest,0.5236222176995081,407,0.5700245700245701,0.7339130988659729,69,0.6376811594202898
BKPIX,majority_vote,0.5236222176995081,407,0.5700245700245701,0.7339130988659729,69,0.6376811594202898
BKPIX,priority_score,0.5236222176995081,407,0.5700245700245701,0.7339130988659729,69,0.6376811594202898
BKPIX,weighted,0.5236222176995081,407,0.5700245700245701,0.7339130988659729,69,0.6376811594202898
BKPSX,R4_strongest,0.5311898290722491,492,0.5650406504065041,0.5721953259346871,81,0.6172839506172839
BKPSX,majority_vote,0.5311898290722491,492,0.5650406504065041,0.5721953259346871,81,0.6172839506172839
BKPSX,priority_score,0.5740637068721882,492,0.5813008130081301,0.6531609546751175,81,0.6666666666666666
BKPSX,weighted,0.5311898290722491,492,0.5650406504065041,0.5721953259346871,81,0.6172839506172839
BLPIX,R4_strongest,0.24703242157607017,606,0.570957095709571,0.6112842817025174,35,0.6
BLPIX,majority_vote,0.24703242157607017,606,0.570957095709571,0.6112842817025174,35,0.6
BLPIX,priority_score,0.24703242157607017,606,0.570957095709571,0.6112842817025174,35,0.6
BLPIX,weighted,0.24703242157607017,606,0.570957095709571,0.6112842817025174,35,0.6
BLPSX,R4_strongest,0.2398363088485719,455,0.6,0.2403595538209711,170,0.6
BLPSX,majority_vote,0.2398363088485719,455,0.6,0.2403595538209711,170,0.6
BLPSX,priority_score,0.2398363088485719,455,0.6,0.2403595538209711,170,0.6
BLPSX,weighted,0.2398363088485719,455,0.6,0.2403595538209711,170,0.6
BMPIX,R4_strongest,0.35122424638948024,638,0.5658307210031348,0.663501483136836,70,0.6142857142857143
BMPIX,majority_vote,0.35122424638948024,638,0.5658307210031348,0.663501483136836,70,0.6142857142857143
BMPIX,priority_score,0.35122424638948024,638,0.5658307210031348,0.663501483136836,70,0.6142857142857143
BMPIX,weighted,0.35122424638948024,638,0.5658307210031348,0.663501483136836,70,0.6142857142857143
BMPSX,R4_strongest,0.35501285749018047,654,0.5581039755351682,0.46261013543529605,90,0.5777777777777777
BMPSX,majority_vote,0.35501285749018047,654,0.5581039755351682,0.46261013543529605,90,0.5777777777777777
BMPSX,priority_score,0.35501285749018047,654,0.5581039755351682,0.46261013543529605,90,0.5777777777777777
BMPSX,weighted,0.35501285749018047,654,0.5581039755351682,0.46261013543529605,90,0.5777777777777777
BTCFX,R4_strongest,0.7300046952704796,240,0.5708333333333333,0.6562787411450612,83,0.5421686746987951
BTCFX,majority_vote,0.7300046952704796,240,0.5708333333333333,0.6562787411450612,83,0.5421686746987951
BTCFX,priority_score,0.7300046952704796,240,0.5708333333333333,0.6562787411450612,83,0.5421686746987951
BTCFX,weighted,0.7300046952704796,240,0.5708333333333333,0.6562787411450612,83,0.5421686746987951
CNPIX,R4_strongest,0.28829669836279276,726,0.5853994490358126,0.284649977343819,89,0.5842696629213483
CNPIX,majority_vote,0.28829669836279276,726,0.5853994490358126,0.284649977343819,89,0.5842696629213483
CNPIX,priority_score,0.28829669836279276,726,0.5853994490358126,0.284649977343819,89,0.5842696629213483
