ticker,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit
SMPIX,condition_expansion,ext_vix_close_up,1,0.2122868379171977,186,0.553763440860215,0.2122868379171977,186,0.553763440860215
TEPIX,condition_expansion,ext_vix_close_ge25,1,0.259801802160994,318,0.5628930817610063,0.7000381825545154,34,0.6176470588235294
TEPSX,condition_expansion,ext_vix_close_ge25,1,0.22903170427463473,290,0.5551724137931034,0.6954295062162913,34,0.6176470588235294
BIPIX,condition_expansion,ext_vix_close_ge25,2,0.24387481014556597,781,0.5672215108834827,0.9628767844395298,34,0.6764705882352942
BIPSX,condition_expansion,ext_vix_close_ge25,2,0.24019204787735063,781,0.5672215108834827,0.9597812632349092,34,0.6764705882352942
BMPIX,condition_expansion,ext_vix_close_ge25,2,0.2145876304821488,768,0.5690104166666666,0.5149528918284578,34,0.5588235294117647
BMPSX,condition_expansion,ext_vix_close_ge25,2,0.21070057712529952,768,0.5690104166666666,0.5105939691932899,34,0.5588235294117647
INPIX,condition_expansion,ext_vix_close_ge25,2,0.2557358212155638,663,0.5641025641025641,0.6279023346887409,34,0.5588235294117647
INPSX,condition_expansion,ext_vix_close_ge25,2,0.2520306247257182,663,0.5641025641025641,0.62444372137195,34,0.5588235294117647
OEPIX,condition_expansion,ext_vix_close_ge25,2,0.22394232981604073,720,0.5555555555555556,0.3286491643470722,34,0.6176470588235294
OEPSX,condition_expansion,ext_vix_close_ge25,2,0.21991828953022505,720,0.5555555555555556,0.32444622475410717,34,0.6176470588235294
SMPIX,condition_expansion,ext_vix_close_ge25,2,0.34839928255057484,708,0.5649717514124294,1.269208279642497,34,0.7058823529411765
SMPSX,condition_expansion,ext_vix_close_ge25,2,0.34558873169768184,708,0.5621468926553672,1.2637807681419206,34,0.7058823529411765
TEPIX,condition_expansion,ext_vix_close_ge25,2,0.2492642194034691,629,0.5786963434022258,0.7395595264907247,34,0.6176470588235294
