ticker,fund_group,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,tokens
UMPSX,inverse,optimization_scan,XLC_big_down,3,0.2439166033217076,234,0.5683760683760684,0.512845398743883,46,0.6086956521739131,{'XLC'}
UBPIX,ultra_long,optimization_scan,XLC_big_up,3,0.3049092644682981,262,0.5687022900763359,0.4696041170060237,53,0.6792452830188679,{'XLC'}
UBPSX,inverse,optimization_scan,XLC_big_up,3,0.3010693210223292,262,0.5648854961832062,0.4688107605091983,53,0.660377358490566,{'XLC'}
UAPIX,ultra_long,optimization_scan,XLC_big_down,3,0.2304798255446032,234,0.5641025641025641,0.499542906646919,46,0.6521739130434783,{'XLC'}
UAPSX,inverse,optimization_scan,XLC_big_down,3,0.227163173759339,234,0.5641025641025641,0.4952896097750082,46,0.6521739130434783,{'XLC'}
SMPIX,long,optimization_scan,XLC_down,3,0.2910157919746998,772,0.5699481865284974,0.4092502809267033,179,0.5921787709497207,{'XLC'}
UOPIX,ultra_long,optimization_scan,XLC_down,1,0.2539503869073344,818,0.5623471882640587,0.3788842929306002,179,0.5698324022346368,{'XLC'}
UOPSX,inverse,optimization_scan,XLC_down,1,0.2486536724166656,818,0.5611246943765281,0.3752107903883019,179,0.5698324022346368,{'XLC'}
UDPIX,ultra_long,optimization_scan,XLC_big_down,3,0.201173456686854,234,0.5811965811965812,0.4115306620538026,46,0.6739130434782609,{'XLC'}
SMPSX,inverse,optimization_scan,XLC_down,3,0.2897650892358311,772,0.5686528497409327,0.4057434904353073,179,0.5921787709497207,{'XLC'}
UJPIX,ultra_long,optimization_scan,XLC_down,2,0.2115275271959532,810,0.5679012345679012,0.4035035150560666,179,0.5586592178770949,{'XLC'}
BKPIX,long,optimization_scan,XLC_down,2,0.4279533845302644,290,0.6,0.3021461866510145,179,0.6201117318435754,{'XLC'}
TEPIX,long,optimization_scan,XLC_down,1,0.2231825745605753,818,0.5672371638141809,0.3253697263478206,179,0.5810055865921788,{'XLC'}
TEPSX,inverse,optimization_scan,XLC_down,1,0.2038461430560742,818,0.5611246943765281,0.320499143730884,179,0.5810055865921788,{'XLC'}
OEPIX,long,optimization_scan,XLC_big_up,3,0.2663683072122951,226,0.6017699115044248,0.2956407795643305,53,0.5660377358490566,{'XLC'}
OEPSX,inverse,optimization_scan,XLC_big_up,3,0.2628387606046465,226,0.5929203539823009,0.2914805925596033,53,0.5660377358490566,{'XLC'}
ULPIX,ultra_long,optimization_scan,XLC_big_down,3,0.2232821625102169,234,0.5897435897435898,0.3589925191167386,46,0.6304347826086957,{'XLC'}
ENPIX,long,optimization_scan,XLC_big_up,3,0.2230207415580531,231,0.5844155844155844,0.2991975521489588,53,0.660377358490566,{'XLC'}
ULPSX,inverse,optimization_scan,XLC_big_down,3,0.2188489384728826,234,0.5897435897435898,0.354754862153071,46,0.6304347826086957,{'XLC'}
UJPSX,inverse,optimization_scan,XLC_down,2,0.2097714344940845,810,0.5666666666666667,0.4029113129988961,179,0.5586592178770949,{'XLC'}
INPIX,long,optimization_scan,XLC_big_down,3,0.2308194503730196,234,0.5769230769230769,0.3814347508654661,46,0.5869565217391305,{'XLC'}
