ticker,strategy_no,condition,horizon,trades,winner_days,overridden_days,exclusive_days,swallowed_ratio,exclusive_ratio
BIPIX,1,FXY_up_up_down_GDX_QQQ,1,505,505,0,109,0.0,0.21584158415841584
BIPIX,2,combo_XLK_down__self_down,2,1696,918,778,918,0.45872641509433965,0.5412735849056604
BIPIX,3,combo_XLE_down__ext_tnx_chgbp_down,1,1323,1076,247,623,0.18669690098261527,0.4708994708994709
BIPSX,1,combo_QQQ_down__self_big_down,1,609,609,0,39,0.0,0.06403940886699508
BIPSX,2,combo_XLK_down__self_down,2,1728,993,735,993,0.4253472222222222,0.5746527777777778
BIPSX,3,FXY_up_GDX_up,1,986,859,127,686,0.12880324543610547,0.6957403651115619
BITIX,1,combo_XLC_up__self_down,1,233,233,0,51,0.0,0.21888412017167383
BITIX,2,GLD_up_SPY_up,2,237,96,141,96,0.5949367088607594,0.4050632911392405
BITIX,3,combo_XLE_up__self_down,1,208,78,130,55,0.625,0.2644230769230769
BKPIX,1,GDX_up_down_down_IWM_XLK,1,265,265,0,154,0.0,0.5811320754716981
BKPIX,2,combo_XLV_down__ext_vix_5dchg_up,2,1180,1071,109,1020,0.0923728813559322,0.864406779661017
BKPIX,3,GLD_down_up_up_XLE_XLF,2,775,721,54,721,0.0696774193548387,0.9303225806451613
BKPSX,1,GDX_up_down_up_QQQ_SLV,2,349,349,0,235,0.0,0.673352435530086
BKPSX,2,EEM_down_down_down_XLK_XLU,3,1084,945,139,945,0.1282287822878229,0.8717712177121771
BKPSX,3,GLD_down_up_up_IWM_XLE,2,748,741,7,712,0.009358288770053475,0.9518716577540107
BLPIX,1,combo_XLV_big_down__self_down,1,606,606,0,606,0.0,1.0
BLPSX,1,combo_XLV_big_down__self_down,1,611,611,0,611,0.0,1.0
BMPIX,1,GDX_up_down_down_XLF_XLK,1,314,314,0,163,0.0,0.5191082802547771
BMPIX,2,combo_FXY_up__ext_vix_5dchg_up,1,1053,830,223,830,0.2117758784425451,0.7882241215574549
BMPIX,3,combo_HYG_up__ext_sect_rotation_le-0_5,2,565,550,15,472,0.02654867256637168,0.8353982300884956
BMPSX,1,GDX_up_down_down_JNK_XLF,1,210,210,0,140,0.0,0.6666666666666666
BMPSX,2,combo_FXY_up__ext_vix_5dchg_up,1,1053,897,156,897,0.14814814814814814,0.8518518518518519
