condition,horizon,eligible_funds,pass_signals
EEM_down_up_down_FXY_JNK,2,126,5
EEM_down_up_down_FXY_JNK,3,126,0
EEM_up_down_down_FXY_JNK,1,126,0
EEM_up_down_down_FXY_JNK,2,126,2
EEM_up_down_down_FXY_JNK,3,126,0
EEM_up_up_up_FXY_LQD,1,127,5
EEM_up_up_up_FXY_LQD,2,127,0
EEM_up_up_up_FXY_LQD,3,127,0
EEM_down_down_down_FXY_LQD,1,128,0
EEM_down_down_down_FXY_LQD,2,128,2
EEM_down_down_down_FXY_LQD,3,128,0
EEM_up_up_down_FXY_LQD,1,0,0
EEM_up_up_down_FXY_LQD,2,0,0
EEM_up_up_down_FXY_LQD,3,0,0
EEM_up_down_up_FXY_LQD,1,126,1
EEM_up_down_up_FXY_LQD,2,126,2
EEM_up_down_up_FXY_LQD,3,126,0
EEM_down_up_up_FXY_LQD,1,126,9
EEM_down_up_up_FXY_LQD,2,126,6
EEM_down_up_up_FXY_LQD,3,126,5
EEM_down_down_up_FXY_LQD,1,126,0
EEM_down_down_up_FXY_LQD,2,126,1
EEM_down_down_up_FXY_LQD,3,126,3
EEM_down_up_down_FXY_LQD,1,0,0
EEM_down_up_down_FXY_LQD,2,0,0
EEM_down_up_down_FXY_LQD,3,0,0
EEM_up_down_down_FXY_LQD,1,126,0
EEM_up_down_down_FXY_LQD,2,126,0
EEM_up_down_down_FXY_LQD,3,126,0
EEM_up_up_up_FXY_QQQ,1,127,0
EEM_up_up_up_FXY_QQQ,2,127,0
EEM_up_up_up_FXY_QQQ,3,127,0
EEM_down_down_down_FXY_QQQ,1,127,0
EEM_down_down_down_FXY_QQQ,2,127,4
EEM_down_down_down_FXY_QQQ,3,127,3
EEM_up_up_down_FXY_QQQ,1,0,0
EEM_up_up_down_FXY_QQQ,2,0,0
EEM_up_up_down_FXY_QQQ,3,0,0
EEM_up_down_up_FXY_QQQ,1,127,0
EEM_up_down_up_FXY_QQQ,2,127,0
EEM_up_down_up_FXY_QQQ,3,127,0
EEM_down_up_up_FXY_QQQ,1,0,0
EEM_down_up_up_FXY_QQQ,2,0,0
EEM_down_up_up_FXY_QQQ,3,0,0
EEM_down_down_up_FXY_QQQ,1,126,0
EEM_down_down_up_FXY_QQQ,2,126,0
EEM_down_down_up_FXY_QQQ,3,126,0
EEM_down_up_down_FXY_QQQ,1,126,14
EEM_down_up_down_FXY_QQQ,2,126,10
EEM_down_up_down_FXY_QQQ,3,126,8
EEM_up_down_down_FXY_QQQ,1,0,0
EEM_up_down_down_FXY_QQQ,2,0,0
EEM_up_down_down_FXY_QQQ,3,0,0
EEM_up_up_up_FXY_SLV,1,127,2
EEM_up_up_up_FXY_SLV,2,127,0
EEM_up_up_up_FXY_SLV,3,127,0
EEM_down_down_down_FXY_SLV,1,128,0
EEM_down_down_down_FXY_SLV,2,128,0
EEM_down_down_down_FXY_SLV,3,128,2
EEM_up_up_down_FXY_SLV,1,0,0
EEM_up_up_down_FXY_SLV,2,0,0
EEM_up_up_down_FXY_SLV,3,0,0
EEM_up_down_up_FXY_SLV,1,126,0
EEM_up_down_up_FXY_SLV,2,126,0
EEM_up_down_up_FXY_SLV,3,126,0
EEM_down_up_up_FXY_SLV,1,126,14
EEM_down_up_up_FXY_SLV,2,126,2
EEM_down_up_up_FXY_SLV,3,126,3
EEM_down_down_up_FXY_SLV,1,126,0
EEM_down_down_up_FXY_SLV,2,126,8
EEM_down_down_up_FXY_SLV,3,126,0
EEM_down_up_down_FXY_SLV,1,0,0
EEM_down_up_down_FXY_SLV,2,0,0
EEM_down_up_down_FXY_SLV,3,0,0
EEM_up_down_down_FXY_SLV,1,126,0
EEM_up_down_down_FXY_SLV,2,126,0
EEM_up_down_down_FXY_SLV,3,126,0
EEM_up_up_up_FXY_SPY,1,127,4
EEM_up_up_up_FXY_SPY,2,127,0
EEM_up_up_up_FXY_SPY,3,127,0
EEM_down_down_down_FXY_SPY,1,127,0
EEM_down_down_down_FXY_SPY,2,127,2
EEM_down_down_down_FXY_SPY,3,127,4
EEM_up_up_down_FXY_SPY,1,0,0
EEM_up_up_down_FXY_SPY,2,0,0
EEM_up_up_down_FXY_SPY,3,0,0
EEM_up_down_up_FXY_SPY,1,127,0
EEM_up_down_up_FXY_SPY,2,127,0
EEM_up_down_up_FXY_SPY,3,127,0
EEM_down_up_up_FXY_SPY,1,0,0
EEM_down_up_up_FXY_SPY,2,0,0
EEM_down_up_up_FXY_SPY,3,0,0
EEM_down_down_up_FXY_SPY,1,126,0
EEM_down_down_up_FXY_SPY,2,126,0
EEM_down_down_up_FXY_SPY,3,126,0
EEM_down_up_down_FXY_SPY,1,126,17
EEM_down_up_down_FXY_SPY,2,126,12
EEM_down_up_down_FXY_SPY,3,126,10
EEM_up_down_down_FXY_SPY,1,0,0
EEM_up_down_down_FXY_SPY,2,0,0
EEM_up_down_down_FXY_SPY,3,0,0
EEM_up_up_up_FXY_TIP,1,126,11
EEM_up_up_up_FXY_TIP,2,126,4
EEM_up_up_up_FXY_TIP,3,126,2
EEM_down_down_down_FXY_TIP,1,127,0
EEM_down_down_down_FXY_TIP,2,127,0
EEM_down_down_down_FXY_TIP,3,127,0
EEM_up_up_down_FXY_TIP,1,0,0
EEM_up_up_down_FXY_TIP,2,0,0
EEM_up_up_down_FXY_TIP,3,0,0
EEM_up_down_up_FXY_TIP,1,126,0
EEM_up_down_up_FXY_TIP,2,126,0
EEM_up_down_up_FXY_TIP,3,126,2
EEM_down_up_up_FXY_TIP,1,126,7
EEM_down_up_up_FXY_TIP,2,126,6
EEM_down_up_up_FXY_TIP,3,126,2
EEM_down_down_up_FXY_TIP,1,126,12
EEM_down_down_up_FXY_TIP,2,126,12
EEM_down_down_up_FXY_TIP,3,126,10
EEM_down_up_down_FXY_TIP,1,0,0
EEM_down_up_down_FXY_TIP,2,0,0
EEM_down_up_down_FXY_TIP,3,0,0
EEM_up_down_down_FXY_TIP,1,126,0
EEM_up_down_down_FXY_TIP,2,126,0
EEM_up_down_down_FXY_TIP,3,126,0
EEM_up_up_up_FXY_TLT,1,126,2
EEM_up_up_up_FXY_TLT,2,126,2
EEM_up_up_up_FXY_TLT,3,126,0
EEM_down_down_down_FXY_TLT,1,127,0
EEM_down_down_down_FXY_TLT,2,127,0
EEM_down_down_down_FXY_TLT,3,127,0
EEM_up_up_down_FXY_TLT,1,126,0
EEM_up_up_down_FXY_TLT,2,126,0
EEM_up_up_down_FXY_TLT,3,126,0
EEM_up_down_up_FXY_TLT,1,126,0
EEM_up_down_up_FXY_TLT,2,126,0
EEM_up_down_up_FXY_TLT,3,126,0
EEM_down_up_up_FXY_TLT,1,126,8
EEM_down_up_up_FXY_TLT,2,126,6
EEM_down_up_up_FXY_TLT,3,126,4
EEM_down_down_up_FXY_TLT,1,126,2
EEM_down_down_up_FXY_TLT,2,126,4
EEM_down_down_up_FXY_TLT,3,126,4
EEM_down_up_down_FXY_TLT,1,0,0
EEM_down_up_down_FXY_TLT,2,0,0
EEM_down_up_down_FXY_TLT,3,0,0
EEM_up_down_down_FXY_TLT,1,126,0
