ticker,n_strategies,union_days,sum_trades,overlap_days,avg_strategies_per_day,weighted_swallowed_ratio,strategies_swallowed_gt50
BIPIX,3,1004,1603,1076,1.596613545816733,0.3736743605739239,1
BIPSX,3,659,1688,1614,2.5614567526555385,0.6095971563981043,2
BITIX,3,353,668,504,1.8923512747875355,0.47155688622754494,2
BKPIX,3,524,885,613,1.6889312977099236,0.40790960451977404,1
BKPSX,3,471,897,693,1.9044585987261147,0.47491638795986624,2
BLPIX,3,642,996,612,1.5514018691588785,0.35542168674698793,1
BLPSX,3,421,705,528,1.67458432304038,0.40283687943262414,1
BMPIX,3,515,881,604,1.7106796116504854,0.41543700340522133,1
BMPSX,3,546,926,649,1.695970695970696,0.4103671706263499,1
BTCFX,3,356,702,555,1.9719101123595506,0.4928774928774929,2
CNPIX,3,800,1304,907,1.63,0.38650306748466257,1
CNPSX,3,803,1305,905,1.6251556662515567,0.3846743295019157,1
CYPIX,3,625,1178,928,1.8848,0.4694397283531409,1
CYPSX,3,841,1296,791,1.5410225921521998,0.35108024691358025,1
ENPIX,3,1364,1476,222,1.0821114369501466,0.07588075880758807,0
ENPSX,3,1023,1231,406,1.2033235581622679,0.16896831844029245,1
FNPIX,3,557,1063,877,1.9084380610412925,0.4760112888052681,1
FNPSX,3,548,824,500,1.5036496350364963,0.33495145631067963,1
GVPSX,1,399,399,0,1.0,0.0,0
HCPIX,3,1440,2340,1453,1.625,0.38461538461538464,1
HCPSX,3,775,1654,1424,2.134193548387097,0.5314389359129383,2
IDPIX,3,512,1231,1188,2.404296875,0.5840779853777417,2
IDPSX,3,533,1265,1151,2.373358348968105,0.5786561264822134,2
INPIX,3,476,1168,1073,2.453781512605042,0.5924657534246576,2
INPSX,3,528,972,797,1.8409090909090908,0.4567901234567901,1
LGPIX,1,191,191,0,1.0,0.0,0
LGPSX,1,191,191,0,1.0,0.0,0
LVPIX,3,572,1281,1193,2.2395104895104896,0.5534738485558157,2
LVPSX,3,521,1065,927,2.0441458733205375,0.5107981220657277,1
MDPIX,3,615,1194,933,1.9414634146341463,0.4849246231155779,2
MDPSX,3,609,1184,923,1.9441707717569787,0.4856418918918919,2
MGPIX,3,560,1355,1266,2.419642857142857,0.5867158671586716,2
MGPSX,3,560,1355,1266,2.419642857142857,0.5867158671586716,2
MLPIX,3,459,920,763,2.0043572984749454,0.5010869565217392,2
MLPSX,3,467,929,764,1.9892933618843682,0.49730893433799783,2
OEPIX,3,519,1557,1557,3.0,0.6666666666666666,2
OEPSX,3,850,963,218,1.1329411764705883,0.11734164070612668,0
OTPIX,3,765,1686,1513,2.203921568627451,0.5462633451957295,2
OTPSX,1,300,300,0,1.0,0.0,0
