ticker,rule,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit
BIPIX,R4_strongest,0.35914811168990496,1326,0.5965309200603318,0.6367584668470446,206,0.6407766990291263
BIPIX,majority_vote,0.35914811168990496,1326,0.5965309200603318,0.6367584668470446,206,0.6407766990291263
BIPIX,priority_score,0.35914811168990496,1326,0.5965309200603318,0.6367584668470446,206,0.6407766990291263
BIPIX,weighted,0.35914811168990496,1326,0.5965309200603318,0.6367584668470446,206,0.6407766990291263
BIPSX,R4_strongest,0.2626616325413524,1695,0.5575221238938053,0.45514657591601165,191,0.5863874345549738
BIPSX,majority_vote,0.2626616325413524,1695,0.5575221238938053,0.45514657591601165,191,0.5863874345549738
BIPSX,priority_score,0.2626616325413524,1695,0.5575221238938053,0.45514657591601165,191,0.5863874345549738
BIPSX,weighted,0.2626616325413524,1695,0.5575221238938053,0.45514657591601165,191,0.5863874345549738
BITIX,R4_strongest,0.22463926993948966,364,0.5384615384615384,0.31500087917421027,200,0.55
BITIX,majority_vote,0.22463926993948966,364,0.5384615384615384,0.31500087917421027,200,0.55
BITIX,priority_score,0.22463926993948966,364,0.5384615384615384,0.31500087917421027,200,0.55
BITIX,weighted,0.22463926993948966,364,0.5384615384615384,0.31500087917421027,200,0.55
BKPIX,R4_strongest,0.3884374073996271,1412,0.5779036827195467,0.48657553213335725,180,0.6166666666666667
BKPIX,majority_vote,0.3884374073996271,1412,0.5779036827195467,0.48657553213335725,180,0.6166666666666667
BKPIX,priority_score,0.3884374073996271,1412,0.5779036827195467,0.48657553213335725,180,0.6166666666666667
BKPIX,weighted,0.3884374073996271,1412,0.5779036827195467,0.48657553213335725,180,0.6166666666666667
BKPSX,R4_strongest,0.3119263153317062,1449,0.5721187025534852,0.2980088506682621,205,0.5756097560975609
BKPSX,majority_vote,0.3119263153317062,1449,0.5721187025534852,0.2980088506682621,205,0.5756097560975609
BKPSX,priority_score,0.3119263153317062,1449,0.5721187025534852,0.2980088506682621,205,0.5756097560975609
BKPSX,weighted,0.3119263153317062,1449,0.5721187025534852,0.2980088506682621,205,0.5756097560975609
BLPIX,R4_strongest,0.24703242157607017,606,0.570957095709571,0.6112842817025174,35,0.6
BLPIX,majority_vote,0.24703242157607017,606,0.570957095709571,0.6112842817025174,35,0.6
BLPIX,priority_score,0.24703242157607017,606,0.570957095709571,0.6112842817025174,35,0.6
BLPIX,weighted,0.24703242157607017,606,0.570957095709571,0.6112842817025174,35,0.6
BLPSX,R4_strongest,0.24454020171054983,611,0.5679214402618658,0.6552476085146761,34,0.6176470588235294
BLPSX,majority_vote,0.24454020171054983,611,0.5679214402618658,0.6552476085146761,34,0.6176470588235294
BLPSX,priority_score,0.24454020171054983,611,0.5679214402618658,0.6552476085146761,34,0.6176470588235294
BLPSX,weighted,0.24454020171054983,611,0.5679214402618658,0.6552476085146761,34,0.6176470588235294
BMPIX,R4_strongest,0.40726923756268063,616,0.5811688311688312,0.4101513234183048,96,0.5833333333333334
BMPIX,majority_vote,0.40726923756268063,616,0.5811688311688312,0.4101513234183048,96,0.5833333333333334
BMPIX,priority_score,0.40726923756268063,616,0.5811688311688312,0.4101513234183048,96,0.5833333333333334
BMPIX,weighted,0.40726923756268063,616,0.5811688311688312,0.4101513234183048,96,0.5833333333333334
BMPSX,R4_strongest,0.3683030165828932,566,0.5636042402826855,0.41021118548276075,102,0.5882352941176471
BMPSX,majority_vote,0.3683030165828932,566,0.5636042402826855,0.41021118548276075,102,0.5882352941176471
BMPSX,priority_score,0.3683030165828932,566,0.5636042402826855,0.41021118548276075,102,0.5882352941176471
BMPSX,weighted,0.3683030165828932,566,0.5636042402826855,0.41021118548276075,102,0.5882352941176471
BTCFX,R4_strongest,0.47546370427797136,450,0.5422222222222223,0.37667894423573095,176,0.5397727272727273
BTCFX,majority_vote,0.47546370427797136,450,0.5422222222222223,0.37667894423573095,176,0.5397727272727273
BTCFX,priority_score,0.47546370427797136,450,0.5422222222222223,0.37667894423573095,176,0.5397727272727273
BTCFX,weighted,0.47546370427797136,450,0.5422222222222223,0.37667894423573095,176,0.5397727272727273
CNPIX,R4_strongest,0.37885704108898566,461,0.6030368763557483,0.42974894793153795,92,0.6413043478260869
CNPIX,majority_vote,0.37885704108898566,461,0.6030368763557483,0.42974894793153795,92,0.6413043478260869
CNPIX,priority_score,0.37885704108898566,461,0.6030368763557483,0.42974894793153795,92,0.6413043478260869
CNPIX,weighted,0.37885704108898566,461,0.6030368763557483,0.42974894793153795,92,0.6413043478260869
CNPSX,R4_strongest,0.29938468928051826,509,0.5834970530451866,0.42298689296338243,41,0.5609756097560976
CNPSX,majority_vote,0.29938468928051826,509,0.5834970530451866,0.42298689296338243,41,0.5609756097560976
CNPSX,priority_score,0.29938468928051826,509,0.5834970530451866,0.42298689296338243,41,0.5609756097560976
CNPSX,weighted,0.29938468928051826,509,0.5834970530451866,0.42298689296338243,41,0.5609756097560976
CYPIX,R4_strongest,0.20557157125202788,1091,0.5774518790100825,0.3502431391920063,126,0.6190476190476191
CYPIX,majority_vote,0.20557157125202788,1091,0.5774518790100825,0.3502431391920063,126,0.6190476190476191
