ticker,formal_pass,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit
PHPIX,False,0.12512594631544743,3736,0.541220556745182,0.3182692242448361,386,0.5777202072538861
PHPSX,False,0.1299092329808349,3524,0.5442678774120318,0.2919214882798431,386,0.5751295336787565
PMPIX,False,0.19919420121133913,4596,0.5230635335073978,0.49680531235706143,391,0.6112531969309463
PMPSX,False,0.20822863324363636,4643,0.5250915356450571,0.4580914184599301,391,0.6086956521739131
REPIX,False,0.12668836513732648,4656,0.5358676975945017,0.07058343384501779,386,0.5518134715025906
REPSX,False,0.14171778768531815,4529,0.5374254802384633,0.07340036170759676,379,0.5593667546174143
RRPIX,True,0.2924330411360788,209,0.5645933014354066,0.23577310294234333,33,0.5757575757575758
RRPSX,True,0.29149180272618985,196,0.5510204081632653,0.23215453645208514,33,0.5757575757575758
SGPIX,False,0.10303953350269991,2658,0.5338600451467269,0.08686928533607034,306,0.5228758169934641
SGPSX,False,0.11340951502773935,2572,0.5353810264385692,0.09236045921793534,306,0.5261437908496732
SLPIX,False,0.11898532146788272,2688,0.5383184523809523,0.12950938159362038,310,0.5516129032258065
SLPSX,False,0.12785581938138418,2753,0.539048310933527,0.14337230922701558,340,0.5529411764705883
SMPIX,False,0.14546503157798232,5658,0.5268646164722517,0.31662250756871474,394,0.5685279187817259
SMPSX,False,0.13701283108684226,5693,0.5280168628139821,0.33057322147026613,394,0.5710659898477157
SNPIX,False,0.17609747008191753,509,0.555992141453831,0.32043571798836706,115,0.5652173913043478
SNPSX,False,0.12284763130527863,628,0.5286624203821656,0.23678336064953617,140,0.5285714285714286
SPPIX,False,0.16841930163824642,847,0.5560802833530106,0.22038745102128496,127,0.5039370078740157
SPPSX,False,0.19416882374218875,831,0.5547533092659447,0.2805051134509952,131,0.5267175572519084
SVPIX,False,0.14022473930137744,2485,0.5420523138832998,0.07378950662820914,288,0.5416666666666666
SVPSX,False,0.13575713664384645,2105,0.5415676959619953,0.08779117343435008,276,0.5507246376811594
TEPIX,False,0.10368888701760519,5293,0.5441148686945022,0.20269235658912957,395,0.5949367088607594
TEPSX,False,0.09994647354659773,5202,0.5407535563244906,0.21488731123402474,394,0.5939086294416244
UAPIX,False,0.13963563265465717,5176,0.5367078825347759,0.18128018730941414,392,0.5459183673469388
UAPSX,False,0.14063673244801433,5146,0.5386708122813836,0.15338531846450076,392,0.5331632653061225
UBPIX,False,0.13338873144906935,4386,0.5150478796169631,0.33416820853418283,393,0.5674300254452926
UBPSX,False,0.1213661266769523,4372,0.5139524245196706,0.3264018090273307,393,0.5648854961832062
UCPIX,True,0.3188250673844444,132,0.553030303030303,0.3119471173971214,33,0.6666666666666666
UCPSX,True,0.27314627834677135,239,0.5564853556485355,0.5827449668738705,80,0.6375
UDPIX,False,0.09782594239458826,5151,0.5383420695010678,0.13029933910529715,393,0.5470737913486005
UDPSX,False,0.08814877464787761,5093,0.5374042803848419,0.12554944983127497,392,0.5459183673469388
UEPIX,False,0.19232848998732385,919,0.5712731229597389,0.20406101680439984,201,0.5771144278606966
UEPSX,False,0.17748213388005862,948,0.5759493670886076,0.22785842596567144,197,0.6040609137055838
UFPIX,False,0.18682334948140805,1048,0.5591603053435115,0.18729753138016278,144,0.5625
UFPSX,True,0.2035719079143445,974,0.5595482546201233,0.2754534984093567,134,0.5746268656716418
UGPIX,False,0.1330999070222776,4300,0.5274418604651163,0.24258902713758548,385,0.5064935064935064
UGPSX,False,0.1297182882788602,4272,0.5276217228464419,0.29350405416333886,380,0.5184210526315789
UHPIX,False,0.10916342600898213,2624,0.5240091463414634,0.13447139725880572,371,0.5444743935309974
UHPSX,False,0.13275514807991165,2503,0.5165801038753496,0.12837703451299468,370,0.5162162162162162
UIPIX,True,0.2475880152961724,125,0.552,0.2212616408887753,34,0.6764705882352942
UIPSX,True,0.2768327444317929,243,0.551440329218107,0.3329134018053006,65,0.6307692307692307
UJPIX,False,0.15824913523469078,5533,0.5326224471353695,0.3538497568364656,394,0.5532994923857868
UJPSX,False,0.13576301229857013,5468,0.5299926847110461,0.38495789225913957,394,0.5558375634517766
UKPIX,True,0.23563206900047554,699,0.5565092989985694,0.21963041257203963,166,0.5783132530120482
UKPSX,True,0.22841575999351438,742,0.5714285714285714,0.28772451629132373,185,0.6
ULPIX,False,0.11436823270423599,5415,0.5399815327793167,0.17157402389175092,392,0.5561224489795918
ULPSX,False,0.10725714461168231,5137,0.5392252287327234,0.1645767015123405,392,0.5561224489795918
UMPIX,False,0.12693969287786636,4993,0.542759863809333,0.06187277523203499,390,0.5102564102564102
UMPSX,False,0.1260988660773777,4922,0.5426655830963023,0.08623768648881927,388,0.5231958762886598
UNPIX,False,0.11711326753663692,4407,0.5346040390288178,0.22885082533922152,390,0.5615384615384615
UNPSX,False,0.0836456636937783,4344,0.5313075506445673,0.19795595499777158,389,0.5732647814910026
UOPIX,False,0.1357594131000589,5895,0.542832909245123,0.18258671464824242,394,0.5736040609137056
UOPSX,False,0.11283786526323196,5855,0.5388556789069172,0.17737151617839592,394,0.5736040609137056
USPIX,True,0.33113671646369675,315,0.5555555555555556,0.6343427643851861,121,0.6115702479338843
USPSX,True,0.35648255614878716,242,0.5537190082644629,0.8793119539559011,83,0.6506024096385542
UTPIX,False,0.10969783555505278,4075,0.545521472392638,0.15967208485615522,371,0.5768194070080862
UTPSX,False,0.10704625485899953,3909,0.5428498337170632,0.17200925286108967,363,0.581267217630854
UUPIX,False,0.11745426451888152,4554,0.5215195432586737,0.16655405504256574,388,0.5257731958762887
UUPSX,False,0.13199120137232934,4525,0.521767955801105,0.16177340343542,388,0.5154639175257731
UVPIX,False,0.21203674545305803,1374,0.537117903930131,0.29745194763409644,200,0.53
UVPSX,False,0.18682361613641155,1707,0.5459871118922085,0.18012207596200688,236,0.5127118644067796
UWPSX,True,0.3913202202965446,128,0.5625,0.4397272093760715,41,0.5609756097560976
UXPSX,True,0.2260833878153247,200,0.57,0.2118936056471965,34,0.5882352941176471
WCPIX,False,0.14357758566647918,4442,0.5529040972534894,0.05761751494688013,388,0.5489690721649485
WCPSX,False,0.13198105163632756,4368,0.5480769230769231,0.09155682006276364,390,0.5538461538461539
