ticker,formal_pass,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit
BIPIX,False,0.11946333080703503,5029,0.5343010538874527,0.2759759856929453,393,0.549618320610687
BIPSX,False,0.13690636029146813,5024,0.5410031847133758,0.31052157823515075,393,0.5648854961832062
BITIX,False,0.11633159194645785,678,0.5206489675516224,0.18317439339857378,352,0.5369318181818182
BKPIX,False,0.13344111227311925,4771,0.5344791448333682,0.148659433922945,390,0.5512820512820513
BKPSX,False,0.14035117204504943,4693,0.5369699552525037,0.11486707488711441,387,0.5478036175710594
BLPIX,False,0.1298052657055466,2707,0.5629848540820096,0.12874617681060446,326,0.5736196319018405
BLPSX,False,0.13417527169543833,2408,0.5593853820598007,0.11437849027410228,323,0.5603715170278638
BMPIX,False,0.11789059674754698,4239,0.5430526067468743,0.15172845797252682,387,0.5529715762273901
BMPSX,False,0.10989102229109447,4070,0.5400491400491401,0.1195309896897012,383,0.5404699738903395
BTCFX,False,0.29175983663102417,959,0.5245046923879041,0.08460654562089394,385,0.5064935064935064
CNPIX,False,0.11217895510945022,3220,0.5425465838509317,0.1312435590511974,349,0.5415472779369628
CNPSX,False,0.10699639128325975,3024,0.5426587301587301,0.12169073443819159,332,0.5421686746987951
CYPIX,False,0.09082673013756373,4064,0.5482283464566929,0.07046198344485617,386,0.5284974093264249
CYPSX,False,0.08742163953086263,3972,0.5501007049345418,0.06772385487392181,382,0.5287958115183246
ENPIX,False,0.1331117061526317,4649,0.5452785545278555,0.24445569893855423,389,0.5861182519280206
ENPSX,False,0.13331537496275994,4595,0.5438520130576714,0.2579508652868155,389,0.5886889460154242
FNPIX,False,0.11738631656773048,4481,0.538942200401696,0.09887706302940048,391,0.5549872122762148
FNPSX,False,0.09305485023117584,4356,0.5367309458218549,0.0901183762226931,391,0.5549872122762148
GVPSX,True,0.2066190604415276,399,0.5789473684210527,0.25211501595078856,35,0.6285714285714286
HCPIX,False,0.10996459667901161,3630,0.5435261707988981,0.12071783310612647,360,0.5333333333333333
HCPSX,False,0.10608584598608882,3530,0.5382436260623229,0.11724356870503888,358,0.5279329608938548
IDPIX,False,0.10177212002493702,4396,0.5391264786169245,0.14841166591298344,393,0.549618320610687
IDPSX,False,0.10379993348836172,4351,0.5421742128246381,0.12389201685832905,393,0.5419847328244275
INPIX,False,0.10932424932958691,5006,0.5517379145025969,0.06724022929859325,392,0.5382653061224489
INPSX,False,0.11632361091860478,4914,0.5494505494505495,0.06925869633675569,392,0.5306122448979592
LGPIX,False,0.09862575968857831,3382,0.562093435836783,0.11870559200340985,378,0.5767195767195767
LGPSX,False,0.08992903978169345,3279,0.5574870387313205,0.09293815743232293,355,0.5690140845070423
LVPIX,False,0.10988292036844913,1669,0.5578190533253445,0.10923890963913081,262,0.6068702290076335
LVPSX,False,0.12464288132739018,1549,0.5590703679793415,0.11957158113385677,235,0.6085106382978723
MDPIX,False,0.1402902100598918,2054,0.5520934761441091,0.10412489182612707,282,0.5354609929078015
MDPSX,False,0.13477105344358087,2024,0.5528656126482213,0.11993050610080977,260,0.5307692307692308
MGPIX,False,0.11937699859946237,2216,0.5645306859205776,0.1410532873582307,307,0.5504885993485342
MGPSX,False,0.12076768098733488,2182,0.5641613198900092,0.1709327649193991,311,0.5627009646302251
MLPIX,False,0.11912488698240731,1652,0.5357142857142857,0.07997792874991434,254,0.5
MLPSX,False,0.12307848143646066,1487,0.5305985205110961,0.04753934614615572,213,0.4835680751173709
OEPIX,False,0.12063016780808128,4133,0.5381079119283814,0.20985856782440054,391,0.5575447570332481
OEPSX,False,0.09125756906556805,4055,0.5373612823674476,0.1483449743365658,391,0.5601023017902813
OTPIX,False,0.10105111337395228,3744,0.5555555555555556,0.12542674883429425,372,0.5725806451612904
OTPSX,False,0.09840375567388712,3020,0.5599337748344371,0.1293557144021804,370,0.572972972972973
