ticker,n_strategies,union_days,sum_trades,overlap_days,avg_strategies_per_day,weighted_swallowed_ratio,strategies_swallowed_gt50
BIPIX,3,1632,2028,750,1.2426470588235294,0.1952662721893491,0
BIPSX,3,1666,1677,22,1.0066026410564226,0.00655933214072749,0
BITIX,3,383,667,489,1.7415143603133159,0.4257871064467766,2
BKPIX,3,1889,2057,336,1.088935944944415,0.08167233835683034,0
BKPSX,3,1727,1887,320,1.092646207295889,0.08479067302596714,0
BLPIX,3,825,994,318,1.2048484848484848,0.17002012072434608,1
BLPSX,3,449,519,136,1.1559020044543429,0.1348747591522158,0
BMPIX,3,1369,1461,183,1.0672023374726078,0.06297056810403832,0
BMPSX,3,1157,1440,536,1.2445980985306828,0.19652777777777777,0
BTCFX,3,421,677,458,1.6080760095011877,0.37813884785819796,1
CNPIX,3,802,1082,514,1.3491271820448878,0.2587800369685767,1
CNPSX,3,808,1109,557,1.3725247524752475,0.27141568981064024,1
CYPIX,3,1216,1428,410,1.174342105263158,0.1484593837535014,0
CYPSX,3,1157,1403,474,1.212618841832325,0.17533856022808267,0
ENPIX,3,1475,1605,254,1.088135593220339,0.08099688473520249,0
ENPSX,3,1475,1604,252,1.087457627118644,0.08042394014962594,0
FNPIX,3,1446,1621,350,1.1210235131396957,0.107958050586058,0
FNPSX,3,1203,1578,706,1.311720698254364,0.2376425855513308,0
GVPSX,1,399,399,0,1.0,0.0,0
HCPIX,3,1119,1306,365,1.1671134941912422,0.14318529862174578,0
HCPSX,3,1082,1186,202,1.0961182994454715,0.08768971332209106,0
IDPIX,3,1038,1278,462,1.23121387283237,0.18779342723004694,0
IDPSX,3,994,1190,373,1.1971830985915493,0.16470588235294117,0
INPIX,3,1733,1866,266,1.076745527986151,0.07127545551982852,0
INPSX,3,1520,1747,446,1.1493421052631578,0.12993703491700057,0
LGPIX,3,1169,1224,110,1.04704875962361,0.04493464052287582,0
LGPSX,3,1088,1145,114,1.052389705882353,0.04978165938864629,0
LVPIX,1,184,184,0,1.0,0.0,0
LVPSX,4,788,1154,660,1.4644670050761421,0.317157712305026,2
MDPIX,3,496,1071,933,2.159274193548387,0.5368814192343604,2
MDPSX,3,618,1002,709,1.6213592233009708,0.38323353293413176,1
MGPIX,3,717,1115,741,1.5550906555090656,0.35695067264573993,1
MGPSX,3,751,810,118,1.0785619174434087,0.0728395061728395,0
MLPIX,3,491,955,797,1.945010183299389,0.48586387434554973,1
MLPSX,3,431,736,500,1.7076566125290022,0.41440217391304346,2
OEPIX,3,1595,1884,560,1.181191222570533,0.15339702760084925,0
OEPSX,3,1348,1590,466,1.1795252225519288,0.15220125786163521,0
OTPIX,3,1063,1309,491,1.231420507996237,0.18792971734148206,0
OTPSX,3,894,995,202,1.1129753914988814,0.10150753768844221,0
PHPIX,3,1277,2031,1319,1.5904463586530933,0.37124569177744954,1
PHPSX,3,1070,1272,395,1.188785046728972,0.15880503144654087,0
PMPIX,3,1830,2236,787,1.2218579234972677,0.1815742397137746,0
PMPSX,3,2048,2617,1075,1.27783203125,0.21742453190676347,0
REPIX,3,1656,2028,716,1.2246376811594204,0.1834319526627219,0
REPSX,3,1631,2074,884,1.27161250766401,0.21359691417550628,0
RRPIX,1,209,209,0,1.0,0.0,0
RRPSX,1,196,196,0,1.0,0.0,0
SGPIX,3,716,956,454,1.335195530726257,0.2510460251046025,1
SGPSX,3,578,876,494,1.5155709342560553,0.3401826484018265,1
SLPIX,3,594,947,643,1.5942760942760943,0.3727560718057022,1
SLPSX,3,709,849,269,1.1974612129760225,0.16489988221436985,0
SMPIX,3,2490,3009,999,1.2084337349397591,0.17248255234297108,0
SMPSX,3,2552,3331,1462,1.3052507836990597,0.23386370459321526,0
SNPIX,1,158,158,0,1.0,0.0,0
SNPSX,3,251,462,348,1.840637450199203,0.45670995670995673,2
SPPIX,3,698,1013,559,1.4512893982808024,0.3109575518262586,1
SPPSX,1,421,421,0,1.0,0.0,0
SVPIX,3,577,1029,820,1.783362218370884,0.4392614188532556,2
SVPSX,3,593,1054,837,1.7774030354131534,0.43738140417457305,2
TEPIX,3,2098,2349,502,1.1196377502383221,0.1068539804171988,0
