ticker,fund_group,obs,daily_vol_pct,mean_abs_return_pct,candidates,max_full_trades,max_frozen_trades,best_full_avg_abs,best_frozen_avg_abs,best_full_hit,best_frozen_hit,pass_in_76_pool,reason,best_condition,needed_ext_etfs
BRPIX,long,6959,1.1742059853736153,0.7474320550775276,52,1218,94,2.7718404906950544,0.888767138959049,0.5172413793103449,0.8,False,avg_hit,,
BRPSX,inverse,6677,1.1631274942533023,0.7389572016151953,55,850,73,0.4595262146572335,0.8984660510573428,0.5714285714285714,0.8,False,avg_hit_and_trades,,
ETHFX,long,361,4.430261867607913,3.3624318826594166,13,96,96,0.7016017651335235,0.7016017651335235,0.5849056603773585,0.5849056603773585,False,trade_count,,
FDPIX,long,5486,0.47090398106545417,0.3444811706205413,2,169,12,0.0327740106861006,0.2341590758156911,0.4970414201183432,0.6666666666666666,False,avg_hit,,
FDPSX,inverse,5486,0.4732523613090443,0.3452378696015605,1,31,4,0.0537468373609355,0.2145517063357975,0.3870967741935484,0.25,False,avg_hit,,
GVPIX,long,6208,1.2069843513834297,0.8718210289683164,7,76,15,0.6620092696419266,0.334105303144616,0.6349206349206349,0.6363636363636364,False,trade_count,,
GVPSX,inverse,6208,1.20799419229473,0.8730130401535103,7,616,43,0.6586636802966166,0.3312640487068222,0.5766423357664233,0.6388888888888888,False,avg_hit,,
RDPIX,long,5486,0.47254585812435185,0.34496687081348176,1,137,0,0.0240462008684632,,0.437956204379562,,False,avg_hit,,
RDPSX,inverse,5486,0.4684922629421922,0.34375819099875543,0,0,0,0.0,0.0,0.0,0.0,False,no_candidate,,
RRPIX,long,6208,1.2051331138274983,0.8733371688097877,18,278,75,0.62639736779719,0.4793608837021395,0.6666666666666666,0.7272727272727273,True,pass_76_pool,JNK_down_GOVZ_up,GOVZ|IAU|LTPZ|MUB|XLC|ZROZ
RRPSX,inverse,6208,1.2040433152021868,0.8722740848528433,21,433,75,0.67406388363926,0.4735133169189206,0.6666666666666666,0.7272727272727273,True,pass_76_pool,GOVZ_up_IAU_down,GOVZ|IAU
RTPIX,long,5518,0.4869488064329371,0.3553312376916286,1,84,0,0.0179000919366303,,0.4642857142857143,,False,avg_hit,,
RTPSX,inverse,5518,0.4814523244206021,0.35484432508920677,1,95,0,0.0096143396790613,,0.4631578947368421,,False,avg_hit,,
SHPIX,long,6178,5.402178990976455,1.0900187413120446,122,2347,299,4.83090138133052,0.8058055678133191,0.6842105263157895,0.8,False,avg_hit_and_trades,,
SHPSX,inverse,6178,5.5400976243377915,1.105076726363301,140,2347,289,4.80568306656179,1.000085345401309,1.0,0.7333333333333333,False,avg_hit_and_trades,,
SNPIX,long,5345,1.84032970179762,1.2350285422116682,92,2276,193,1.2336257392648051,1.4656149523753463,1.0,0.75,True,pass_76_pool,SOXX_up_XLC_up,SOXX|XLC
SNPSX,inverse,5345,1.8396702786854575,1.2347492196222276,87,2609,212,1.0413662392930294,1.4439811438000552,0.6612903225806451,1.0,True,pass_76_pool,XLK_up_XLC_up,XLC
SOPIX,long,6178,5.226327634784511,0.9885817730902441,92,1092,108,0.56353875750541,1.2194743474543577,0.6792452830188679,0.7222222222222222,False,avg_hit_and_trades,,
SOPSX,inverse,6178,5.227201840859741,0.9889472955296529,96,1818,212,0.7926528720551933,1.2220525722397375,0.75,0.75,False,avg_hit_and_trades,,
UCPIX,ultra_long,5763,12.076472946222488,2.2403296148194785,255,2687,309,1.7387233933679014,3.4880099657427404,0.671875,1.0,True,pass_76_pool,GOVZ_down_XLY_up,GOVZ|XLY
UCPSX,inverse,5763,12.08052115843284,2.24434122543219,244,2671,309,1.8721249109287108,1.7013189130675852,0.6666666666666666,1.0,True,pass_76_pool,GOVZ_down_VCLT_down,GOVZ|VCLT
UIPIX,ultra_long,5763,12.470792418805084,1.941653851813569,176,2675,215,0.6610429262420616,1.6802612669650865,0.6229508196721312,1.0,False,avg_hit_and_trades,,
UIPSX,inverse,5763,12.465016994864806,1.938149319393056,159,2572,215,1.296858410869841,3.2817627754336804,0.8666666666666667,1.0,False,avg_hit_and_trades,,
URPIX,ultra_long,7249,5.4924719643777395,1.6037897246049204,152,2276,215,5.6660914939322105,1.8461865795936443,0.6271186440677966,0.75,False,avg_hit_and_trades,,
URPSX,inverse,7339,326895.03557814704,3817.706960308808,146,2304,215,9.271589951240369,1.824654491197009,0.5777777777777777,0.65,True,pass_76_pool,GOVZ_down_MBB_down,GOVZ|MBB
UWPIX,ultra_long,5630,2.2184996359144944,1.408886227814501,166,2478,215,1.5222804504687568,2.626027811578753,0.6095238095238096,1.0,False,avg_hit_and_trades,,
UWPSX,inverse,5630,2.2128509367704554,1.406317528489254,163,2478,215,1.5175901011070492,2.0021031777828866,0.6153846153846154,1.0,True,pass_76_pool,XLV_up_XLC_down,XLC
UXPIX,ultra_long,5187,2.776908294530377,1.7786495950090453,245,2432,268,6.200005551221554,16.414757621007382,0.6545454545454545,1.0,True,pass_76_pool,SIL_up_UDN_down,SIL|UDN
