ticker,n_strategies,constraints_met,base_full_avg,base_full_trades,base_full_hit,base_frozen_avg,base_frozen_trades,base_frozen_hit,sel_full_avg,sel_full_trades,sel_full_hit,sel_frozen_avg,sel_frozen_trades,sel_frozen_hit,density_full_req,density_frozen_req
BIPIX,3,True,0.12009112589180324,5044,0.535289452815226,0.2819885617293095,396,0.5505050505050505,0.3908470137622039,1005,0.6009950248756218,0.7268200430546776,139,0.6474820143884892,200,40
BIPSX,3,True,0.13707391115913525,5038,0.5398967844382692,0.32116331679848303,396,0.5681818181818182,0.3815997621796976,1243,0.5720032180209171,0.6822274283090267,146,0.6301369863013698,200,40
BITIX,3,True,0.1087684645405741,681,0.5198237885462555,0.1762859231317608,355,0.5380281690140845,0.32848436222845584,378,0.5396825396825397,0.3949656055098951,211,0.5592417061611374,200,40
BKPIX,3,True,0.11840632380787593,4815,0.5329179646936656,0.15991523729732157,393,0.5597964376590331,0.3899591631930237,1056,0.5804924242424242,0.6290633521777246,142,0.6408450704225352,200,40
BKPSX,3,True,0.12601655200499723,4739,0.5374551593163115,0.13704828024615204,392,0.5510204081632653,0.375371418563669,1147,0.5867480383609416,0.4497472172168021,151,0.6291390728476821,200,40
BLPIX,1,True,0.13166712415629897,2711,0.5639985245296938,0.14199979518317984,330,0.5787878787878787,0.24703242157607017,606,0.570957095709571,0.6112842817025174,35,0.6,120,30
BLPSX,1,True,0.1370676573500092,2412,0.5601160862354893,0.13465208619152275,327,0.5657492354740061,0.24454020171054983,611,0.5679214402618658,0.6552476085146761,34,0.6176470588235294,120,30
BMPIX,3,True,0.10931947133774624,4263,0.5402298850574713,0.13453830400247843,392,0.5433673469387755,0.46598163803527876,507,0.5857988165680473,0.5164619389579798,79,0.5949367088607594,200,40
BMPSX,3,True,0.1052918081425751,4087,0.5380474675801321,0.14034710165343212,388,0.5412371134020618,0.5027473543256454,449,0.5812917594654788,0.5446804829807509,88,0.6022727272727273,200,40
BTCFX,3,True,0.29734049313282823,964,0.5259336099585062,0.0907771093547597,390,0.5076923076923077,0.5231358617936654,408,0.5465686274509803,0.4546206848631122,158,0.5506329113924051,200,40
CNPIX,3,True,0.11444645811491598,3216,0.542910447761194,0.12234169078477244,354,0.5423728813559322,0.36903924950478756,464,0.6012931034482759,0.3801896740831638,95,0.631578947368421,160,35
CNPSX,3,True,0.10770323332415364,3020,0.5423841059602649,0.1109970502562466,337,0.5400593471810089,0.30533391421983547,630,0.5857142857142857,0.3433480387378391,72,0.5833333333333334,160,35
CYPIX,3,True,0.08449895423816411,4069,0.5485377242565741,0.0808108744633951,391,0.5319693094629157,0.3606748256980441,848,0.6002358490566038,0.4499546781181327,101,0.6336633663366337,200,40
CYPSX,3,True,0.07672800720110125,3971,0.5484764542936288,0.08387786409433655,387,0.5348837209302325,0.2447863800449036,666,0.6021021021021021,0.43123866340199646,124,0.6209677419354839,200,40
ENPIX,3,True,0.12701303310464251,4676,0.5417023096663816,0.2171959507151897,392,0.5790816326530612,0.347452478769757,1263,0.5684877276326208,0.5566564169910247,143,0.6573426573426573,200,40
ENPSX,3,True,0.13433723990022006,4608,0.5407986111111112,0.2215586313669422,392,0.5918367346938775,0.3546694945245439,1180,0.5711864406779661,0.3478361979806367,153,0.6143790849673203,200,40
FNPIX,3,True,0.11864146561434018,4488,0.5389928698752228,0.0943894294179629,395,0.5544303797468354,0.37045023483035194,1109,0.6068530207394048,0.3293504338301096,171,0.6140350877192983,200,40
FNPSX,3,True,0.10490689458690686,4357,0.5382143676841864,0.08716562204090819,396,0.5631313131313131,0.39017579926254015,1089,0.5996326905417815,0.3216566857847756,177,0.615819209039548,200,40
GVPSX,1,True,0.20712178632637632,400,0.58,0.25643708257385023,36,0.6388888888888888,0.20712178632637632,400,0.58,0.25643708257385023,36,0.6388888888888888,120,30
HCPIX,3,True,0.10127968223957891,3649,0.5393258426966292,0.10251428705753432,365,0.5232876712328767,0.3618142573921003,747,0.6117804551539491,0.3939158793188376,123,0.5934959349593496,120,30
HCPSX,3,True,0.10248383486992514,3547,0.537919368480406,0.10603430227481313,361,0.5263157894736842,0.36124026368882406,738,0.6111111111111112,0.38927122746593534,123,0.5934959349593496,120,30
IDPIX,3,True,0.10390222430357722,4401,0.5401045216996138,0.14493282497707546,396,0.553030303030303,0.3454699123857734,839,0.6090584028605482,0.5269421089321691,149,0.6375838926174496,200,40
