ticker,fund_group,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,pass,abs_full_avg
AFBIX,long,sparse,ext_vix_chg_le-5,1,0.3929676784292235,863,0.7879490150637312,0.2773275829303024,78,0.8333333333333334,,0.3929676784292235
AFBSX,inverse,sparse,ext_vix_chg_le-5,1,0.3887531937627287,863,0.7775202780996524,0.2706352631731451,78,0.8205128205128205,,0.3887531937627287
BIPIX,long,triple_scan,SPY_down_up_up_TLT_XLU,1,0.5645281619363985,149,0.5503355704697986,0.9421543356419063,43,0.627906976744186,True,0.5645281619363985
BIPSX,inverse,triple_scan,LQD_down_up_down_XLE_XLK,1,0.6066940813555878,125,0.576,0.7828795443217178,48,0.5833333333333334,True,0.6066940813555878
BITIX,long,triple_scan,EEM_up_up_up_GLD_JNK,1,7.792269762314485,120,0.6416666666666667,0.8835371092142577,105,0.6666666666666666,True,7.792269762314485
BKPIX,long,triple_scan,GDX_up_down_down_SPY_XLF,2,0.6337654653610436,179,0.5921787709497207,0.4569040503125589,60,0.6333333333333333,True,0.6337654653610436
BKPSX,inverse,triple_scan,GDX_up_down_down_SPY_XLF,2,0.6391482146214832,173,0.6011560693641619,0.45280246462585655,60,0.6333333333333333,True,0.6391482146214832
BLPIX,long,gap_extra,ext_vix_chg_ge5,1,1.0837703814050874,990,0.9353535353535354,1.077939605155951,89,0.9775280898876404,,1.0837703814050874
BLPSX,inverse,gap_extra,ext_vix_chg_ge5,1,1.07971385391844,990,0.9323232323232324,1.0747692053359583,89,0.9775280898876404,,1.07971385391844
BMPIX,long,triple_scan,EEM_down_up_down_GDX_XLU,1,0.6481634090421035,135,0.5555555555555556,0.7749618862786309,35,0.5714285714285714,True,0.6481634090421035
BMPSX,inverse,triple_scan,EEM_down_up_down_GDX_XLU,1,0.6452034805276036,135,0.5555555555555556,0.7711887137671006,35,0.5714285714285714,True,0.6452034805276036
BTCFX,long,triple_scan,QQQ_down_down_down_XLF_XLV,1,0.6996624554639056,176,0.5681818181818182,0.753280787992598,72,0.5694444444444444,True,0.6996624554639056
CNPIX,long,triple_scan,GLD_up_up_down_JNK_QQQ,1,0.42928461467651385,126,0.6190476190476191,0.7229001352824327,31,0.6451612903225806,True,0.42928461467651385
CNPSX,inverse,triple_scan,GLD_up_up_down_JNK_QQQ,1,0.42441339304788916,126,0.6190476190476191,0.7168246384797542,31,0.6451612903225806,True,0.42441339304788916
CYPIX,long,triple_scan,EEM_down_up_down_GDX_LQD,1,0.482419539663279,156,0.6153846153846154,0.8940418264974653,34,0.7058823529411765,True,0.482419539663279
CYPSX,inverse,triple_scan,EEM_down_up_down_GDX_LQD,1,0.4926978198012525,152,0.618421052631579,0.8908459619415194,34,0.7058823529411765,True,0.4926978198012525
ENPIX,long,triple_scan,GDX_up_down_down_LQD_XLE,1,0.6836187690944082,134,0.5746268656716418,0.822895560794911,38,0.631578947368421,True,0.6836187690944082
ENPSX,inverse,triple_scan,GDX_up_down_down_LQD_XLE,1,0.6835891062664996,134,0.5746268656716418,0.8229494988966738,38,0.631578947368421,True,0.6835891062664996
FNPIX,long,triple_scan,GDX_up_down_down_XLK_XLU,1,0.6017703137039694,195,0.6256410256410256,0.6548339607222351,36,0.6944444444444444,True,0.6017703137039694
