ticker,fund_name,fund_theme,condition,full_std,full_avg,full_hit,train_std,test_std,flag_std_high,flag_avgstd_low,flag_test_std_high
BLPIX,Bull ProFund Investor Class,大盘多头,combo_XLV_big_down__self_down,1.7979015010838724,0.2470324215760701,0.570957095709571,1.7949982124959387,1.8323331058267536,1,0,0
BLPSX,Bull ProFund Service,大盘多头,combo_XLV_big_down__self_down,1.7917719982498996,0.2445402017105498,0.5679214402618658,1.7877284001854925,1.8374815448187416,1,0,0
CYPIX,Consumer Discretionary UltraSector ProFund - Investor Class,可选消费,FXY_up_GDX_up_QQQ_down,2.0306093375185394,0.3481794233672681,0.6007984031936128,1.8396388413529727,3.507737856165168,0,0,1
CYPIX,Consumer Discretionary UltraSector ProFund - Investor Class,可选消费,combo_XLK_big_down__self_big_down,2.896154671736286,0.482006725074059,0.5668202764976958,2.797591949086722,3.259533624594924,1,0,0
PHPSX,Pharmaceuticals UltraSector ProFund， Service Class,医药,IWM_down_XLC_up,1.9597753713352648,0.2982376302198746,0.5705882352941176,1.6088467106460724,2.445642639165156,0,0,1
REPIX,ProFunds Real Estate UltraSector ProFund Investor,房地产,combo_GDX_up__ext_vix_5dchg_up,3.84046508908864,0.4559226389680271,0.5560538116591929,5.015146661223536,1.627276087337845,1,0,0
REPSX,ProFunds Real  Estate UltraSector ProFund Service Cl,房地产,FXY_up_XLF_down_XLU_down,3.852527347162804,0.4137064442923144,0.5565610859728507,3.920858436962963,2.4007764352973155,1,0,0
SPPIX,Short Precious Metals ProFund Investor Class,贵金属,GLD_up_XLE_up_XLV_down,2.175989445323616,0.2866728234755039,0.5791962174940898,2.015518505365151,3.047092875224841,0,0,1
SPPSX,Short Precious Metals ProFund Service Class,贵金属,GLD_up_XLE_up_XLV_down,2.180035750750844,0.2893970327750828,0.5791962174940898,2.0188178545942246,3.0546043791066744,0,0,1
UDPIX,Ultra Dow 30 Profund Investor Class,大盘,combo_XLV_big_down__self_down,3.580366464478368,0.4948576422774449,0.5584905660377358,3.630771161182369,2.948902043494256,1,0,0
UDPSX,Ultra Dow 30 Profund Service Class,大盘,combo_XLV_big_down__self_down,3.5834151341104725,0.491111348745088,0.55765595463138,3.634141156794984,2.948853516696967,1,0,0
UDPSX,Ultra Dow 30 Profund Service Class,大盘,combo_QQQ_big_down__ext_vix_5dchg_up,3.616728439257205,0.2049533141725113,0.5725338491295938,3.665704862336713,3.1673529977535426,1,0,0
ULPIX,UltraBull ProFund Investor Shares,大盘多头,combo_QQQ_big_down__ext_vix_5dchg_up,3.836260653637498,0.2551003078026386,0.5589941972920697,3.868141173285328,3.56127382535127,1,0,0
UXPSX,UltraShort International ProFund Service Class,国际,SLV_up_TIP_down_TLT_down,1.3626442066270652,0.2262862235105484,0.572139303482587,1.2104611845762732,1.952315314441393,0,0,1
