ticker,strategy_no,source,condition,horizon,full_trades,full_avg,full_hit,full_std,full_ann_vol,full_downside_std,full_avg_std,full_median,full_p10,full_p90,full_max,full_min,full_tstat,train_trades,train_avg,train_hit,train_std,train_ann_vol,train_downside_std,train_avg_std,train_median,train_p10,train_p90,train_max,train_min,train_tstat,test_trades,test_avg,test_hit,test_std,test_ann_vol,test_downside_std,test_avg_std,test_median,test_p10,test_p90,test_max,test_min,test_tstat,std,avg_std,flag_std_high,flag_avgstd_low,flag_test_std_high
BIPIX,1,triple_scan,FXY_up_GDX_up_QQQ_down,1,505,0.4573282810504677,0.6237623762376238,2.4455491359750594,38.821888996673344,1.5056092176130909,0.1870043313883887,0.4562396085322199,-2.4116893150132435,2.985512519075702,10.89606561156766,-10.0486753212005,4.202399680991713,464,0.4373931491808317,0.6228448275862069,2.366519768206388,37.56733667635394,1.4557945584339411,0.1848254787714437,0.462702825329835,-2.4164595176487427,2.9699612424761623,9.15438167097553,-8.59702630575677,3.981262654967056,41,0.6829356270873249,0.6341463414634146,3.2365659475700603,51.37889159478298,1.9840283986202285,0.2110062449368774,0.3315174407001199,-2.25734593130269,3.9392196761921503,10.89606561156766,-10.0486753212005,1.351099201205012,2.15083361189284,0.03847140688279585,0,0,0
BIPIX,2,condition_expansion,combo_SLV_big_up__self_down,2,451,0.234990288440671,0.5920177383592018,1.656871222807783,26.302015260053302,1.138337085207759,0.1418277324187268,0.30595683277919,-1.6733813779204398,2.1203604083124548,5.097586473138185,-6.86191970358424,3.0119615972070646,392,0.1799378889310431,0.5816326530612245,1.6547513705252397,26.268363648318484,1.175961692817575,0.1087401359117342,0.3017638075709575,-1.7091259809001085,2.016529285740213,4.837912686277855,-6.86191970358424,2.1529448497293555,59,0.6007621631487078,0.6610169491525424,1.6380780173811824,26.00368237267409,0.8469249577075457,0.3667481992763411,0.3063549936276599,-1.159025346190927,2.6220358117323475,5.097586473138185,-4.782087797169685,2.817046371409937,2.15083361189284,0.03847140688279585,0,0,0
BIPIX,3,condition_expansion,combo_XLK_down__ext_credit_spread_up,1,267,0.422008397452931,0.5543071161048689,2.592023980813231,41.14710507328479,1.5657313921037328,0.1628103754350793,0.2073411812413,-2.670845710225528,3.517452268354495,10.89606561156766,-10.0486753212005,2.66034345513247,192,0.2722237056776673,0.5260416666666666,2.389860099938212,37.93785295603486,1.4595636070691596,0.11390779974305,0.14156255248517,-2.7272195723079875,3.1372473970464245,8.1303502750093,-5.44011989477546,1.57835277226675,74,0.7843646962822427,0.6216216216216216,3.0485947156809705,48.394940795505065,1.821537338130256,0.257287297733519,0.907617508388685,-2.3856654417737726,4.24555228936221,10.89606561156766,-10.0486753212005,2.2132690221821703,2.15083361189284,0.03847140688279585,0,0,0
BIPSX,1,condition_expansion,combo_QQQ_down__self_big_down,1,609,0.4421863291133512,0.5812807881773399,2.80634027213917,44.549270725833416,1.7100770198921864,0.1575668971803939,0.4727201103013499,-2.7311572390699017,3.5752832315203467,17.63181148748158,-9.136115960429567,3.8884241275891713,553,0.3919630384626539,0.5714285714285714,2.7742234926704343,44.039432657513935,1.7057999639386978,0.1412874771979365,0.4391084431104299,-2.857915244146022,3.541050463706814,17.63181148748158,-9.136115960429567,3.322509536595112,56,0.938141324288988,0.6785714285714286,3.088971888600387,49.03590854463683,1.7517523074739672,0.3037066564934199,0.965570660401245,-2.09176114503969,4.20041715323968,10.90796679031973,-8.59892400592698,2.272732509362041,2.264673899648271,0.032813151661965995,0,0,0
BIPSX,2,triple_scan,FXY_up_XLE_down_XLU_up,1,411,0.2943223260132523,0.5644768856447688,2.1297086251086306,33.80807632240036,1.302247917323142,0.1381984007311046,0.32530950571423,-2.3604667359556,2.60159684219969,11.20218579234975,-6.02372196612627,2.801714825506867,370,0.23508252162076,0.5540540540540541,2.042136466716314,32.417911405125,1.2940337323749058,0.1151159706769081,0.289220592962345,-2.361100615702328,2.4742052024329197,9.48674832618556,-5.193784916201101,2.214299907602425,41,0.8289254388235482,0.6585365853658537,2.773784691543113,44.032466905566494,1.3741567711088247,0.2988427477268973,0.77345309381238,-2.06345112200155,3.92118393772766,11.20218579234975,-6.02372196612627,1.9135272411511264,2.264673899648271,0.032813151661965995,0,0,0
BIPSX,3,condition_expansion,combo_XLC_down__ext_sect_rotation_down,2,456,0.2895405262996194,0.5723684210526315,1.9151721420011667,30.402415233683804,1.0148758434264231,0.1511825072795169,0.2810706595108375,-1.6239627302581423,2.093824613692335,22.078106969701423,-5.740787149489305,3.228374921123391,363,0.2736708693871612,0.559228650137741,1.9143462673286409,30.389304879698138,0.9368816327838068,0.142957872385884,0.215898211191775,-1.6088210733208788,1.941139072814322,22.078106969701423,-4.454914399627835,2.723713281457288,92,0.3344989717361715,0.6195652173913043,1.931069672392637,30.65478070493933,1.2813267852089856,0.1732195251773179,0.421971989218015,-1.828761690687672,2.7193855476217945,5.13887978187458,-5.740787149489305,1.6614633185972854,2.264673899648271,0.032813151661965995,0,0,0
BITIX,1,condition_expansion,combo_XLC_up__self_down,1,233,0.5652131150683664,0.5793991416309013,4.229264865484878,67.13749837617615,1.8504742813736497,0.133643347731915,0.6897290350219499,-2.7356803559874683,3.4480797895785047,50.0,-9.80001240507899,2.0399771674132774,111,0.5112109578760439,0.5585585585585585,5.6390682474933325,89.51743325392913,2.292993013885063,0.0906552173939881,0.56040924244165,-4.21206165120643,3.526639911735089,50.0,-9.80001240507899,0.955111981352652,122,0.6143462253007252,0.5983606557377049,2.3198601191914663,36.82663771102368,1.3251469068957256,0.264820374391729,0.772028182002155,-2.031839323655424,3.372015656816287,6.05473281921791,-7.1988363616819,2.92503663986334,3.630903241653713,-0.025613515725159772,0,0,0
BITIX,2,triple_scan,EEM_up_JNK_up_SPY_up,1,229,0.3123233762271711,0.5589519650655022,4.367727900401828,69.33553091316918,2.13330096984382,0.0715070588986181,0.4340158174653299,-3.3691516948863955,3.3480936858124264,50.0,-10.20763593594499,1.082098155974619,87,0.0872605569465093,0.5287356321839081,6.395929115375219,101.53222705488103,2.938043988653446,0.0136431400930856,0.14543844263648,-5.449144028520302,3.4339644049149523,50.0,-10.20763593594499,0.127254739122603,142,0.4502139767723654,0.5774647887323944,2.4179877433185606,38.38436545213916,1.43197860678613,0.1861936554543781,0.597506012806065,-2.675663158079492,3.0870684742334698,9.3812172005953,-5.38408779149519,2.218753474604117,3.630903241653713,-0.025613515725159772,0,0,0
BITIX,3,triple_scan,EEM_up_GLD_up_SLV_up,2,200,0.3458758808470543,0.55,3.013567588776306,47.838902393920016,1.3605270212087424,0.1147728964617319,0.2135101216069449,-2.1103164802910537,2.386339174797772,23.896606160661925,-6.829291440432329,1.623133867690244,78,0.3053020902353949,0.4871794871794871,4.337109747423575,68.84948280286164,1.845860482231296,0.070392982427239,-0.1222152100858724,-2.8584806915766103,2.429233665856709,23.896606160661925,-6.829291440432329,0.6216939874649936,122,0.3718165010741807,0.5901639344262295,1.721559251294072,27.32890587712,0.925260633810558,0.2159765926120123,0.372908409026185,-1.7240756649611204,2.3828086104123027,8.655224921302047,-3.3732554197922497,2.385539436661656,3.630903241653713,-0.025613515725159772,0,0,0
BKPIX,1,triple_scan,GDX_up_IWM_down_XLK_down,1,265,0.5662008095350111,0.569811320754717,3.4420500887364174,54.6408512101462,1.9872120361201095,0.1644952266638468,0.4950642216016799,-3.413854944457968,4.33785567700067,19.60804322647469,-10.38931738286373,2.677788283775519,211,0.4920329092297815,0.5450236966824644,3.642243206976309,57.818818440442016,2.1623716573118275,0.1350906244501596,0.4389423076923,-3.83476762091946,4.34687198604233,19.60804322647469,-10.38931738286373,1.9623046674317643,54,0.8560050125795187,0.6666666666666666,2.518807371051894,39.98482742567822,1.0530686585172149,0.3398453658733091,0.5262639138456,-1.492592132427565,3.3357038256502536,11.33980644166492,-4.398224576141381,2.4973432135172007,3.081412388075107,0.017833325549466397,0,0,0
