ticker,bucket_lo,bucket_hi,n,avg,hit,std
AFBIX,-inf,-3.0,9,0.8084254687056622,0.6666666666666666,2.8600690506874247
AFBIX,-3.0,-2.5,4,-0.525066275551375,0.5,2.8825992591334484
AFBIX,-2.5,-2.0,9,-0.5514876237217377,0.3333333333333333,0.7725567872695853
AFBIX,-2.0,-1.5,28,-0.09798460066750392,0.4642857142857143,1.1492677784787324
AFBIX,-1.5,-1.0,109,-0.10439634784149196,0.3577981651376147,0.6368621348387711
AFBIX,-1.0,-0.5,408,-0.12906407832182684,0.36519607843137253,0.5835403585211906
AFBIX,-0.5,0.0,2629,-0.03338311933825218,0.4096614682388741,0.41899085717660306
AFBSX,-inf,-3.0,8,0.8691712151956574,0.625,3.052023910003156
AFBSX,-3.0,-2.5,5,-0.36562447680734605,0.6,2.526611493823018
AFBSX,-2.5,-2.0,9,-0.5501583741317011,0.3333333333333333,0.7546461435984916
AFBSX,-2.0,-1.5,28,-0.13000848980723603,0.42857142857142855,1.1384088790262914
AFBSX,-1.5,-1.0,110,-0.10192289543544261,0.37272727272727274,0.6320639846343997
AFBSX,-1.0,-0.5,414,-0.12588384648651135,0.3719806763285024,0.5851074990184872
AFBSX,-0.5,0.0,2637,-0.03712726925161264,0.40841865756541523,0.41712533185957146
BIPIX,-inf,-3.0,414,0.2640986686648357,0.5265700483091788,3.042313496990986
BIPIX,-3.0,-2.5,168,0.6195096288659239,0.6190476190476191,2.3405788090609545
BIPIX,-2.5,-2.0,258,0.34522999828922113,0.5852713178294574,2.2091661105669558
BIPIX,-2.0,-1.5,311,0.17903927784403495,0.5337620578778135,2.2350806655638187
BIPIX,-1.5,-1.0,420,0.003645884095136035,0.5071428571428571,2.1771962566852294
BIPIX,-1.0,-0.5,564,0.1570596270061256,0.526595744680851,1.9914926657508931
BIPIX,-0.5,0.0,890,0.08480135213793823,0.4752808988764045,2.0961497352865037
BIPSX,-inf,-3.0,447,0.29054152007101763,0.5302013422818792,2.9878479837166236
BIPSX,-3.0,-2.5,163,0.5883410632401919,0.6012269938650306,2.383382338191133
BIPSX,-2.5,-2.0,267,0.3484229764890837,0.599250936329588,2.19292739729433
BIPSX,-2.0,-1.5,325,0.17675237905534905,0.5261538461538462,2.3436109595038883
BIPSX,-1.5,-1.0,424,0.013078662170368368,0.49292452830188677,2.1672632684422775
BIPSX,-1.0,-0.5,568,0.16605254368340777,0.5387323943661971,2.0077865493080975
BIPSX,-0.5,0.0,1071,0.004919758502796899,0.3968253968253968,2.2009624443986584
BITIX,-inf,-3.0,155,0.5591243532095782,0.5483870967741935,4.939700556495745
BITIX,-3.0,-2.5,40,-0.2367913240370194,0.475,4.034495197305113
BITIX,-2.5,-2.0,62,-0.12443226376507027,0.532258064516129,2.9757552211872857
BITIX,-2.0,-1.5,47,-0.3292767983721779,0.5106382978723404,3.23712893367511
BITIX,-1.5,-1.0,61,-0.020750693319715154,0.5245901639344263,2.370733740677905
BITIX,-1.0,-0.5,61,0.28057473570924674,0.5901639344262295,2.813109032288467
BITIX,-0.5,0.0,94,0.07162663133735762,0.5319148936170213,3.7799543828929965
BKPIX,-inf,-3.0,518,0.3417653566979402,0.5135135135135135,5.588426365878791
BKPIX,-3.0,-2.5,166,0.19454028763195608,0.5180722891566265,3.5162242963935904
BKPIX,-2.5,-2.0,224,0.35572277727398527,0.5758928571428571,3.051090662561992
BKPIX,-2.0,-1.5,325,0.07452256185092969,0.52,2.6278721236768905
BKPIX,-1.5,-1.0,435,0.17013855785147308,0.5057471264367817,3.064779963833588
BKPIX,-1.0,-0.5,587,0.17262030928839248,0.5281090289608177,2.2442155812433486
BKPIX,-0.5,0.0,1095,0.013921259835247777,0.40730593607305937,2.435320845542472
BKPSX,-inf,-3.0,520,0.3765622103608245,0.5173076923076924,5.582992648966719
BKPSX,-3.0,-2.5,172,0.1124601489812341,0.5116279069767442,3.708296323073212
BKPSX,-2.5,-2.0,219,0.3010490443461582,0.5707762557077626,3.081743977042256
BKPSX,-2.0,-1.5,326,0.1558150595200425,0.5184049079754601,2.473348556908479
BKPSX,-1.5,-1.0,429,0.18732797522680467,0.5058275058275058,3.0173506888574853
BKPSX,-1.0,-0.5,587,0.1641623117089721,0.5281090289608177,2.294324884378603
BKPSX,-0.5,0.0,1115,-0.016745285009097784,0.3937219730941704,2.411651285658326
BLPIX,-inf,-3.0,93,0.4444676519685258,0.5483870967741935,2.935206573077829
BLPIX,-3.0,-2.5,69,0.6065003968642635,0.6231884057971014,1.8803586551084346
BLPIX,-2.5,-2.0,104,-0.013761044316917928,0.5192307692307693,1.6408510060042025
BLPIX,-2.0,-1.5,221,0.19959035260107197,0.5656108597285068,1.5785935813908705
BLPIX,-1.5,-1.0,376,0.07903892620198397,0.5212765957446809,1.4776291411704383
BLPIX,-1.0,-0.5,713,0.09016912530199048,0.5525946704067322,1.1996555632067862
BLPIX,-0.5,0.0,1927,0.006174445012642963,0.4789828749351323,1.0988282279676274
BLPSX,-inf,-3.0,94,0.42639245535272274,0.5319148936170213,2.924893520324368
