ticker,strategy_no,source,condition,horizon,full_trades,full_avg,full_hit,full_std,full_ann_vol,full_downside_std,full_avg_std,full_median,full_p10,full_p90,full_max,full_min,full_tstat,train_trades,train_avg,train_hit,train_std,train_ann_vol,train_downside_std,train_avg_std,train_median,train_p10,train_p90,train_max,train_min,train_tstat,test_trades,test_avg,test_hit,test_std,test_ann_vol,test_downside_std,test_avg_std,test_median,test_p10,test_p90,test_max,test_min,test_tstat
BIPIX,1,triple_scan,FXY_up_GDX_up_QQQ_down,1,505,0.45732828105046774,0.6237623762376238,2.4455491359750594,38.821888996673344,1.5056092176130909,0.18700433138838873,0.45623960853221995,-2.4116893150132435,2.985512519075702,10.896065611567659,-10.0486753212005,4.202399680991713,464,0.4373931491808317,0.6228448275862069,2.366519768206388,37.56733667635394,1.4557945584339413,0.18482547877144373,0.462702825329835,-2.4164595176487427,2.9699612424761623,9.15438167097553,-8.59702630575677,3.9812626549670562,41,0.6829356270873249,0.6341463414634146,3.2365659475700603,51.37889159478298,1.9840283986202283,0.21100624493687742,0.33151744070011996,-2.25734593130269,3.9392196761921503,10.896065611567659,-10.0486753212005,1.351099201205012
BIPIX,2,condition_expansion,combo_SLV_big_up__self_down,2,451,0.23499028844067105,0.5920177383592018,1.656871222807783,26.302015260053302,1.138337085207759,0.14182773241872687,0.30595683277919,-1.6733813779204398,2.1203604083124548,5.097586473138185,-6.86191970358424,3.0119615972070646,392,0.1799378889310431,0.5816326530612245,1.6547513705252395,26.268363648318484,1.1759616928175747,0.10874013591173427,0.30176380757095755,-1.7091259809001085,2.0165292857402135,4.837912686277855,-6.86191970358424,2.1529448497293555,59,0.6007621631487078,0.6610169491525424,1.6380780173811824,26.003682372674092,0.8469249577075457,0.36674819927634117,0.30635499362765994,-1.159025346190927,2.6220358117323475,5.097586473138185,-4.782087797169685,2.817046371409937
BIPIX,3,pair_scan,XLU_up_XLC_down,2,283,0.31420293113275377,0.5865724381625441,1.5873710571831596,25.19873433412998,0.9357342509573165,0.19793918360229956,0.3506549422601,-1.6187356205142018,1.99545484275597,6.33803091602266,-5.727439373114635,3.3298524704040555,197,0.2293718190735331,0.5634517766497462,1.5141429736283631,24.03627454569888,0.8852518568779489,0.15148623549326126,0.24897101510298003,-1.6514803163585041,1.842727186825036,6.33803091602266,-3.5283167962848347,2.1262106363557214,86,0.5085253622451545,0.6395348837209303,1.7373008365388238,27.57879579591722,1.042198275172803,0.29271001979039823,0.5002800284496925,-1.1864593558887773,2.802654115047305,5.097586473138185,-5.727439373114635,2.7144810533451507
BIPSX,1,condition_expansion,combo_QQQ_down__self_big_down,1,609,0.44218632911335126,0.5812807881773399,2.80634027213917,44.549270725833416,1.7100770198921864,0.1575668971803939,0.47272011030134997,-2.7311572390699017,3.5752832315203467,17.63181148748158,-9.136115960429569,3.8884241275891713,553,0.3919630384626539,0.5714285714285714,2.7742234926704343,44.039432657513935,1.7057999639386978,0.14128747719793655,0.43910844311042996,-2.857915244146022,3.541050463706814,17.63181148748158,-9.136115960429569,3.3225095365951116,56,0.9381413242889881,0.6785714285714286,3.088971888600387,49.03590854463683,1.7517523074739672,0.3037066564934199,0.965570660401245,-2.09176114503969,4.20041715323968,10.90796679031973,-8.59892400592698,2.272732509362041
BIPSX,2,triple_scan,FXY_up_XLE_down_XLU_up,1,411,0.2943223260132523,0.5644768856447688,2.1297086251086306,33.80807632240036,1.302247917323142,0.1381984007311046,0.32530950571423,-2.3604667359555997,2.60159684219969,11.20218579234975,-6.02372196612627,2.801714825506867,370,0.23508252162076004,0.5540540540540541,2.042136466716314,32.417911405125,1.2940337323749058,0.11511597067690815,0.289220592962345,-2.3611006157023278,2.4742052024329193,9.486748326185559,-5.193784916201101,2.214299907602425,41,0.8289254388235482,0.6585365853658537,2.773784691543113,44.032466905566494,1.3741567711088247,0.2988427477268973,0.77345309381238,-2.06345112200155,3.9211839377276596,11.20218579234975,-6.02372196612627,1.9135272411511264
BIPSX,3,condition_expansion,combo_XLC_down__ext_sect_rotation_down,2,456,0.2895405262996194,0.5723684210526315,1.9151721420011667,30.402415233683804,1.0148758434264231,0.15118250727951693,0.28107065951083754,-1.6239627302581423,2.093824613692335,22.078106969701423,-5.740787149489305,3.228374921123391,363,0.2736708693871612,0.559228650137741,1.9143462673286407,30.389304879698138,0.9368816327838068,0.142957872385884,0.21589821119177505,-1.6088210733208788,1.941139072814322,22.078106969701423,-4.454914399627835,2.7237132814572877,92,0.33449897173617155,0.6195652173913043,1.931069672392637,30.654780704939334,1.2813267852089856,0.17321952517731795,0.42197198921801504,-1.8287616906876722,2.7193855476217945,5.13887978187458,-5.740787149489305,1.6614633185972854
BITIX,1,condition_expansion,combo_XLC_up__self_down,1,233,0.5652131150683664,0.5793991416309013,4.229264865484878,67.13749837617615,1.8504742813736497,0.13364334773191502,0.6897290350219499,-2.7356803559874683,3.4480797895785047,50.0,-9.80001240507899,2.0399771674132774,111,0.5112109578760439,0.5585585585585585,5.6390682474933325,89.51743325392913,2.292993013885063,0.09065521739398816,0.56040924244165,-4.21206165120643,3.5266399117350895,50.0,-9.80001240507899,0.9551119813526521,122,0.6143462253007252,0.5983606557377049,2.3198601191914663,36.82663771102368,1.3251469068957256,0.26482037439172906,0.772028182002155,-2.031839323655424,3.372015656816287,6.05473281921791,-7.1988363616818996,2.9250366398633396
BITIX,2,triple_scan,EEM_up_JNK_up_SPY_up,1,229,0.31232337622717116,0.5589519650655022,4.367727900401828,69.33553091316918,2.13330096984382,0.07150705889861811,0.43401581746532997,-3.3691516948863955,3.3480936858124264,50.0,-10.20763593594499,1.082098155974619,87,0.0872605569465093,0.5287356321839081,6.395929115375219,101.53222705488105,2.938043988653446,0.01364314009308562,0.14543844263648,-5.449144028520302,3.4339644049149523,50.0,-10.20763593594499,0.12725473912260302,142,0.4502139767723654,0.5774647887323944,2.4179877433185606,38.38436545213916,1.43197860678613,0.18619365545437813,0.597506012806065,-2.675663158079492,3.0870684742334698,9.3812172005953,-5.38408779149519,2.218753474604117
BITIX,3,condition_expansion,combo_ext_vix_chg_down__self_down,1,237,0.34493373970687125,0.5611814345991561,4.422216118957065,70.20050456724972,2.257167660429423,0.07800019954434528,0.56040924244165,-3.7086898675735895,3.4625653768448763,50.0,-13.438192305279589,1.2007978087767195,106,0.34426173477151145,0.5660377358490566,6.041021157180649,95.8982378806778,2.885182839827955,0.05698734134746497,0.62071834138525,-4.399211619956055,3.6345199013944,50.0,-13.438192305279589,0.5867205892316751,131,0.34547749942555916,0.5572519083969466,2.454746553096835,38.96789346712342,1.5753233129154727,0.14073856178338046,0.27928986385126,-2.73570412517779,3.3465937531755396,6.05473281921791,-7.1988363616818996,1.6108264659000133
BKPIX,1,triple_scan,GDX_up_IWM_down_XLK_down,1,265,0.5662008095350111,0.569811320754717,3.4420500887364174,54.6408512101462,1.9872120361201098,0.16449522666384683,0.49506422160167995,-3.4138549444579676,4.33785567700067,19.60804322647469,-10.38931738286373,2.677788283775519,211,0.49203290922978155,0.5450236966824644,3.642243206976309,57.818818440442016,2.1623716573118275,0.13509062445015962,0.4389423076923,-3.83476762091946,4.34687198604233,19.60804322647469,-10.38931738286373,1.9623046674317643,54,0.8560050125795187,0.6666666666666666,2.518807371051894,39.98482742567822,1.0530686585172147,0.3398453658733091,0.5262639138456,-1.492592132427565,3.3357038256502536,11.33980644166492,-4.398224576141381,2.4973432135172007
