ticker,fund_name,fund_theme,condition,horizon,full_avg,full_hit,full_trades,test_avg,test_hit,full_tstat,full_std,full_min,test_std,poor_train,high_std,poor_mono,direction_conflict,btc_weak_link,threshold_suboptimal,category,reason
BMPSX,Materials UltraSector ProFund - Service Class,原材料,GDX_up_UUP_down_XLK_down,1,0.5202748199791134,0.5720720720720721,222,0.7993430119823185,0.6,2.887528117793237,2.684621555401961,-5.47292476317707,2.8658043052141835,0,0,0,0,0,0,acceptable,各项指标可接受
BMPSX,Materials UltraSector ProFund - Service Class,原材料,GDX_up_GLD_up_JNK_down,1,0.4518012356936388,0.5580357142857143,224,0.6091645279010606,0.5671641791044776,3.00632585124741,2.2492377932821457,-6.502509153438529,2.3612680164121267,0,0,0,0,0,0,acceptable,各项指标可接受
BTCFX,Bitcoin ProFund - Investor Class,比特币,QQQ_down_XLK_down_XLV_down,1,0.6871886717226696,0.5714285714285714,224,0.6353000124287406,0.56,2.894946418714685,3.552707646727481,-14.48375385258319,2.985737635602496,0,1,0,0,1,0,excusable,无比特币参考ETF，条件只能依赖代理变量
BTCFX,Bitcoin ProFund - Investor Class,比特币,combo_EEM_down__ext_credit_spread_down,2,0.4141622869720578,0.5637254901960784,204,0.2443885392503061,0.5581395348837209,2.3019298477615244,2.5697658276500084,-7.905201733157445,2.056874662102412,0,0,0,0,1,0,excusable,无比特币参考ETF，条件只能依赖代理变量
BTCFX,Bitcoin ProFund - Investor Class,比特币,EEM_down_IWM_down_SPY_down,2,0.4606384579276509,0.5662650602409639,249,0.2863469996293082,0.5636363636363636,2.9744735794529342,2.443710481035562,-7.905201733157445,2.050792341264017,0,0,0,0,1,0,excusable,无比特币参考ETF，条件只能依赖代理变量
CNPIX,Consumer Staples UltraSector ProFund - Investor Class,必需消费,combo_XLV_down__ext_usd_gold_ratio_le-1,1,0.5153039450834003,0.6312849162011173,179,0.2154455582550128,0.64,3.1865259999945725,2.163577799337634,-7.52428965805355,1.830377338695522,0,0,0,0,0,0,acceptable,各项指标可接受
CNPIX,Consumer Staples UltraSector ProFund - Investor Class,必需消费,JNK_up_QQQ_down_XLK_down,1,0.3487410055118108,0.5993031358885017,287,0.6927733458351178,0.6410256410256411,3.6436725093583417,1.621453982687587,-4.14170497885053,1.6492912199394858,0,0,0,0,0,0,acceptable,各项指标可接受
CNPIX,Consumer Staples UltraSector ProFund - Investor Class,必需消费,JNK_up_QQQ_down,1,0.4034706711432366,0.5897435897435898,195,0.5330194219542004,0.6170212765957447,3.212634230392515,1.7537512515940357,-4.14170497885053,1.5761757634308946,0,0,0,0,0,0,acceptable,各项指标可接受
CNPSX,Consumer Staples UltraSector ProFund - Service Class,必需消费,GDX_up_TIP_up_XLK_down,1,0.2993846892805182,0.5834970530451866,509,0.4229868929633824,0.5609756097560976,4.3005291746835566,1.5706035668321363,-5.010423330395271,1.4904919183934062,0,0,0,0,0,0,acceptable,各项指标可接受
CNPSX,Consumer Staples UltraSector ProFund - Service Class,必需消费,GDX_up_TLT_up_XLK_down,1,0.3790079556227398,0.5986394557823129,294,0.664691027591022,0.6486486486486487,3.81737087008686,1.7023844209221397,-5.010423330395271,1.6285807346248709,0,0,0,0,0,0,acceptable,各项指标可接受
CNPSX,Consumer Staples UltraSector ProFund - Service Class,必需消费,LQD_up_QQQ_down_XLU_up,1,0.3162314483048891,0.592814371257485,167,0.3366902106869618,0.64,2.4672136549613857,1.656366859745345,-5.010423330395271,1.367599256055502,0,0,0,0,0,0,acceptable,各项指标可接受
