source,metric,n,min,p10,p25,median,p75,p90,max
strategy_full,avg,231,0.2019311465769198,0.2551003078026386,0.3004449066983944,0.3580871401273103,0.42044523744030493,0.5202748199791134,0.9521495969754092
strategy_full,hit,231,0.549718574108818,0.5543071161048689,0.5641740452695104,0.58,0.5998025754293164,0.6219931271477663,0.6632124352331606
strategy_full,std,231,0.8208019214740535,1.561642113057954,1.7928172410311818,2.2130604956352857,2.8271437080829287,3.725470767829026,5.035381504057929
strategy_full,ann_vol,231,13.029826559185874,24.79030000822056,28.46009139574471,35.13124624675386,44.87951503337051,59.14001500989872,79.93420329642994
strategy_full,downside_std,231,0.4087669589515869,0.8512387960666665,1.0157442535008157,1.3591793159352636,1.7381969111270164,2.302077660165295,3.501956513228085
strategy_full,avg_std,231,0.0566681512352097,0.103826153295174,0.1297719969206306,0.1611673260325045,0.1936596443281656,0.2248801065091298,0.3588336977280689
strategy_full,median,231,0.126194606662985,0.22398307931781,0.26020736956205504,0.324663751595615,0.4048425201188325,0.496312792600035,0.96090125911199
strategy_full,p10,231,-5.7383369313677,-3.3004804419556257,-2.7187718164397436,-2.013846602085193,-1.559467070513149,-1.330301174301373,-0.7334325777312138
strategy_full,p90,231,1.2537411621683738,1.9387610745538444,2.1058217510821624,2.58916494704986,3.3971272654638307,3.984514670479905,6.585325269441695
strategy_full,max,231,3.42032746594995,7.461872916104929,9.764150231858753,13.12815448760149,18.926005938148194,24.958293735172056,50.0
strategy_full,min,231,-40.49853508812723,-22.142100723822843,-12.671885549711,-8.838454526161895,-6.014471419398239,-4.38279415363626,-1.868193501122805
strategy_full,tstat,231,1.050184460435371,2.126633839301653,2.58967044636137,3.2161057948981315,3.7793834600649703,4.174222374205296,5.1583073738403
strategy_train,avg,231,0.0606350621836923,0.2084509002858735,0.25952627311889065,0.3197927075514722,0.39147375351784985,0.5176114392076134,0.8475938184217733
strategy_train,hit,231,0.48,0.5450236966824644,0.5543668954996186,0.5714285714285714,0.5903938822543473,0.6182336182336182,0.6713286713286714
strategy_train,std,231,0.8251181038867945,1.555132243252896,1.7721584561855392,2.2048455270854745,2.8758128308885285,3.759798417084701,6.395929115375219
strategy_train,ann_vol,231,13.098343830849696,24.686959028791005,28.13214335320255,35.00083766388776,45.65211340619818,59.68494954804253,101.53222705488103
strategy_train,downside_std,231,0.3973550053589382,0.8727252971980556,1.0466451363045386,1.3358889332868746,1.7962477877700547,2.3319699598697143,3.745298712182902
strategy_train,avg_std,231,0.0136431400930856,0.0891467227582992,0.1124083176530446,0.142957872385884,0.17679012600143268,0.2002303159534343,0.3425746380432341
strategy_train,median,231,-0.1222152100858724,0.1721700843813897,0.2310977498874175,0.30266548682714,0.3749836358380025,0.45920690440217,0.992324554084915
strategy_train,p10,231,-5.9871720468215575,-3.4121476241895508,-2.824985003980414,-2.0132780134095123,-1.5753526130341795,-1.357592634457852,-0.7491157798913479
strategy_train,p90,231,1.2332753788850337,1.9194919270751,2.0948704960076627,2.5070371326691774,3.423861811169031,3.99481050045547,6.51443450714782
strategy_train,max,231,3.42032746594995,6.732987312572079,9.283599400470646,12.1005525333941,18.11623978942952,23.843572534847706,50.0
strategy_train,min,231,-40.49853508812723,-22.142100723822843,-12.212437923948478,-8.456910921333785,-5.521563833429315,-4.370041424102065,-1.5331906111439748
strategy_train,tstat,231,0.127254739122603,1.3868952321883028,2.0187732142960373,2.686865917823753,3.197963131476752,3.6364619930820745,4.652827537085203
strategy_test,avg,231,0.2044524437512658,0.2863469996293082,0.39522433995585793,0.5552566473939436,0.7485756150884401,0.938141324288988,1.8269121198026192
strategy_test,hit,231,0.5396825396825397,0.5641025641025641,0.5952380952380952,0.6222222222222222,0.6585365853658537,0.6833333333333333,0.8048780487804879
strategy_test,std,231,0.7909566378848011,1.3155826845553151,1.6235803890545513,2.19444714831648,2.8235257719317826,3.5349311509642747,5.110559985598989
strategy_test,ann_vol,231,12.55604737007372,20.8842276748566,25.773539657759024,34.835768518321665,44.82208207747904,56.11529236312075,81.12762469303657
strategy_test,downside_std,231,0.2140868437994366,0.5969149612935701,0.7952987764104906,1.0626311780128153,1.5479809133965303,2.055550880488324,3.083713444642628
strategy_test,avg_std,231,0.0905896884271158,0.142071391257978,0.20208801315862274,0.2695372970945063,0.33676376323389123,0.3909722908357498,0.7484191761672055
strategy_test,median,231,0.10212607928696,0.2214934918790875,0.3184003077095837,0.44969083754919,0.6753623046668226,0.8491164226835201,1.51978805845391
strategy_test,p10,231,-4.009088626157162,-2.921438172483588,-2.2002495824552932,-1.672186620150624,-1.1511153440352322,-0.83833122895207,-0.3474963507356634
strategy_test,p90,231,1.1738122540056206,1.696289423370508,2.1564721708868433,2.7292171467163,3.386961699948726,4.458301158301155,7.448192051850561
strategy_test,max,231,2.05599930793851,3.42679127725857,4.783211236701257,8.02431424081395,11.51902125628497,16.28078817733989,28.06228585413606
strategy_test,min,231,-17.565862267618908,-10.90847414117149,-6.93854432172189,-4.417782846535667,-2.963732949056075,-2.090574295250685,-0.6082281146042634
strategy_test,tstat,231,0.5940363127964845,1.0710415668701847,1.5508691206477376,1.932524627332458,2.5435299221409435,2.8446815390128406,4.932446529658971
merged_full,avg,103,0.2071217863263763,0.24727215128405514,0.29463005203457016,0.3606748256980441,0.4113055141319002,0.4454208484360738,0.5231358617936654
merged_full,hit,103,0.537864077669903,0.5538221605491631,0.5661856541117696,0.5792938360263316,0.5993163452708907,0.6107443750619487,0.6632124352331606
merged_full,std,103,1.2463239554517065,1.568366230102973,1.7369356649358718,2.273159111598954,2.9417319300922564,3.219319302190699,4.4630547421406686
merged_full,ann_vol,103,19.784779434885355,24.89704205714623,27.57299887643358,36.085282198628114,46.698546665052945,51.105109587039514,70.84879761223027
