theme,token,count
中国,FXY_up,3
中国,UUP_up,3
中国,QQQ_down,2
中国,FXY_down,2
中国,GDX_up,1
中国,ext_sect_rotation_down,1
中国,GLD_up,1
中国,SPY_down,1
中国,XLV_down,1
中国,IWM_down,1
中盘,GDX_up,8
中盘,XLF_down,6
中盘,XLK_down,6
中盘,SPY_down,5
中盘,GLD_up,3
中盘,XLE_down,2
中盘,ext_vix_5dchg_ge10,2
中盘,XLV_down,2
中盘,IWM_down,1
中盘,XLC_big_up,1
互联网,GLD_up,2
互联网,XLK_down,2
互联网,TIP_up,2
互联网,XLF_down,1
互联网,XLK_big_up,1
互联网,ext_vix_5dchg_down,1
互联网,GLD_down,1
互联网,XLF_up,1
互联网,IWM_down,1
互联网,ext_usd_gold_ratio_le-1,1
价值,XLV_down,2
价值,ext_usd_gold_ratio_le-1,2
公用事业,GDX_up,3
公用事业,XLK_down,3
公用事业,FXY_up,2
公用事业,GLD_up,1
公用事业,JNK_down,1
公用事业,XLU_down,1
公用事业,XLV_down,1
利率机会,XLV_big_down,2
利率机会,ext_sect_rotation_up,2
医疗,FXY_up,2
医疗,GDX_up,2
医疗,QQQ_down,2
医疗,LQD_up,2
医疗,XLC_up,2
医疗,XLE_down,2
医疗,SLV_big_up,2
医疗,ext_sect_rotation_le-0_5,2
医药,FXY_up,3
医药,QQQ_down,3
医药,GDX_up,2
医药,GLD_big_up,1
医药,self_down,1
医药,XLE_up,1
医药,IWM_up,1
医药,LQD_up,1
医药,SLV_down,1
医药,IWM_down,1
半导体,XLV_down,2
半导体,FXY_up,2
半导体,GLD_up,1
半导体,XLF_down,1
半导体,XLK_down,1
半导体,QQQ_down,1
半导体,SLV_down,1
半导体,HYG_up,1
半导体,XLU_up,1
半导体,ext_vix_5dchg_up,1
原材料,GDX_up,5
原材料,XLF_down,4
原材料,XLK_down,3
原材料,JNK_down,3
原材料,GLD_up,2
原材料,UUP_down,1
反向,EEM_up,2
反向,XLV_up,2
反向,SLV_up,1
反向,GLD_up,1
反向,HYG_up,1
反向,XLC_down,1
可选消费,GDX_up,4
可选消费,EEM_down,3
可选消费,GLD_up,1
可选消费,FXY_up,1
可选消费,QQQ_down,1
可选消费,XLK_big_down,1
可选消费,self_big_down,1
可选消费,TIP_up,1
可选消费,XLV_down,1
可选消费,SLV_up,1
国债,TLT_down,1
国债,self_3down,1
国际,QQQ_down,2
国际,SLV_up,2
国际,XLE_down,1
国际,self_down,1
国际,HYG_up,1
国际,ext_vix_5dchg_ge10,1
国际,IWM_down,1
国际,self_big_down,1
国际,GDX_up,1
国际,SPY_down,1
大盘,XLV_big_down,2
大盘,self_down,2
大盘,GDX_up,2
大盘,TIP_up,2
大盘,GLD_up,1
大盘,XLK_down,1
大盘,SPY_up,1
大盘,XLE_down,1
大盘,FXY_up,1
大盘,QQQ_big_down,1
大盘多头,self_down,4
大盘多头,FXY_up,3
大盘多头,XLV_big_down,2
大盘多头,XLF_big_down,2
大盘多头,GDX_up,2
大盘多头,QQQ_big_down,1
大盘多头,ext_vix_5dchg_up,1
大盘多头,XLK_down,1
大盘多头,XLU_up,1
小盘,GDX_up,12
小盘,SPY_down,10
小盘,XLK_down,9
小盘,XLF_down,6
小盘,TIP_up,2
小盘,EEM_down,2
小盘,XLE_down,2
小盘,self_big_down,2
小盘,XLC_up,2
小盘,UUP_down,1
工业,GDX_up,3
工业,XLK_down,2
工业,SPY_down,2
工业,LQD_up,1
工业,XLF_down,1
工业,QQQ_up,1
工业,self_down,1
工业,QQQ_down,1
工业,SLV_up,1
工业,TLT_down,1
必需消费,QQQ_down,3
必需消费,XLK_down,3
必需消费,JNK_up,2
必需消费,GDX_up,2
必需消费,XLV_down,1
必需消费,ext_usd_gold_ratio_le-1,1
必需消费,TIP_up,1
必需消费,TLT_up,1
必需消费,LQD_up,1
必需消费,XLU_up,1
成长,XLV_down,2
成长,ext_usd_gold_ratio_le-1,2
房地产,XLV_down,3
房地产,GDX_up,3
房地产,XLK_down,2
房地产,SLV_up,2
房地产,GLD_up,1
房地产,ext_vix_5dchg_up,1
房地产,FXY_up,1
房地产,XLF_down,1
房地产,XLU_down,1
房地产,JNK_up,1
拉美,GDX_up,4
拉美,XLC_down,2
拉美,ext_sect_rotation_le-0_5,2
拉美,QQQ_big_down,2
拉美,ext_vix_chg_up,2
拉美,LQD_down,2
拉美,SLV_down,2
拉美,XLF_down,2
新兴市场,SPY_down,2
新兴市场,XLK_down,2
新兴市场,XLV_down,2
新兴市场,GLD_down,2
新兴市场,TIP_up,2
新兴市场,XLV_up,2
新兴市场,FXY_up,2
新兴市场,IWM_down,2
新兴市场,TLT_up,2
新兴市场,FXY_down,1
日本,SPY_down,3
日本,EEM_down,2
日本,XLV_down,2
日本,GLD_down,2
日本,XLU_down,2
日本,QQQ_down,2
日本,XLK_down,2
日本,XLC_down,2
日本,TIP_down,2
日本,FXY_down,1
欧洲,GDX_up,2
欧洲,SPY_down,2
比特币,EEM_up,2
比特币,EEM_down,2
比特币,XLC_up,1
比特币,self_down,1
比特币,JNK_up,1
比特币,SPY_up,1
比特币,GLD_up,1
比特币,SLV_up,1
比特币,QQQ_down,1
比特币,XLK_down,1
生物科技,FXY_up,2
生物科技,QQQ_down,2
生物科技,GDX_up,1
生物科技,SLV_big_up,1
生物科技,self_down,1
生物科技,XLK_down,1
生物科技,ext_credit_spread_up,1
生物科技,self_big_down,1
生物科技,XLE_down,1
生物科技,XLU_up,1
科技,GLD_up,2
科技,XLF_down,2
科技,XLK_down,2
科技,TIP_up,2
科技,XLE_down,2
科技,XLK_up,2
科技,XLC_down,2
科技,ext_sect_rotation_down,2
纳指100,QQQ_down,2
纳指100,ext_vix_chg_up,2
纳指100,self_big_down,2
纳指100,TIP_up,2
纳指100,ext_vix_5dchg_down,2
纳指100,XLF_big_down,1
纳指100,self_down,1
纳指100,GDX_up,1
纳指100,SPY_down,1
纳指100,XLC_down,1
能源,XLC_up,4
能源,SPY_up,3
能源,XLE_down,2
能源,ext_vix_5dchg_ge10,2
能源,GDX_up,2
能源,XLC_down,2
能源,ext_sect_rotation_down,2
能源,XLU_big_down,2
能源,TLT_down,2
能源,XLE_up,2
贵金属,ext_sect_rotation_up,2
贵金属,self_big_down,2
贵金属,EEM_up,2
贵金属,GLD_down,2
贵金属,TLT_down,2
贵金属,TIP_up,2
贵金属,ext_vix_5dchg_ge10,2
贵金属,GLD_up,2
贵金属,XLE_up,2
贵金属,XLV_down,2
通信,GLD_up,2
通信,XLK_down,2
通信,XLV_down,2
金融,GDX_up,4
金融,XLF_down,2
金融,XLV_down,2
金融,ext_vix_5dchg_ge10,2
金融,ext_yld_curve_proxy_up,2
金融,XLK_down,1
金融,SPY_down,1
银行金融,GLD_down,4
银行金融,GDX_up,2
银行金融,EEM_up,2
银行金融,GDX_down,2
银行金融,ext_vix_5dchg_ge10,2
银行金融,IWM_down,1
银行金融,XLK_down,1
银行金融,QQQ_down,1
银行金融,SLV_up,1
