ticker,direction,streak_days,n,avg,hit,std
AFBIX,down,1,2681,-0.0499151656132604,0.4050727340544573,0.5083682347044266
AFBIX,up,1,2246,-0.004241290378512073,0.42609082813891364,0.5357487201348949
AFBIX,down,2,1352,-0.054981252159025176,0.40532544378698226,0.5184393069870373
AFBIX,up,2,957,-0.010966031075073187,0.4158829676071055,0.6131039529219078
AFBIX,down,3,678,-0.03154140639555333,0.4085545722713864,0.5073901316862756
AFBIX,up,3,398,-0.02105946294419975,0.42462311557788945,0.7153603853909742
AFBIX,down,4,338,-0.028359641563304883,0.41420118343195267,0.45292707683992284
AFBIX,up,4,169,-0.10889361525579631,0.42011834319526625,0.8325729317727153
AFBIX,down,5,172,-0.0453248641198721,0.4127906976744186,0.41850210236647006
AFBIX,up,5,71,-0.06926021567173818,0.36619718309859156,0.6911115160989305
AFBSX,down,1,2675,-0.054287111931180035,0.4029906542056075,0.5066615320872625
AFBSX,up,1,2231,-0.008704372495657505,0.4195428059166293,0.5374740573007044
AFBSX,down,2,1337,-0.057514002541859344,0.40463724756918473,0.5156589152199577
AFBSX,up,2,936,-0.015380896066280562,0.4113247863247863,0.617432845514335
AFBSX,down,3,659,-0.03424416030949079,0.4006069802731411,0.5018909648167033
AFBSX,up,3,385,-0.019167362558088468,0.43116883116883115,0.7242183860566097
AFBSX,down,4,320,-0.034854070336839016,0.403125,0.45318351984833904
AFBSX,up,4,166,-0.11483994276592525,0.4036144578313253,0.8316493334411191
AFBSX,down,5,161,-0.04980976821499236,0.42857142857142855,0.4191433292333848
AFBSX,up,5,67,-0.06986761083186956,0.373134328358209,0.7070508103587322
BIPIX,down,1,2789,0.17203676526708697,0.5259949802796702,2.2703188148516955
BIPIX,up,1,3051,-0.007793950852114035,0.4850868567682727,2.0104681987327835
BIPIX,down,2,1230,0.22353680531219874,0.5471544715447154,2.3720633183890296
BIPIX,up,2,1479,-0.03016036401779749,0.47802569303583503,1.9573692068447428
BIPIX,down,3,522,0.17134315434078629,0.5344827586206896,2.547637534194353
BIPIX,up,3,707,-0.12043572180822357,0.4625176803394625,1.983308046127787
BIPIX,down,4,230,0.3613010905632791,0.5826086956521739,2.771409119145236
BIPIX,up,4,327,-0.027712855197914995,0.4740061162079511,1.8475957943169956
BIPIX,down,5,93,0.5202333966333065,0.6236559139784946,2.8784709901800327
BIPIX,up,5,155,0.018913252336788443,0.5096774193548387,1.7654769705853905
BIPSX,down,1,2862,0.17508200076277133,0.5251572327044025,2.2815529332914193
BIPSX,up,1,3117,0.0023188464816087336,0.4850818094321463,2.18692759121796
BIPSX,down,2,1256,0.2275085298014305,0.5445859872611465,2.372373688378633
BIPSX,up,2,1511,0.002216623894859278,0.4804765056254136,2.3201605824248577
BIPSX,down,3,529,0.16217479133457846,0.5293005671077504,2.5443361200576886
BIPSX,up,3,726,-0.06688221388222612,0.45867768595041325,2.6522168462354663
BIPSX,down,4,233,0.33640521141630714,0.5708154506437768,2.760216705823226
BIPSX,up,4,333,0.09951045123385807,0.46846846846846846,3.15914472566087
BIPSX,down,5,95,0.38390914163241113,0.6,2.783612449567869
BIPSX,up,5,156,-0.03403920362496988,0.4935897435897436,1.7717506428885763
BITIX,down,1,508,0.17370597474903768,0.5433070866141733,3.854384562368483
BITIX,up,1,511,-0.3299900986422978,0.45401174168297453,3.404824826408662
BITIX,down,2,227,-0.11829271599530776,0.5198237885462555,3.332272857617905
BITIX,up,2,232,-0.4288108186300339,0.4482758620689655,3.876232533877889
BITIX,down,3,107,-0.38364863282180117,0.48598130841121495,3.5808025236644236
BITIX,up,3,104,-0.08048589421888035,0.46153846153846156,3.8815174566461663
BITIX,down,4,54,-0.292330741293692,0.5,4.081470088944627
BITIX,up,4,48,-0.24126715595381207,0.3958333333333333,4.366202827278157
BITIX,down,5,27,-0.036771126547597094,0.48148148148148145,3.936998275349709
BITIX,up,5,19,0.46182383712617936,0.3684210526315789,5.900776591507107
BKPIX,down,1,2908,0.19424457825257074,0.5144429160935351,3.307969089558881
BKPIX,up,1,3032,-0.04946740603559686,0.46437994722955145,2.841741560770993
BKPIX,down,2,1287,0.08476015096982537,0.49805749805749805,3.6310534342490666
BKPIX,up,2,1406,-0.09843732898509135,0.45590327169274536,2.6738777895103327
BKPIX,down,3,593,0.21985712294862456,0.5328836424957841,3.9903130326004135
BKPIX,up,3,639,0.0019984194944033047,0.4616588419405321,2.6444537392327385
BKPIX,down,4,259,0.3779410237065303,0.5637065637065637,4.142742331569126
BKPIX,up,4,295,-0.05983137725067488,0.43728813559322033,2.078402412041606
BKPIX,down,5,106,1.175587689837475,0.6415094339622641,4.82712390808449
BKPIX,up,5,129,-0.1205115196952848,0.37209302325581395,1.8179332960403045
BKPSX,down,1,2908,0.19657734214493233,0.5099724896836314,3.307818084563825
BKPSX,up,1,3014,-0.05584959508327742,0.4641672196416722,2.8489005800186455
BKPSX,down,2,1292,0.0956025702520518,0.4984520123839009,3.622060923789778
BKPSX,up,2,1397,-0.11412596863490039,0.4516821760916249,2.637288339519741
BKPSX,down,3,593,0.2180192528805241,0.5227655986509275,3.987766367999464
BKPSX,up,3,629,0.025956490372695394,0.4594594594594595,2.6015112017090734
BKPSX,down,4,261,0.37476215031652244,0.5555555555555556,4.119478903276021
BKPSX,up,4,289,-0.04700819257883732,0.4290657439446367,2.0605572836814146
BKPSX,down,5,107,1.1636924487204734,0.6355140186915887,4.798190438488034
BKPSX,up,5,124,-0.1184910929170458,0.3629032258064516,1.8397976742555653
BLPIX,down,1,3007,0.09354108606421897,0.5457266378450283,1.2949135726673997
BLPIX,up,1,3529,-0.0036352827990245107,0.4939076225559649,1.004864561832982
BLPIX,down,2,1243,0.12331001193241908,0.5543041029766693,1.4524561752687197
