ticker,n_strategies,full_trades,full_avg,full_hit,full_std,full_ann_vol,full_downside_std,full_avg_std,full_median,full_p10,full_p90,full_max,full_min,full_tstat,train_trades,train_avg,train_hit,train_std,train_ann_vol,train_downside_std,train_avg_std,train_median,train_p10,train_p90,train_max,train_min,train_tstat,test_trades,test_avg,test_hit,test_std,test_ann_vol,test_downside_std,test_avg_std,test_median,test_p10,test_p90,test_max,test_min,test_tstat
BIPIX,3,1005,0.3908470137622039,0.6009950248756218,2.212608945264349,35.124078106838354,1.3610246564501267,0.17664531936324965,0.40296112934010003,-2.214563020227588,2.8292485408652785,10.896065611567659,-10.0486753212005,5.599963097843519,865,0.3345745199323471,0.5930635838150289,2.152428559342788,34.168744097124296,1.340151079027469,0.1554404760520853,0.39892417570703,-2.2502986069663042,2.7029753519331665,9.15438167097553,-8.59702630575677,4.571641551995689,139,0.7268200430546776,0.6474820143884892,2.5395732603489143,40.314475698676304,1.4888211861881102,0.286197706678806,0.62753734773174,-1.9533093727628172,3.624023986037296,10.896065611567659,-10.0486753212005,3.374221198416146
BIPSX,3,1243,0.3815997621796976,0.5720032180209171,2.4525777140948715,38.93346421532582,1.4460772545501994,0.15559130297346266,0.37420335613633,-2.35867296080442,2.9622040565168657,22.078106969701423,-9.136115960429569,5.4855588937042645,1096,0.34015442595883855,0.5638686131386861,2.425048658147524,38.49645400013543,1.4414478779102071,0.14026705188615882,0.34771668309375753,-2.3559822980776497,2.882928194693595,22.078106969701423,-9.136115960429569,4.643665690587391,146,0.6822274283090267,0.6301369863013698,2.644228402962139,41.975824583347844,1.4851968445946604,0.25800624013597934,0.6562056460741299,-2.24095107933125,3.4147673140464923,11.20218579234975,-8.59892400592698,3.1175012610373196
BITIX,3,378,0.32848436222845584,0.5396825396825397,3.85523723617834,61.19999383250323,1.8780598029995095,0.08520470780523984,0.253180612645885,-2.816566348747827,3.290418217945384,50.0,-10.20763593594499,1.656568852708103,167,0.24448710275310465,0.5149700598802395,5.208561336236762,82.6833479046525,2.4003960110799594,0.04693946888023959,0.13138138138137,-4.273409727021466,3.4837384538402043,50.0,-10.20763593594499,0.6065916207571201,211,0.3949656055098951,0.5592417061611374,2.2863494627674568,36.29467253201293,1.326023866357264,0.17274944707351014,0.359510670246175,-2.196892999887535,2.9473876713939298,9.3812172005953,-7.1988363616818996,2.5093306635329937
BKPIX,3,1056,0.3899591631930237,0.5804924242424242,2.7176641989993615,43.14158170521517,1.7365532907096106,0.14349056198208957,0.3236384774058725,-2.3355800912863502,2.983900223086025,19.60804322647469,-23.102290648470568,4.66289134498117,914,0.3528116852544816,0.5711159737417943,2.8032080612401478,44.4995484192777,1.823729939429536,0.12585997098567012,0.31544784373122003,-2.5271138337469385,3.030591088581515,19.60804322647469,-23.102290648470568,3.8050531295914314,142,0.6290633521777246,0.6408450704225352,2.076892521523001,32.96964667055835,1.008890852340098,0.3028868107803805,0.3794363516190675,-1.3726044051465573,2.564295589968316,11.33980644166492,-6.17835253611541,3.6093129069878134
BKPSX,3,1147,0.375371418563669,0.5867480383609416,2.4220882967066637,38.44945971915514,1.5702474834769673,0.15497842051178112,0.3189590779080001,-2.013579256698696,2.8177584178039625,15.915568147894795,-23.096801002486732,5.248714367871664,996,0.36409556957107553,0.5803212851405622,2.522735920253436,40.04719121088159,1.645898702672793,0.1443256769953544,0.32836343926227496,-2.1713252146299,2.8947041927046575,15.915568147894795,-23.096801002486732,4.554841537968878,151,0.4497472172168021,0.6291390728476821,1.611800143001221,25.58653404911745,0.9278083999881361,0.27903410926577976,0.26532688229811496,-1.24640321680479,2.25952201338619,4.84457738406216,-6.19339301607245,3.4288285396321316
BLPIX,1,606,0.24703242157607017,0.570957095709571,1.7979015010838724,28.540801521945905,1.0331949291204376,0.13740042011597722,0.158032636104085,-1.554994795058495,1.8614891264680251,11.449502688293919,-7.628746481205489,3.3823953821983186,571,0.22470524976446657,0.5691768826619965,1.7949982124959387,28.49471324441836,1.057622202434724,0.12518410781702935,0.15189902661409,-1.58152038680529,1.86399341188394,11.449502688293919,-7.628746481205489,2.9913501542479035,35,0.6112842817025174,0.6,1.8323331058267538,29.087386302289122,0.4840174325417466,0.33360980040073235,0.40691483862964,-0.893776613562588,1.773800367656304,9.292442127195109,-1.6143634259563,1.973662195594671
BLPSX,1,611,0.24454020171054983,0.5679214402618658,1.7917719982498996,28.44349868099096,1.0311236686376553,0.1364795308495739,0.15470121778531,-1.55738665208731,1.85332172278007,11.47250086114213,-7.62522872827081,3.3735575718078374,577,0.22033907202018538,0.5649913344887348,1.7877284001854925,28.37930855170902,1.0551392724513644,0.12325086517466706,0.14698223192644,-1.583062287556,1.85510155333381,11.47250086114213,-7.62522872827081,2.9605873770516187,34,0.6552476085146761,0.6176470588235294,1.8374815448187418,29.169115237567055,0.4614552432510917,0.3566009195370248,0.41586907029243503,-0.716826731724735,1.784765632940055,9.289452982513199,-1.6139539514014902,2.079322807477991
BMPIX,3,507,0.46598163803527876,0.5857988165680473,2.5022940861634573,39.72268715481683,1.365834613409595,0.18622177169819656,0.35007257392662,-2.013854336351842,2.837002010827264,18.063021376861528,-12.244485677956469,4.19309241073799,428,0.45666401239767745,0.5841121495327103,2.552900612102912,40.526040848933256,1.4345664011697292,0.17888045082237164,0.343632847941335,-2.047689572575766,2.8300491524195075,18.063021376861528,-12.244485677956469,3.7007075423201967,79,0.5164619389579798,0.5949367088607594,2.2222086341120693,35.27646844296636,0.9070389990913168,0.232409293632478,0.36290919863721,-1.9024439730722889,2.901336020137742,13.71532829687363,-2.8243286194775,2.06569898619645
BMPSX,3,449,0.5027473543256454,0.5812917594654788,2.534025180345367,40.22640265901664,1.370044004664431,0.19839872082767745,0.40841496098475,-2.1425806925944118,3.0440466335023295,18.05770986656105,-12.23661667588901,4.203993522747193,360,0.49857256363515234,0.5777777777777777,2.6073211988583678,41.389940881476164,1.4499416524939148,0.1912202316513422,0.408032118278065,-2.358109270617638,3.0905493957431402,18.05770986656105,-12.23661667588901,3.6281488003395714,88,0.5446804829807509,0.6022727272727273,2.2264444811969395,35.34371043083595,0.9717942772649983,0.24464139464547974,0.41576759073653,-2.000264886121968,2.9588321939543887,13.71683757004989,-2.95562022553655,2.294939705900683
BTCFX,3,408,0.5231358617936654,0.5465686274509803,2.990074412409996,47.46595978088659,1.6542079867338253,0.1749574725038427,0.27056267255021504,-2.576525675530782,3.9682163520471465,22.192546917851192,-14.48375385258319,3.5339677151118134,250,0.5664374536137751,0.544,3.291413819119035,52.24957456314179,1.795067059146679,0.17209548380804487,0.252065043016275,-2.665164103082179,4.414631549110561,22.192546917851192,-14.48375385258319,2.7210685193102466,158,0.4546206848631122,0.5506329113924051,2.446983744995601,38.844662708855125,1.4027243410190664,0.18578819160236368,0.343612113594745,-2.151182942541589,3.129809317845177,10.16949152542372,-7.2324065587127,2.335321356460927
