ticker,condition,full_std,full_avg_std,std,avg_std,std_ratio,avgstd_ratio,std_ratio_band
BIPIX,FXY_up_GDX_up_QQQ_down,2.4455491359750594,0.1870043313883887,2.15083361189284,0.0384714068827958,1.1370238601687348,4.860865420339384,1.0-1.5x
BIPIX,combo_SLV_big_up__self_down,1.656871222807783,0.1418277324187268,2.15083361189284,0.0384714068827958,0.7703390971975999,3.6865751452971,0.5-1.0x
BIPIX,combo_XLK_down__ext_credit_spread_up,2.592023980813231,0.1628103754350793,2.15083361189284,0.0384714068827958,1.2051252902506584,4.231983923309215,1.0-1.5x
BIPSX,combo_QQQ_down__self_big_down,2.80634027213917,0.1575668971803939,2.264673899648271,0.0328131516619659,1.2391807370478485,4.801943403779513,1.0-1.5x
BIPSX,FXY_up_XLE_down_XLU_up,2.1297086251086306,0.1381984007311046,2.264673899648271,0.0328131516619659,0.9404041020825991,4.211677139544384,0.5-1.0x
BIPSX,combo_XLC_down__ext_sect_rotation_down,1.9151721420011667,0.1511825072795169,2.264673899648271,0.0328131516619659,0.8456723691206112,4.607375385240861,0.5-1.0x
BITIX,combo_XLC_up__self_down,4.229264865484878,0.133643347731915,3.630903241653713,-0.0256135157251597,1.164796906997345,-5.217688550292982,1.0-1.5x
BITIX,EEM_up_JNK_up_SPY_up,4.367727900401828,0.0715070588986181,3.630903241653713,-0.0256135157251597,1.2029315048374918,-2.7917705505916937,1.0-1.5x
BITIX,EEM_up_GLD_up_SLV_up,3.013567588776306,0.1147728964617319,3.630903241653713,-0.0256135157251597,0.8299773880517294,-4.480950514301812,0.5-1.0x
BKPIX,GDX_up_IWM_down_XLK_down,3.4420500887364174,0.1644952266638468,3.081412388075107,0.0178333255494663,1.1170364934135262,9.224035427804417,1.0-1.5x
BKPIX,EEM_up_GDX_down_GLD_down,1.980340560199764,0.1537733412666359,3.081412388075107,0.0178333255494663,0.6426730053606492,8.62280794684634,0.5-1.0x
BKPIX,combo_GLD_down__ext_vix_5dchg_ge10,2.7997033948977603,0.1293805723274353,3.081412388075107,0.0178333255494663,0.908577964355714,7.2549885308019455,0.5-1.0x
BKPSX,GDX_up_QQQ_down_SLV_up,2.348027272127685,0.2064331521883403,3.081974825407779,0.0161934534263048,0.7618580310165303,12.747938735106887,0.5-1.0x
BKPSX,EEM_up_GDX_down_GLD_down,1.9828049914724413,0.152318967835292,3.081974825407779,0.0161934534263048,0.6433553496693778,9.406206559242245,0.5-1.0x
BKPSX,combo_GLD_down__ext_vix_5dchg_ge10,2.7995178155763223,0.1279102915991241,3.081974825407779,0.0161934534263048,0.9083519412608815,7.898889028287529,0.5-1.0x
BLPIX,combo_XLV_big_down__self_down,1.7979015010838724,0.1374004201159772,1.1712010874911822,0.026654593894188,1.535092069402991,5.154849504045049,1.5-2.0x
BLPSX,combo_XLV_big_down__self_down,1.7917719982498996,0.1364795308495739,1.1820842011916417,0.0229001104448209,1.5157735772491001,5.95977609708167,1.5-2.0x
BMPIX,GDX_up_XLF_down_XLK_down,2.42156228940695,0.2018194887823509,2.346768866603817,0.0240730629833362,1.03187080920814,8.383623177576277,1.0-1.5x
BMPIX,GLD_up_XLF_down_XLK_down,2.044132934760721,0.1600998408383036,2.346768866603817,0.0240730629833362,0.8710414407870244,6.650580399724269,0.5-1.0x
BMPIX,GDX_up_JNK_down_XLF_down,2.608936179537558,0.2274523486845188,2.346768866603817,0.0240730629833362,1.1117141601222718,9.448417463202142,1.0-1.5x
