list,ticker,fund_name,fund_theme,condition,value
tstat_min,UIPIX,ProFunds Ultra Short Mid-Cap ProFund Investor Class,中盘,combo_XLC_big_up__ext_usd_gold_ratio_down,1.050184460435371
tstat_min,BITIX,Short Bitcoin ProFund - Investor Class,比特币,EEM_up_JNK_up_SPY_up,1.082098155974619
tstat_min,UKPIX,Ultra Short Japan ProFunds Investor Class,日本,combo_XLC_down__ext_credit_spread_up,1.250013701270036
tstat_min,UDPSX,Ultra Dow 30 Profund Service Class,大盘,combo_QQQ_big_down__ext_vix_5dchg_up,1.2884996823450845
tstat_min,UHPIX,Ultra Short China ProFund Investor Class,中国,EEM_down_TIP_down_UUP_up,1.288767046939383
tstat_min,UCPIX,ProFunds Ultra Short Small-Cap ProFund Investor Class,小盘,JNK_up_LQD_down_XLC_up,1.3587146296729076
tstat_min,UKPIX,Ultra Short Japan ProFunds Investor Class,日本,LQD_down_TIP_down_XLC_down,1.3875765391387842
tstat_min,IDPSX,Industrials Ultra Sector ProFund Service Class,工业,combo_SPY_down__ext_usd_gold_ratio_le-1,1.4679437959819093
tstat_min,UHPIX,Ultra Short China ProFund Investor Class,中国,HYG_up_SLV_up_XLC_up,1.4987484298521718
tstat_min,ULPIX,UltraBull ProFund Investor Shares,大盘多头,combo_QQQ_big_down__ext_vix_5dchg_up,1.511987311671361
