file,funds,test_hit_ge50,test_hit_ge55,test_avg_ge02,test_avg_gt0,test_trades_ge30,median_test_hit,median_test_avg,median_test_std,median_test_trades
v4_oos_fixed_split_merged.csv,103,103,103,103,103,103,0.6158940397350994,0.4782942770772816,2.1684756369226283,95.0
v4_oos_reselected_merged.csv,103,99,93,96,101,103,0.6046511627906976,0.4021709355229981,2.036403922858447,76.0
