ticker,strategy_no,source,condition,horizon,train_avg,train_trades,train_hit,train_std,val_avg,val_trades,val_hit,test_avg,test_trades,test_hit,test_std
BIPIX,1,triple_scan,FXY_up_GDX_up_QQQ_down,1,0.4373931491808317,464,0.6228448275862069,2.366519768206388,0.7756526590198379,50,0.66,0.6829356270873249,41,0.6341463414634146,3.2365659475700603
BIPIX,2,triple_scan,QQQ_down_UUP_down_XLV_down,2,0.25666170698515967,436,0.5986238532110092,1.6574070278367516,0.5219156072709435,40,0.6,0.2253461245056861,34,0.6176470588235294,2.3269481714018934
BIPIX,3,triple_scan,FXY_up_TIP_up_XLK_down,1,0.3508057344586719,708,0.5861581920903954,2.399476308904575,0.43059190001133796,72,0.5833333333333334,0.413417593714016,42,0.5952380952380952,3.1747291131765234
BIPSX,1,condition_expansion,combo_XLU_down__self_big_down,1,0.4501537515361946,442,0.5678733031674208,2.8628900218729902,0.5114333885037685,72,0.5972222222222222,0.5274615369245192,42,0.6190476190476191,3.3786158129292128
BIPSX,2,triple_scan,FXY_up_XLK_down_XLU_up,1,0.3872326670320129,357,0.5742296918767507,2.070722879705739,0.357852335548665,46,0.5217391304347826,0.7825758752834783,40,0.675,2.9695792652136688
BIPSX,3,pair_scan,GDX_up_XLC_down,2,0.3427263477536817,205,0.5463414634146342,2.2054154593702733,0.7784063791584979,76,0.5657894736842105,0.27496469263603257,94,0.5531914893617021,1.9347114770756961
BITIX,1,triple_scan,GLD_up_JNK_up_XLF_up,1,2.128060955667258,27,0.5555555555555556,9.998126165083248,2.128060955667258,27,0.5555555555555556,0.6229055661124888,100,0.62,2.391628652103142
BKPIX,1,triple_scan,GDX_up_QQQ_down_SLV_up,2,0.42310931286853337,332,0.5933734939759037,2.347643671795673,0.4666406132400642,69,0.5507246376811594,0.4826847582822398,63,0.6349206349206349,1.6198845296874025
BKPIX,2,condition_expansion,combo_XLE_down__ext_vix_5dchg_ge10,1,0.28243609386380425,543,0.569060773480663,3.6741453044477015,0.26601511350094365,52,0.5961538461538461,0.2831664815058175,43,0.5581395348837209,3.1309768781220515
BKPIX,3,triple_scan,XLE_up_XLF_up_XLV_down,2,0.30117717898115237,329,0.5835866261398176,1.6906790168039227,0.0007553892717576475,51,0.47058823529411764,0.30845407044601614,39,0.6410256410256411,1.1786905506290448
BKPSX,1,triple_scan,GDX_up_QQQ_down_SLV_up,2,0.4860130407206287,286,0.6013986013986014,2.4821555684184644,0.4637007507501557,69,0.5507246376811594,0.4787983270796592,63,0.6349206349206349,1.6198846907712574
BKPSX,2,condition_expansion,self_3down,3,0.33697684392493676,426,0.5469483568075117,2.1708812439517216,0.24634690202604292,61,0.5245901639344263,0.3539048737841567,34,0.7058823529411765,0.9011811316497306
BKPSX,3,triple_scan,EEM_up_GLD_down_SLV_down,2,0.2591800235989614,461,0.5661605206073753,2.2187712755438884,0.37478879652106467,61,0.5737704918032787,0.267316905782849,45,0.6888888888888889,1.5444973502599066
BLPIX,1,condition_expansion,combo_XLV_big_down__self_down,1,0.22470524976446657,571,0.5691768826619965,1.7949982124959387,0.2343869539748675,35,0.6285714285714286,0.6112842817025174,35,0.6,1.8323331058267538
BLPSX,1,condition_expansion,combo_XLV_big_down__self_down,1,0.22033907202018538,577,0.5649913344887348,1.7877284001854925,0.22970664535313864,35,0.6285714285714286,0.6552476085146761,34,0.6176470588235294,1.8374815448187418
BMPIX,1,condition_expansion,combo_XLF_big_down__self_down,1,0.3110678179022475,715,0.5608391608391609,3.5085850349512104,-0.09818892929365673,52,0.46153846153846156,0.24448931025294557,37,0.5675675675675675,2.523692864064575
BMPSX,1,condition_expansion,combo_XLF_big_down__self_down,1,0.31530980793960145,713,0.5610098176718092,3.5094312998066917,-0.1023633140308411,52,0.46153846153846156,0.24012188660665953,37,0.5675675675675675,2.521867198274177
BTCFX,1,triple_scan,QQQ_down_XLK_down_XLV_down,1,0.713307124387399,149,0.5771812080536913,3.8155620292857226,0.7019470392733597,122,0.5737704918032787,0.6353000124287406,75,0.56,2.985737635602496
BTCFX,2,condition_expansion,ext_credit_spread_le-0_5,3,0.6984972466964623,127,0.5669291338582677,2.3290491613509854,0.72080763608063,125,0.576,0.20167810912422277,64,0.5625,1.4215384480319273
BTCFX,3,triple_scan,HYG_down_SPY_down_XLF_down,3,0.2348280670835617,150,0.56,1.9354926382817992,0.2987135242399833,122,0.5573770491803278,0.20799396539187576,102,0.5588235294117647,1.4510999019259747
CNPIX,1,triple_scan,GDX_up_TIP_up_XLK_down,1,0.28980772150453576,468,0.5876068376068376,1.5799795098978948,0.2506245565548631,58,0.5689655172413793,0.4300947416849534,41,0.5609756097560976,1.4919569116793752
CNPIX,2,triple_scan,GDX_up_TLT_up_XLK_down,1,0.33828624072250285,259,0.5945945945945946,1.7085249766079922,0.19563944235036093,54,0.5370370370370371,0.6715449723314317,37,0.6486486486486487,1.6300208446711881
CNPIX,3,triple_scan,GDX_up_QQQ_down_UUP_up,1,0.26154665552621664,198,0.5959595959595959,1.5128744267935248,0.12833850947102632,38,0.5526315789473685,0.2669019026874914,36,0.6111111111111112,1.1410949998228868
CNPSX,1,triple_scan,GDX_up_TIP_up_XLK_down,1,0.2885562910946264,468,0.5854700854700855,1.5784877752036561,0.26452032844661516,58,0.5689655172413793,0.42298689296338243,41,0.5609756097560976,1.4904919183934062
CNPSX,2,condition_expansion,combo_ext_usd_gold_ratio_le-1__self_down,1,0.4001824146728072,232,0.5603448275862069,1.908916907730894,0.3046664462663788,41,0.5365853658536586,0.3004089300228289,57,0.5964912280701754,1.5052008113321573
