fund,date,old_close,new_close,type,factor
SCHRODER INTL SEL GLOBAL GOLD A USD ACC USD,2021-01-06,2.505000114440918,1.2200000286102295,spike,1.0
SCHRODER INTL SEL GLOBAL GOLD A USD ACC USD,2021-06-16,2.813999891281128,1.2022700309753418,spike,1.0
SCHRODER INTL SEL GLOBAL GOLD A USD ACC USD,2021-11-11,3.0450000762939453,1.2023299932479858,spike,1.0
SCHRODER INTL SEL GLOBAL GOLD A USD ACC USD,2021-12-17,2.976999998092652,1.191100001335144,spike,1.0
SCHRODER INTL SEL GLOBAL GOLD A USD ACC USD,2021-12-20,2.976999998092652,1.191100001335144,spike,1.0
SCHRODER INTL SEL GLOBAL GOLD A USD ACC USD,2022-01-14,2.994999885559082,1.1739799976348877,spike,1.0
SCHRODER INTL SEL GLOBAL GOLD A USD ACC USD,2022-02-18,2.822000026702881,1.136019945144653,spike,1.0
SCHRODER INTL SEL GLOBAL GOLD A USD ACC USD,2022-02-23,2.753999948501587,1.1384899616241455,spike,1.0
SCHRODER INTL SEL GLOBAL GOLD A USD ACC USD,2022-03-16,2.6059999465942383,1.1055599451065063,spike,1.0
SCHRODER INTL SEL GLOBAL GOLD A USD ACC USD,2022-04-14,2.70199990272522,1.0781500339508057,spike,1.0
SCHRODER INTL SEL GLOBAL GOLD A USD ACC USD,2022-04-29,2.588000059127808,1.0674200057983398,spike,1.0
SCHRODER INTL SEL GLOBAL GOLD A USD ACC USD,2022-05-19,2.5013999938964844,2.5013999938964844,level_shift,2.399263364636677
