ticker,condition,horizon,source,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,pass
GB00B12GL767,EEM_up,1,single_scan,0.642738090014701,678,0.6253687315634219,0.7800931677726979,217,0.6543778801843319,True
GB00B1RXYT55,EEM_up,1,single_scan,0.3936064386541528,894,0.7002237136465325,0.32646236492024916,218,0.6697247706422018,True
GB00B3B9VC56,EEM_up,1,single_scan,0.31981936686153534,894,0.6319910514541387,0.148232218249937,218,0.555045871559633,False
GB00B4X7J424,EEM_up,1,single_scan,0.7041441939537816,890,0.7382022471910112,0.7011286346871672,218,0.7660550458715596,True
GB00BNG2HX24,EEM_up,1,single_scan,0.28400101536451233,549,0.7249544626593807,0.33802082786920123,217,0.7188940092165899,True
GB00BQC4KH86,EEM_up,1,single_scan,0.19268346261330338,329,0.662613981762918,0.2040519260915458,218,0.6330275229357798,False
GB00BYW6DZ91,EEM_up,1,single_scan,0.3471335805798867,894,0.6834451901565995,0.24452837510238576,218,0.6376146788990825,True
GG00BLFDKG69,EEM_up,1,single_scan,-0.022048459688497113,221,0.4796380090497738,-0.0193679469137301,193,0.47668393782383417,False
GG00BLFDKJ90,EEM_up,1,single_scan,0.022637691319536194,199,0.48743718592964824,0.019339760633676872,180,0.48333333333333334,False
GG00BPLWQ018,EEM_up,1,single_scan,-0.0419910708927277,253,0.48616600790513836,-0.01576653964724292,194,0.4793814432989691,False
IE0000931182,EEM_up,1,single_scan,0.4331615037325969,876,0.6700913242009132,0.3463965347412838,214,0.6542056074766355,True
IE0002GVBP13,EEM_up,1,single_scan,-0.006135560225427629,215,0.5023255813953489,0.01328937486656435,166,0.5180722891566265,False
IE0003JQ8MH1,EEM_up,1,single_scan,0.28247786642023165,300,0.7133333333333334,0.2991354880872221,214,0.719626168224299,True
IE0004897173,EEM_up,1,single_scan,0.3224668423457537,886,0.6399548532731377,0.510072730732526,215,0.6837209302325581,True
IE0007357332,EEM_up,1,single_scan,0.10395327415333812,879,0.6052332195676906,0.1272881803025124,214,0.6214953271028038,False
IE000CSTCY83,EEM_up,1,single_scan,0.19323598798509528,337,0.6231454005934718,0.20516004453295467,214,0.6214953271028038,False
IE000MRJHBY1,EEM_up,1,single_scan,0.11937888123410802,147,0.5102040816326531,0.11937888123410802,147,0.5102040816326531,False
