ticker,condition,horizon,source,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit,pass
CT AMERICAN SELECT AU USD ACC USD,EEM_up,1,single_scan,0.0803722843784813,331,0.5619335347432024,0.028059302030782416,210,0.5380952380952381,False
PACIFIC NORTH AMERICAN OPPORTUNITIES R3 USD,EEM_up,1,single_scan,0.04736365948405607,319,0.5172413793103449,0.032065880996629874,208,0.5,False
ABRDN SICAV I - GLOBAL DYNAMIC DIVIDEND FUND X INC USD USD,EEM_up,1,single_scan,0.38514594910243666,440,0.7681818181818182,0.41242688956752455,211,0.7725118483412322,True
ALLIANZ GLOBAL ARTIFICIAL INTELLIGENCE RT USD ACC USD,EEM_up,1,single_scan,0.8100808736035816,413,0.7699757869249395,0.901164990765246,210,0.7714285714285715,True
ALLIANZ GLOBAL CYBER SECURITY AT ACC USD,EEM_up,1,single_scan,0.6695516926699322,416,0.6995192307692307,0.7019163461404834,209,0.6746411483253588,True
ALLIANZ GLOBAL SUSTAINABILITY AM H2 INC USD,EEM_up,1,single_scan,0.2810062114579785,436,0.6628440366972477,0.2898031933481324,208,0.6490384615384616,True
ARTISAN GLOBAL OPPORTUNITIES FUND A ACC USD,EEM_up,1,single_scan,0.058892101390391284,1405,0.5487544483985766,0.005309486134167681,220,0.5227272727272727,False
BLACKROCK (LUX) SA GLOBAL ALLOCATION A2 USD ACC USD,EEM_up,1,single_scan,0.05063968798467582,3007,0.5387429331559694,0.03556039481207636,220,0.5636363636363636,False
BLACKROCK (LUX) SA GLOBAL EVENT DRIVEN D2 USD ACC USD,EEM_up,1,single_scan,0.07826365174051932,426,0.5985915492957746,0.0723790213679226,211,0.6018957345971564,False
BLACKROCK (LUX) SA GLOBAL MULTI-ASSET INCOME A2 USD ACC USD,EEM_up,1,single_scan,0.24589361830164186,419,0.639618138424821,0.28792864108336585,210,0.6238095238095238,True
BLACKROCK GLOBAL DYNAMIC HIGH INCOME FUND D6 USD,EEM_up,1,single_scan,0.1965084340062275,427,0.6252927400468384,0.187500554712915,211,0.6018957345971564,False
