isin,fund_name
GG00BLFDKG69,BOWMOOR GLOBAL ALPHA PC PTG I USD ACC USD
GG00BLFDKJ90,BOWMOOR GLOBAL ALPHA PC PTG K USD ACC USD
IE0002GVBP13,DIMENSIONAL GLOBAL SUSTAINABILITY TARGETED VALUE FUND  ACC USD
IE000NXTFTQ8,PACIFIC NORTH AMERICAN OPPORTUNITIES R3 USD
IE000XOE1GE5,MAN GLOBAL INVESTMENT GRADE OPPORTUNITIES I ACC USD
IE0030982627,DIMENSIONAL GLOBAL SHORT FIXED INCOME USD ACC USD
IE0031386414,JUPITER GLOBAL FIXED INCOME FUND L USD ACC USD
IE0033116462,NEW CAPITAL GLOBAL VALUE CREDIT FUND USD
IE0033386453,PIMCO GIS GLOBAL INV GRADE CREDIT INST INC USD USD
IE0033591854,PIMCO GLOBAL ADVIS GBL REAL RETURN INSTL INC USD
IE00B0C18065,PIMCO GLOBAL ADVIS DIVSFD INC INST ACC NAV USD
IE00B193ML14,PIMCO GIS GLOBAL HIGH YIELD E INC USD USD
IE00B19Z4J92,FTGF GBL BRANDYWNE GLOBAL FIXED INCOME A USD ACC USD
IE00B1BXHP82,FTGF GBL W/A GLOBAL HIGH YIELD A USD ACC USD
IE00B296YP53,AEGON STRATEGIC GLOBAL INCOME FUND CLS B USD INC USD
IE00B296YR77,AEGON STRATEGIC GLOBAL INCOME FUND CLS A USD ACC USD
IE00B2PC0153,DIMENSIONAL GLOBAL CORE EQUITY USD ACC USD
IE00B2PC0609,DIMENSIONAL GLOBAL TARGETED VALUE FUND USD ACC USD
IE00B2R34T20,PIMCO GIS GLOBAL INVESTMENT GRADE CREDIT E USD INC USD
IE00B3K7XK29,PIMCO GIS GLOBAL INVEST GRADE CREDIT HDGD E ACC USD USD
IE00B4KMRV32,GAM STAR GLOBAL BALANCED T USD USD
IE00B531PK96,POLAR CAPITAL FUNDS NORTH AMERICAN I INC USD
IE00B54PRV58,DODGE & COX WORLDW GLOBAL STOCK USD ACC USD
IE00B5568D66,DODGE & COX WORLDWIDE GLOBAL USD ACC USD
IE00B5KPBC88,GAM STAR GLOBAL BALANCED ACC USD USD
IE00B5NTPS12,GAM STAR GLOBAL BALANCED A USD ACC USD
IE00B5T6XH13,GAM STAR GLOBAL BALANCED INSTL ACC USD
IE00B5VMBV77,GAM STAR GLOBAL BALANCED C USD ACC USD
IE00B98CPZ00,PIMCOG GLOBAL ADVIS INCOME PU INC USD
IE00B98FL735,NEUBERGER BERMN II GLOBAL SNR FTG RTE INC I US USD
IE00BC7GWK81,VULCAN GLOBAL VALU VALUE EQUITY USD II INC NAV USD
IE00BD6C6V39,GAM STAR GLOBAL BALANCED F USD ACC USD
IE00BD85VQ07,NG MORNINGSTAR GLOBAL DEFENSIV A USD ACC USD
IE00BFXG0V08,BNY MELLON GLOBAL LEADERS FUND B ACC USD
IE00BGNBPW89,HSBC GLOBAL FUNDS ICAV US EQUITY INDEX BC ACC USD
IE00BH480R51,GQG PARTNERS GLOBAL EQUITY I ACC USD
IE00BHR3YV98,DVAM GLOBAL EQUITY INCOME USD D2 DIS USD
IE00BHR3ZV63,DVAM GLOBAL EQUITY INCOME USD A2 INC USD
IE00BHR3ZW70,DVAM GLOBAL EQUITY INCOME USD E2 INC USD
IE00BHZKQ946,PIMCO GLOBAL ADVIS LOW DURATION REAL RTN INSTL USD
IE00BJ320C74,DVAM GLOBAL EQUITY INCOME USD B2 INC USD
IE00BKPWG913,DIMENSIONAL GLOBAL SUSTAINABILITY FIXED INCOME ACC USD
IE00BKX45S11,DIMENSIONAL GLOBAL ULTRA SHORT FIXED INCOME FUND ACC USD USD
IE00BLP5S353,JUPITER MERIAN GLOBAL EQUITY ABSOLUTE RETURN FUND L USD ACC USD
IE00BLP5S684,JUPITER MERIAN GLOBAL EQUITY ABSOLUTE RETURN FUND I USD ACC USD
IE00BMD8GG29,EVELYN GLOBAL BALANCED DIRECT FUND K USD ACC USD
IE00BQXX3F31,GUINNESS AM GLOBAL INNOVATORS C ACC USD
IE00BVVHP563,BROWN ADVISORY FDS GLOBAL LEADERS B USD USD
IE00BVVHP670,BROWN ADVISORY FDS GLOBAL LEADERS C USD USD
IE00BZ199B46,BNY MELLON GLOBAL INFRASTRUCTURE INCOME FUND W ACC USD
IE00BZ60K206,ARBROOK G10 AMERICAN EQUITIES A1 USD ACC USD
LU0083181239,AB GLOBAL HIGH YIELD PORTFOLIO I INC USD
LU0100122521,AB INTERNATIONAL HEALTH CARE PORTFOLIO C ACC USD
LU0112528004,CT AMERICAN SELECT AU USD ACC USD
LU0128525689,FRANKLIN TEMP GLOBAL BAL A ACC USD USD
LU0133082254,T.ROWE PRICE GLOBAL HI YLD BD A USD USD
LU0157308031,ALLIANCEBERNSTEIN AMERICAN INCOME USD
LU0189893018,SCHRODER INV MGMT GLOBAL HIGH YLD A USD ACC NAV USD
LU0280465617,BLACKROCK (LUXEMBOURG) S.A. FIXED INCOME GLOBAL OPPORTUNITIES A5 USD
LU0300741062,FRANKLIN TEMP GLOBAL HI YLD MDIS \$ USD
LU0345769128,NINETY ONE GLOBAL EQUITY A ACC USD USD
LU0345769631,NINETY-ONE GS GLOBAL EQUITY A INC USD
LU0345770308,NINETY ONE GSF GLOBAL STRATEGIC EQUITY A GRS USD ACC USD
LU0345770563,NINETY-ONE GLOBAL ST GBL STRAT EQUITY I ACC USD
LU0390710027,FIDELITY FUNDS GLOBAL SHORT DURATION INCOME FUND A ACC USD
LU0426412945,NINETY ONE GSF GLOBAL FRANCHISE A ACC USD
LU0439319624,NINETY-ONE GLOBAL ST US DOLLAR MONEY I USD ACC USD
LU0555020303,GOLDMAN SACHS GLOBAL EMERGING MRKTS DEBT HRD CCY CLASS P CAP US\$ USD
LU0696274553,NINETY-ONE GLOBAL ST GLOBAL VALUE EQTY A USD ACC USD
LU0737136415,BLACKROCK (LUX) SA FIXED INCOME GLOBAL OPPS D5 USD
LU0780247804,HSBC GLOBAL INDIA FIX INC ACC USD USD
LU0815945463,ALLIANZ GLOBAL INV HKD INCOME AM USD USD
LU0882574303,FIDELITY FUNDS GLOBAL INCOME FUND A ACC USD
LU0882574568,FIDELITY GLOBAL INC A MINCOME(G) DIS USD
LU0927891449,PROSPER FDS SICAV GLOBAL MACRO I USD
LU0947747993,NINETY ONE GLOBAL ST GBL MULTI ASSET INC IX INC USD
LU0972617095,NINETY ONE GLOBAL ST GBL MULTI AST INC A USD ACC USD
LU0983164343,NINETY ONE GLOBAL ST GBL MULTI AST INC I USD DIS USD
LU1008671684,ALLIANCE BERNSTEIN AMERICAN INCOME PORTFOLIO INC USD
LU1181866309,JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS A HGD USD
LU1251621188,BLACKROCK (LUX) SA GLOBAL EVENT DRIVEN D2 USD ACC USD
LU1292650279,GOLDMAN SACHS GLOBAL SENIOR LOANS R HEDGED INC USD
LU1347437607,NSF WEALTH DEFENDER GLOBAL EQUITY A ACC USD
LU1378862947,JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS C USD ACC USD
LU1378997875,CAPITAL INTL MGMNT INV CO OF AMERICA LUX Z USD
LU1481181599,CAPITAL INTERNATIONAL - CAPITAL GROUP NEW WORLD FUND Z USD
LU1531595301,M&G (LUX) GLOBAL TARGET RETURN FUND C H ACC USD
LU1542977076,BLUEBAY GLOBAL SOVEREIGN OPPORTUNITIES C ACC USD
LU1586378470,SCHRODER INTERNATIONAL SELECTION FUND GLOBAL HIGH YIELD C INC USD
LU1691799990,AMUNDI FUNDS POLEN CAPITAL GLOBAL GROWTH I2 ACC USD
LU1730018279,ALQUITY GLOBAL IMPACT R ACC USD
LU1797663298,FIDELITY FUNDS GLOBAL MULTI ASSET INCOME FUND Y ACC USD
LU1868836914,CT MGMT AMERICAN 3U USD ACC USD
LU1939255532,NINETY ONE LUX S.A GLOBAL ENVIRONMENT A ACC USD
LU2167913123,VONTOBEL FUND II DUFF & PHELPS GLOBAL LISTED INFRASTRUCTURE B ACC USD
LU2298064838,NINETY ONE GLOBAL ENVIROMENT FUND A ACC USD
LU2425919680,FIDELITY GLOBAL INCOME Y MINCOME INC USD
LU2637817243,NSF SICAV WEALTH DEFENDER GLOBAL EQUITY FUND C USD ACC USD
