name,category,symbol,overlap,rows_ok
CT AMERICAN SELECT AU USD ACC USD,AMERICAN,0P00000SKQ,1.0,3188.0
PACIFIC NORTH AMERICAN OPPORTUNITIES R3 USD,AMERICAN,0P0001R0U7,1.0,830.0
ALLIANZ GLOBAL INV HKD INCOME AM USD USD,GLOBAL,0P000148G2.HK,1.0,1661.0
BLACKROCK (LUX) SA GLOBAL ALLOCATION A2 USD ACC USD,GLOBAL,MRLOX,1.0,5940.0
BLACKROCK (LUX) SA GLOBAL EVENT DRIVEN D2 USD ACC USD,GLOBAL,0P00016JAM,0.8,1113.0
BNY MELLON GLOBAL LEADERS FUND B ACC USD,GLOBAL,0P0001HSOS,1.0,1801.0
BOWMOOR GLOBAL ALPHA PC PTG I USD ACC USD,GLOBAL,0P0001RZ9F,1.0,648.0
BOWMOOR GLOBAL ALPHA PC PTG K USD ACC USD,GLOBAL,0P0001RZ9H,1.0,629.0
DIMENSIONAL GLOBAL TARGETED VALUE FUND USD ACC USD,GLOBAL,0P0000HLUC,1.0,1914.0
DVAM GLOBAL EQUITY INCOME USD A2 INC USD,GLOBAL,0P0001H41F,0.8,1904.0
FIDELITY FUNDS GLOBAL SHORT DURATION INCOME FUND A ACC USD,GLOBAL,0P0000I1UY,1.0,1114.0
GAM STAR GLOBAL BALANCED A USD ACC USD,GLOBAL,0P0000MXNH,0.75,1914.0
HSBC GLOBAL FUNDS ICAV US EQUITY INDEX BC ACC USD,GLOBAL,0P0001EPQG,1.0,1716.0
HSBC GLOBAL INDIA FIX INC ACC USD USD,GLOBAL,0P0000WX8N,0.83,1114.0
JUPITER GLOBAL FIXED INCOME FUND L USD ACC USD,GLOBAL,0P00000MMB,1.0,1914.0
M&G (LUX) GLOBAL TARGET RETURN FUND C H ACC USD,GLOBAL,0P00019IT4,1.0,2441.0
MORGAN STANLEY IF GLOBAL BRANDS A ACC USD,GLOBAL,0P0001XI1K,0.8,235.0
MORGAN STANLEY IF GLOBAL BRANDS Z ACC NAV USD,GLOBAL,0P0001XI1P,0.8,235.0
MORGAN STANLEY IF GLOBAL OPP I ACC NAV USD,GLOBAL,0P0001XI1N,0.8,235.0
NSF SICAV WEALTH DEFENDER GLOBAL EQUITY FUND C USD ACC USD,GLOBAL,0P0001SAYJ,1.0,641.0
PIMCO GIS GLOBAL INV GRADE CREDIT INST INC USD USD,GLOBAL,0P0000HOIQ,0.71,1914.0
VONTOBEL FUND II DUFF & PHELPS GLOBAL LISTED INFRASTRUCTURE B ACC USD,GLOBAL,0P0001K1Y4,1.0,1114.0
