ticker,strategy_no,source,condition,horizon,full_avg,full_trades,full_hit,frozen_avg,frozen_trades,frozen_hit
BIPIX,1,triple_scan,FXY_up_up_down_GDX_QQQ,1,0.45732828105046774,505,0.6237623762376238,0.6829356270873249,41,0.6341463414634146
BIPIX,2,condition_expansion,combo_QQQ_down__self_big_down,1,0.4211931112891726,584,0.5753424657534246,0.942694851847015,56,0.6785714285714286
BIPIX,3,condition_expansion,combo_XLF_down__self_big_down,1,0.44803494202803346,514,0.5836575875486382,0.9760061796216856,49,0.673469387755102
BIPSX,1,condition_expansion,combo_QQQ_down__self_big_down,1,0.44218632911335126,609,0.5812807881773399,0.9381413242889881,56,0.6785714285714286
BIPSX,2,condition_expansion,combo_XLK_down__self_big_down,1,0.46101008557005996,558,0.5770609318996416,1.030534193542822,52,0.6730769230769231
BIPSX,3,condition_expansion,combo_XLF_down__self_big_down,1,0.4677282619649451,521,0.5873320537428023,0.9705439142279747,49,0.673469387755102
BITIX,1,triple_scan,GLD_up_up_up_HYG_QQQ,1,1.0619889992663747,138,0.5869565217391305,0.806429095899326,104,0.6153846153846154
BITIX,2,triple_scan,GLD_up_up_up_JNK_QQQ,1,0.9956327222514064,156,0.6089743589743589,0.7880475144748268,106,0.6226415094339622
BITIX,3,triple_scan,EEM_up_up_up_GLD_QQQ,1,1.023596164281224,146,0.6164383561643836,0.8411645158171159,110,0.6363636363636364
BKPIX,1,triple_scan,GDX_up_down_down_QQQ_XLV,1,0.5757153124020149,272,0.5735294117647058,1.3593442703882619,39,0.717948717948718
BKPIX,2,triple_scan,GDX_up_down_down_IWM_XLK,1,0.5662008095350111,265,0.569811320754717,0.8560050125795187,54,0.6666666666666666
BKPIX,3,triple_scan,GDX_up_down_down_XLF_XLK,1,0.577189338545379,225,0.5866666666666667,1.1892251765457558,49,0.7551020408163265
BKPSX,1,triple_scan,GDX_up_down_down_QQQ_XLV,1,0.5751748493291422,280,0.5714285714285714,1.3554429263737653,39,0.717948717948718
BKPSX,2,triple_scan,GDX_up_down_up_QQQ_SLV,2,0.48471067120950806,349,0.6074498567335244,0.4787983270796592,63,0.6349206349206349
BKPSX,3,triple_scan,GDX_up_down_down_IWM_XLK,1,0.541081603247559,280,0.5642857142857143,0.8513565927884822,54,0.6666666666666666
BLPIX,1,condition_expansion,combo_XLV_big_down__self_down,1,0.24703242157607017,606,0.570957095709571,0.6112842817025174,35,0.6
BLPSX,1,pair_scan,GDX_up_XLC_down,1,0.25422392696009927,302,0.5860927152317881,0.27693144530371017,93,0.5913978494623656
BLPSX,2,triple_scan,FXY_up_up_up_JNK_TIP,1,0.2382782402225635,123,0.6747967479674797,0.2502829655557381,84,0.6785714285714286
BLPSX,3,triple_scan,FXY_up_up_up_GDX_LQD,1,0.20774615538099947,164,0.6585365853658537,0.24212515615149166,83,0.6867469879518072
BMPIX,1,triple_scan,GDX_up_down_down_XLF_XLK,1,0.48871846330273,314,0.5764331210191083,1.0282701486408095,49,0.6938775510204082
BMPIX,2,triple_scan,GDX_up_down_down_XLK_XLV,1,0.3911881506246197,487,0.5605749486652978,1.5089704332959308,36,0.7222222222222222
